"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
984075,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","02/18/2025 12:18:14 PM","2025-02-18","12:18:14","4700 BALLARD AVE NW, SEATTLE, WA 98107",47.66323135,-122.3791061,"POINT (-122.3791061 47.66323135)","98107","NORTH","ADAMS"
984081,"Unauthorized Encampment","SEA-City of Seattle","02/18/2025 12:28:22 PM","2025-02-18","12:28:22","4918 LEARY AVE NW, SEATTLE, WA 98107",47.66478367,-122.37921099,"POINT (-122.37921099 47.66478367)","98107","NORTH","ADAMS"
984112,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","02/18/2025 12:39:02 PM","2025-02-18","12:39:02","4918 LEARY AVE NW, SEATTLE, WA 98107",47.66478367,-122.37921099,"POINT (-122.37921099 47.66478367)","98107","NORTH","ADAMS"
984118,"Unauthorized Encampment","SEA-City of Seattle","02/18/2025 12:36:25 PM","2025-02-18","12:36:25","2050 NW 57TH ST, SEATTLE, WA 98107",47.67036738,-122.38391615,"POINT (-122.38391615 47.67036738)","98107","NORTH","ADAMS"
984141,"Unauthorized Encampment","SEA-City of Seattle","02/18/2025 01:08:42 PM","2025-02-18","01:08:42","1506 NW 46TH ST, SEATTLE, WA 98107",47.66242749,-122.37682646,"POINT (-122.37682646 47.66242749)","98107","NORTH","ADAMS"
984175,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","02/18/2025 01:42:52 PM","2025-02-18","01:42:52","1554 NW 50TH ST, SEATTLE, WA 98107",47.66523925,-122.3786601,"POINT (-122.3786601 47.66523925)","98107","NORTH","ADAMS"
984192,"Parking Enforcement","SPD-Seattle Police Department","02/18/2025 01:46:53 PM","2025-02-18","01:46:53","5900 24TH AVE NW, SEATTLE, WA 98107",47.6718308,-122.38722252,"POINT (-122.38722252 47.6718308)","98107","NORTH","ADAMS"
984208,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","02/18/2025 02:06:15 PM","2025-02-18","02:06:15","1521 NW MARKET ST, SEATTLE, WA 98107",47.66838221,-122.37732538,"POINT (-122.37732538 47.66838221)","98107","NORTH","ADAMS"
984212,"Graffiti","SPU-Seattle Public Utilities","02/18/2025 02:07:03 PM","2025-02-18","02:07:03","5512 22ND AVE NW, SEATTLE, WA 98107",47.66925859,-122.38434001,"POINT (-122.38434001 47.66925859)","98107","NORTH","ADAMS"
984225,"Unauthorized Encampment","SEA-City of Seattle","02/18/2025 02:01:05 PM","2025-02-18","02:01:05","2050 NW 57TH ST, SEATTLE, WA 98107",47.67036738,-122.38391615,"POINT (-122.38391615 47.67036738)","98107","NORTH","ADAMS"
984227,"Unauthorized Encampment","SEA-City of Seattle","02/18/2025 02:19:15 PM","2025-02-18","02:19:15","5514 24TH AVE NW, SEATTLE, WA 98107",47.66918395,-122.3871571,"POINT (-122.3871571 47.66918395)","98107","NORTH","ADAMS"
984344,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","02/18/2025 03:21:42 PM","2025-02-18","03:21:42","3058 NW 54TH ST, SEATTLE, WA 98107",47.66775026,-122.39807986,"POINT (-122.39807986 47.66775026)","98107","NORTH","ADAMS"
984364,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","02/18/2025 03:37:50 PM","2025-02-18","03:37:50","5411 BALLARD AVE NW, SEATTLE, WA 98107",47.66763974,-122.38525716,"POINT (-122.38525716 47.66763974)","98107","NORTH","ADAMS"
984482,"Unauthorized Encampment","SEA-City of Seattle","02/18/2025 04:48:19 PM","2025-02-18","04:48:19","2041 NW 57TH ST, SEATTLE, WA 98107",47.6699838,-122.38350002,"POINT (-122.38350002 47.6699838)","98107","NORTH","ADAMS"
984557,"Unauthorized Encampment","SEA-City of Seattle","02/18/2025 05:28:52 PM","2025-02-18","05:28:52","1554 NW 50TH ST, SEATTLE, WA 98107",47.66523925,-122.3786601,"POINT (-122.3786601 47.66523925)","98107","NORTH","ADAMS"
984561,"Unauthorized Encampment","SEA-City of Seattle","02/18/2025 05:44:43 PM","2025-02-18","05:44:43","5314 17TH AVE NW, SEATTLE, WA 98107",47.66771768,-122.378347,"POINT (-122.378347 47.66771768)","98107","NORTH","ADAMS"
984602,"Unauthorized Encampment","SEA-City of Seattle","02/18/2025 05:42:46 PM","2025-02-18","05:42:46","1554 NW 50TH ST, SEATTLE, WA 98107",47.66523925,-122.3786601,"POINT (-122.3786601 47.66523925)","98107","NORTH","ADAMS"
984635,"Unauthorized Encampment","SEA-City of Seattle","02/18/2025 06:43:23 PM","2025-02-18","06:43:23","2046 NW 57TH ST, SEATTLE, WA 98107",47.67036437,-122.38410213,"POINT (-122.38410213 47.67036437)","98107","NORTH","ADAMS"
984666,"Unauthorized Encampment","SEA-City of Seattle","02/18/2025 07:54:44 PM","2025-02-18","07:54:44","2041 NW 57TH ST, SEATTLE, WA 98107",47.6699838,-122.38350002,"POINT (-122.38350002 47.6699838)","98107","NORTH","ADAMS"
984683,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","02/18/2025 10:13:47 PM","2025-02-18","10:13:47","5200 RUSSELL AVE NW, SEATTLE, WA 98107",47.66634168,-122.38004211,"POINT (-122.38004211 47.66634168)","98107","NORTH","ADAMS"
984687,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","02/18/2025 10:13:55 PM","2025-02-18","10:13:55","5129 RUSSELL AVE NW, SEATTLE, WA 98107",47.6658527,-122.38016062,"POINT (-122.38016062 47.6658527)","98107","NORTH","ADAMS"
984707,"Unauthorized Encampment","SEA-City of Seattle","02/18/2025 10:54:05 PM","2025-02-18","10:54:05","1554 NW 50TH ST, SEATTLE, WA 98107",47.66523925,-122.3786601,"POINT (-122.3786601 47.66523925)","98107","NORTH","ADAMS"
