"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
852043,"Graffiti","SPU-Seattle Public Utilities","09/05/2024 07:07:29 PM","2024-09-05","07:07:29","1025 HARBOR AVE SW, SEATTLE, WA 98116",47.59444747,-122.38442524,"POINT (-122.38442524 47.59444747)","98116","SOUTHWEST","ALKI"
852058,"Graffiti","SPU-Seattle Public Utilities","09/05/2024 06:39:16 PM","2024-09-05","06:39:16","2309 ALKI AVE SW, SEATTLE, WA 98116",47.5833121,-122.4014938,"POINT (-122.4014938 47.5833121)","98116","SOUTHWEST","ALKI"
852088,"Unauthorized Encampment","SEA-City of Seattle","09/05/2024 07:49:43 PM","2024-09-05","07:49:43","2722 ALKI AVE SW, SEATTLE, WA 98116",47.57903102,-122.41030465,"POINT (-122.41030465 47.57903102)","98116","SOUTHWEST","ALKI"
852151,"Parking Enforcement","SPD-Seattle Police Department","09/05/2024 09:06:16 PM","2024-09-05","09:06:16","2574 56TH AVE SW, SEATTLE, WA 98116",47.57964573,-122.40374306,"POINT (-122.40374306 47.57964573)","98116","SOUTHWEST","ALKI"
852216,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","09/06/2024 07:03:52 AM","2024-09-06","07:03:52","2722 ALKI AVE SW, SEATTLE, WA 98116",47.57903102,-122.41030465,"POINT (-122.41030465 47.57903102)","98116","SOUTHWEST","ALKI"
852226,"Overgrown Vegetation","FAS-Finance and Administrative Services","09/06/2024 07:11:53 AM","2024-09-06","07:11:53","4500 BEACH DR SW, SEATTLE, WA 98116",47.56289185,-122.40583432,"POINT (-122.40583432 47.56289185)","98116","SOUTHWEST","ALKI"
852294,"Unauthorized Encampment","SEA-City of Seattle","09/06/2024 08:00:31 AM","2024-09-06","08:00:31","2891 ALKI AVE SW, SEATTLE, WA 98116",47.57846555,-122.41321269,"POINT (-122.41321269 47.57846555)","98116","SOUTHWEST","ALKI"
852295,"Unauthorized Encampment","SEA-City of Seattle","09/06/2024 08:00:27 AM","2024-09-06","08:00:27","2903 ALKI AVE SW, SEATTLE, WA 98116",47.57840463,-122.41342328,"POINT (-122.41342328 47.57840463)","98116","SOUTHWEST","ALKI"
852304,"Unauthorized Encampment","SEA-City of Seattle","09/06/2024 08:02:20 AM","2024-09-06","08:02:20","2742 ALKI AVE SW, SEATTLE, WA 98116",47.57874967,-122.4112106,"POINT (-122.4112106 47.57874967)","98116","SOUTHWEST","ALKI"
852322,"Parking Enforcement","SPD-Seattle Police Department","09/06/2024 08:14:27 AM","2024-09-06","08:14:27","5806 SW SPOKANE ST, SEATTLE, WA 98116",47.57244953,-122.40710909,"POINT (-122.40710909 47.57244953)","98116","SOUTHWEST","ALKI"
