"","X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
"1",1043994,"Unauthorized Encampment","SEA-City of Seattle","04/25/2025 01:29:22 AM","2025-04-25","01:29:22","8532 15TH AVE NW, SEATTLE, WA 98117",47.69169625,-122.376165,"POINT (-122.376165 47.69169625)","98117","NORTH","CROWN HILL"
"2",1044000,"Unauthorized Encampment","SEA-City of Seattle","04/25/2025 04:18:39 AM","2025-04-25","04:18:39","821 7TH AVE S, SEATTLE, WA 98134",47.59565326,-122.32414113,"POINT (-122.32414113 47.59565326)","98134","WEST","INDUSTRIAL DISTRICT"
"3",1044004,"Unauthorized Encampment","SEA-City of Seattle","04/25/2025 02:07:39 AM","2025-04-25","02:07:39","1808 NW DOCK PL, SEATTLE, WA 98107",47.66531777,-122.37939391,"POINT (-122.37939391 47.66531777)","98107","NORTH","ADAMS"
"4",1044005,"Parking Enforcement","SPD-Seattle Police Department","04/25/2025 04:06:35 AM","2025-04-25","04:06:35","1702 NW 89TH ST, SEATTLE, WA 98117",47.69413414,-122.37926748,"POINT (-122.37926748 47.69413414)","98117","NORTH","CROWN HILL"
"5",1044006,"Unauthorized Encampment","SEA-City of Seattle","04/25/2025 05:31:12 AM","2025-04-25","05:31:12","4451 14TH AVE NW, SEATTLE, WA 98107",47.66129671,-122.37399592,"POINT (-122.37399592 47.66129671)","98107","NORTH","WEST WOODLAND"
"6",1044009,"Unauthorized Encampment","SEA-City of Seattle","04/25/2025 06:21:40 AM","2025-04-25","06:21:40","1843 E YESLER WAY, SEATTLE, WA 98122",47.60114083,-122.30793068,"POINT (-122.30793068 47.60114083)","98122","EAST","ATLANTIC"
"7",1044010,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/25/2025 05:49:20 AM","2025-04-25","05:49:20","845 TERRY AVE N, SEATTLE, WA 98109",47.62689058,-122.33760231,"POINT (-122.33760231 47.62689058)","98109","WEST","SOUTH LAKE UNION"
"8",1044011,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/25/2025 06:01:25 AM","2025-04-25","06:01:25","7213 45TH AVE NE, SEATTLE, WA 98115",47.68097299,-122.27981161,"POINT (-122.27981161 47.68097299)","98115","NORTH","VIEW RIDGE"
"9",1044012,"Unauthorized Encampment","SEA-City of Seattle","04/25/2025 06:41:44 AM","2025-04-25","06:41:44","3446 AIRPORT WAY S, SEATTLE, WA 98134",47.57186865,-122.3233378,"POINT (-122.3233378 47.57186865)","98134","SOUTH","INDUSTRIAL DISTRICT"
"10",1044013,"Unauthorized Encampment","SEA-City of Seattle","04/25/2025 06:17:36 AM","2025-04-25","06:17:36","1781 11TH AVE, SEATTLE, WA 98122",47.61737015,-122.31831512,"POINT (-122.31831512 47.61737015)","98122","EAST","BROADWAY"
"11",1044014,"Parking Enforcement","SPD-Seattle Police Department","04/25/2025 05:27:10 AM","2025-04-25","05:27:10","1347 E HOWELL ST, SEATTLE, WA 98122",47.61753244,-122.31497067,"POINT (-122.31497067 47.61753244)","98122","EAST","BROADWAY"
"12",1044015,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/25/2025 06:39:54 AM","2025-04-25","06:39:54","8102 SAND POINT WAY NE, SEATTLE, WA 98115",47.68825479,-122.26570391,"POINT (-122.26570391 47.68825479)","98115","NORTH","SAND POINT"
"13",1044016,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/25/2025 06:42:28 AM","2025-04-25","06:42:28","4753 17TH AVE NW, SEATTLE, WA 98107",47.66335236,-122.37901414,"POINT (-122.37901414 47.66335236)","98107","NORTH","ADAMS"
"14",1044017,"Parking Enforcement","SPD-Seattle Police Department","04/25/2025 06:21:42 AM","2025-04-25","06:21:42","4961 S KENYON ST, SEATTLE, WA 98118",47.53149524,-122.27103798,"POINT (-122.27103798 47.53149524)","98118","SOUTH","DUNLAP"
"15",1044018,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","04/25/2025 06:41:46 AM","2025-04-25","06:41:46","1346 NE 70TH ST, SEATTLE, WA 98115",47.67951613,-122.3138441,"POINT (-122.3138441 47.67951613)","98115","NORTH","ROOSEVELT"
"16",1044019,"Unauthorized Encampment","SEA-City of Seattle","04/25/2025 06:19:34 AM","2025-04-25","06:19:34","1829 E YESLER WAY, SEATTLE, WA 98122",47.60139535,-122.30766942,"POINT (-122.30766942 47.60139535)","98122","EAST","ATLANTIC"
"17",1044020,"Parking Enforcement","SPD-Seattle Police Department","04/25/2025 06:21:34 AM","2025-04-25","06:21:34","7900 50TH AVE S, SEATTLE, WA 98118",47.53142951,-122.27062726,"POINT (-122.27062726 47.53142951)","98118","SOUTH","DUNLAP"
"18",1044021,"Graffiti","SPU-Seattle Public Utilities","04/25/2025 06:17:43 AM","2025-04-25","06:17:43","1600 E OLIVE ST, SEATTLE, WA 98122",47.61673843,-122.31111342,"POINT (-122.31111342 47.61673843)","98122","EAST","STEVENS"
"19",1044022,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/25/2025 06:47:03 AM","2025-04-25","06:47:03","909 NW 54TH ST, SEATTLE, WA 98107",47.6678032,-122.36870427,"POINT (-122.36870427 47.6678032)","98107","NORTH","WEST WOODLAND"
"20",1044024,"Unauthorized Encampment","SEA-City of Seattle","04/25/2025 06:55:52 AM","2025-04-25","06:55:52","3649 27TH AVE S, SEATTLE, WA 98144",47.57017464,-122.29778048,"POINT (-122.29778048 47.57017464)","98144","SOUTH","COLUMBIA CITY"
"21",1044025,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/25/2025 06:45:47 AM","2025-04-25","06:45:47","6207 S RYAN ST RESIDENTIAL, SEATTLE, WA 98178",47.50952539,-122.25551869,"POINT (-122.25551869 47.50952539)","98178","SOUTH","RAINIER BEACH"
"22",1044026,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","04/25/2025 06:49:11 AM","2025-04-25","06:49:11","1078 N 104TH ST, SEATTLE, WA 98133",47.70441006,-122.34496636,"POINT (-122.34496636 47.70441006)","98133","NORTH","GREENWOOD"
"23",1044027,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/25/2025 06:41:49 AM","2025-04-25","06:41:49","209 N 81ST ST, SEATTLE, WA 98103",47.68758284,-122.3565165,"POINT (-122.3565165 47.68758284)","98103","NORTH","GREENWOOD"
"24",1044028,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/25/2025 06:48:37 AM","2025-04-25","06:48:37","10715 ROOSEVELT WAY NE, SEATTLE, WA 98125",47.7073047,-122.3181188,"POINT (-122.3181188 47.7073047)","98125","NORTH","MAPLE LEAF"
"25",1044029,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/25/2025 06:43:44 AM","2025-04-25","06:43:44","856 17TH AVE E, SEATTLE, WA 98112",47.62651658,-122.30984815,"POINT (-122.30984815 47.62651658)","98112","EAST","STEVENS"
"26",1044030,"Unauthorized Encampment","SEA-City of Seattle","04/25/2025 06:55:57 AM","2025-04-25","06:55:57","2325 4TH AVE, SEATTLE, WA 98121",47.61571117,-122.3452003,"POINT (-122.3452003 47.61571117)","98121","WEST","BELLTOWN"
"27",1044031,"Dead Animal","FAS-Finance and Administrative Services","04/25/2025 06:47:46 AM","2025-04-25","06:47:46","4056 21ST AVE SW, SEATTLE, WA 98106",47.56671981,-122.35990498,"POINT (-122.35990498 47.56671981)","98106","SOUTHWEST","NORTH DELRIDGE"
"28",1044032,"Unauthorized Encampment","SEA-City of Seattle","04/25/2025 06:49:47 AM","2025-04-25","06:49:47","1542 8TH AVE, SEATTLE, WA 98101",47.61254056,-122.33253093,"POINT (-122.33253093 47.61254056)","98101","WEST","CENTRAL BUSINESS DISTRICT"
"29",1044033,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/25/2025 07:09:11 AM","2025-04-25","07:09:11","5957 42ND AVE S, SEATTLE, WA 98118",47.54915709,-122.28092274,"POINT (-122.28092274 47.54915709)","98118","SOUTH","COLUMBIA CITY"
"30",1044034,"Unauthorized Encampment","SEA-City of Seattle","04/25/2025 06:53:53 AM","2025-04-25","06:53:53","7801 62ND AVE NE, SEATTLE, WA 98115",47.68816262,-122.26491747,"POINT (-122.26491747 47.68816262)","98115","NORTH","SAND POINT"
"31",1044035,"Unauthorized Encampment","SEA-City of Seattle","04/25/2025 06:57:51 AM","2025-04-25","06:57:51","1037 E REPUBLICAN ST, SEATTLE, WA 98102",47.62304045,-122.31912516,"POINT (-122.31912516 47.62304045)","98102","EAST","BROADWAY"
"32",1044036,"Parking Enforcement","SPD-Seattle Police Department","04/25/2025 06:21:37 AM","2025-04-25","06:21:37","2940 ALKI AVE SW, SEATTLE, WA 98116",47.5778029,-122.41498489,"POINT (-122.41498489 47.5778029)","98116","SOUTHWEST","ALKI"
"33",1044037,"Parking Enforcement","SPD-Seattle Police Department","04/25/2025 07:10:02 AM","2025-04-25","07:10:02","6476 26TH AVE NW, SEATTLE, WA 98107",47.67577533,-122.39001265,"POINT (-122.39001265 47.67577533)","98107","NORTH","ADAMS"
"34",1044038,"Parking Enforcement","SPD-Seattle Police Department","04/25/2025 06:55:54 AM","2025-04-25","06:55:54","1130 N 43RD ST, SEATTLE, WA 98103",47.65925162,-122.34387408,"POINT (-122.34387408 47.65925162)","98103","NORTH","FREMONT"
"35",1044039,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/25/2025 07:11:13 AM","2025-04-25","07:11:13","5971 42ND AVE S, SEATTLE, WA 98118",47.54902379,-122.28092406,"POINT (-122.28092406 47.54902379)","98118","SOUTH","COLUMBIA CITY"
"36",1044040,"Dead Animal","FAS-Finance and Administrative Services","04/25/2025 07:05:58 AM","2025-04-25","07:05:58","4044 21ST AVE SW, SEATTLE, WA 98106",47.56702548,-122.35989909,"POINT (-122.35989909 47.56702548)","98106","SOUTHWEST","NORTH DELRIDGE"
"37",1044041,"Unauthorized Encampment","SEA-City of Seattle","04/25/2025 06:49:49 AM","2025-04-25","06:49:49","1703 11TH AVE, SEATTLE, WA 98122",47.61645325,-122.31830041,"POINT (-122.31830041 47.61645325)","98122","EAST","BROADWAY"
"38",1044042,"Parking Enforcement","SPD-Seattle Police Department","04/25/2025 07:12:00 AM","2025-04-25","07:12:00","533 FEDERAL AVE E, SEATTLE, WA 98102",47.62414081,-122.31904405,"POINT (-122.31904405 47.62414081)","98102","EAST","BROADWAY"
