"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
80351,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","07/22/2021 07:25:39 AM","2021-07-22","07:25:39","10602 35TH AVE SW, SEATTLE, WA 98146",47.50802001,-122.3756935,"POINT (-122.3756935 47.50802001)","98146","SOUTHWEST","ARBOR HEIGHTS"
80597,"Parking Enforcement","SPD-Seattle Police Department","07/22/2021 03:21:13 PM","2021-07-22","03:21:13","10444 42ND AVE SW, SEATTLE, WA 98146",47.50878119,-122.38538525,"POINT (-122.38538525 47.50878119)","98146","SOUTHWEST","ARBOR HEIGHTS"
81570,"Pothole","SDOT-Seattle Department of Transportation","07/24/2021 04:37:03 PM","2021-07-24","04:37:03","3008 SW 106TH ST, SEATTLE, WA 98146",47.5084262,-122.37137347,"POINT (-122.37137347 47.5084262)","98146","SOUTHWEST","ARBOR HEIGHTS"
82499,"Damaged Sidewalk","SDOT-Seattle Department of Transportation","07/26/2021 10:05:24 PM","2021-07-26","10:05:24","10241 32ND AVE SW, SEATTLE, WA 98146",47.51065822,-122.37298883,"POINT (-122.37298883 47.51065822)","98146","SOUTHWEST","ARBOR HEIGHTS"
84094,"Overgrown Vegetation","FAS-Finance and Administrative Services","07/30/2021 10:06:03 AM","2021-07-30","10:06:03","11060 39TH AVE SW, SEATTLE, WA 98146",47.50297492,-122.3817724,"POINT (-122.3817724 47.50297492)","98146","SOUTHWEST","ARBOR HEIGHTS"
84161,"Overgrown Vegetation","FAS-Finance and Administrative Services","07/30/2021 10:32:12 AM","2021-07-30","10:32:12","11060 39TH AVE SW, SEATTLE, WA 98146",47.50297492,-122.3817724,"POINT (-122.3817724 47.50297492)","98146","SOUTHWEST","ARBOR HEIGHTS"
84266,"Overgrown Vegetation","FAS-Finance and Administrative Services","07/30/2021 01:37:37 PM","2021-07-30","01:37:37","11060 39TH AVE SW, SEATTLE, WA 98146",47.50297492,-122.3817724,"POINT (-122.3817724 47.50297492)","98146","SOUTHWEST","ARBOR HEIGHTS"
84615,"General Inquiry - City Light","SCL-Seattle City Light","07/31/2021 11:35:40 AM","2021-07-31","11:35:40","3411 SW 100TH ST, SEATTLE, WA 98146",47.51354356,-122.37581823,"POINT (-122.37581823 47.51354356)","98146","SOUTHWEST","ARBOR HEIGHTS"
85026,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","08/01/2021 11:34:42 AM","2021-08-01","11:34:42","3621 SW 106TH ST, SEATTLE, WA 98146",47.50800787,-122.37795819,"POINT (-122.37795819 47.50800787)","98146","SOUTHWEST","ARBOR HEIGHTS"
85587,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","08/02/2021 12:36:57 PM","2021-08-02","12:36:57","9834 44TH AVE SW, SEATTLE, WA 98136",47.51467098,-122.38841583,"POINT (-122.38841583 47.51467098)","98136","SOUTHWEST","ARBOR HEIGHTS"
86097,"Pothole","SDOT-Seattle Department of Transportation","08/03/2021 11:29:27 AM","2021-08-03","11:29:27","10839 MARINE VIEW DR SW, SEATTLE, WA 98146",47.50518244,-122.38078418,"POINT (-122.38078418 47.50518244)","98146","SOUTHWEST","ARBOR HEIGHTS"
86672,"Pothole","SDOT-Seattle Department of Transportation","08/04/2021 01:17:22 PM","2021-08-04","01:17:22","11027 MARINE VIEW DR SW, SEATTLE, WA 98146",47.50385582,-122.38125031,"POINT (-122.38125031 47.50385582)","98146","SOUTHWEST","ARBOR HEIGHTS"
86732,"Pothole","SDOT-Seattle Department of Transportation","08/04/2021 02:52:01 PM","2021-08-04","02:52:01","4208 SW 102ND ST, SEATTLE, WA 98146",47.5122875,-122.38640598,"POINT (-122.38640598 47.5122875)","98146","SOUTHWEST","ARBOR HEIGHTS"
86741,"Pothole","SDOT-Seattle Department of Transportation","08/04/2021 01:19:20 PM","2021-08-04","01:19:20","11033 MARINE VIEW DR SW, SEATTLE, WA 98146",47.5036724,-122.38124264,"POINT (-122.38124264 47.5036724)","98146","SOUTHWEST","ARBOR HEIGHTS"
86748,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","08/04/2021 03:38:39 PM","2021-08-04","03:38:39","4208 SW 102ND ST, SEATTLE, WA 98146",47.5122875,-122.38640598,"POINT (-122.38640598 47.5122875)","98146","SOUTHWEST","ARBOR HEIGHTS"
86871,"General Inquiry - City Light","SCL-Seattle City Light","08/04/2021 09:14:56 PM","2021-08-04","09:14:56","10228 42ND AVE SW, SEATTLE, WA 98146",47.51118362,-122.38553682,"POINT (-122.38553682 47.51118362)","98146","SOUTHWEST","ARBOR HEIGHTS"
86903,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","08/05/2021 06:09:02 AM","2021-08-05","06:09:02","11104 30TH PL SW, SEATTLE, WA 98146",47.50399716,-122.37116067,"POINT (-122.37116067 47.50399716)","98146","SOUTHWEST","ARBOR HEIGHTS"
86925,"Parking Enforcement","SPD-Seattle Police Department","08/05/2021 07:23:36 AM","2021-08-05","07:23:36","10439 42ND AVE SW, SEATTLE, WA 98146",47.50893474,-122.38603309,"POINT (-122.38603309 47.50893474)","98146","SOUTHWEST","ARBOR HEIGHTS"
88345,"General Inquiry - Public Utilities","SPU-Seattle Public Utilities","08/08/2021 06:19:48 PM","2021-08-08","06:19:48","3546 SW 99TH ST, SEATTLE, WA 98126",47.51486552,-122.3785697,"POINT (-122.3785697 47.51486552)","98126","SOUTHWEST","ARBOR HEIGHTS"
88362,"General Inquiry - City Light","SCL-Seattle City Light","08/08/2021 06:19:40 PM","2021-08-08","06:19:40","3546 SW 99TH ST, SEATTLE, WA 98126",47.51486552,-122.3785697,"POINT (-122.3785697 47.51486552)","98126","SOUTHWEST","ARBOR HEIGHTS"
88828,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","08/09/2021 05:03:08 PM","2021-08-09","05:03:08","42ND AVE SW & SW 102ND ST, SEATTLE, WA",47.51208397,-122.38586227,"POINT (-122.38586227 47.51208397)","","SOUTHWEST","ARBOR HEIGHTS"
89921,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","08/11/2021 08:14:36 PM","2021-08-11","08:14:36","10432 34TH AVE SW, SEATTLE, WA 98146",47.50901313,-122.37436985,"POINT (-122.37436985 47.50901313)","98146","SOUTHWEST","ARBOR HEIGHTS"
89960,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","08/11/2021 09:35:13 PM","2021-08-11","09:35:13","9928 31ST AVE SW, SEATTLE, WA 98126",47.51389035,-122.37153771,"POINT (-122.37153771 47.51389035)","98126","SOUTHWEST","ARBOR HEIGHTS"
90790,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","08/13/2021 04:29:11 PM","2021-08-13","04:29:11","SW 106TH ST & 35TH AVE SW, SEATTLE, WA",47.50818912,-122.37593289,"POINT (-122.37593289 47.50818912)","","SOUTHWEST","ARBOR HEIGHTS"
92041,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","08/16/2021 06:53:31 PM","2021-08-16","06:53:31","10216 37TH PL SW, SEATTLE, WA 98146",47.51140867,-122.37915485,"POINT (-122.37915485 47.51140867)","98146","SOUTHWEST","ARBOR HEIGHTS"
92493,"Parking Enforcement","SPD-Seattle Police Department","08/17/2021 05:34:14 PM","2021-08-17","05:34:14","10439 42ND AVE SW, SEATTLE, WA 98146",47.50893474,-122.38603309,"POINT (-122.38603309 47.50893474)","98146","SOUTHWEST","ARBOR HEIGHTS"
93087,"Street Sign and Traffic Signal Maintenance","SDOT-Seattle Department of Transportation","08/19/2021 08:52:23 AM","2021-08-19","08:52:23","3000 SW 97TH ST, SEATTLE, WA 98126",47.51626024,-122.37161032,"POINT (-122.37161032 47.51626024)","98126","SOUTHWEST","ARBOR HEIGHTS"
93137,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","08/19/2021 10:13:52 AM","2021-08-19","10:13:52","3000 SW 97TH ST, SEATTLE, WA 98126",47.51626024,-122.37161032,"POINT (-122.37161032 47.51626024)","98126","SOUTHWEST","ARBOR HEIGHTS"
93322,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","08/19/2021 04:23:45 PM","2021-08-19","04:23:45","9928 31ST AVE SW, SEATTLE, WA 98126",47.51389035,-122.37153771,"POINT (-122.37153771 47.51389035)","98126","SOUTHWEST","ARBOR HEIGHTS"
93836,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","08/20/2021 04:50:20 PM","2021-08-20","04:50:20","31ST AVE SW & SW 100TH ST, SEATTLE, WA 98146",47.51371013,-122.37185462,"POINT (-122.37185462 47.51371013)","98146","SOUTHWEST","ARBOR HEIGHTS"
95693,"Street Sign and Traffic Signal Maintenance","SDOT-Seattle Department of Transportation","08/25/2021 08:44:24 AM","2021-08-25","08:44:24","3701 SW 105TH ST ARBOR HEIGHTS SCHOOL, SEATTLE, WA 98146",47.50890643,-122.37883982,"POINT (-122.37883982 47.50890643)","98146","SOUTHWEST","ARBOR HEIGHTS"
95958,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","08/25/2021 03:43:36 PM","2021-08-25","03:43:36","SW 98TH ST & 37TH AVE SW, SEATTLE, WA",47.51561413,-122.37932729,"POINT (-122.37932729 47.51561413)","","SOUTHWEST","ARBOR HEIGHTS"
96155,"Parking Enforcement","SPD-Seattle Police Department","08/26/2021 07:04:38 AM","2021-08-26","07:04:38","4110 SW 104TH ST, SEATTLE, WA 98146",47.51028087,-122.38498552,"POINT (-122.38498552 47.51028087)","98146","SOUTHWEST","ARBOR HEIGHTS"
96531,"Street Sign and Traffic Signal Maintenance","SDOT-Seattle Department of Transportation","08/26/2021 04:39:02 PM","2021-08-26","04:39:02","9707 30TH AVE SW, SEATTLE, WA 98126",47.51571123,-122.371498,"POINT (-122.371498 47.51571123)","98126","SOUTHWEST","ARBOR HEIGHTS"
97075,"Overgrown Vegetation","FAS-Finance and Administrative Services","08/27/2021 08:19:43 PM","2021-08-27","08:19:43","10808 MARINE VIEW DR SW, SEATTLE, WA 98146",47.50625882,-122.38085737,"POINT (-122.38085737 47.50625882)","98146","SOUTHWEST","ARBOR HEIGHTS"
97507,"Pothole","SDOT-Seattle Department of Transportation","08/29/2021 02:55:14 PM","2021-08-29","02:55:14","10604 MARINE VIEW DR SW, SEATTLE, WA 98146",47.50810696,-122.38739615,"POINT (-122.38739615 47.50810696)","98146","SOUTHWEST","ARBOR HEIGHTS"
99101,"Graffiti","SPU-Seattle Public Utilities","09/01/2021 11:14:27 AM","2021-09-01","11:14:27","10453 35TH AVE SW, SEATTLE, WA 98146",47.50847774,-122.37628061,"POINT (-122.37628061 47.50847774)","98146","SOUTHWEST","ARBOR HEIGHTS"
99566,"General Inquiry - City Light","SCL-Seattle City Light","09/02/2021 11:29:34 AM","2021-09-02","11:29:34","10116 35TH AVE SW, SEATTLE, WA 98146",47.51246233,-122.37592979,"POINT (-122.37592979 47.51246233)","98146","SOUTHWEST","ARBOR HEIGHTS"
102173,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","09/08/2021 12:55:18 PM","2021-09-08","12:55:18","10611 39TH AVE SW, SEATTLE, WA 98146",47.50787095,-122.38183071,"POINT (-122.38183071 47.50787095)","98146","SOUTHWEST","ARBOR HEIGHTS"
102221,"General Inquiry - City Light","SCL-Seattle City Light","09/08/2021 02:16:01 PM","2021-09-08","02:16:01","10217 40TH AVE SW A, SEATTLE, WA 98146",47.51153603,-122.38335249,"POINT (-122.38335249 47.51153603)","98146","SOUTHWEST","ARBOR HEIGHTS"
103614,"Clogged Storm Drain","SPU-Seattle Public Utilities","09/11/2021 12:14:10 PM","2021-09-11","12:14:10","9800 41ST AVE SW, SEATTLE, WA 98136",47.51545616,-122.38437747,"POINT (-122.38437747 47.51545616)","98136","SOUTHWEST","ARBOR HEIGHTS"
104394,"Overgrown Vegetation","FAS-Finance and Administrative Services","09/13/2021 08:41:13 AM","2021-09-13","08:41:13","9605 MARINE VIEW DR SW, SEATTLE, WA 98136",47.51732801,-122.39142847,"POINT (-122.39142847 47.51732801)","98136","SOUTHWEST","ARBOR HEIGHTS"
104663,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","09/13/2021 03:14:15 PM","2021-09-13","03:14:15","9711 41ST AVE SW, SEATTLE, WA 98136",47.51624461,-122.38528022,"POINT (-122.38528022 47.51624461)","98136","SOUTHWEST","ARBOR HEIGHTS"
104692,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","09/13/2021 04:59:23 PM","2021-09-13","04:59:23","3514 SW 105TH ST, SEATTLE, WA 98146",47.50923096,-122.37667976,"POINT (-122.37667976 47.50923096)","98146","SOUTHWEST","ARBOR HEIGHTS"
104779,"Street Sign and Traffic Signal Maintenance","SDOT-Seattle Department of Transportation","09/14/2021 06:45:19 AM","2021-09-14","06:45:19","35TH AVE SW & SW ROXBURY ST, SEATTLE, WA",47.51748787,-122.37688459,"POINT (-122.37688459 47.51748787)","","SOUTHWEST","ARBOR HEIGHTS"
105283,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","09/14/2021 06:40:34 PM","2021-09-14","06:40:34","35TH AVE SW & SW ROXBURY ST, SEATTLE, WA",47.51748787,-122.37688459,"POINT (-122.37688459 47.51748787)","","SOUTHWEST","ARBOR HEIGHTS"
106198,"Graffiti","SPU-Seattle Public Utilities","09/16/2021 12:30:50 PM","2021-09-16","12:30:50","10456 35TH AVE SW, SEATTLE, WA 98146",47.50842194,-122.37564849,"POINT (-122.37564849 47.50842194)","98146","SOUTHWEST","ARBOR HEIGHTS"
107182,"Clogged Storm Drain","SPU-Seattle Public Utilities","09/19/2021 07:55:34 AM","2021-09-19","07:55:34","11099 ARROYO BEACH PL SW, SEATTLE, WA 98146",47.50211749,-122.38514397,"POINT (-122.38514397 47.50211749)","98146","SOUTHWEST","ARBOR HEIGHTS"
107476,"Clogged Storm Drain","SPU-Seattle Public Utilities","09/19/2021 08:33:22 PM","2021-09-19","08:33:22","9605 MARINE VIEW DR SW, SEATTLE, WA 98136",47.51732801,-122.39142847,"POINT (-122.39142847 47.51732801)","98136","SOUTHWEST","ARBOR HEIGHTS"
