"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
945538,"Parking Enforcement","SPD-Seattle Police Department","12/31/2024 05:45:14 AM","2024-12-31","05:45:14","1700 21ST AVE S, SEATTLE, WA 98144",47.5882768,-122.30497836,"POINT (-122.30497836 47.5882768)","98144","SOUTH","ATLANTIC"
945628,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","12/31/2024 09:35:40 AM","2024-12-31","09:35:40","201 20TH AVE S, SEATTLE, WA 98144",47.60074587,-122.30671357,"POINT (-122.30671357 47.60074587)","98144","EAST","ATLANTIC"
945630,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","12/31/2024 09:31:05 AM","2024-12-31","09:31:05","2029 24TH AVE S, SEATTLE, WA 98144",47.58464608,-122.30189428,"POINT (-122.30189428 47.58464608)","98144","SOUTH","ATLANTIC"
945634,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","12/31/2024 09:39:04 AM","2024-12-31","09:39:04","913 MARTIN LUTHER KING JR WAY S, SEATTLE, WA 98144",47.59411196,-122.29818458,"POINT (-122.29818458 47.59411196)","98144","EAST","ATLANTIC"
945640,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","12/31/2024 09:43:05 AM","2024-12-31","09:43:05","913 MARTIN LUTHER KING JR WAY S, SEATTLE, WA 98144",47.59411196,-122.29818458,"POINT (-122.29818458 47.59411196)","98144","EAST","ATLANTIC"
945678,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","12/31/2024 09:45:07 AM","2024-12-31","09:45:07","909 MARTIN LUTHER KING JR WAY S, SEATTLE, WA 98144",47.59430099,-122.2983587,"POINT (-122.2983587 47.59430099)","98144","EAST","ATLANTIC"
945710,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","12/31/2024 10:17:19 AM","2024-12-31","10:17:19","2533 S WALKER ST, SEATTLE, WA 98144",47.58356434,-122.29985377,"POINT (-122.29985377 47.58356434)","98144","SOUTH","ATLANTIC"
945725,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","12/31/2024 10:33:26 AM","2024-12-31","10:33:26","2100 25TH AVE S, SEATTLE, WA 98144",47.58421165,-122.29978452,"POINT (-122.29978452 47.58421165)","98144","SOUTH","ATLANTIC"
945732,"Internet/Cable Issue","ITD-Seattle Information Technology","12/31/2024 10:31:59 AM","2024-12-31","10:31:59","2121 26TH AVE S 514, SEATTLE, WA 98144",47.58411519,-122.29910125,"POINT (-122.29910125 47.58411519)","98144","SOUTH","ATLANTIC"
945735,"Graffiti","SPU-Seattle Public Utilities","12/31/2024 10:45:31 AM","2024-12-31","10:45:31","1400 RAINIER AVE S, SEATTLE, WA 98144",47.59075686,-122.30749066,"POINT (-122.30749066 47.59075686)","98144","EAST","ATLANTIC"
945855,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","12/31/2024 12:46:28 PM","2024-12-31","12:46:28","1509 26TH AVE S, SEATTLE, WA 98144",47.58911605,-122.2992931,"POINT (-122.2992931 47.58911605)","98144","SOUTH","ATLANTIC"
945890,"Graffiti","SPU-Seattle Public Utilities","12/31/2024 01:20:45 PM","2024-12-31","01:20:45","1504 21ST AVE S, SEATTLE, WA 98144",47.5893897,-122.30448139,"POINT (-122.30448139 47.5893897)","98144","SOUTH","ATLANTIC"
945908,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","12/31/2024 01:32:52 PM","2024-12-31","01:32:52","2106 RAINIER AVE S, SEATTLE, WA 98144",47.58434028,-122.30245538,"POINT (-122.30245538 47.58434028)","98144","SOUTH","ATLANTIC"
946083,"Unauthorized Encampment","SEA-City of Seattle","12/31/2024 04:14:02 PM","2024-12-31","04:14:02","200 18TH AVE S, SEATTLE, WA 98144",47.60035267,-122.30789929,"POINT (-122.30789929 47.60035267)","98144","EAST","ATLANTIC"
