"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
856725,"Overgrown Vegetation","FAS-Finance and Administrative Services","09/10/2024 02:33:15 PM","2024-09-10","02:33:15","11001 FREMONT AVE N, SEATTLE, WA 98133",47.70884393,-122.35048268,"POINT (-122.35048268 47.70884393)","98133","NORTH","BITTER LAKE"
856989,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","09/10/2024 05:46:43 PM","2024-09-10","05:46:43","11554 DAYTON AVE N, SEATTLE, WA 98133",47.71399544,-122.35256973,"POINT (-122.35256973 47.71399544)","98133","NORTH","BITTER LAKE"
857069,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","09/10/2024 08:01:45 PM","2024-09-10","08:01:45","10723 LINDEN AVE N, SEATTLE, WA 98133",47.7072149,-122.34771203,"POINT (-122.34771203 47.7072149)","98133","NORTH","BITTER LAKE"
857202,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","09/11/2024 08:08:19 AM","2024-09-11","08:08:19","12505 AURORA AVE N, SEATTLE, WA 98133",47.71976402,-122.34539475,"POINT (-122.34539475 47.71976402)","98133","NORTH","BITTER LAKE"
857657,"General Inquiry - City Light","SCL-Seattle City Light","09/11/2024 01:09:44 PM","2024-09-11","01:09:44","11524 N PARK AVE N, SEATTLE, WA 98133",47.71334157,-122.34874343,"POINT (-122.34874343 47.71334157)","98133","NORTH","BITTER LAKE"
857818,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","09/11/2024 03:31:39 PM","2024-09-11","03:31:39","740 N 127TH ST, SEATTLE, WA 98133",47.72161057,-122.34866605,"POINT (-122.34866605 47.72161057)","98133","NORTH","BITTER LAKE"
857822,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","09/11/2024 03:29:47 PM","2024-09-11","03:29:47","12540 N PARK AVE N, SEATTLE, WA 98133",47.72078665,-122.34898224,"POINT (-122.34898224 47.72078665)","98133","NORTH","BITTER LAKE"
857835,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","09/11/2024 03:27:39 PM","2024-09-11","03:27:39","12504 N PARK AVE N, SEATTLE, WA 98133",47.71974988,-122.34922404,"POINT (-122.34922404 47.71974988)","98133","NORTH","BITTER LAKE"
857919,"Lost a Pet","FAS-Finance and Administrative Services","09/11/2024 04:50:21 PM","2024-09-11","04:50:21","12546 FREMONT AVE N, SEATTLE, WA 98133",47.7208684,-122.35006788,"POINT (-122.35006788 47.7208684)","98133","NORTH","BITTER LAKE"
858042,"Unauthorized Encampment","SEA-City of Seattle","09/11/2024 06:57:13 PM","2024-09-11","06:57:13","12504 N PARK AVE N, SEATTLE, WA 98133",47.71974988,-122.34922404,"POINT (-122.34922404 47.71974988)","98133","NORTH","BITTER LAKE"
858043,"Unauthorized Encampment","SEA-City of Seattle","09/11/2024 06:55:15 PM","2024-09-11","06:55:15","12518 N PARK AVE N, SEATTLE, WA 98133",47.72017976,-122.34922462,"POINT (-122.34922462 47.72017976)","98133","NORTH","BITTER LAKE"
