"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
429015,"Pothole","SDOT-Seattle Department of Transportation","02/14/2023 12:50:07 PM","2023-02-14","12:50:07","2500 MAGNOLIA BLVD W, SEATTLE, WA 98199",47.64142593,-122.41277734,"POINT (-122.41277734 47.64142593)","98199","WEST","BRIARCLIFF"
429068,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","02/14/2023 01:27:41 PM","2023-02-14","01:27:41","1526 32ND AVE W, SEATTLE, WA 98199",47.63298956,-122.39872842,"POINT (-122.39872842 47.63298956)","98199","WEST","BRIARCLIFF"
429116,"Streetlight Maintenance","SCL-Seattle City Light","02/14/2023 02:30:53 PM","2023-02-14","02:30:53","2401 36TH AVE W, SEATTLE, WA 98199",47.63965661,-122.40401118,"POINT (-122.40401118 47.63965661)","98199","WEST","BRIARCLIFF"
429128,"Streetlight Maintenance","SCL-Seattle City Light","02/14/2023 02:28:52 PM","2023-02-14","02:28:52","2401 EYRES PL W, SEATTLE, WA 98199",47.6396824,-122.40506775,"POINT (-122.40506775 47.6396824)","98199","WEST","BRIARCLIFF"
429136,"Streetlight Maintenance","SCL-Seattle City Light","02/14/2023 12:36:02 PM","2023-02-14","12:36:02","4023 W RAYE ST, SEATTLE, WA 98199",47.64309922,-122.40939428,"POINT (-122.40939428 47.64309922)","98199","WEST","BRIARCLIFF"
429150,"Streetlight Maintenance","SCL-Seattle City Light","02/14/2023 02:30:55 PM","2023-02-14","02:30:55","2401 36TH AVE W, SEATTLE, WA 98199",47.63965661,-122.40401118,"POINT (-122.40401118 47.63965661)","98199","WEST","BRIARCLIFF"
429160,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","02/14/2023 03:25:06 PM","2023-02-14","03:25:06","4401 W RAYE ST, SEATTLE, WA 98199",47.64309774,-122.4142571,"POINT (-122.4142571 47.64309774)","98199","WEST","BRIARCLIFF"
429342,"Streetlight Maintenance","SCL-Seattle City Light","02/14/2023 06:46:52 PM","2023-02-14","06:46:52","2352 W VIEWMONT WAY W, SEATTLE, WA 98199",47.63971779,-122.4084872,"POINT (-122.4084872 47.63971779)","98199","WEST","BRIARCLIFF"
429686,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","02/15/2023 11:22:14 AM","2023-02-15","11:22:14","1558 32ND AVE W, SEATTLE, WA 98199",47.63324908,-122.39873399,"POINT (-122.39873399 47.63324908)","98199","WEST","BRIARCLIFF"
431023,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","02/17/2023 07:51:49 AM","2023-02-17","07:51:49","2659 34TH AVE W, SEATTLE, WA 98199",47.64485372,-122.40136019,"POINT (-122.40136019 47.64485372)","98199","WEST","BRIARCLIFF"
