"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
764312,"Overgrown Vegetation","FAS-Finance and Administrative Services","05/30/2024 09:00:49 AM","2024-05-30","09:00:49","4408 S KENYON ST, SEATTLE, WA 98118",47.53170716,-122.27793066,"POINT (-122.27793066 47.53170716)","98118","SOUTH","BRIGHTON"
764411,"Overgrown Vegetation","FAS-Finance and Administrative Services","05/30/2024 10:15:21 AM","2024-05-30","10:15:21","7628 RAINIER AVE S, SEATTLE, WA 98118",47.5339151,-122.26975038,"POINT (-122.26975038 47.5339151)","98118","SOUTH","BRIGHTON"
764425,"Overgrown Vegetation","FAS-Finance and Administrative Services","05/30/2024 10:19:29 AM","2024-05-30","10:19:29","7705 SEWARD PARK AVE S, SEATTLE, WA 98118",47.53374338,-122.26736536,"POINT (-122.26736536 47.53374338)","98118","SOUTH","BRIGHTON"
764445,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","05/30/2024 10:29:57 AM","2024-05-30","10:29:57","4818 S AUSTIN ST, SEATTLE, WA 98118",47.53489572,-122.27179355,"POINT (-122.27179355 47.53489572)","98118","SOUTH","BRIGHTON"
764479,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","05/30/2024 10:45:34 AM","2024-05-30","10:45:34","4420 S HOLLY ST, SEATTLE, WA 98118",47.54265342,-122.27708584,"POINT (-122.27708584 47.54265342)","98118","SOUTH","BRIGHTON"
764562,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","05/30/2024 11:31:58 AM","2024-05-30","11:31:58","4816 S KENYON ST, SEATTLE, WA 98118",47.53179411,-122.27186466,"POINT (-122.27186466 47.53179411)","98118","SOUTH","BRIGHTON"
764715,"Overgrown Vegetation","FAS-Finance and Administrative Services","05/30/2024 01:52:00 PM","2024-05-30","01:52:00","7611 46TH AVE S, SEATTLE, WA 98118",47.53425602,-122.27559943,"POINT (-122.27559943 47.53425602)","98118","SOUTH","BRIGHTON"
764887,"Parking Enforcement","SPD-Seattle Police Department","05/30/2024 05:23:37 PM","2024-05-30","05:23:37","4845 S KENYON ST, SEATTLE, WA 98118",47.53163352,-122.27050636,"POINT (-122.27050636 47.53163352)","98118","SOUTH","BRIGHTON"
764970,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","05/30/2024 06:22:03 PM","2024-05-30","06:22:03","7329 45TH AVE S, SEATTLE, WA 98118",47.53659953,-122.27698581,"POINT (-122.27698581 47.53659953)","98118","SOUTH","BRIGHTON"
764994,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","05/30/2024 07:15:31 PM","2024-05-30","07:15:31","4906 S WILLOW ST, SEATTLE, WA 98118",47.54084383,-122.27100414,"POINT (-122.27100414 47.54084383)","98118","SOUTH","BRIGHTON"
765288,"Graffiti","SPU-Seattle Public Utilities","05/31/2024 09:33:04 AM","2024-05-31","09:33:04","6302 MARTIN LUTHER KING JR WAY S, SEATTLE, WA 98118",47.54571405,-122.28504445,"POINT (-122.28504445 47.54571405)","98118","SOUTH","BRIGHTON"
765298,"Graffiti","SPU-Seattle Public Utilities","05/31/2024 09:32:02 AM","2024-05-31","09:32:02","6302 MARTIN LUTHER KING JR WAY S, SEATTLE, WA 98118",47.54571405,-122.28504445,"POINT (-122.28504445 47.54571405)","98118","SOUTH","BRIGHTON"
765619,"Clogged Storm Drain","SPU-Seattle Public Utilities","05/31/2024 02:52:26 PM","2024-05-31","02:52:26","3921 S GRAHAM ST, SEATTLE, WA 98118",47.54581099,-122.28232118,"POINT (-122.28232118 47.54581099)","98118","SOUTH","BRIGHTON"
765650,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","05/31/2024 03:19:24 PM","2024-05-31","03:19:24","6412 46TH AVE S, SEATTLE, WA 98118",47.5446916,-122.27512786,"POINT (-122.27512786 47.5446916)","98118","SOUTH","BRIGHTON"
765660,"Parking Enforcement","SPD-Seattle Police Department","05/31/2024 03:19:41 PM","2024-05-31","03:19:41","4845 S HOLDEN ST, SEATTLE, WA 98118",47.53354744,-122.27068766,"POINT (-122.27068766 47.53354744)","98118","SOUTH","BRIGHTON"
765670,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","05/31/2024 03:25:41 PM","2024-05-31","03:25:41","6724 42ND AVE S, SEATTLE, WA 98118",47.5416869,-122.28056497,"POINT (-122.28056497 47.5416869)","98118","SOUTH","BRIGHTON"
765677,"General Inquiry - Public Utilities","SPU-Seattle Public Utilities","05/31/2024 03:20:02 PM","2024-05-31","03:20:02","6412 46TH AVE S, SEATTLE, WA 98118",47.5446916,-122.27512786,"POINT (-122.27512786 47.5446916)","98118","SOUTH","BRIGHTON"
765814,"Pothole","SDOT-Seattle Department of Transportation","05/31/2024 05:55:50 PM","2024-05-31","05:55:50","6300 RAINIER AVE S, SEATTLE, WA 98118",47.54589652,-122.27507401,"POINT (-122.27507401 47.54589652)","98118","SOUTH","BRIGHTON"
765875,"Parking Enforcement","SPD-Seattle Police Department","05/31/2024 07:21:31 PM","2024-05-31","07:21:31","4633 S HOLDEN ST, SEATTLE, WA 98118",47.5334975,-122.27392345,"POINT (-122.27392345 47.5334975)","98118","SOUTH","BRIGHTON"
766219,"Unauthorized Encampment","SEA-City of Seattle","06/01/2024 12:05:10 PM","2024-06-01","12:05:10","7315 45TH AVE S, SEATTLE, WA 98118",47.53642949,-122.27735523,"POINT (-122.27735523 47.53642949)","98118","SOUTH","BRIGHTON"
766286,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","06/01/2024 02:02:03 PM","2024-06-01","02:02:03","7527 43RD AVE S, SEATTLE, WA 98118",47.53449167,-122.27938845,"POINT (-122.27938845 47.53449167)","98118","SOUTH","BRIGHTON"
766325,"Parking Enforcement","SPD-Seattle Police Department","06/01/2024 02:30:16 PM","2024-06-01","02:30:16","7030 42ND AVE S, SEATTLE, WA 98118",47.53921607,-122.28059227,"POINT (-122.28059227 47.53921607)","98118","SOUTH","BRIGHTON"
766453,"Dead Animal","FAS-Finance and Administrative Services","06/01/2024 05:29:42 PM","2024-06-01","05:29:42","7404 45TH AVE S, SEATTLE, WA 98118",47.53595966,-122.27641604,"POINT (-122.27641604 47.53595966)","98118","SOUTH","BRIGHTON"
766502,"Parking Enforcement","SPD-Seattle Police Department","06/01/2024 06:26:04 PM","2024-06-01","06:26:04","7030 42ND AVE S, SEATTLE, WA 98118",47.53921607,-122.28059227,"POINT (-122.28059227 47.53921607)","98118","SOUTH","BRIGHTON"
766555,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","06/01/2024 08:01:48 PM","2024-06-01","08:01:48","6718 44TH AVE S, SEATTLE, WA 98118",47.54187819,-122.2778834,"POINT (-122.2778834 47.54187819)","98118","SOUTH","BRIGHTON"
766588,"General Inquiry - Police Department","SPD-Seattle Police Department","06/01/2024 08:53:12 PM","2024-06-01","08:53:12","6522 44TH AVE S, SEATTLE, WA 98118",47.5435103,-122.27785871,"POINT (-122.27785871 47.5435103)","98118","SOUTH","BRIGHTON"
766673,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","06/02/2024 07:34:07 AM","2024-06-02","07:34:07","6754 MARTIN LUTHER KING JR WAY S, SEATTLE, WA 98118",47.54097682,-122.28273467,"POINT (-122.28273467 47.54097682)","98118","SOUTH","BRIGHTON"
766786,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","06/02/2024 11:15:46 AM","2024-06-02","11:15:46","7628 RAINIER AVE S, SEATTLE, WA 98118",47.5339151,-122.26975038,"POINT (-122.26975038 47.5339151)","98118","SOUTH","BRIGHTON"
767353,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","06/03/2024 08:55:30 AM","2024-06-03","08:55:30","4400 S WEBSTER ST, SEATTLE, WA 98118",47.53540069,-122.27777907,"POINT (-122.27777907 47.53540069)","98118","SOUTH","BRIGHTON"
767925,"General Inquiry - Public Utilities","SPU-Seattle Public Utilities","06/03/2024 02:34:05 PM","2024-06-03","02:34:05","4409 S WARSAW ST, SEATTLE, WA 98118",47.54316556,-122.27765579,"POINT (-122.27765579 47.54316556)","98118","SOUTH","BRIGHTON"
768057,"General Inquiry - City Light","SCL-Seattle City Light","06/03/2024 03:59:08 PM","2024-06-03","03:59:08","4409 S WARSAW ST, SEATTLE, WA 98118",47.54316556,-122.27765579,"POINT (-122.27765579 47.54316556)","98118","SOUTH","BRIGHTON"
768255,"Parking Enforcement","SPD-Seattle Police Department","06/03/2024 06:38:00 PM","2024-06-03","06:38:00","7546 43RD AVE S, SEATTLE, WA 98118",47.53391579,-122.27879088,"POINT (-122.27879088 47.53391579)","98118","SOUTH","BRIGHTON"
768341,"Overgrown Vegetation","FAS-Finance and Administrative Services","06/03/2024 08:33:47 PM","2024-06-03","08:33:47","4802 S HOLDEN ST, SEATTLE, WA 98118",47.53385922,-122.27239251,"POINT (-122.27239251 47.53385922)","98118","SOUTH","BRIGHTON"
768458,"Overgrown Vegetation","FAS-Finance and Administrative Services","06/04/2024 07:24:46 AM","2024-06-04","07:24:46","7628 RAINIER AVE S, SEATTLE, WA 98118",47.5339151,-122.26975038,"POINT (-122.26975038 47.5339151)","98118","SOUTH","BRIGHTON"
768510,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","06/04/2024 08:09:06 AM","2024-06-04","08:09:06","4815 S GARDEN ST, SEATTLE, WA 98118",47.53747701,-122.27194676,"POINT (-122.27194676 47.53747701)","98118","SOUTH","BRIGHTON"
