"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
682007,"Pothole","SDOT-Seattle Department of Transportation","02/06/2024 03:11:15 PM","2024-02-06","03:11:15","14285 SHERWOOD RD NW, SEATTLE, WA 98177",47.73353075,-122.3671767,"POINT (-122.3671767 47.73353075)","98177","NORTH","BROADVIEW"
682019,"Parking Enforcement","SPD-Seattle Police Department","02/06/2024 03:33:25 PM","2024-02-06","03:33:25","13827 GREENWOOD AVE N, SEATTLE, WA 98133",47.73037619,-122.35586636,"POINT (-122.35586636 47.73037619)","98133","NORTH","BROADVIEW"
682724,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","02/07/2024 02:30:22 PM","2024-02-07","02:30:22","11704 3RD AVE NW, SEATTLE, WA 98177",47.71433383,-122.36058954,"POINT (-122.36058954 47.71433383)","98177","NORTH","BROADVIEW"
682733,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","02/07/2024 02:33:27 PM","2024-02-07","02:33:27","11704 3RD AVE NW, SEATTLE, WA 98177",47.71433383,-122.36058954,"POINT (-122.36058954 47.71433383)","98177","NORTH","BROADVIEW"
682952,"Streetlight Maintenance","SCL-Seattle City Light","02/07/2024 07:43:13 PM","2024-02-07","07:43:13","151 N 137TH ST, SEATTLE, WA 98133",47.72859708,-122.35673303,"POINT (-122.35673303 47.72859708)","98133","NORTH","BROADVIEW"
683695,"Parking Enforcement","SPD-Seattle Police Department","02/08/2024 11:09:43 PM","2024-02-08","11:09:43","13114 PALATINE AVE N, SEATTLE, WA 98133",47.72451013,-122.35727409,"POINT (-122.35727409 47.72451013)","98133","NORTH","BROADVIEW"
683988,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","02/09/2024 11:59:41 AM","2024-02-09","11:59:41","12553 4TH AVE NW, SEATTLE, WA 98177",47.72115774,-122.36265492,"POINT (-122.36265492 47.72115774)","98177","NORTH","BROADVIEW"
684838,"Traffic Signal Maintenance","SDOT-Seattle Department of Transportation","02/11/2024 09:50:32 AM","2024-02-11","09:50:32","10501 GREENWOOD AVE N, SEATTLE, WA 98133",47.70529604,-122.3558423,"POINT (-122.3558423 47.70529604)","98133","NORTH","BROADVIEW"
684955,"Clogged Storm Drain","SPU-Seattle Public Utilities","02/11/2024 01:10:01 PM","2024-02-11","01:10:01","12052 4TH AVE NW, SEATTLE, WA 98177",47.71764904,-122.36190016,"POINT (-122.36190016 47.71764904)","98177","NORTH","BROADVIEW"
684956,"Clogged Storm Drain","SPU-Seattle Public Utilities","02/11/2024 01:13:59 PM","2024-02-11","01:13:59","12055 3RD AVE NW, SEATTLE, WA 98177",47.71766643,-122.36124377,"POINT (-122.36124377 47.71766643)","98177","NORTH","BROADVIEW"
