"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
530625,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","07/08/2023 11:11:09 AM","2023-07-08","11:11:09","6257 43RD AVE NE, SEATTLE, WA 98115",47.67560896,-122.28252099,"POINT (-122.28252099 47.67560896)","98115","NORTH","BRYANT"
532021,"Parking Enforcement","SPD-Seattle Police Department","07/10/2023 11:24:35 AM","2023-07-10","11:24:35","5536 35TH AVE NE, SEATTLE, WA 98105",47.66964289,-122.2898759,"POINT (-122.2898759 47.66964289)","98105","NORTH","BRYANT"
532520,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","07/10/2023 07:00:04 PM","2023-07-10","07:00:04","5005 40TH AVE NE, SEATTLE, WA 98105",47.6651157,-122.28498845,"POINT (-122.28498845 47.6651157)","98105","NORTH","BRYANT"
533044,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","07/11/2023 11:14:01 AM","2023-07-11","11:14:01","40TH AVE NE & SAND POINT WAY NE, SEATTLE, WA",47.66302717,-122.28477361,"POINT (-122.28477361 47.66302717)","","NORTH","BRYANT"
533202,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","07/11/2023 01:58:40 PM","2023-07-11","01:58:40","7000 35TH AVE NE, SEATTLE, WA 98115",47.67957988,-122.29007637,"POINT (-122.29007637 47.67957988)","98115","NORTH","BRYANT"
533710,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/12/2023 08:35:09 AM","2023-07-12","08:35:09","6232 39TH AVE NE, SEATTLE, WA 98115",47.67494112,-122.28556591,"POINT (-122.28556591 47.67494112)","98115","NORTH","BRYANT"
533743,"Parking Enforcement","SPD-Seattle Police Department","07/12/2023 09:13:27 AM","2023-07-12","09:13:27","5702 35TH AVE NE, SEATTLE, WA 98105",47.67045983,-122.28998833,"POINT (-122.28998833 47.67045983)","98105","NORTH","BRYANT"
533958,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","07/12/2023 12:33:00 PM","2023-07-12","12:33:00","6543 37TH AVE NE, SEATTLE, WA 98115",47.67701983,-122.28842974,"POINT (-122.28842974 47.67701983)","98115","NORTH","BRYANT"
534315,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/12/2023 05:21:08 PM","2023-07-12","05:21:08","5018 38TH AVE NE, SEATTLE, WA 98105",47.66547785,-122.28656171,"POINT (-122.28656171 47.66547785)","98105","NORTH","BRYANT"
534374,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/12/2023 06:19:36 PM","2023-07-12","06:19:36","3819 NE 73RD ST, SEATTLE, WA 98115",47.68109467,-122.28641823,"POINT (-122.28641823 47.68109467)","98115","NORTH","BRYANT"
534704,"Dead Animal","FAS-Finance and Administrative Services","07/13/2023 08:34:05 AM","2023-07-13","08:34:05","5237 40TH AVE NE, SEATTLE, WA 98105",47.66782187,-122.28510184,"POINT (-122.28510184 47.66782187)","98105","NORTH","BRYANT"
534728,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/13/2023 08:40:14 AM","2023-07-13","08:40:14","4531 36TH AVE NE, SEATTLE, WA 98105",47.66233856,-122.28945788,"POINT (-122.28945788 47.66233856)","98105","NORTH","BRYANT"
535100,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/13/2023 01:26:18 PM","2023-07-13","01:26:18","5115 39TH AVE NE, SEATTLE, WA 98105",47.66634185,-122.28621319,"POINT (-122.28621319 47.66634185)","98105","NORTH","BRYANT"
535398,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","07/13/2023 08:37:37 PM","2023-07-13","08:37:37","5075 MITHUN PL NE, SEATTLE, WA 98105",47.66631348,-122.28208477,"POINT (-122.28208477 47.66631348)","98105","NORTH","BRYANT"
535399,"Dead Animal","FAS-Finance and Administrative Services","07/13/2023 08:53:44 PM","2023-07-13","08:53:44","5231 40TH AVE NE, SEATTLE, WA 98105",47.66766008,-122.28507918,"POINT (-122.28507918 47.66766008)","98105","NORTH","BRYANT"
535777,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","07/14/2023 11:10:16 AM","2023-07-14","11:10:16","3536 NE 70TH ST, SEATTLE, WA 98115",47.67955432,-122.28959917,"POINT (-122.28959917 47.67955432)","98115","NORTH","BRYANT"
535856,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","07/14/2023 12:22:51 PM","2023-07-14","12:22:51","3536 NE 70TH ST, SEATTLE, WA 98115",47.67955432,-122.28959917,"POINT (-122.28959917 47.67955432)","98115","NORTH","BRYANT"
535968,"Damaged Sidewalk","SDOT-Seattle Department of Transportation","07/14/2023 02:31:43 PM","2023-07-14","02:31:43","3536 NE 70TH ST, SEATTLE, WA 98115",47.67955432,-122.28959917,"POINT (-122.28959917 47.67955432)","98115","NORTH","BRYANT"
536237,"Graffiti","SPU-Seattle Public Utilities","07/14/2023 08:46:38 PM","2023-07-14","08:46:38","5223 40TH AVE NE, SEATTLE, WA 98105",47.66747397,-122.28510788,"POINT (-122.28510788 47.66747397)","98105","NORTH","BRYANT"
536239,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","07/14/2023 08:50:38 PM","2023-07-14","08:50:38","4720 38TH AVE NE, SEATTLE, WA 98105",47.66270387,-122.28712948,"POINT (-122.28712948 47.66270387)","98105","NORTH","BRYANT"
536299,"Graffiti","SPU-Seattle Public Utilities","07/14/2023 08:52:41 PM","2023-07-14","08:52:41","4720 38TH AVE NE, SEATTLE, WA 98105",47.66270387,-122.28712948,"POINT (-122.28712948 47.66270387)","98105","NORTH","BRYANT"
536372,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","07/15/2023 08:32:00 AM","2023-07-15","08:32:00","5014 38TH AVE NE, SEATTLE, WA 98105",47.66536322,-122.28655613,"POINT (-122.28655613 47.66536322)","98105","NORTH","BRYANT"
536696,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","07/15/2023 06:56:46 PM","2023-07-15","06:56:46","5031 39TH AVE NE, SEATTLE, WA 98105",47.66580082,-122.2862958,"POINT (-122.2862958 47.66580082)","98105","NORTH","BRYANT"
536719,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","07/15/2023 07:12:52 PM","2023-07-15","07:12:52","6234 40TH AVE NE, SEATTLE, WA 98115",47.67503075,-122.28456307,"POINT (-122.28456307 47.67503075)","98115","NORTH","BRYANT"
536940,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/16/2023 10:37:57 AM","2023-07-16","10:37:57","3404 NE BLAKELEY ST, SEATTLE, WA 98105",47.66197018,-122.29096969,"POINT (-122.29096969 47.66197018)","98105","NORTH","BRYANT"
537949,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","07/17/2023 12:13:43 PM","2023-07-17","12:13:43","4706 35TH AVE NE, SEATTLE, WA 98105",47.66286247,-122.28985645,"POINT (-122.28985645 47.66286247)","98105","NORTH","BRYANT"
538419,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","07/17/2023 07:53:30 PM","2023-07-17","07:53:30","5757 40TH AVE NE, SEATTLE, WA 98105",47.67200612,-122.28510701,"POINT (-122.28510701 47.67200612)","98105","NORTH","BRYANT"
538778,"Internet/Cable Issue","ITD-Seattle Information Technology","07/18/2023 09:35:53 AM","2023-07-18","09:35:53","4837 38TH AVE NE, SEATTLE, WA 98105",47.66457456,-122.28721641,"POINT (-122.28721641 47.66457456)","98105","NORTH","BRYANT"
539023,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","07/18/2023 12:21:59 PM","2023-07-18","12:21:59","3624 NE 65TH ST, SEATTLE, WA 98115",47.67594925,-122.2878033,"POINT (-122.2878033 47.67594925)","98115","NORTH","BRYANT"
539299,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","07/18/2023 04:32:52 PM","2023-07-18","04:32:52","4008 NE 55TH ST, SEATTLE, WA 98105",47.66870578,-122.28425082,"POINT (-122.28425082 47.66870578)","98105","NORTH","BRYANT"
539355,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/18/2023 05:21:12 PM","2023-07-18","05:21:12","7307 38TH AVE NE, SEATTLE, WA 98115",47.68153506,-122.2880059,"POINT (-122.2880059 47.68153506)","98115","NORTH","BRYANT"
539832,"Parking Enforcement","SPD-Seattle Police Department","07/19/2023 10:27:02 AM","2023-07-19","10:27:02","5536 35TH AVE NE, SEATTLE, WA 98105",47.66964289,-122.2898759,"POINT (-122.2898759 47.66964289)","98105","NORTH","BRYANT"
540286,"Graffiti","SPU-Seattle Public Utilities","07/19/2023 06:02:32 PM","2023-07-19","06:02:32","5125 40TH AVE NE, SEATTLE, WA 98105",47.66682129,-122.28500889,"POINT (-122.28500889 47.66682129)","98105","NORTH","BRYANT"
540349,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","07/19/2023 06:12:34 PM","2023-07-19","06:12:34","4720 38TH AVE NE, SEATTLE, WA 98105",47.66270387,-122.28712948,"POINT (-122.28712948 47.66270387)","98105","NORTH","BRYANT"
540597,"Overgrown Vegetation","FAS-Finance and Administrative Services","07/20/2023 09:14:21 AM","2023-07-20","09:14:21","6857 40TH AVE NE, SEATTLE, WA 98115",47.67925,-122.28532807,"POINT (-122.28532807 47.67925)","98115","NORTH","BRYANT"
541090,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/20/2023 02:34:51 PM","2023-07-20","02:34:51","4768 35TH AVE NE, SEATTLE, WA 98105",47.66459391,-122.28990365,"POINT (-122.28990365 47.66459391)","98105","NORTH","BRYANT"
541906,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/21/2023 01:30:44 PM","2023-07-21","01:30:44","5056 36TH AVE NE, SEATTLE, WA 98105",47.66654782,-122.28878742,"POINT (-122.28878742 47.66654782)","98105","NORTH","BRYANT"
542728,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","07/22/2023 08:45:32 PM","2023-07-22","08:45:32","3416 NE BLAKELEY ST, SEATTLE, WA 98105",47.66184789,-122.29052136,"POINT (-122.29052136 47.66184789)","98105","NORTH","BRYANT"
542835,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","07/23/2023 09:11:10 AM","2023-07-23","09:11:10","5223 40TH AVE NE, SEATTLE, WA 98105",47.66747397,-122.28510788,"POINT (-122.28510788 47.66747397)","98105","NORTH","BRYANT"
542867,"Graffiti","SPU-Seattle Public Utilities","07/23/2023 08:49:00 AM","2023-07-23","08:49:00","5130 40TH AVE NE, SEATTLE, WA 98105",47.66703391,-122.28420963,"POINT (-122.28420963 47.66703391)","98105","NORTH","BRYANT"
543044,"General Inquiry - City Light","SCL-Seattle City Light","07/23/2023 02:23:35 PM","2023-07-23","02:23:35","3707 NE 74TH PL, SEATTLE, WA 98115",47.68224619,-122.28846003,"POINT (-122.28846003 47.68224619)","98115","NORTH","BRYANT"
543902,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","07/24/2023 03:58:37 PM","2023-07-24","03:58:37","3211 NE 45TH PL, SEATTLE, WA 98105",47.66157073,-122.29186918,"POINT (-122.29186918 47.66157073)","98105","NORTH","BRYANT"
544095,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/24/2023 09:04:57 PM","2023-07-24","09:04:57","4015 NE 58TH ST, SEATTLE, WA 98105",47.67100501,-122.28414702,"POINT (-122.28414702 47.67100501)","98105","NORTH","BRYANT"
544666,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","07/25/2023 02:11:13 PM","2023-07-25","02:11:13","5130 40TH AVE NE, SEATTLE, WA 98105",47.66703391,-122.28420963,"POINT (-122.28420963 47.66703391)","98105","NORTH","BRYANT"
544761,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","07/25/2023 04:01:45 PM","2023-07-25","04:01:45","3211 NE 45TH PL, SEATTLE, WA 98105",47.66157073,-122.29186918,"POINT (-122.29186918 47.66157073)","98105","NORTH","BRYANT"
544964,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","07/25/2023 08:55:49 PM","2023-07-25","08:55:49","5050 MITHUN PL NE, SEATTLE, WA 98105",47.66577012,-122.28240184,"POINT (-122.28240184 47.66577012)","98105","NORTH","BRYANT"
545111,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","07/26/2023 08:06:44 AM","2023-07-26","08:06:44","3211 NE 45TH PL, SEATTLE, WA 98105",47.66157073,-122.29186918,"POINT (-122.29186918 47.66157073)","98105","NORTH","BRYANT"
545171,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","07/26/2023 08:51:22 AM","2023-07-26","08:51:22","5050 MITHUN PL NE, SEATTLE, WA 98105",47.66577012,-122.28240184,"POINT (-122.28240184 47.66577012)","98105","NORTH","BRYANT"
545455,"Parking Enforcement","SPD-Seattle Police Department","07/26/2023 12:55:09 PM","2023-07-26","12:55:09","5249 40TH AVE NE, SEATTLE, WA 98105",47.66836763,-122.28505596,"POINT (-122.28505596 47.66836763)","98105","NORTH","BRYANT"
545481,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/26/2023 01:31:28 PM","2023-07-26","01:31:28","5705 45TH AVE NE, SEATTLE, WA 98105",47.67052692,-122.27974046,"POINT (-122.27974046 47.67052692)","98105","NORTH","BRYANT"
545505,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","07/26/2023 02:03:38 PM","2023-07-26","02:03:38","6223 41ST AVE NE, SEATTLE, WA 98115",47.67476656,-122.28379945,"POINT (-122.28379945 47.67476656)","98115","NORTH","BRYANT"
545908,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","07/26/2023 09:31:02 PM","2023-07-26","09:31:02","3812 NE 55TH ST, SEATTLE, WA 98105",47.66867445,-122.28620599,"POINT (-122.28620599 47.66867445)","98105","NORTH","BRYANT"
545959,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/27/2023 07:13:31 AM","2023-07-27","07:13:31","4768 35TH AVE NE, SEATTLE, WA 98105",47.66459391,-122.28990365,"POINT (-122.28990365 47.66459391)","98105","NORTH","BRYANT"
546358,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","07/27/2023 01:09:17 PM","2023-07-27","01:09:17","SAND POINT WAY NE & 40TH AVE NE, SEATTLE, WA",47.66302717,-122.28477361,"POINT (-122.28477361 47.66302717)","","NORTH","BRYANT"
546370,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","07/27/2023 01:10:14 PM","2023-07-27","01:10:14","SAND POINT WAY NE & 40TH AVE NE, SEATTLE, WA",47.66302717,-122.28477361,"POINT (-122.28477361 47.66302717)","","NORTH","BRYANT"
546386,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/27/2023 01:34:24 PM","2023-07-27","01:34:24","5105 39TH AVE NE, SEATTLE, WA 98105",47.66612607,-122.28623213,"POINT (-122.28623213 47.66612607)","98105","NORTH","BRYANT"
546577,"Parking Enforcement","SPD-Seattle Police Department","07/27/2023 04:01:38 PM","2023-07-27","04:01:38","5556 35TH AVE NE, SEATTLE, WA 98105",47.67017718,-122.28985958,"POINT (-122.28985958 47.67017718)","98105","NORTH","BRYANT"
546608,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","07/27/2023 04:39:13 PM","2023-07-27","04:39:13","5050 MITHUN PL NE, SEATTLE, WA 98105",47.66577012,-122.28240184,"POINT (-122.28240184 47.66577012)","98105","NORTH","BRYANT"
546890,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","07/28/2023 07:56:46 AM","2023-07-28","07:56:46","4873 TERRACE DR NE, SEATTLE, WA 98105",47.66437242,-122.28520488,"POINT (-122.28520488 47.66437242)","98105","NORTH","BRYANT"
547262,"Parking Enforcement","SPD-Seattle Police Department","07/28/2023 01:21:14 PM","2023-07-28","01:21:14","5629 40TH AVE NE, SEATTLE, WA 98105",47.6701673,-122.28507157,"POINT (-122.28507157 47.6701673)","98105","NORTH","BRYANT"
