"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
764135,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","05/29/2024 09:30:33 PM","2024-05-29","09:30:33","12714 33RD AVE NE, SEATTLE, WA 98125",47.72162084,-122.29184876,"POINT (-122.29184876 47.72162084)","98125","NORTH","CEDAR PARK"
764201,"Parking Enforcement","SPD-Seattle Police Department","05/30/2024 07:05:54 AM","2024-05-30","07:05:54","14050 LAKE CITY WAY NE, SEATTLE, WA 98125",47.73159606,-122.29196049,"POINT (-122.29196049 47.73159606)","98125","NORTH","CEDAR PARK"
764205,"Parking Enforcement","SPD-Seattle Police Department","05/30/2024 07:06:55 AM","2024-05-30","07:06:55","14050 LAKE CITY WAY NE, SEATTLE, WA 98125",47.73159606,-122.29196049,"POINT (-122.29196049 47.73159606)","98125","NORTH","CEDAR PARK"
764718,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","05/30/2024 01:46:57 PM","2024-05-30","01:46:57","12718 35TH AVE NE, SEATTLE, WA 98125",47.72175569,-122.29049871,"POINT (-122.29049871 47.72175569)","98125","NORTH","CEDAR PARK"
764758,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","05/30/2024 02:44:26 PM","2024-05-30","02:44:26","3110 NE 125TH ST, SEATTLE, WA 98125",47.71945131,-122.29435972,"POINT (-122.29435972 47.71945131)","98125","NORTH","CEDAR PARK"
764922,"Unauthorized Encampment","SEA-City of Seattle","05/30/2024 05:49:50 PM","2024-05-30","05:49:50","12048 32ND AVE NE, SEATTLE, WA 98125",47.71714023,-122.29358375,"POINT (-122.29358375 47.71714023)","98125","NORTH","CEDAR PARK"
765395,"Parking Enforcement","SPD-Seattle Police Department","05/31/2024 10:57:41 AM","2024-05-31","10:57:41","12048 32ND AVE NE WILLOWS APT, SEATTLE, WA 98125",47.71714023,-122.29358375,"POINT (-122.29358375 47.71714023)","98125","NORTH","CEDAR PARK"
765461,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","05/31/2024 12:08:15 PM","2024-05-31","12:08:15","12739 39TH AVE NE, SEATTLE, WA 98125",47.72243142,-122.28661813,"POINT (-122.28661813 47.72243142)","98125","NORTH","CEDAR PARK"
765955,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","05/31/2024 09:50:39 PM","2024-05-31","09:50:39","12048 32ND AVE NE, SEATTLE, WA 98125",47.71714023,-122.29358375,"POINT (-122.29358375 47.71714023)","98125","NORTH","CEDAR PARK"
766137,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","06/01/2024 10:57:39 AM","2024-06-01","10:57:39","12040 31ST AVE NE, SEATTLE, WA 98125",47.71677629,-122.29499753,"POINT (-122.29499753 47.71677629)","98125","NORTH","CEDAR PARK"
