"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
931445,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","12/10/2024 01:41:51 PM","2024-12-10","01:41:51","5802 RENTON AVE S, SEATTLE, WA 98118",47.55032306,-122.28454091,"POINT (-122.28454091 47.55032306)","98118","SOUTH","COLUMBIA CITY"
931464,"Unauthorized Encampment","SEA-City of Seattle","12/10/2024 02:03:17 PM","2024-12-10","02:03:17","5960 MARTIN LUTHER KING JR WAY S, SEATTLE, WA 98118",47.5479145,-122.28546189,"POINT (-122.28546189 47.5479145)","98118","SOUTH","COLUMBIA CITY"
931570,"Unauthorized Encampment","SEA-City of Seattle","12/10/2024 03:40:46 PM","2024-12-10","03:40:46","3623 27TH AVE S, SEATTLE, WA 98144",47.57082827,-122.29805607,"POINT (-122.29805607 47.57082827)","98144","SOUTH","COLUMBIA CITY"
931587,"Unauthorized Encampment","SEA-City of Seattle","12/10/2024 03:44:49 PM","2024-12-10","03:44:49","2701 S WALDEN ST, SEATTLE, WA 98144",47.57154904,-122.29751325,"POINT (-122.29751325 47.57154904)","98144","SOUTH","COLUMBIA CITY"
931609,"Unauthorized Encampment","SEA-City of Seattle","12/10/2024 03:56:57 PM","2024-12-10","03:56:57","3515 ANTHONY PL S, SEATTLE, WA 98144",47.5713725,-122.29827172,"POINT (-122.29827172 47.5713725)","98144","SOUTH","COLUMBIA CITY"
931634,"Parking Enforcement","SPD-Seattle Police Department","12/10/2024 04:42:39 PM","2024-12-10","04:42:39","4340 28TH AVE S, SEATTLE, WA 98108",47.56351986,-122.29815405,"POINT (-122.29815405 47.56351986)","98108","SOUTH","COLUMBIA CITY"
931876,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","12/11/2024 07:47:45 AM","2024-12-11","07:47:45","2701 S WALDEN ST, SEATTLE, WA 98144",47.57154904,-122.29751325,"POINT (-122.29751325 47.57154904)","98144","SOUTH","COLUMBIA CITY"
931911,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","12/11/2024 08:17:30 AM","2024-12-11","08:17:30","3623 27TH AVE S, SEATTLE, WA 98144",47.57082827,-122.29805607,"POINT (-122.29805607 47.57082827)","98144","SOUTH","COLUMBIA CITY"
931928,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","12/11/2024 08:14:21 AM","2024-12-11","08:14:21","6211 RAINIER AVE S, SEATTLE, WA 98118",47.54646839,-122.2768444,"POINT (-122.2768444 47.54646839)","98118","SOUTH","COLUMBIA CITY"
931936,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","12/11/2024 08:16:26 AM","2024-12-11","08:16:26","3515 ANTHONY PL S, SEATTLE, WA 98144",47.5713725,-122.29827172,"POINT (-122.29827172 47.5713725)","98144","SOUTH","COLUMBIA CITY"
