"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
724964,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/08/2024 10:08:16 AM","2024-04-08","10:08:16","8710 MARY AVE NW, SEATTLE, WA 98117",47.69266933,-122.37509369,"POINT (-122.37509369 47.69266933)","98117","NORTH","CROWN HILL"
724973,"Unauthorized Encampment","SEA-City of Seattle","04/08/2024 10:28:16 AM","2024-04-08","10:28:16","9621 8TH AVE NW, SEATTLE, WA 98117",47.69987171,-122.36622724,"POINT (-122.36622724 47.69987171)","98117","NORTH","CROWN HILL"
725075,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/08/2024 12:12:27 PM","2024-04-08","12:12:27","8702 MARY AVE NW, SEATTLE, WA 98117",47.69248207,-122.37525389,"POINT (-122.37525389 47.69248207)","98117","NORTH","CROWN HILL"
725215,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/08/2024 02:49:15 PM","2024-04-08","02:49:15","8710 MARY AVE NW, SEATTLE, WA 98117",47.69266933,-122.37509369,"POINT (-122.37509369 47.69266933)","98117","NORTH","CROWN HILL"
725745,"Unauthorized Encampment","SEA-City of Seattle","04/09/2024 11:13:32 AM","2024-04-09","11:13:32","9200 HOLMAN RD NW, SEATTLE, WA 98117",47.69625386,-122.37213919,"POINT (-122.37213919 47.69625386)","98117","NORTH","CROWN HILL"
725772,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/09/2024 11:17:34 AM","2024-04-09","11:17:34","8501 14TH AVE NW, SEATTLE, WA 98117",47.69073746,-122.37434104,"POINT (-122.37434104 47.69073746)","98117","NORTH","CROWN HILL"
726816,"Pothole","SDOT-Seattle Department of Transportation","04/10/2024 06:21:49 PM","2024-04-10","06:21:49","1223 NW 95TH ST, SEATTLE, WA 98117",47.69771268,-122.37246548,"POINT (-122.37246548 47.69771268)","98117","NORTH","CROWN HILL"
726832,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/10/2024 06:45:56 PM","2024-04-10","06:45:56","1314 NW 85TH ST, SEATTLE, WA 98117",47.69068262,-122.37355599,"POINT (-122.37355599 47.69068262)","98117","NORTH","CROWN HILL"
726916,"General Inquiry - City Light","SCL-Seattle City Light","04/11/2024 12:18:28 AM","2024-04-11","12:18:28","8501 12TH AVE NW, SEATTLE, WA 98117",47.69089762,-122.3717525,"POINT (-122.3717525 47.69089762)","98117","NORTH","CROWN HILL"
726997,"Unauthorized Encampment","SEA-City of Seattle","04/11/2024 08:22:15 AM","2024-04-11","08:22:15","9191 HOLMAN RD NW, SEATTLE, WA 98117",47.69622681,-122.37270649,"POINT (-122.37270649 47.69622681)","98117","NORTH","CROWN HILL"
727369,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/11/2024 02:07:49 PM","2024-04-11","02:07:49","8756 14TH AVE NW, SEATTLE, WA 98117",47.69413288,-122.37385443,"POINT (-122.37385443 47.69413288)","98117","NORTH","CROWN HILL"
727463,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","04/11/2024 03:30:25 PM","2024-04-11","03:30:25","8523 15TH AVE NW, SEATTLE, WA 98117",47.6912895,-122.37712313,"POINT (-122.37712313 47.6912895)","98117","NORTH","CROWN HILL"
727528,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","04/11/2024 04:38:58 PM","2024-04-11","04:38:58","8716 20TH AVE NW, SEATTLE, WA 98117",47.69300302,-122.38186948,"POINT (-122.38186948 47.69300302)","98117","NORTH","CROWN HILL"
728350,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/12/2024 07:36:15 PM","2024-04-12","07:36:15","856 NW 85TH ST, SEATTLE, WA 98117",47.69085655,-122.36772026,"POINT (-122.36772026 47.69085655)","98117","NORTH","CROWN HILL"
728627,"Overgrown Vegetation","FAS-Finance and Administrative Services","04/13/2024 12:35:03 PM","2024-04-13","12:35:03","1109 NW 95TH ST, SEATTLE, WA 98117",47.69773633,-122.37062328,"POINT (-122.37062328 47.69773633)","98117","NORTH","CROWN HILL"
728993,"Clogged Storm Drain","SPU-Seattle Public Utilities","04/14/2024 10:58:14 AM","2024-04-14","10:58:14","8738 13TH AVE NW, SEATTLE, WA 98117",47.69343796,-122.37253138,"POINT (-122.37253138 47.69343796)","98117","NORTH","CROWN HILL"
729005,"Unauthorized Encampment","SEA-City of Seattle","04/14/2024 11:12:21 AM","2024-04-14","11:12:21","8714 MARY AVE NW, SEATTLE, WA 98117",47.69284434,-122.37520384,"POINT (-122.37520384 47.69284434)","98117","NORTH","CROWN HILL"
729092,"Unauthorized Encampment","SEA-City of Seattle","04/14/2024 01:18:18 PM","2024-04-14","01:18:18","9191 HOLMAN RD NW, SEATTLE, WA 98117",47.69622681,-122.37270649,"POINT (-122.37270649 47.69622681)","98117","NORTH","CROWN HILL"
729127,"Unauthorized Encampment","SEA-City of Seattle","04/14/2024 02:34:55 PM","2024-04-14","02:34:55","8714 MARY AVE NW, SEATTLE, WA 98117",47.69284434,-122.37520384,"POINT (-122.37520384 47.69284434)","98117","NORTH","CROWN HILL"
729184,"Unauthorized Encampment","SEA-City of Seattle","04/14/2024 04:00:35 PM","2024-04-14","04:00:35","8714 MARY AVE NW, SEATTLE, WA 98117",47.69284434,-122.37520384,"POINT (-122.37520384 47.69284434)","98117","NORTH","CROWN HILL"
729201,"Parking Enforcement","SPD-Seattle Police Department","04/14/2024 04:47:54 PM","2024-04-14","04:47:54","8511 8TH AVE NW, SEATTLE, WA 98117",47.69105858,-122.36640874,"POINT (-122.36640874 47.69105858)","98117","NORTH","CROWN HILL"
729234,"Lost a Pet","FAS-Finance and Administrative Services","04/14/2024 05:43:20 PM","2024-04-14","05:43:20","9000 HOLMAN RD NW CHEVRON, SEATTLE, WA 98117",47.69442125,-122.37511781,"POINT (-122.37511781 47.69442125)","98117","NORTH","CROWN HILL"
729414,"Pothole","SDOT-Seattle Department of Transportation","04/15/2024 07:42:57 AM","2024-04-15","07:42:57","8523 15TH AVE NW, SEATTLE, WA 98117",47.6912895,-122.37712313,"POINT (-122.37712313 47.6912895)","98117","NORTH","CROWN HILL"
730065,"Unauthorized Encampment","SEA-City of Seattle","04/15/2024 03:47:41 PM","2024-04-15","03:47:41","9191 HOLMAN RD NW, SEATTLE, WA 98117",47.69622681,-122.37270649,"POINT (-122.37270649 47.69622681)","98117","NORTH","CROWN HILL"
730182,"Unauthorized Encampment","SEA-City of Seattle","04/15/2024 06:10:44 PM","2024-04-15","06:10:44","8591 MARY AVE NW, SEATTLE, WA 98117",47.69222746,-122.37566556,"POINT (-122.37566556 47.69222746)","98117","NORTH","CROWN HILL"
730245,"Unauthorized Encampment","SEA-City of Seattle","04/15/2024 07:38:28 PM","2024-04-15","07:38:28","8714 MARY AVE NW, SEATTLE, WA 98117",47.69284434,-122.37520384,"POINT (-122.37520384 47.69284434)","98117","NORTH","CROWN HILL"
730622,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/16/2024 11:05:27 AM","2024-04-16","11:05:27","8805 8TH AVE NW, SEATTLE, WA 98117",47.69304325,-122.36630678,"POINT (-122.36630678 47.69304325)","98117","NORTH","CROWN HILL"
730861,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/16/2024 03:13:20 PM","2024-04-16","03:13:20","1501 NW 90TH ST, SEATTLE, WA 98117",47.69452934,-122.37697336,"POINT (-122.37697336 47.69452934)","98117","NORTH","CROWN HILL"
731614,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/17/2024 11:12:31 AM","2024-04-17","11:12:31","8501 14TH AVE NW, SEATTLE, WA 98117",47.69073746,-122.37434104,"POINT (-122.37434104 47.69073746)","98117","NORTH","CROWN HILL"
731765,"General Inquiry - Public Utilities","SPU-Seattle Public Utilities","04/17/2024 02:10:39 PM","2024-04-17","02:10:39","9611 MARY AVE NW, SEATTLE, WA 98117",47.69942872,-122.37575236,"POINT (-122.37575236 47.69942872)","98117","NORTH","CROWN HILL"
732299,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","04/18/2024 09:25:08 AM","2024-04-18","09:25:08","1524 NW 87TH ST, SEATTLE, WA 98117",47.69259386,-122.37774537,"POINT (-122.37774537 47.69259386)","98117","NORTH","CROWN HILL"
732670,"Unauthorized Encampment","SEA-City of Seattle","04/18/2024 03:48:05 PM","2024-04-18","03:48:05","8714 MARY AVE NW, SEATTLE, WA 98117",47.69284434,-122.37520384,"POINT (-122.37520384 47.69284434)","98117","NORTH","CROWN HILL"
733175,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/19/2024 10:43:42 AM","2024-04-19","10:43:42","1817 NW 89TH ST, SEATTLE, WA 98117",47.69387305,-122.38084337,"POINT (-122.38084337 47.69387305)","98117","NORTH","CROWN HILL"
733423,"Unauthorized Encampment","SEA-City of Seattle","04/19/2024 03:47:01 PM","2024-04-19","03:47:01","9191 HOLMAN RD NW, SEATTLE, WA 98117",47.69622681,-122.37270649,"POINT (-122.37270649 47.69622681)","98117","NORTH","CROWN HILL"
733586,"Unauthorized Encampment","SEA-City of Seattle","04/19/2024 07:36:46 PM","2024-04-19","07:36:46","8714 MARY AVE NW, SEATTLE, WA 98117",47.69284434,-122.37520384,"POINT (-122.37520384 47.69284434)","98117","NORTH","CROWN HILL"
733599,"Unauthorized Encampment","SEA-City of Seattle","04/19/2024 07:18:38 PM","2024-04-19","07:18:38","8714 MARY AVE NW, SEATTLE, WA 98117",47.69284434,-122.37520384,"POINT (-122.37520384 47.69284434)","98117","NORTH","CROWN HILL"
733601,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","04/19/2024 08:05:01 PM","2024-04-19","08:05:01","8738 13TH AVE NW, SEATTLE, WA 98117",47.69343796,-122.37253138,"POINT (-122.37253138 47.69343796)","98117","NORTH","CROWN HILL"
733663,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/20/2024 07:43:18 AM","2024-04-20","07:43:18","855 NW 92ND ST, SEATTLE, WA 98117",47.69587277,-122.3677611,"POINT (-122.3677611 47.69587277)","98117","NORTH","CROWN HILL"
733684,"General Inquiry - Animal Shelter","FAS-Finance and Administrative Services","04/20/2024 08:44:48 AM","2024-04-20","08:44:48","10220 9TH AVE NW, SEATTLE, WA 98177",47.70286551,-122.36862163,"POINT (-122.36862163 47.70286551)","98177","NORTH","CROWN HILL"
733920,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/20/2024 01:47:07 PM","2024-04-20","01:47:07","8815 8TH AVE NW, SEATTLE, WA 98117",47.69337365,-122.36656906,"POINT (-122.36656906 47.69337365)","98117","NORTH","CROWN HILL"
