"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
825371,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","08/07/2024 11:02:08 AM","2024-08-07","11:02:08","50TH AVE S & S HENDERSON ST, SEATTLE, WA",47.52330888,-122.27140118,"POINT (-122.27140118 47.52330888)","","SOUTH","DUNLAP"
825391,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","08/07/2024 11:13:06 AM","2024-08-07","11:13:06","8612 WABASH AVE S, SEATTLE, WA 98118",47.52666236,-122.26579853,"POINT (-122.26579853 47.52666236)","98118","SOUTH","DUNLAP"
825433,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","08/07/2024 11:58:29 AM","2024-08-07","11:58:29","9266 50TH AVE S, SEATTLE, WA 98118",47.51985627,-122.27089508,"POINT (-122.27089508 47.51985627)","98118","SOUTH","DUNLAP"
825562,"Graffiti","SPU-Seattle Public Utilities","08/07/2024 02:28:23 PM","2024-08-07","02:28:23","8402 55TH AVE S, SEATTLE, WA 98118",47.52841862,-122.26340312,"POINT (-122.26340312 47.52841862)","98118","SOUTH","DUNLAP"
825910,"Parking Enforcement","SPD-Seattle Police Department","08/07/2024 07:48:49 PM","2024-08-07","07:48:49","7900 50TH AVE S, SEATTLE, WA 98118",47.53142951,-122.27062726,"POINT (-122.27062726 47.53142951)","98118","SOUTH","DUNLAP"
826014,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","08/08/2024 12:32:57 AM","2024-08-08","12:32:57","5112 S DIRECTOR ST, SEATTLE, WA 98118",47.52208069,-122.26926196,"POINT (-122.26926196 47.52208069)","98118","SOUTH","DUNLAP"
826026,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","08/08/2024 12:37:58 AM","2024-08-08","12:37:58","4603 S HENDERSON ST, SEATTLE, WA 98118",47.52309786,-122.27406971,"POINT (-122.27406971 47.52309786)","98118","SOUTH","DUNLAP"
826102,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","08/08/2024 07:37:28 AM","2024-08-08","07:37:28","8638 55TH AVE S, SEATTLE, WA 98118",47.52562137,-122.26355484,"POINT (-122.26355484 47.52562137)","98118","SOUTH","DUNLAP"
826388,"Unauthorized Encampment","SEA-City of Seattle","08/08/2024 10:30:58 AM","2024-08-08","10:30:58","8300 WABASH AVE S, SEATTLE, WA 98118",47.52937959,-122.26947817,"POINT (-122.26947817 47.52937959)","98118","SOUTH","DUNLAP"
826420,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","08/08/2024 10:47:21 AM","2024-08-08","10:47:21","8402 55TH AVE S, SEATTLE, WA 98118",47.52841862,-122.26340312,"POINT (-122.26340312 47.52841862)","98118","SOUTH","DUNLAP"
826559,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","08/08/2024 12:12:34 PM","2024-08-08","12:12:34","4454 S TRENTON ST, SEATTLE, WA 98118",47.52440189,-122.27613304,"POINT (-122.27613304 47.52440189)","98118","SOUTH","DUNLAP"
826624,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","08/08/2024 01:42:58 PM","2024-08-08","01:42:58","7906 WOLCOTT AVE S, SEATTLE, WA 98118",47.53135089,-122.26854346,"POINT (-122.26854346 47.53135089)","98118","SOUTH","DUNLAP"
826692,"Parking Enforcement","SPD-Seattle Police Department","08/08/2024 02:51:31 PM","2024-08-08","02:51:31","4422 S SHELL ST, SEATTLE, WA 98118",47.52056707,-122.27704277,"POINT (-122.27704277 47.52056707)","98118","SOUTH","DUNLAP"
826705,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","08/08/2024 02:47:27 PM","2024-08-08","02:47:27","4422 S SHELL ST, SEATTLE, WA 98118",47.52056707,-122.27704277,"POINT (-122.27704277 47.52056707)","98118","SOUTH","DUNLAP"
826879,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","08/08/2024 06:27:08 PM","2024-08-08","06:27:08","9510 RAINIER AVE S, SEATTLE, WA 98118",47.52053988,-122.2597504,"POINT (-122.2597504 47.52053988)","98118","SOUTH","DUNLAP"
