"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
731212,"Pothole","SDOT-Seattle Department of Transportation","04/16/2024 08:16:39 PM","2024-04-16","08:16:39","2601 EASTLAKE AVE E, SEATTLE, WA 98102",47.64336244,-122.32628761,"POINT (-122.32628761 47.64336244)","98102","WEST","EASTLAKE"
731283,"Damaged Sidewalk","SDOT-Seattle Department of Transportation","04/17/2024 05:51:02 AM","2024-04-17","05:51:02","2309 BOYLSTON AVE E, SEATTLE, WA 98102",47.64007158,-122.32381651,"POINT (-122.32381651 47.64007158)","98102","WEST","EASTLAKE"
731294,"Clogged Storm Drain","SPU-Seattle Public Utilities","04/17/2024 06:08:10 AM","2024-04-17","06:08:10","2309 BOYLSTON AVE E, SEATTLE, WA 98102",47.64007158,-122.32381651,"POINT (-122.32381651 47.64007158)","98102","WEST","EASTLAKE"
731481,"Parking Enforcement","SPD-Seattle Police Department","04/17/2024 10:16:05 AM","2024-04-17","10:16:05","2603 BOYLSTON AVE E, SEATTLE, WA 98102",47.64336549,-122.32375888,"POINT (-122.32375888 47.64336549)","98102","WEST","EASTLAKE"
731703,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","04/17/2024 01:30:20 PM","2024-04-17","01:30:20","EASTLAKE AVE E & E LYNN ST, SEATTLE, WA",47.63972702,-122.32589146,"POINT (-122.32589146 47.63972702)","","WEST","EASTLAKE"
731946,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","04/17/2024 04:44:05 PM","2024-04-17","04:44:05","2815 EASTLAKE AVE E, SEATTLE, WA 98102",47.64595533,-122.32627542,"POINT (-122.32627542 47.64595533)","98102","WEST","EASTLAKE"
731966,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","04/17/2024 04:48:03 PM","2024-04-17","04:48:03","2810 EASTLAKE AVE E, SEATTLE, WA 98102",47.64599692,-122.32521908,"POINT (-122.32521908 47.64599692)","98102","WEST","EASTLAKE"
731969,"Parking Enforcement","SPD-Seattle Police Department","04/17/2024 05:24:22 PM","2024-04-17","05:24:22","2026 FAIRVIEW AVE E, SEATTLE, WA 98102",47.63755406,-122.32910595,"POINT (-122.32910595 47.63755406)","98102","WEST","EASTLAKE"
732210,"Pothole","SDOT-Seattle Department of Transportation","04/18/2024 08:01:40 AM","2024-04-18","08:01:40","2323 FRANKLIN AVE E, SEATTLE, WA 98102",47.64046795,-122.32494109,"POINT (-122.32494109 47.64046795)","98102","WEST","EASTLAKE"
732230,"Pothole","SDOT-Seattle Department of Transportation","04/18/2024 08:29:46 AM","2024-04-18","08:29:46","2859 EASTLAKE AVE E, SEATTLE, WA 98102",47.64710092,-122.32500431,"POINT (-122.32500431 47.64710092)","98102","WEST","EASTLAKE"
732609,"Parking Enforcement","SPD-Seattle Police Department","04/18/2024 01:53:11 PM","2024-04-18","01:53:11","2919 FRANKLIN AVE E, SEATTLE, WA 98102",47.64761413,-122.32325511,"POINT (-122.32325511 47.64761413)","98102","WEST","EASTLAKE"
732631,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/18/2024 03:03:52 PM","2024-04-18","03:03:52","1932 FAIRVIEW AVE E, SEATTLE, WA 98102",47.63659157,-122.32861029,"POINT (-122.32861029 47.63659157)","98102","WEST","EASTLAKE"
732642,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","04/18/2024 03:13:00 PM","2024-04-18","03:13:00","2919 FRANKLIN AVE E, SEATTLE, WA 98102",47.64761413,-122.32325511,"POINT (-122.32325511 47.64761413)","98102","WEST","EASTLAKE"
733058,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","04/19/2024 09:33:12 AM","2024-04-19","09:33:12","3324 FUHRMAN AVE E, SEATTLE, WA 98102",47.65205663,-122.32228052,"POINT (-122.32228052 47.65205663)","98102","EAST","EASTLAKE"
733400,"Parking Enforcement","SPD-Seattle Police Department","04/19/2024 03:22:50 PM","2024-04-19","03:22:50","1932 FAIRVIEW AVE E, SEATTLE, WA 98102",47.63659157,-122.32861029,"POINT (-122.32861029 47.63659157)","98102","WEST","EASTLAKE"
733461,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/19/2024 04:38:58 PM","2024-04-19","04:38:58","1909 FRANKLIN AVE E, SEATTLE, WA 98102",47.63635879,-122.32505522,"POINT (-122.32505522 47.63635879)","98102","WEST","EASTLAKE"
734187,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/21/2024 09:25:03 AM","2024-04-21","09:25:03","1800 FRANKLIN AVE E, SEATTLE, WA 98102",47.63509999,-122.32399354,"POINT (-122.32399354 47.63509999)","98102","WEST","EASTLAKE"
734321,"Pothole","SDOT-Seattle Department of Transportation","04/21/2024 11:48:09 AM","2024-04-21","11:48:09","1910 FAIRVIEW AVE E, SEATTLE, WA 98102",47.63615804,-122.3271755,"POINT (-122.3271755 47.63615804)","98102","WEST","EASTLAKE"
734328,"Pothole","SDOT-Seattle Department of Transportation","04/21/2024 11:56:13 AM","2024-04-21","11:56:13","2900 FAIRVIEW AVE E, SEATTLE, WA 98102",47.64786803,-122.32536891,"POINT (-122.32536891 47.64786803)","98102","WEST","EASTLAKE"
734329,"Pothole","SDOT-Seattle Department of Transportation","04/21/2024 11:56:14 AM","2024-04-21","11:56:14","2900 FAIRVIEW AVE E, SEATTLE, WA 98102",47.64786803,-122.32536891,"POINT (-122.32536891 47.64786803)","98102","WEST","EASTLAKE"
734344,"Pothole","SDOT-Seattle Department of Transportation","04/21/2024 11:51:10 AM","2024-04-21","11:51:10","2251 FAIRVIEW AVE E, SEATTLE, WA 98102",47.63984952,-122.32974574,"POINT (-122.32974574 47.63984952)","98102","WEST","EASTLAKE"
734712,"Traffic Signal Maintenance","SDOT-Seattle Department of Transportation","04/22/2024 05:40:02 AM","2024-04-22","05:40:02","2523 EASTLAKE AVE E, SEATTLE, WA 98102",47.64296477,-122.32612878,"POINT (-122.32612878 47.64296477)","98102","WEST","EASTLAKE"
734725,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","04/22/2024 05:42:01 AM","2024-04-22","05:42:01","2810 EASTLAKE AVE E, SEATTLE, WA 98102",47.64599692,-122.32521908,"POINT (-122.32521908 47.64599692)","98102","WEST","EASTLAKE"
735458,"Parking Enforcement","SPD-Seattle Police Department","04/22/2024 04:52:06 PM","2024-04-22","04:52:06","2200 EASTLAKE AVE E, SEATTLE, WA 98102",47.63846196,-122.32559014,"POINT (-122.32559014 47.63846196)","98102","WEST","EASTLAKE"
735465,"Pothole","SDOT-Seattle Department of Transportation","04/22/2024 04:49:07 PM","2024-04-22","04:49:07","2043 EASTLAKE AVE E, SEATTLE, WA 98102",47.63808736,-122.32613181,"POINT (-122.32613181 47.63808736)","98102","WEST","EASTLAKE"
735696,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","04/23/2024 06:56:32 AM","2024-04-23","06:56:32","3100 FAIRVIEW AVE E, SEATTLE, WA 98102",47.64933854,-122.32395882,"POINT (-122.32395882 47.64933854)","98102","WEST","EASTLAKE"
735762,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","04/23/2024 08:24:19 AM","2024-04-23","08:24:19","2815 EASTLAKE AVE E, SEATTLE, WA 98102",47.64595533,-122.32627542,"POINT (-122.32627542 47.64595533)","98102","WEST","EASTLAKE"
735802,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/23/2024 08:48:25 AM","2024-04-23","08:48:25","1811 FRANKLIN AVE E, SEATTLE, WA 98102",47.63541243,-122.32436507,"POINT (-122.32436507 47.63541243)","98102","WEST","EASTLAKE"
735814,"Pothole","SDOT-Seattle Department of Transportation","04/23/2024 09:02:29 AM","2024-04-23","09:02:29","2315 BOYLSTON AVE E, SEATTLE, WA 98102",47.64019774,-122.32372965,"POINT (-122.32372965 47.64019774)","98102","WEST","EASTLAKE"
735995,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","04/23/2024 11:52:33 AM","2024-04-23","11:52:33","2319 FRANKLIN AVE E, SEATTLE, WA 98102",47.64032753,-122.32491627,"POINT (-122.32491627 47.64032753)","98102","WEST","EASTLAKE"
736083,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","04/23/2024 01:29:51 PM","2024-04-23","01:29:51","2523 EASTLAKE AVE E, SEATTLE, WA 98102",47.64296477,-122.32612878,"POINT (-122.32612878 47.64296477)","98102","WEST","EASTLAKE"
736192,"General Inquiry - Public Utilities","SPU-Seattle Public Utilities","04/23/2024 03:20:22 PM","2024-04-23","03:20:22","2000 FAIRVIEW AVE E, SEATTLE, WA 98102",47.63693115,-122.3288078,"POINT (-122.3288078 47.63693115)","98102","WEST","EASTLAKE"
736292,"General Inquiry - City Light","SCL-Seattle City Light","04/23/2024 03:57:08 PM","2024-04-23","03:57:08","2000 FAIRVIEW AVE E, SEATTLE, WA 98102",47.63693115,-122.3288078,"POINT (-122.3288078 47.63693115)","98102","WEST","EASTLAKE"
736326,"General Inquiry - Police Department","SPD-Seattle Police Department","04/23/2024 05:07:39 PM","2024-04-23","05:07:39","2810 EASTLAKE AVE E, SEATTLE, WA 98102",47.64599692,-122.32521908,"POINT (-122.32521908 47.64599692)","98102","WEST","EASTLAKE"
736375,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","04/23/2024 06:14:45 PM","2024-04-23","06:14:45","2007 EASTLAKE AVE E, SEATTLE, WA 98102",47.6371081,-122.32626786,"POINT (-122.32626786 47.6371081)","98102","WEST","EASTLAKE"
736524,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","04/24/2024 07:14:40 AM","2024-04-24","07:14:40","2518 EASTLAKE AVE E, SEATTLE, WA 98102",47.64243618,-122.32578207,"POINT (-122.32578207 47.64243618)","98102","WEST","EASTLAKE"
736616,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","04/24/2024 08:38:01 AM","2024-04-24","08:38:01","2007 EASTLAKE AVE E, SEATTLE, WA 98102",47.6371081,-122.32626786,"POINT (-122.32626786 47.6371081)","98102","WEST","EASTLAKE"
736934,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","04/24/2024 12:51:14 PM","2024-04-24","12:51:14","1811 FRANKLIN AVE E, SEATTLE, WA 98102",47.63541243,-122.32436507,"POINT (-122.32436507 47.63541243)","98102","WEST","EASTLAKE"
737001,"Graffiti","SPU-Seattle Public Utilities","04/24/2024 02:26:56 PM","2024-04-24","02:26:56","2590 BOYLSTON AVE E, SEATTLE, WA 98102",47.64299349,-122.32304254,"POINT (-122.32304254 47.64299349)","98102","WEST","EASTLAKE"
737331,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/25/2024 06:27:15 AM","2024-04-25","06:27:15","2530 EASTLAKE AVE E, SEATTLE, WA 98102",47.64294597,-122.32508928,"POINT (-122.32508928 47.64294597)","98102","WEST","EASTLAKE"
737428,"Parking Enforcement","SPD-Seattle Police Department","04/25/2024 08:49:22 AM","2024-04-25","08:49:22","2032 FAIRVIEW AVE E, SEATTLE, WA 98102",47.63774491,-122.32914831,"POINT (-122.32914831 47.63774491)","98102","WEST","EASTLAKE"
737462,"Parking Enforcement","SPD-Seattle Police Department","04/25/2024 09:12:32 AM","2024-04-25","09:12:32","2044 EASTLAKE AVE E, SEATTLE, WA 98102",47.63811844,-122.32557819,"POINT (-122.32557819 47.63811844)","98102","WEST","EASTLAKE"
737489,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/25/2024 10:02:55 AM","2024-04-25","10:02:55","1932 FAIRVIEW AVE E, SEATTLE, WA 98102",47.63659157,-122.32861029,"POINT (-122.32861029 47.63659157)","98102","WEST","EASTLAKE"
737494,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/25/2024 10:03:54 AM","2024-04-25","10:03:54","1932 FAIRVIEW AVE E, SEATTLE, WA 98102",47.63659157,-122.32861029,"POINT (-122.32861029 47.63659157)","98102","WEST","EASTLAKE"
737499,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/25/2024 10:04:59 AM","2024-04-25","10:04:59","1932 FAIRVIEW AVE E, SEATTLE, WA 98102",47.63659157,-122.32861029,"POINT (-122.32861029 47.63659157)","98102","WEST","EASTLAKE"
737545,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/25/2024 10:05:55 AM","2024-04-25","10:05:55","1932 FAIRVIEW AVE E, SEATTLE, WA 98102",47.63659157,-122.32861029,"POINT (-122.32861029 47.63659157)","98102","WEST","EASTLAKE"
737750,"Pothole","SDOT-Seattle Department of Transportation","04/25/2024 02:54:09 PM","2024-04-25","02:54:09","2617 BOYLSTON AVE E, SEATTLE, WA 98102",47.64373096,-122.32363785,"POINT (-122.32363785 47.64373096)","98102","WEST","EASTLAKE"
737989,"Streetlight Maintenance","SCL-Seattle City Light","04/26/2024 03:05:42 AM","2024-04-26","03:05:42","2200 EASTLAKE AVE E, SEATTLE, WA 98102",47.63846196,-122.32559014,"POINT (-122.32559014 47.63846196)","98102","WEST","EASTLAKE"
738042,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/26/2024 07:58:57 AM","2024-04-26","07:58:57","1 E ROANOKE ST, RENTON, WA 98031",47.64312614,-122.3288742,"POINT (-122.3288742 47.64312614)","98031","WEST","EASTLAKE"
738089,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/26/2024 08:56:22 AM","2024-04-26","08:56:22","2916 FAIRVIEW AVE E, SEATTLE, WA 98102",47.64813621,-122.32480477,"POINT (-122.32480477 47.64813621)","98102","WEST","EASTLAKE"
738110,"Pothole","SDOT-Seattle Department of Transportation","04/26/2024 09:11:31 AM","2024-04-26","09:11:31","2319 BOYLSTON AVE E, SEATTLE, WA 98102",47.64031115,-122.32372986,"POINT (-122.32372986 47.64031115)","98102","WEST","EASTLAKE"
738269,"Parking Enforcement","SPD-Seattle Police Department","04/26/2024 11:10:23 AM","2024-04-26","11:10:23","2358 FRANKLIN AVE E, SEATTLE, WA 98102",47.64141217,-122.32446152,"POINT (-122.32446152 47.64141217)","98102","WEST","EASTLAKE"
738705,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/26/2024 08:10:30 PM","2024-04-26","08:10:30","2378 FRANKLIN AVE E, SEATTLE, WA 98102",47.64192356,-122.32448124,"POINT (-122.32448124 47.64192356)","98102","WEST","EASTLAKE"
738736,"Unauthorized Encampment","SEA-City of Seattle","04/26/2024 09:03:55 PM","2024-04-26","09:03:55","2924 FRANKLIN AVE E, SEATTLE, WA 98102",47.64749113,-122.32297913,"POINT (-122.32297913 47.64749113)","98102","WEST","EASTLAKE"
738808,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","04/27/2024 09:14:11 AM","2024-04-27","09:14:11","E LYNN ST & FAIRVIEW AVE E, SEATTLE, WA",47.63972726,-122.32937912,"POINT (-122.32937912 47.63972726)","","WEST","EASTLAKE"
