"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
884256,"General Inquiry - City Light","SCL-Seattle City Light","10/11/2024 08:53:44 AM","2024-10-11","08:53:44","1100 QUEEN ANNE AVE N, SEATTLE, WA 98109",47.62885427,-122.35639038,"POINT (-122.35639038 47.62885427)","98109","WEST","EAST QUEEN ANNE"
884262,"Parking Enforcement","SPD-Seattle Police Department","10/11/2024 08:55:38 AM","2024-10-11","08:55:38","2216 AURORA AVE N, SEATTLE, WA 98109",47.63878014,-122.34499005,"POINT (-122.34499005 47.63878014)","98109","WEST","EAST QUEEN ANNE"
884275,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","10/11/2024 08:59:38 AM","2024-10-11","08:59:38","2560 DEXTER AVE N, SEATTLE, WA 98109",47.64387997,-122.34574525,"POINT (-122.34574525 47.64387997)","98109","WEST","EAST QUEEN ANNE"
884334,"Nuisance dogs in a park","FAS-Finance and Administrative Services","10/11/2024 09:58:10 AM","2024-10-11","09:58:10","160 HOWE ST, SEATTLE, WA 98109",47.63592736,-122.35357324,"POINT (-122.35357324 47.63592736)","98109","WEST","EAST QUEEN ANNE"
884350,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","10/11/2024 09:58:02 AM","2024-10-11","09:58:02","425 COMSTOCK PL, SEATTLE, WA 98109",47.63079788,-122.34910706,"POINT (-122.34910706 47.63079788)","98109","WEST","EAST QUEEN ANNE"
884447,"Nuisance dogs in a park","FAS-Finance and Administrative Services","10/11/2024 11:14:40 AM","2024-10-11","11:14:40","160 HOWE ST, SEATTLE, WA 98109",47.63592736,-122.35357324,"POINT (-122.35357324 47.63592736)","98109","WEST","EAST QUEEN ANNE"
884628,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","10/11/2024 01:27:41 PM","2024-10-11","01:27:41","531 HOWE ST, SEATTLE, WA 98109",47.63556431,-122.34627453,"POINT (-122.34627453 47.63556431)","98109","WEST","EAST QUEEN ANNE"
884632,"Parking Enforcement","SPD-Seattle Police Department","10/11/2024 01:35:44 PM","2024-10-11","01:35:44","1717 1ST AVE N, SEATTLE, WA 98109",47.63459528,-122.35591127,"POINT (-122.35591127 47.63459528)","98109","WEST","EAST QUEEN ANNE"
884773,"Parking Enforcement","SPD-Seattle Police Department","10/11/2024 03:56:49 PM","2024-10-11","03:56:49","1717 1ST AVE N, SEATTLE, WA 98109",47.63459528,-122.35591127,"POINT (-122.35591127 47.63459528)","98109","WEST","EAST QUEEN ANNE"
884781,"Unauthorized Encampment","SEA-City of Seattle","10/11/2024 03:48:51 PM","2024-10-11","03:48:51","2216 AURORA AVE N, SEATTLE, WA 98109",47.63878014,-122.34499005,"POINT (-122.34499005 47.63878014)","98109","WEST","EAST QUEEN ANNE"
884839,"Parking Enforcement","SPD-Seattle Police Department","10/11/2024 04:45:17 PM","2024-10-11","04:45:17","2480 BIRCH AVE N, SEATTLE, WA 98109",47.64173529,-122.34604677,"POINT (-122.34604677 47.64173529)","98109","WEST","EAST QUEEN ANNE"
884852,"Parking Enforcement","SPD-Seattle Police Department","10/11/2024 04:45:13 PM","2024-10-11","04:45:13","2458 BIRCH AVE N, SEATTLE, WA 98109",47.64137776,-122.34588187,"POINT (-122.34588187 47.64137776)","98109","WEST","EAST QUEEN ANNE"
