"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
702883,"Pothole","SDOT-Seattle Department of Transportation","03/09/2024 04:31:49 PM","2024-03-09","04:31:49","9025 35TH AVE SW, SEATTLE, WA 98126",47.52199941,-122.37710816,"POINT (-122.37710816 47.52199941)","98126","SOUTHWEST","FAUNTLEROY"
702918,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","03/09/2024 04:48:57 PM","2024-03-09","04:48:57","8817 35TH AVE SW, SEATTLE, WA 98126",47.52410491,-122.37702563,"POINT (-122.37702563 47.52410491)","98126","SOUTHWEST","FAUNTLEROY"
703052,"Unauthorized Encampment","SEA-City of Seattle","03/10/2024 09:51:51 AM","2024-03-10","09:51:51","7511 FAUNTLEROY WAY SW, SEATTLE, WA 98136",47.5356368,-122.39273411,"POINT (-122.39273411 47.5356368)","98136","SOUTHWEST","FAUNTLEROY"
703066,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","03/10/2024 10:13:02 AM","2024-03-10","10:13:02","7367 47TH AVE SW, SEATTLE, WA 98136",47.53650946,-122.39434178,"POINT (-122.39434178 47.53650946)","98136","SOUTHWEST","FAUNTLEROY"
703070,"Unauthorized Encampment","SEA-City of Seattle","03/10/2024 10:28:07 AM","2024-03-10","10:28:07","7491 47TH AVE SW, SEATTLE, WA 98136",47.53589696,-122.39272115,"POINT (-122.39272115 47.53589696)","98136","SOUTHWEST","FAUNTLEROY"
703130,"Graffiti","SPU-Seattle Public Utilities","03/10/2024 11:55:51 AM","2024-03-10","11:55:51","8617 FAUNTLEROY WAY SW, SEATTLE, WA 98136",47.52610504,-122.39307924,"POINT (-122.39307924 47.52610504)","98136","SOUTHWEST","FAUNTLEROY"
703177,"Unauthorized Encampment","SEA-City of Seattle","03/10/2024 01:04:21 PM","2024-03-10","01:04:21","8053 FAUNTLEROY WAY SW, SEATTLE, WA 98136",47.53010581,-122.39363871,"POINT (-122.39363871 47.53010581)","98136","SOUTHWEST","FAUNTLEROY"
703219,"Unauthorized Encampment","SEA-City of Seattle","03/10/2024 02:01:44 PM","2024-03-10","02:01:44","7521 FAUNTLEROY WAY SW, SEATTLE, WA 98136",47.53546719,-122.39276795,"POINT (-122.39276795 47.53546719)","98136","SOUTHWEST","FAUNTLEROY"
703815,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","03/11/2024 11:49:48 AM","2024-03-11","11:49:48","7506 FAUNTLEROY WAY SW, SEATTLE, WA 98136",47.53567577,-122.39217606,"POINT (-122.39217606 47.53567577)","98136","SOUTHWEST","FAUNTLEROY"
703966,"Graffiti","SPU-Seattle Public Utilities","03/11/2024 01:48:41 PM","2024-03-11","01:48:41","8054 FAUNTLEROY WAY SW, SEATTLE, WA 98136",47.52999614,-122.39235194,"POINT (-122.39235194 47.52999614)","98136","SOUTHWEST","FAUNTLEROY"
704027,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","03/11/2024 03:00:13 PM","2024-03-11","03:00:13","4501 SW DIRECTOR ST, SEATTLE, WA 98136",47.52269664,-122.39039702,"POINT (-122.39039702 47.52269664)","98136","SOUTHWEST","FAUNTLEROY"
704044,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","03/11/2024 03:13:18 PM","2024-03-11","03:13:18","8617 FAUNTLEROY WAY SW, SEATTLE, WA 98136",47.52610504,-122.39307924,"POINT (-122.39307924 47.52610504)","98136","SOUTHWEST","FAUNTLEROY"
704050,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","03/11/2024 03:15:25 PM","2024-03-11","03:15:25","3752 SW CLOVERDALE ST, SEATTLE, WA 98126",47.52636444,-122.38151861,"POINT (-122.38151861 47.52636444)","98126","SOUTHWEST","FAUNTLEROY"
704059,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","03/11/2024 03:24:32 PM","2024-03-11","03:24:32","3744 SW CLOVERDALE ST, SEATTLE, WA 98126",47.52631967,-122.38124855,"POINT (-122.38124855 47.52631967)","98126","SOUTHWEST","FAUNTLEROY"
704081,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","03/11/2024 03:38:03 PM","2024-03-11","03:38:03","7506 FAUNTLEROY WAY SW, SEATTLE, WA 98136",47.53567577,-122.39217606,"POINT (-122.39217606 47.53567577)","98136","SOUTHWEST","FAUNTLEROY"
704106,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","03/11/2024 04:05:45 PM","2024-03-11","04:05:45","9051 36TH AVE SW, SEATTLE, WA 98126",47.52131484,-122.37839994,"POINT (-122.37839994 47.52131484)","98126","SOUTHWEST","FAUNTLEROY"
704497,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","03/12/2024 09:59:56 AM","2024-03-12","09:59:56","8053 FAUNTLEROY WAY SW, SEATTLE, WA 98136",47.53010581,-122.39363871,"POINT (-122.39363871 47.53010581)","98136","SOUTHWEST","FAUNTLEROY"
704671,"Pothole","SDOT-Seattle Department of Transportation","03/12/2024 11:56:49 AM","2024-03-12","11:56:49","9212 45TH AVE SW, SEATTLE, WA 98136",47.52104936,-122.3899443,"POINT (-122.3899443 47.52104936)","98136","SOUTHWEST","FAUNTLEROY"
