"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
944915,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","12/30/2024 12:01:11 PM","2024-12-30","12:01:11","1200 BOYLSTON AVE, SEATTLE, WA 98101",47.61249027,-122.32302597,"POINT (-122.32302597 47.61249027)","98101","EAST","FIRST HILL"
944922,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","12/30/2024 12:03:13 PM","2024-12-30","12:03:13","1210 BOYLSTON AVE, SEATTLE, WA 98101",47.61266236,-122.32320157,"POINT (-122.32320157 47.61266236)","98101","EAST","FIRST HILL"
944955,"Graffiti","SPU-Seattle Public Utilities","12/30/2024 12:47:33 PM","2024-12-30","12:47:33","1106 SUMMIT AVE, SEATTLE, WA 98101",47.61118538,-122.32348763,"POINT (-122.32348763 47.61118538)","98101","EAST","FIRST HILL"
944961,"Clogged Storm Drain","SPU-Seattle Public Utilities","12/30/2024 12:35:30 PM","2024-12-30","12:35:30","1101 SENECA ST, SEATTLE, WA 98101",47.61062825,-122.32600937,"POINT (-122.32600937 47.61062825)","98101","EAST","FIRST HILL"
944990,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","12/30/2024 01:01:43 PM","2024-12-30","01:01:43","1018 9TH AVE, SEATTLE, WA 98104",47.60895024,-122.32748804,"POINT (-122.32748804 47.60895024)","98104","EAST","FIRST HILL"
945034,"Unauthorized Encampment","SEA-City of Seattle","12/30/2024 01:43:58 PM","2024-12-30","01:43:58","1203 HUBBELL PL, SEATTLE, WA 98101",47.6098008,-122.33080005,"POINT (-122.33080005 47.6098008)","98101","EAST","FIRST HILL"
945150,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","12/30/2024 03:18:41 PM","2024-12-30","03:18:41","702 E UNION ST, SEATTLE, WA 98122",47.61314985,-122.32317842,"POINT (-122.32317842 47.61314985)","98122","EAST","FIRST HILL"
945218,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","12/30/2024 04:06:44 PM","2024-12-30","04:06:44","1001 BROADWAY, SEATTLE, WA 98122",47.61141077,-122.32135485,"POINT (-122.32135485 47.61141077)","98122","EAST","FIRST HILL"
945232,"Graffiti","SPU-Seattle Public Utilities","12/30/2024 04:21:13 PM","2024-12-30","04:21:13","721 MADISON ST, SEATTLE, WA 98104",47.60770559,-122.32856082,"POINT (-122.32856082 47.60770559)","98104","EAST","FIRST HILL"
945236,"Graffiti","SPU-Seattle Public Utilities","12/30/2024 04:23:11 PM","2024-12-30","04:23:11","721 MADISON ST, SEATTLE, WA 98104",47.60770559,-122.32856082,"POINT (-122.32856082 47.60770559)","98104","EAST","FIRST HILL"
945275,"Unauthorized Encampment","SEA-City of Seattle","12/30/2024 05:45:46 PM","2024-12-30","05:45:46","1114 MADISON ST, SEATTLE, WA 98104",47.6098401,-122.32438551,"POINT (-122.32438551 47.6098401)","98104","EAST","FIRST HILL"
945301,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","12/30/2024 07:24:32 PM","2024-12-30","07:24:32","820 CHERRY ST, SEATTLE, WA 98104",47.60619231,-122.32591283,"POINT (-122.32591283 47.60619231)","98104","EAST","FIRST HILL"
945321,"Parking Enforcement","SPD-Seattle Police Department","12/30/2024 07:08:24 PM","2024-12-30","07:08:24","1400 HUBBELL PL, SEATTLE, WA 98101",47.61220442,-122.32975831,"POINT (-122.32975831 47.61220442)","98101","EAST","FIRST HILL"
945353,"Unauthorized Encampment","SEA-City of Seattle","12/30/2024 09:07:32 PM","2024-12-30","09:07:32","1106 SUMMIT AVE, SEATTLE, WA 98101",47.61118538,-122.32348763,"POINT (-122.32348763 47.61118538)","98101","EAST","FIRST HILL"
945450,"Graffiti","SPU-Seattle Public Utilities","12/30/2024 11:08:20 PM","2024-12-30","11:08:20","1022 7TH AVE, SEATTLE, WA 98104",47.60778032,-122.32935884,"POINT (-122.32935884 47.60778032)","98104","EAST","FIRST HILL"
945574,"Public Litter and Recycling Cans","SPU-Seattle Public Utilities","12/31/2024 08:54:45 AM","2024-12-31","08:54:45","815 9TH AVE, SEATTLE, WA 98104",47.60722119,-122.32673937,"POINT (-122.32673937 47.60722119)","98104","EAST","FIRST HILL"
945576,"Unauthorized Encampment","SEA-City of Seattle","12/31/2024 08:56:44 AM","2024-12-31","08:56:44","1010 BOYLSTON AVE, SEATTLE, WA 98104",47.61099107,-122.32165453,"POINT (-122.32165453 47.61099107)","98104","EAST","FIRST HILL"
945579,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","12/31/2024 08:50:44 AM","2024-12-31","08:50:44","910 MINOR AVE, SEATTLE, WA 98104",47.60957427,-122.32338495,"POINT (-122.32338495 47.60957427)","98104","EAST","FIRST HILL"
945616,"Graffiti","SPU-Seattle Public Utilities","12/31/2024 09:08:50 AM","2024-12-31","09:08:50","905 CHERRY ST, SEATTLE, WA 98104",47.60626438,-122.32496649,"POINT (-122.32496649 47.60626438)","98104","EAST","FIRST HILL"
945618,"Graffiti","SPU-Seattle Public Utilities","12/31/2024 09:14:51 AM","2024-12-31","09:14:51","615 BOREN AVE, SEATTLE, WA 98104",47.60674634,-122.32344854,"POINT (-122.32344854 47.60674634)","98104","EAST","FIRST HILL"
945639,"Pothole","SDOT-Seattle Department of Transportation","12/31/2024 09:39:02 AM","2024-12-31","09:39:02","1018 9TH AVE, SEATTLE, WA 98104",47.60895024,-122.32748804,"POINT (-122.32748804 47.60895024)","98104","EAST","FIRST HILL"
945696,"Parking Enforcement","SPD-Seattle Police Department","12/31/2024 09:47:12 AM","2024-12-31","09:47:12","1201 BOYLSTON AVE, SEATTLE, WA 98101",47.61255149,-122.32390187,"POINT (-122.32390187 47.61255149)","98101","EAST","FIRST HILL"
945708,"Public Litter and Recycling Cans","SPU-Seattle Public Utilities","12/31/2024 10:09:18 AM","2024-12-31","10:09:18","714 7TH AVE, SEATTLE, WA 98104",47.60600898,-122.3275563,"POINT (-122.3275563 47.60600898)","98104","EAST","FIRST HILL"
945793,"Public Litter and Recycling Cans","SPU-Seattle Public Utilities","12/31/2024 11:41:58 AM","2024-12-31","11:41:58","1101 8TH AVE, SEATTLE, WA 98101",47.60874231,-122.32965756,"POINT (-122.32965756 47.60874231)","98101","EAST","FIRST HILL"
945929,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","12/31/2024 01:51:02 PM","2024-12-31","01:51:02","702 8TH AVE, SEATTLE, WA 98104",47.6062451,-122.32641807,"POINT (-122.32641807 47.6062451)","98104","EAST","FIRST HILL"
945964,"Traffic Signal Maintenance","SDOT-Seattle Department of Transportation","12/31/2024 03:05:30 PM","2024-12-31","03:05:30","1117 MINOR AVE, SEATTLE, WA 98101",47.61089923,-122.3254767,"POINT (-122.3254767 47.61089923)","98101","EAST","FIRST HILL"
946056,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","12/31/2024 04:02:02 PM","2024-12-31","04:02:02","1103 SUMMIT AVE, SEATTLE, WA 98101",47.61100404,-122.32401851,"POINT (-122.32401851 47.61100404)","98101","EAST","FIRST HILL"
946071,"General Inquiry - City Light","SCL-Seattle City Light","12/31/2024 04:06:27 PM","2024-12-31","04:06:27","820 CHERRY ST, SEATTLE, WA 98104",47.60619231,-122.32591283,"POINT (-122.32591283 47.60619231)","98104","EAST","FIRST HILL"
