"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
941808,"General Inquiry - Public Utilities","SPU-Seattle Public Utilities","12/24/2024 01:44:20 PM","2024-12-24","01:44:20","410 NW 44TH ST, SEATTLE, WA 98107",47.66065542,-122.36266987,"POINT (-122.36266987 47.66065542)","98107","NORTH","FREMONT"
941829,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","12/24/2024 02:28:47 PM","2024-12-24","02:28:47","3660 WHITMAN AVE N, SEATTLE, WA 98103",47.65256898,-122.34568766,"POINT (-122.34568766 47.65256898)","98103","NORTH","FREMONT"
941832,"Graffiti","SPU-Seattle Public Utilities","12/24/2024 02:30:46 PM","2024-12-24","02:30:46","334 NW 41ST ST, SEATTLE, WA 98107",47.65728459,-122.36252245,"POINT (-122.36252245 47.65728459)","98107","NORTH","FREMONT"
941840,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","12/24/2024 02:30:44 PM","2024-12-24","02:30:44","N 39TH ST & DAYTON AVE N, SEATTLE, WA",47.65414292,-122.35259614,"POINT (-122.35259614 47.65414292)","","NORTH","FREMONT"
941942,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","12/25/2024 12:17:09 AM","2024-12-25","12:17:09","3970 DAYTON AVE N, SEATTLE, WA 98103",47.65528477,-122.35230633,"POINT (-122.35230633 47.65528477)","98103","NORTH","FREMONT"
942006,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","12/25/2024 08:35:56 AM","2024-12-25","08:35:56","4302 6TH AVE NW, SEATTLE, WA 98107",47.659123,-122.36373106,"POINT (-122.36373106 47.659123)","98107","NORTH","FREMONT"
942041,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","12/25/2024 10:57:00 AM","2024-12-25","10:57:00","817 N ALLEN PL, SEATTLE, WA 98103",47.66058043,-122.34781108,"POINT (-122.34781108 47.66058043)","98103","NORTH","FREMONT"
942159,"Unauthorized Encampment","SEA-City of Seattle","12/26/2024 06:50:04 AM","2024-12-26","06:50:04","601 NW 40TH ST, SEATTLE, WA 98107",47.65585618,-122.36413002,"POINT (-122.36413002 47.65585618)","98107","NORTH","FREMONT"
942179,"Parking Enforcement","SPD-Seattle Police Department","12/26/2024 08:06:40 AM","2024-12-26","08:06:40","4126 1ST AVE NW, SEATTLE, WA 98107",47.65716098,-122.35735125,"POINT (-122.35735125 47.65716098)","98107","NORTH","FREMONT"
942202,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","12/26/2024 08:22:46 AM","2024-12-26","08:22:46","412 N 36TH ST, SEATTLE, WA 98103",47.65237317,-122.35381993,"POINT (-122.35381993 47.65237317)","98103","NORTH","FREMONT"
