"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
515725,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","06/18/2023 05:37:24 PM","2023-06-18","05:37:24","6521 35TH AVE SW, SEATTLE, WA 98126",47.54401794,-122.37680939,"POINT (-122.37680939 47.54401794)","98126","SOUTHWEST","GATEWOOD"
515963,"Graffiti","SPU-Seattle Public Utilities","06/19/2023 09:26:41 AM","2023-06-19","09:26:41","6358 42ND AVE SW, SEATTLE, WA 98136",47.54498824,-122.38562072,"POINT (-122.38562072 47.54498824)","98136","SOUTHWEST","GATEWOOD"
516128,"Graffiti","SPU-Seattle Public Utilities","06/19/2023 12:32:08 PM","2023-06-19","12:32:08","7000 BEACH DR SW, SEATTLE, WA 98136",47.54063808,-122.39647407,"POINT (-122.39647407 47.54063808)","98136","SOUTHWEST","GATEWOOD"
516299,"Graffiti","SPU-Seattle Public Utilities","06/19/2023 02:41:02 PM","2023-06-19","02:41:02","7000 BEACH DR SW, SEATTLE, WA 98136",47.54063808,-122.39647407,"POINT (-122.39647407 47.54063808)","98136","SOUTHWEST","GATEWOOD"
516455,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","06/20/2023 06:57:52 AM","2023-06-20","06:57:52","7000 BEACH DR SW, SEATTLE, WA 98136",47.54063808,-122.39647407,"POINT (-122.39647407 47.54063808)","98136","SOUTHWEST","GATEWOOD"
516477,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","06/20/2023 05:23:58 AM","2023-06-20","05:23:58","7000 BEACH DR SW, SEATTLE, WA 98136",47.54063808,-122.39647407,"POINT (-122.39647407 47.54063808)","98136","SOUTHWEST","GATEWOOD"
516497,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","06/20/2023 08:03:02 AM","2023-06-20","08:03:02","7237 36TH AVE SW, SEATTLE, WA 98126",47.53753952,-122.37870631,"POINT (-122.37870631 47.53753952)","98126","SOUTHWEST","GATEWOOD"
516583,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","06/20/2023 09:33:43 AM","2023-06-20","09:33:43","7237 36TH AVE SW, SEATTLE, WA 98126",47.53753952,-122.37870631,"POINT (-122.37870631 47.53753952)","98126","SOUTHWEST","GATEWOOD"
516584,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","06/20/2023 09:43:45 AM","2023-06-20","09:43:45","7237 36TH AVE SW, SEATTLE, WA 98126",47.53753952,-122.37870631,"POINT (-122.37870631 47.53753952)","98126","SOUTHWEST","GATEWOOD"
516815,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","06/20/2023 01:19:27 PM","2023-06-20","01:19:27","7383 GLENRIDGE WAY SW, SEATTLE, WA 98136",47.5359723,-122.38585215,"POINT (-122.38585215 47.5359723)","98136","SOUTHWEST","GATEWOOD"
