"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
727606,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","04/11/2024 06:03:39 PM","2024-04-11","06:03:39","4121 FAUNTLEROY WAY SW, SEATTLE, WA 98126",47.56611822,-122.3749684,"POINT (-122.3749684 47.56611822)","98126","SOUTHWEST","GENESEE"
727672,"Dead Animal","FAS-Finance and Administrative Services","04/11/2024 06:46:54 PM","2024-04-11","06:46:54","4502 SW DAKOTA ST, SEATTLE, WA 98116",47.56678957,-122.38973014,"POINT (-122.38973014 47.56678957)","98116","SOUTHWEST","GENESEE"
727727,"Graffiti","SPU-Seattle Public Utilities","04/12/2024 07:44:53 AM","2024-04-12","07:44:53","4703 CALIFORNIA AVE SW, SEATTLE, WA 98116",47.56096644,-122.38713353,"POINT (-122.38713353 47.56096644)","98116","SOUTHWEST","GENESEE"
727810,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","04/12/2024 08:48:20 AM","2024-04-12","08:48:20","4721 CALIFORNIA AVE SW, SEATTLE, WA 98116",47.56017646,-122.38715598,"POINT (-122.38715598 47.56017646)","98116","SOUTHWEST","GENESEE"
727953,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/12/2024 10:41:14 AM","2024-04-12","10:41:14","4105 CALIFORNIA AVE SW, SEATTLE, WA 98116",47.56614859,-122.38719025,"POINT (-122.38719025 47.56614859)","98116","SOUTHWEST","GENESEE"
727977,"Parking Enforcement","SPD-Seattle Police Department","04/12/2024 11:42:41 AM","2024-04-12","11:42:41","4028 42ND AVE SW, SEATTLE, WA 98116",47.5675453,-122.38510901,"POINT (-122.38510901 47.5675453)","98116","SOUTHWEST","GENESEE"
728341,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/12/2024 07:19:11 PM","2024-04-12","07:19:11","3902 CALIFORNIA AVE SW, SEATTLE, WA 98116",47.5691261,-122.3863613,"POINT (-122.3863613 47.5691261)","98116","SOUTHWEST","GENESEE"
728723,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","04/13/2024 03:58:35 PM","2024-04-13","03:58:35","4403 37TH AVE SW, SEATTLE, WA 98126",47.56453768,-122.37907724,"POINT (-122.37907724 47.56453768)","98126","SOUTHWEST","GENESEE"
728730,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","04/13/2024 03:58:33 PM","2024-04-13","03:58:33","4407 37TH AVE SW, SEATTLE, WA 98126",47.56440782,-122.37904724,"POINT (-122.37904724 47.56440782)","98126","SOUTHWEST","GENESEE"
729264,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","04/14/2024 06:35:44 PM","2024-04-14","06:35:44","4411 CALIFORNIA AVE SW, SEATTLE, WA 98116",47.56436408,-122.38711383,"POINT (-122.38711383 47.56436408)","98116","SOUTHWEST","GENESEE"
729415,"Pothole","SDOT-Seattle Department of Transportation","04/15/2024 07:47:59 AM","2024-04-15","07:47:59","4451 FAUNTLEROY WAY SW, SEATTLE, WA 98126",47.56332841,-122.37917745,"POINT (-122.37917745 47.56332841)","98126","SOUTHWEST","GENESEE"
729606,"Graffiti","SPU-Seattle Public Utilities","04/15/2024 09:45:55 AM","2024-04-15","09:45:55","4059 35TH AVE SW, SEATTLE, WA 98126",47.5666593,-122.37645124,"POINT (-122.37645124 47.5666593)","98126","SOUTHWEST","GENESEE"
729761,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","04/15/2024 11:22:48 AM","2024-04-15","11:22:48","4407 37TH AVE SW, SEATTLE, WA 98126",47.56440782,-122.37904724,"POINT (-122.37904724 47.56440782)","98126","SOUTHWEST","GENESEE"
729886,"Parking Enforcement","SPD-Seattle Police Department","04/15/2024 01:03:27 PM","2024-04-15","01:03:27","4545 FAUNTLEROY WAY SW, SEATTLE, WA 98126",47.56197147,-122.38108577,"POINT (-122.38108577 47.56197147)","98126","SOUTHWEST","GENESEE"
729914,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","04/15/2024 01:45:43 PM","2024-04-15","01:45:43","4411 CALIFORNIA AVE SW, SEATTLE, WA 98116",47.56436408,-122.38711383,"POINT (-122.38711383 47.56436408)","98116","SOUTHWEST","GENESEE"
729943,"Parking Enforcement","SPD-Seattle Police Department","04/15/2024 01:48:44 PM","2024-04-15","01:48:44","4102 41ST AVE SW, SEATTLE, WA 98116",47.56632514,-122.38376771,"POINT (-122.38376771 47.56632514)","98116","SOUTHWEST","GENESEE"
730053,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","04/15/2024 03:50:40 PM","2024-04-15","03:50:40","3502 SW ANDOVER ST, SEATTLE, WA 98126",47.56855876,-122.37634524,"POINT (-122.37634524 47.56855876)","98126","SOUTHWEST","GENESEE"
730351,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","04/16/2024 05:50:03 AM","2024-04-16","05:50:03","3502 SW ANDOVER ST, SEATTLE, WA 98126",47.56855876,-122.37634524,"POINT (-122.37634524 47.56855876)","98126","SOUTHWEST","GENESEE"
731131,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","04/16/2024 05:57:39 PM","2024-04-16","05:57:39","3903 SW DAKOTA ST, SEATTLE, WA 98116",47.56632255,-122.38177897,"POINT (-122.38177897 47.56632255)","98116","SOUTHWEST","GENESEE"
731237,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/16/2024 09:37:16 PM","2024-04-16","09:37:16","4010 42ND AVE SW, SEATTLE, WA 98116",47.5679473,-122.38509958,"POINT (-122.38509958 47.5679473)","98116","SOUTHWEST","GENESEE"
731616,"Parking Enforcement","SPD-Seattle Police Department","04/17/2024 11:49:49 AM","2024-04-17","11:49:49","4545 FAUNTLEROY WAY SW, SEATTLE, WA 98126",47.56197147,-122.38108577,"POINT (-122.38108577 47.56197147)","98126","SOUTHWEST","GENESEE"
731687,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","04/17/2024 01:10:23 PM","2024-04-17","01:10:23","4022 CALIFORNIA AVE SW, SEATTLE, WA 98116",47.56767999,-122.38639417,"POINT (-122.38639417 47.56767999)","98116","SOUTHWEST","GENESEE"
731856,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","04/17/2024 03:20:40 PM","2024-04-17","03:20:40","4403 37TH AVE SW, SEATTLE, WA 98126",47.56453768,-122.37907724,"POINT (-122.37907724 47.56453768)","98126","SOUTHWEST","GENESEE"
731964,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/17/2024 04:52:05 PM","2024-04-17","04:52:05","4428 48TH AVE SW, SEATTLE, WA 98116",47.56394637,-122.39314365,"POINT (-122.39314365 47.56394637)","98116","SOUTHWEST","GENESEE"
732085,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/17/2024 09:14:36 PM","2024-04-17","09:14:36","3902 CALIFORNIA AVE SW ON THE CROSS STREET SW BRADFORD, SEATTLE, WA 98116",47.5691261,-122.3863613,"POINT (-122.3863613 47.5691261)","98116","SOUTHWEST","GENESEE"
732103,"Pothole","SDOT-Seattle Department of Transportation","04/17/2024 09:23:39 PM","2024-04-17","09:23:39","4527 FAUNTLEROY WAY SW, SEATTLE, WA 98126",47.56237431,-122.38038988,"POINT (-122.38038988 47.56237431)","98126","SOUTHWEST","GENESEE"
732146,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","04/18/2024 06:48:56 AM","2024-04-18","06:48:56","4754 42ND AVE SW, SEATTLE, WA 98116",47.55961259,-122.38525856,"POINT (-122.38525856 47.55961259)","98116","SOUTHWEST","GENESEE"
732361,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/18/2024 10:29:02 AM","2024-04-18","10:29:02","4272 SW BRADFORD ST, SEATTLE, WA 98116",47.56941207,-122.38637035,"POINT (-122.38637035 47.56941207)","98116","SOUTHWEST","GENESEE"
732543,"Clogged Storm Drain","SPU-Seattle Public Utilities","04/18/2024 01:32:05 PM","2024-04-18","01:32:05","4518 SW EDMUNDS ST, SEATTLE, WA 98116",47.55949255,-122.39050309,"POINT (-122.39050309 47.55949255)","98116","SOUTHWEST","GENESEE"
732548,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","04/18/2024 01:29:02 PM","2024-04-18","01:29:02","3801 CALIFORNIA AVE SW, SEATTLE, WA 98116",47.56993055,-122.3873802,"POINT (-122.3873802 47.56993055)","98116","SOUTHWEST","GENESEE"
732606,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/18/2024 02:32:56 PM","2024-04-18","02:32:56","3902 CALIFORNIA AVE SW, SEATTLE, WA 98116",47.5691261,-122.3863613,"POINT (-122.3863613 47.5691261)","98116","SOUTHWEST","GENESEE"
732709,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","04/18/2024 04:23:24 PM","2024-04-18","04:23:24","4801 SW CHARLESTOWN ST, SEATTLE, WA 98116",47.57012858,-122.39362965,"POINT (-122.39362965 47.57012858)","98116","SOUTHWEST","GENESEE"
732719,"Damaged Sidewalk","SDOT-Seattle Department of Transportation","04/18/2024 04:30:42 PM","2024-04-18","04:30:42","3801 CALIFORNIA AVE SW, SEATTLE, WA 98116",47.56993055,-122.3873802,"POINT (-122.3873802 47.56993055)","98116","SOUTHWEST","GENESEE"
733224,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","04/19/2024 11:37:37 AM","2024-04-19","11:37:37","3502 SW ANDOVER ST, SEATTLE, WA 98126",47.56855876,-122.37634524,"POINT (-122.37634524 47.56855876)","98126","SOUTHWEST","GENESEE"
733378,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/19/2024 02:45:33 PM","2024-04-19","02:45:33","3902 CALIFORNIA AVE SW, SEATTLE, WA 98116",47.5691261,-122.3863613,"POINT (-122.3863613 47.5691261)","98116","SOUTHWEST","GENESEE"
733982,"General Inquiry - City Light","SCL-Seattle City Light","04/20/2024 03:49:02 PM","2024-04-20","03:49:02","4146 40TH AVE SW, SEATTLE, WA 98116",47.56511874,-122.38246547,"POINT (-122.38246547 47.56511874)","98116","SOUTHWEST","GENESEE"
734013,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","04/20/2024 05:04:36 PM","2024-04-20","05:04:36","4017 40TH AVE SW, SEATTLE, WA 98116",47.56783155,-122.38316165,"POINT (-122.38316165 47.56783155)","98116","SOUTHWEST","GENESEE"
734841,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","04/22/2024 08:33:19 AM","2024-04-22","08:33:19","4545 FAUNTLEROY WAY SW, SEATTLE, WA 98126",47.56197147,-122.38108577,"POINT (-122.38108577 47.56197147)","98126","SOUTHWEST","GENESEE"
734958,"Parking Enforcement","SPD-Seattle Police Department","04/22/2024 09:34:49 AM","2024-04-22","09:34:49","4545 FAUNTLEROY WAY SW, SEATTLE, WA 98126",47.56197147,-122.38108577,"POINT (-122.38108577 47.56197147)","98126","SOUTHWEST","GENESEE"
735004,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","04/22/2024 10:06:28 AM","2024-04-22","10:06:28","3903 SW DAKOTA ST, SEATTLE, WA 98116",47.56632255,-122.38177897,"POINT (-122.38177897 47.56632255)","98116","SOUTHWEST","GENESEE"
735131,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/22/2024 11:53:50 AM","2024-04-22","11:53:50","4044 42ND AVE SW, SEATTLE, WA 98116",47.56703423,-122.38512265,"POINT (-122.38512265 47.56703423)","98116","SOUTHWEST","GENESEE"
735321,"Graffiti","SPU-Seattle Public Utilities","04/22/2024 02:38:13 PM","2024-04-22","02:38:13","4009 CALIFORNIA AVE SW, SEATTLE, WA 98116",47.56794475,-122.38727348,"POINT (-122.38727348 47.56794475)","98116","SOUTHWEST","GENESEE"
735455,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/22/2024 04:47:04 PM","2024-04-22","04:47:04","4028 47TH AVE SW, SEATTLE, WA 98116",47.56756719,-122.39180274,"POINT (-122.39180274 47.56756719)","98116","SOUTHWEST","GENESEE"
735460,"Parking Enforcement","SPD-Seattle Police Department","04/22/2024 04:44:06 PM","2024-04-22","04:44:06","4028 47TH AVE SW, SEATTLE, WA 98116",47.56756719,-122.39180274,"POINT (-122.39180274 47.56756719)","98116","SOUTHWEST","GENESEE"
735504,"Parking Enforcement","SPD-Seattle Police Department","04/22/2024 04:49:08 PM","2024-04-22","04:49:08","4028 47TH AVE SW, SEATTLE, WA 98116",47.56756719,-122.39180274,"POINT (-122.39180274 47.56756719)","98116","SOUTHWEST","GENESEE"
735515,"Parking Enforcement","SPD-Seattle Police Department","04/22/2024 05:43:30 PM","2024-04-22","05:43:30","4321 SW CHARLESTOWN ST, SEATTLE, WA 98116",47.57003103,-122.38782586,"POINT (-122.38782586 47.57003103)","98116","SOUTHWEST","GENESEE"
