"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
911416,"Parking Enforcement","SPD-Seattle Police Department","11/14/2024 08:27:46 AM","2024-11-14","08:27:46","S ORCAS ST & 1ST AVE S, SEATTLE, WA",47.55190326,-122.33421605,"POINT (-122.33421605 47.55190326)","","SOUTH","GEORGETOWN"
911429,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","11/14/2024 08:26:59 AM","2024-11-14","08:26:59","7070 E MARGINAL WAY S, SEATTLE, WA 98108",47.53956526,-122.32172136,"POINT (-122.32172136 47.53956526)","98108","SOUTH","GEORGETOWN"
911433,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","11/14/2024 08:27:07 AM","2024-11-14","08:27:07","S ORCAS ST & 1ST AVE S, SEATTLE, WA",47.55190326,-122.33421605,"POINT (-122.33421605 47.55190326)","","SOUTH","GEORGETOWN"
911529,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","11/14/2024 09:23:30 AM","2024-11-14","09:23:30","6500 1ST AVE S, SEATTLE, WA 98108",47.54354463,-122.33412681,"POINT (-122.33412681 47.54354463)","98108","SOUTH","GEORGETOWN"
911595,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","11/14/2024 10:27:54 AM","2024-11-14","10:27:54","5504 2ND AVE S, SEATTLE, WA 98108",47.55337777,-122.33226536,"POINT (-122.33226536 47.55337777)","98108","SOUTH","GEORGETOWN"
911605,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","11/14/2024 10:32:03 AM","2024-11-14","10:32:03","5511 2ND AVE S, SEATTLE, WA 98108",47.55333654,-122.33250885,"POINT (-122.33250885 47.55333654)","98108","SOUTH","GEORGETOWN"
911621,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","11/14/2024 10:52:11 AM","2024-11-14","10:52:11","165 S ORCAS ST, SEATTLE, WA 98108",47.55167553,-122.33305813,"POINT (-122.33305813 47.55167553)","98108","SOUTH","GEORGETOWN"
911629,"Unauthorized Encampment","SEA-City of Seattle","11/14/2024 10:55:48 AM","2024-11-14","10:55:48","128 S ORCAS ST, SEATTLE, WA 98108",47.55219322,-122.33313376,"POINT (-122.33313376 47.55219322)","98108","SOUTH","GEORGETOWN"
911642,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","11/14/2024 10:38:02 AM","2024-11-14","10:38:02","128 S ORCAS ST, SEATTLE, WA 98108",47.55219322,-122.33313376,"POINT (-122.33313376 47.55219322)","98108","SOUTH","GEORGETOWN"
911734,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","11/14/2024 11:57:19 AM","2024-11-14","11:57:19","5625 CORSON AVE S, SEATTLE, WA 98108",47.55145822,-122.32124405,"POINT (-122.32124405 47.55145822)","98108","SOUTH","GEORGETOWN"
