"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
961484,"Overgrown Vegetation","FAS-Finance and Administrative Services","01/19/2025 02:35:27 PM","2025-01-19","02:35:27","356 NW 80TH ST, SEATTLE, WA 98117",47.68709789,-122.36306704,"POINT (-122.36306704 47.68709789)","98117","NORTH","GREENWOOD"
961487,"Overgrown Vegetation","FAS-Finance and Administrative Services","01/19/2025 02:39:29 PM","2025-01-19","02:39:29","606 NW 82ND ST, SEATTLE, WA 98117",47.68860769,-122.3637167,"POINT (-122.3637167 47.68860769)","98117","NORTH","GREENWOOD"
961516,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","01/19/2025 03:44:01 PM","2025-01-19","03:44:01","330 NW 85TH ST, SEATTLE, WA 98117",47.69078891,-122.36214812,"POINT (-122.36214812 47.69078891)","98117","NORTH","GREENWOOD"
961584,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/19/2025 04:38:28 PM","2025-01-19","04:38:28","9053 1ST AVE NW, SEATTLE, WA 98117",47.69587516,-122.35837234,"POINT (-122.35837234 47.69587516)","98117","NORTH","GREENWOOD"
961600,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/19/2025 05:00:33 PM","2025-01-19","05:00:33","701 N 103RD ST, SEATTLE, WA 98133",47.70343411,-122.34983428,"POINT (-122.34983428 47.70343411)","98133","NORTH","GREENWOOD"
961694,"Graffiti","SPU-Seattle Public Utilities","01/19/2025 09:36:35 PM","2025-01-19","09:36:35","9627 AURORA AVE N, SEATTLE, WA 98103",47.69947053,-122.34495349,"POINT (-122.34495349 47.69947053)","98103","NORTH","GREENWOOD"
961778,"Parking Enforcement","SPD-Seattle Police Department","01/20/2025 08:29:31 AM","2025-01-20","08:29:31","915 N 98TH ST, SEATTLE, WA 98103",47.70037536,-122.34673128,"POINT (-122.34673128 47.70037536)","98103","NORTH","GREENWOOD"
961836,"Overgrown Vegetation","FAS-Finance and Administrative Services","01/20/2025 09:56:18 AM","2025-01-20","09:56:18","9802 LINDEN AVE N, SEATTLE, WA 98103",47.70072712,-122.34702867,"POINT (-122.34702867 47.70072712)","98103","NORTH","GREENWOOD"
961935,"Parking Enforcement","SPD-Seattle Police Department","01/20/2025 11:04:42 AM","2025-01-20","11:04:42","500 N 86TH ST, SEATTLE, WA 98103",47.69183597,-122.3524448,"POINT (-122.3524448 47.69183597)","98103","NORTH","GREENWOOD"
961971,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/20/2025 12:03:18 PM","2025-01-20","12:03:18","8413 FREMONT AVE N, SEATTLE, WA 98103",47.69024991,-122.35015003,"POINT (-122.35015003 47.69024991)","98103","NORTH","GREENWOOD"
961997,"Parking Enforcement","SPD-Seattle Police Department","01/20/2025 12:35:27 PM","2025-01-20","12:35:27","8720 PHINNEY AVE N, SEATTLE, WA 98103",47.69308761,-122.35359102,"POINT (-122.35359102 47.69308761)","98103","NORTH","GREENWOOD"
962077,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/20/2025 02:34:29 PM","2025-01-20","02:34:29","9027 DAYTON AVE N, SEATTLE, WA 98103",47.6951955,-122.35297084,"POINT (-122.35297084 47.6951955)","98103","NORTH","GREENWOOD"
962081,"Parking Enforcement","SPD-Seattle Police Department","01/20/2025 02:34:31 PM","2025-01-20","02:34:31","9535 FREMONT AVE N, SEATTLE, WA 98103",47.69879152,-122.35026091,"POINT (-122.35026091 47.69879152)","98103","NORTH","GREENWOOD"
962096,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/20/2025 03:00:32 PM","2025-01-20","03:00:32","8739 EVANSTON AVE N, SEATTLE, WA 98103",47.69357059,-122.35157295,"POINT (-122.35157295 47.69357059)","98103","NORTH","GREENWOOD"
962175,"Overgrown Vegetation","FAS-Finance and Administrative Services","01/20/2025 04:07:00 PM","2025-01-20","04:07:00","7511 3RD AVE NW, SEATTLE, WA 98117",47.68369208,-122.36096775,"POINT (-122.36096775 47.68369208)","98117","NORTH","GREENWOOD"
962284,"Unauthorized Encampment","SEA-City of Seattle","01/20/2025 07:28:31 PM","2025-01-20","07:28:31","9607 AURORA AVE N, SEATTLE, WA 98103",47.69905287,-122.34504288,"POINT (-122.34504288 47.69905287)","98103","NORTH","GREENWOOD"
962336,"Traffic Signal Maintenance","SDOT-Seattle Department of Transportation","01/20/2025 09:43:32 PM","2025-01-20","09:43:32","8301 GREENWOOD AVE N, SEATTLE, WA 98103",47.68923897,-122.35560106,"POINT (-122.35560106 47.68923897)","98103","NORTH","GREENWOOD"
962351,"General Inquiry - Police Department","SPD-Seattle Police Department","01/21/2025 06:03:21 AM","2025-01-21","06:03:21","9206 7TH AVE NW, SEATTLE, WA 98117",47.69639128,-122.36441045,"POINT (-122.36441045 47.69639128)","98117","NORTH","GREENWOOD"
962409,"Parking Enforcement","SPD-Seattle Police Department","01/21/2025 07:46:08 AM","2025-01-21","07:46:08","8710 PHINNEY AVE N, SEATTLE, WA 98103",47.69278984,-122.35371038,"POINT (-122.35371038 47.69278984)","98103","NORTH","GREENWOOD"
962420,"Unauthorized Encampment","SEA-City of Seattle","01/21/2025 07:46:12 AM","2025-01-21","07:46:12","7901 AURORA AVE N, SEATTLE, WA 98103",47.68637556,-122.34483024,"POINT (-122.34483024 47.68637556)","98103","NORTH","GREENWOOD"
962443,"Parking Enforcement","SPD-Seattle Police Department","01/21/2025 08:06:25 AM","2025-01-21","08:06:25","915 N 98TH ST, SEATTLE, WA 98103",47.70037536,-122.34673128,"POINT (-122.34673128 47.70037536)","98103","NORTH","GREENWOOD"
962444,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","01/21/2025 08:08:17 AM","2025-01-21","08:08:17","7612 8TH AVE NW, SEATTLE, WA 98117",47.68441798,-122.3657524,"POINT (-122.3657524 47.68441798)","98117","NORTH","GREENWOOD"
962556,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","01/21/2025 08:52:41 AM","2025-01-21","08:52:41","759 N 95TH ST, SEATTLE, WA 98103",47.69767815,-122.34753278,"POINT (-122.34753278 47.69767815)","98103","NORTH","GREENWOOD"
962712,"Parking Enforcement","SPD-Seattle Police Department","01/21/2025 10:07:38 AM","2025-01-21","10:07:38","750 N 98TH ST, SEATTLE, WA 98103",47.70072224,-122.34787811,"POINT (-122.34787811 47.70072224)","98103","NORTH","GREENWOOD"
962972,"Unauthorized Encampment","SEA-City of Seattle","01/21/2025 01:38:35 PM","2025-01-21","01:38:35","436 NW 100TH PL, SEATTLE, WA 98177",47.70372492,-122.36369356,"POINT (-122.36369356 47.70372492)","98177","NORTH","GREENWOOD"
962989,"Unauthorized Encampment","SEA-City of Seattle","01/21/2025 01:36:14 PM","2025-01-21","01:36:14","930 N 79TH ST, SEATTLE, WA 98103",47.68640329,-122.34583887,"POINT (-122.34583887 47.68640329)","98103","NORTH","GREENWOOD"
963010,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/21/2025 01:48:51 PM","2025-01-21","01:48:51","121 NW 97TH ST, SEATTLE, WA 98117",47.69950166,-122.35900276,"POINT (-122.35900276 47.69950166)","98117","NORTH","GREENWOOD"
963065,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","01/21/2025 02:49:28 PM","2025-01-21","02:49:28","905 N 92ND ST, SEATTLE, WA 98103",47.69549868,-122.34688201,"POINT (-122.34688201 47.69549868)","98103","NORTH","GREENWOOD"
963231,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/21/2025 04:36:10 PM","2025-01-21","04:36:10","401 NW 101ST ST, SEATTLE, WA 98177",47.70244043,-122.36130379,"POINT (-122.36130379 47.70244043)","98177","NORTH","GREENWOOD"
