"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
923379,"Graffiti","SPU-Seattle Public Utilities","11/30/2024 12:37:59 PM","2024-11-30","12:37:59","7210 5TH AVE NE, SEATTLE, WA 98115",47.68130527,-122.32258826,"POINT (-122.32258826 47.68130527)","98115","NORTH","GREEN LAKE"
923383,"Graffiti","SPU-Seattle Public Utilities","11/30/2024 12:36:00 PM","2024-11-30","12:36:00","503 NE 72ND ST, SEATTLE, WA 98115",47.6805846,-122.32269029,"POINT (-122.32269029 47.6805846)","98115","NORTH","GREEN LAKE"
923398,"Graffiti","SPU-Seattle Public Utilities","11/30/2024 01:14:19 PM","2024-11-30","01:14:19","409 NE 70TH ST, SEATTLE, WA 98115",47.67899536,-122.32427221,"POINT (-122.32427221 47.67899536)","98115","NORTH","GREEN LAKE"
923401,"Graffiti","SPU-Seattle Public Utilities","11/30/2024 01:18:13 PM","2024-11-30","01:18:13","402 NE RAVENNA BLVD, SEATTLE, WA 98115",47.67882715,-122.32429056,"POINT (-122.32429056 47.67882715)","98115","NORTH","GREEN LAKE"
923404,"Graffiti","SPU-Seattle Public Utilities","11/30/2024 01:14:22 PM","2024-11-30","01:14:22","413 NE 70TH ST, SEATTLE, WA 98115",47.67902871,-122.32411719,"POINT (-122.32411719 47.67902871)","98115","NORTH","GREEN LAKE"
923408,"Graffiti","SPU-Seattle Public Utilities","11/30/2024 01:18:16 PM","2024-11-30","01:18:16","400 NE RAVENNA BLVD, SEATTLE, WA 98115",47.67894986,-122.32448589,"POINT (-122.32448589 47.67894986)","98115","NORTH","GREEN LAKE"
923436,"Graffiti","SPU-Seattle Public Utilities","11/30/2024 01:20:16 PM","2024-11-30","01:20:16","410 NE 70TH ST, SEATTLE, WA 98115",47.67931291,-122.32431255,"POINT (-122.32431255 47.67931291)","98115","NORTH","GREEN LAKE"
923625,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","11/30/2024 09:01:43 PM","2024-11-30","09:01:43","305 NE 65TH ST, SEATTLE, WA 98115",47.67575991,-122.32504168,"POINT (-122.32504168 47.67575991)","98115","NORTH","GREEN LAKE"
923653,"Graffiti","SPU-Seattle Public Utilities","11/30/2024 06:06:29 PM","2024-11-30","06:06:29","6710 E GREEN LAKE WAY N, SEATTLE, WA 98103",47.67775317,-122.32900037,"POINT (-122.32900037 47.67775317)","98103","NORTH","GREEN LAKE"
923704,"Graffiti","SPU-Seattle Public Utilities","12/01/2024 09:03:15 AM","2024-12-01","09:03:15","6209 MERIDIAN AVE N, SEATTLE, WA 98103",47.67389187,-122.33366037,"POINT (-122.33366037 47.67389187)","98103","NORTH","GREEN LAKE"
923706,"Graffiti","SPU-Seattle Public Utilities","12/01/2024 09:09:15 AM","2024-12-01","09:09:15","6302 MERIDIAN AVE N, SEATTLE, WA 98103",47.67462846,-122.33327488,"POINT (-122.33327488 47.67462846)","98103","NORTH","GREEN LAKE"
923725,"Graffiti","SPU-Seattle Public Utilities","12/01/2024 09:17:22 AM","2024-12-01","09:17:22","2310 N 65TH ST, SEATTLE, WA 98103",47.67613095,-122.33032112,"POINT (-122.33032112 47.67613095)","98103","NORTH","GREEN LAKE"
923727,"Graffiti","SPU-Seattle Public Utilities","12/01/2024 09:13:25 AM","2024-12-01","09:13:25","6415 WOODLAWN AVE N, SEATTLE, WA 98103",47.67582742,-122.33187422,"POINT (-122.33187422 47.67582742)","98103","NORTH","GREEN LAKE"
923728,"Graffiti","SPU-Seattle Public Utilities","12/01/2024 09:13:21 AM","2024-12-01","09:13:21","2120 N 64TH ST, SEATTLE, WA 98103",47.67541661,-122.33237352,"POINT (-122.33237352 47.67541661)","98103","NORTH","GREEN LAKE"
923761,"Unauthorized Encampment","SEA-City of Seattle","12/01/2024 10:15:45 AM","2024-12-01","10:15:45","7804 AURORA AVE N, SEATTLE, WA 98103",47.68583646,-122.34409788,"POINT (-122.34409788 47.68583646)","98103","NORTH","GREEN LAKE"
923774,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","12/01/2024 10:21:47 AM","2024-12-01","10:21:47","1144 N 80TH ST, SEATTLE, WA 98103",47.68711194,-122.34250152,"POINT (-122.34250152 47.68711194)","98103","NORTH","GREEN LAKE"
923785,"Parking Enforcement","SPD-Seattle Police Department","12/01/2024 10:37:55 AM","2024-12-01","10:37:55","7366 WOODLAWN AVE NE, SEATTLE, WA 98115",47.68212814,-122.32621463,"POINT (-122.32621463 47.68212814)","98115","NORTH","GREEN LAKE"
923856,"Parking Enforcement","SPD-Seattle Police Department","12/01/2024 12:14:44 PM","2024-12-01","12:14:44","8121 GREEN LAKE DR N, SEATTLE, WA 98103",47.68811243,-122.34311207,"POINT (-122.34311207 47.68811243)","98103","NORTH","GREEN LAKE"
923880,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","12/01/2024 12:36:51 PM","2024-12-01","12:36:51","5818 E GREEN LAKE WAY N, SEATTLE, WA 98103",47.67242544,-122.33669476,"POINT (-122.33669476 47.67242544)","98103","NORTH","GREEN LAKE"
923964,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","12/01/2024 02:19:42 PM","2024-12-01","02:19:42","2202 N 65TH ST, SEATTLE, WA 98103",47.67615738,-122.33109961,"POINT (-122.33109961 47.67615738)","98103","NORTH","GREEN LAKE"
