"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
862479,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","09/16/2024 06:35:21 PM","2024-09-16","06:35:21","11728 MERIDIAN AVE N, SEATTLE, WA 98133",47.71494183,-122.33382587,"POINT (-122.33382587 47.71494183)","98133","NORTH","HALLER LAKE"
862517,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","09/16/2024 08:01:50 PM","2024-09-16","08:01:50","12547 DENSMORE AVE N, SEATTLE, WA 98133",47.7208551,-122.3382437,"POINT (-122.3382437 47.7208551)","98133","NORTH","HALLER LAKE"
862690,"Parking Enforcement","SPD-Seattle Police Department","09/17/2024 08:26:33 AM","2024-09-17","08:26:33","14362 1ST AVE NE, SEATTLE, WA 98125",47.73284561,-122.32875597,"POINT (-122.32875597 47.73284561)","98125","NORTH","HALLER LAKE"
862719,"Unauthorized Encampment","SEA-City of Seattle","09/17/2024 08:48:46 AM","2024-09-17","08:48:46","12536 AURORA AVE N, SEATTLE, WA 98133",47.72080656,-122.3444308,"POINT (-122.3444308 47.72080656)","98133","NORTH","HALLER LAKE"
862752,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","09/17/2024 08:56:45 AM","2024-09-17","08:56:45","10717 MIDVALE AVE N, SEATTLE, WA 98133",47.70723855,-122.34358197,"POINT (-122.34358197 47.70723855)","98133","NORTH","HALLER LAKE"
862776,"Unauthorized Encampment","SEA-City of Seattle","09/17/2024 09:04:53 AM","2024-09-17","09:04:53","12536 AURORA AVE N, SEATTLE, WA 98133",47.72080656,-122.3444308,"POINT (-122.3444308 47.72080656)","98133","NORTH","HALLER LAKE"
863033,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","09/17/2024 11:55:12 AM","2024-09-17","11:55:12","129 NE 145TH ST, SEATTLE, WA 98155",47.73376397,-122.32782602,"POINT (-122.32782602 47.73376397)","98155","NORTH","HALLER LAKE"
863168,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","09/17/2024 01:41:55 PM","2024-09-17","01:41:55","N NORTHGATE WAY & MERIDIAN AVE N, SEATTLE, WA",47.70866306,-122.33399304,"POINT (-122.33399304 47.70866306)","","NORTH","HALLER LAKE"
863309,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","09/17/2024 03:41:34 PM","2024-09-17","03:41:34","13716 MIDVALE AVE N, SEATTLE, WA 98133",47.72916282,-122.34345531,"POINT (-122.34345531 47.72916282)","98133","NORTH","HALLER LAKE"
863326,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","09/17/2024 04:07:56 PM","2024-09-17","04:07:56","12529 3RD AVE NE, SEATTLE, WA 98125",47.72027146,-122.32649758,"POINT (-122.32649758 47.72027146)","98125","NORTH","HALLER LAKE"
863434,"Unauthorized Encampment","SEA-City of Seattle","09/17/2024 05:31:45 PM","2024-09-17","05:31:45","1201 N 125TH ST, SEATTLE, WA 98133",47.71950825,-122.34373431,"POINT (-122.34373431 47.71950825)","98133","NORTH","HALLER LAKE"
863513,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","09/17/2024 07:20:33 PM","2024-09-17","07:20:33","12835 ASHWORTH AVE N, SEATTLE, WA 98133",47.72304501,-122.33984767,"POINT (-122.33984767 47.72304501)","98133","NORTH","HALLER LAKE"
863594,"Internet/Cable Issue","ITD-Seattle Information Technology","09/18/2024 12:02:39 AM","2024-09-18","12:02:39","13555 ROOSEVELT WAY N, SEATTLE, WA 98133",47.72767835,-122.33300151,"POINT (-122.33300151 47.72767835)","98133","NORTH","HALLER LAKE"
863616,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","09/18/2024 06:46:53 AM","2024-09-18","06:46:53","14230 4TH AVE NE, SEATTLE, WA 98125",47.73134846,-122.32518001,"POINT (-122.32518001 47.73134846)","98125","NORTH","HALLER LAKE"
863686,"Unauthorized Encampment","SEA-City of Seattle","09/18/2024 07:42:15 AM","2024-09-18","07:42:15","12534 AURORA AVE N, SEATTLE, WA 98133",47.72056636,-122.34452753,"POINT (-122.34452753 47.72056636)","98133","NORTH","HALLER LAKE"
863722,"Parking Enforcement","SPD-Seattle Police Department","09/18/2024 08:20:30 AM","2024-09-18","08:20:30","11725 1ST AVE NE JAMES BALDWIN ELEMENTARY, SEATTLE, WA 98125",47.71486715,-122.32958503,"POINT (-122.32958503 47.71486715)","98125","NORTH","HALLER LAKE"
863790,"Unauthorized Encampment","SEA-City of Seattle","09/18/2024 08:51:48 AM","2024-09-18","08:51:48","N 107TH ST & MIDVALE AVE N, SEATTLE, WA 98133",47.70687742,-122.34336014,"POINT (-122.34336014 47.70687742)","98133","NORTH","HALLER LAKE"
863906,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","09/18/2024 10:03:20 AM","2024-09-18","10:03:20","10721 MIDVALE AVE N, SEATTLE, WA 98133",47.70761042,-122.343739,"POINT (-122.343739 47.70761042)","98133","NORTH","HALLER LAKE"
