"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
45,"Pothole","SDOT-Seattle Department of Transportation","01/01/2021 12:17:13 PM","2021-01-01","12:17:13","3427 KLICKITAT AVE SW, SEATTLE, WA 98134",47.57171643,-122.35246469,"POINT (-122.35246469 47.57171643)","98134","SOUTHWEST","HARBOR ISLAND"
1182,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","01/05/2021 09:24:49 AM","2021-01-05","09:24:49","3427 KLICKITAT AVE SW, SEATTLE, WA 98134",47.57171643,-122.35246469,"POINT (-122.35246469 47.57171643)","98134","SOUTHWEST","HARBOR ISLAND"
1190,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","01/05/2021 09:35:24 AM","2021-01-05","09:35:24","3427 KLICKITAT AVE SW, SEATTLE, WA 98134",47.57171643,-122.35246469,"POINT (-122.35246469 47.57171643)","98134","SOUTHWEST","HARBOR ISLAND"
1284,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","01/05/2021 11:49:45 AM","2021-01-05","11:49:45","3427 KLICKITAT AVE SW, SEATTLE, WA 98134",47.57171643,-122.35246469,"POINT (-122.35246469 47.57171643)","98134","SOUTHWEST","HARBOR ISLAND"
1448,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","01/05/2021 04:36:18 PM","2021-01-05","04:36:18","3427 KLICKITAT AVE SW, SEATTLE, WA 98134",47.57171643,-122.35246469,"POINT (-122.35246469 47.57171643)","98134","SOUTHWEST","HARBOR ISLAND"
2384,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","01/08/2021 08:25:47 AM","2021-01-08","08:25:47","3427 KLICKITAT AVE SW, SEATTLE, WA 98134",47.57171643,-122.35246469,"POINT (-122.35246469 47.57171643)","98134","SOUTHWEST","HARBOR ISLAND"
2464,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","01/08/2021 11:50:43 AM","2021-01-08","11:50:43","3427 KLICKITAT AVE SW, SEATTLE, WA 98134",47.57171643,-122.35246469,"POINT (-122.35246469 47.57171643)","98134","SOUTHWEST","HARBOR ISLAND"
3252,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","01/11/2021 08:48:43 AM","2021-01-11","08:48:43","3427 KLICKITAT AVE SW, SEATTLE, WA 98134",47.57171643,-122.35246469,"POINT (-122.35246469 47.57171643)","98134","SOUTHWEST","HARBOR ISLAND"
4004,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","01/13/2021 08:41:09 AM","2021-01-13","08:41:09","3427 KLICKITAT AVE SW, SEATTLE, WA 98134",47.57171643,-122.35246469,"POINT (-122.35246469 47.57171643)","98134","SOUTHWEST","HARBOR ISLAND"
6548,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","01/19/2021 09:19:22 AM","2021-01-19","09:19:22","3255 KLICKITAT AVE SW, SEATTLE, WA 98134",47.57425767,-122.35480059,"POINT (-122.35480059 47.57425767)","98134","SOUTHWEST","HARBOR ISLAND"
6694,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","01/19/2021 01:13:14 PM","2021-01-19","01:13:14","3427 KLICKITAT AVE SW, SEATTLE, WA 98134",47.57171643,-122.35246469,"POINT (-122.35246469 47.57171643)","98134","SOUTHWEST","HARBOR ISLAND"
6734,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","01/19/2021 02:09:35 PM","2021-01-19","02:09:35","3427 KLICKITAT AVE SW, SEATTLE, WA 98134",47.57171643,-122.35246469,"POINT (-122.35246469 47.57171643)","98134","SOUTHWEST","HARBOR ISLAND"
7174,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","01/20/2021 02:43:15 PM","2021-01-20","02:43:15","3427 KLICKITAT AVE SW, SEATTLE, WA 98134",47.57171643,-122.35246469,"POINT (-122.35246469 47.57171643)","98134","SOUTHWEST","HARBOR ISLAND"
8705,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","01/25/2021 08:36:20 AM","2021-01-25","08:36:20","3427 KLICKITAT AVE SW, SEATTLE, WA 98134",47.57171643,-122.35246469,"POINT (-122.35246469 47.57171643)","98134","SOUTHWEST","HARBOR ISLAND"
14677,"Graffiti","SPU-Seattle Public Utilities","02/10/2021 01:53:57 PM","2021-02-10","01:53:57","3427 KLICKITAT AVE SW, SEATTLE, WA 98134",47.57171643,-122.35246469,"POINT (-122.35246469 47.57171643)","98134","SOUTHWEST","HARBOR ISLAND"
15122,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","02/11/2021 04:43:32 PM","2021-02-11","04:43:32","3427 KLICKITAT AVE SW, SEATTLE, WA 98134",47.57171643,-122.35246469,"POINT (-122.35246469 47.57171643)","98134","SOUTHWEST","HARBOR ISLAND"
15124,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","02/11/2021 04:52:04 PM","2021-02-11","04:52:04","3427 KLICKITAT AVE SW, SEATTLE, WA 98134",47.57171643,-122.35246469,"POINT (-122.35246469 47.57171643)","98134","SOUTHWEST","HARBOR ISLAND"
15770,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","02/16/2021 08:55:31 AM","2021-02-16","08:55:31","2541 16TH AVE SW, SEATTLE, WA 98134",47.58257908,-122.35559559,"POINT (-122.35559559 47.58257908)","98134","SOUTHWEST","HARBOR ISLAND"
16251,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","02/17/2021 12:35:06 PM","2021-02-17","12:35:06","2541 16TH AVE SW, SEATTLE, WA 98134",47.58257908,-122.35559559,"POINT (-122.35559559 47.58257908)","98134","SOUTHWEST","HARBOR ISLAND"
16548,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","02/18/2021 09:24:31 AM","2021-02-18","09:24:31","1711 13TH AVE SW, SEATTLE, WA 98134",47.58697316,-122.35278994,"POINT (-122.35278994 47.58697316)","98134","SOUTHWEST","HARBOR ISLAND"
16796,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","02/19/2021 09:14:49 AM","2021-02-19","09:14:49","3427 KLICKITAT AVE SW, SEATTLE, WA 98134",47.57171643,-122.35246469,"POINT (-122.35246469 47.57171643)","98134","SOUTHWEST","HARBOR ISLAND"
16921,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","02/19/2021 12:09:04 PM","2021-02-19","12:09:04","3427 KLICKITAT AVE SW, SEATTLE, WA 98134",47.57171643,-122.35246469,"POINT (-122.35246469 47.57171643)","98134","SOUTHWEST","HARBOR ISLAND"
16939,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","02/19/2021 01:00:57 PM","2021-02-19","01:00:57","3427 KLICKITAT AVE SW, SEATTLE, WA 98134",47.57171643,-122.35246469,"POINT (-122.35246469 47.57171643)","98134","SOUTHWEST","HARBOR ISLAND"
16944,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","02/19/2021 01:04:57 PM","2021-02-19","01:04:57","3427 KLICKITAT AVE SW, SEATTLE, WA 98134",47.57171643,-122.35246469,"POINT (-122.35246469 47.57171643)","98134","SOUTHWEST","HARBOR ISLAND"
17617,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","02/21/2021 10:29:19 PM","2021-02-21","10:29:19","3497 KLICKITAT AVE SW, SEATTLE, WA 98134",47.57164405,-122.35232354,"POINT (-122.35232354 47.57164405)","98134","SOUTHWEST","HARBOR ISLAND"
18590,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","02/24/2021 08:37:30 AM","2021-02-24","08:37:30","3427 KLICKITAT AVE SW, SEATTLE, WA 98134",47.57171643,-122.35246469,"POINT (-122.35246469 47.57171643)","98134","SOUTHWEST","HARBOR ISLAND"
18651,"Parking Enforcement","SPD-Seattle Police Department","02/24/2021 10:08:34 AM","2021-02-24","10:08:34","1711 13TH AVE SW, SEATTLE, WA 98134",47.58697316,-122.35278994,"POINT (-122.35278994 47.58697316)","98134","SOUTHWEST","HARBOR ISLAND"
20366,"Pothole","SDOT-Seattle Department of Transportation","03/01/2021 07:12:03 AM","2021-03-01","07:12:03","2508 13TH AVE SW, SEATTLE, WA 98134",47.57961365,-122.35206297,"POINT (-122.35206297 47.57961365)","98134","SOUTHWEST","HARBOR ISLAND"
20372,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","03/01/2021 06:59:58 AM","2021-03-01","06:59:58","2555 13TH AVE SW, SEATTLE, WA 98134",47.58020561,-122.35278354,"POINT (-122.35278354 47.58020561)","98134","SOUTHWEST","HARBOR ISLAND"
21529,"Parking Enforcement","SPD-Seattle Police Department","03/03/2021 10:03:17 AM","2021-03-03","10:03:17","1830 13TH AVE SW, SEATTLE, WA 98134",47.58570005,-122.35182987,"POINT (-122.35182987 47.58570005)","98134","SOUTHWEST","HARBOR ISLAND"
21645,"Pothole","SDOT-Seattle Department of Transportation","03/03/2021 12:46:32 PM","2021-03-03","12:46:32","2746 11TH AVE SW, SEATTLE, WA 98134",47.58134359,-122.34966643,"POINT (-122.34966643 47.58134359)","98134","SOUTHWEST","HARBOR ISLAND"
24575,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","03/10/2021 05:00:48 PM","2021-03-10","05:00:48","1101 SW SPOKANE ST, SEATTLE, WA 98134",47.57132674,-122.34961548,"POINT (-122.34961548 47.57132674)","98134","SOUTHWEST","HARBOR ISLAND"
24993,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","03/11/2021 04:08:21 PM","2021-03-11","04:08:21","3427 KLICKITAT AVE SW, SEATTLE, WA 98134",47.57171643,-122.35246469,"POINT (-122.35246469 47.57171643)","98134","SOUTHWEST","HARBOR ISLAND"
28168,"General Inquiry - Police Department","SPD-Seattle Police Department","03/19/2021 03:05:41 PM","2021-03-19","03:05:41","1299 SW KLICKITAT WAY, SEATTLE, WA 98134",47.57090441,-122.35169672,"POINT (-122.35169672 47.57090441)","98134","SOUTHWEST","HARBOR ISLAND"
28232,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","03/19/2021 05:24:45 PM","2021-03-19","05:24:45","3427 KLICKITAT AVE SW, SEATTLE, WA 98134",47.57171643,-122.35246469,"POINT (-122.35246469 47.57171643)","98134","SOUTHWEST","HARBOR ISLAND"
29558,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","03/23/2021 11:46:37 AM","2021-03-23","11:46:37","3427 KLICKITAT AVE SW, SEATTLE, WA 98134",47.57171643,-122.35246469,"POINT (-122.35246469 47.57171643)","98134","SOUTHWEST","HARBOR ISLAND"
29865,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","03/24/2021 10:07:03 AM","2021-03-24","10:07:03","3427 KLICKITAT AVE SW, SEATTLE, WA 98134",47.57171643,-122.35246469,"POINT (-122.35246469 47.57171643)","98134","SOUTHWEST","HARBOR ISLAND"
31583,"Street Sign and Traffic Signal Maintenance","SDOT-Seattle Department of Transportation","03/29/2021 10:05:06 AM","2021-03-29","10:05:06","910 SW SPOKANE ST, SEATTLE, WA 98134",47.57200986,-122.34639115,"POINT (-122.34639115 47.57200986)","98134","SOUTHWEST","HARBOR ISLAND"
31700,"Pothole","SDOT-Seattle Department of Transportation","03/29/2021 12:46:16 PM","2021-03-29","12:46:16","3427 KLICKITAT AVE SW, SEATTLE, WA 98134",47.57171643,-122.35246469,"POINT (-122.35246469 47.57171643)","98134","SOUTHWEST","HARBOR ISLAND"
35361,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","04/06/2021 09:00:21 AM","2021-04-06","09:00:21","1101 SW SPOKANE ST, SEATTLE, WA 98134",47.57132674,-122.34961548,"POINT (-122.34961548 47.57132674)","98134","SOUTHWEST","HARBOR ISLAND"
