"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
900448,"Unauthorized Encampment","SEA-City of Seattle","10/30/2024 07:50:04 AM","2024-10-30","07:50:04","9438 9TH AVE SW, SEATTLE, WA 98106",47.518012,-122.34643953,"POINT (-122.34643953 47.518012)","98106","SOUTHWEST","HIGHLAND PARK"
900465,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","10/30/2024 07:50:44 AM","2024-10-30","07:50:44","9438 9TH AVE SW, SEATTLE, WA 98106",47.518012,-122.34643953,"POINT (-122.34643953 47.518012)","98106","SOUTHWEST","HIGHLAND PARK"
900701,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","10/30/2024 10:40:10 AM","2024-10-30","10:40:10","1319 SW CAMBRIDGE ST, SEATTLE, WA 98106",47.51902527,-122.35262357,"POINT (-122.35262357 47.51902527)","98106","SOUTHWEST","HIGHLAND PARK"
900865,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","10/30/2024 01:55:39 PM","2024-10-30","01:55:39","9201 6TH AVE SW, SEATTLE, WA 98106",47.51993709,-122.34346195,"POINT (-122.34346195 47.51993709)","98106","SOUTHWEST","HIGHLAND PARK"
900947,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","10/30/2024 03:53:19 PM","2024-10-30","03:53:19","9257 15TH AVE SW, SEATTLE, WA 98106",47.51935936,-122.35426492,"POINT (-122.35426492 47.51935936)","98106","SOUTHWEST","HIGHLAND PARK"
901008,"Overgrown Vegetation","FAS-Finance and Administrative Services","10/30/2024 05:35:57 PM","2024-10-30","05:35:57","8601 13TH AVE SW, SEATTLE, WA 98106",47.52633051,-122.35215503,"POINT (-122.35215503 47.52633051)","98106","SOUTHWEST","HIGHLAND PARK"
901009,"Unauthorized Encampment","SEA-City of Seattle","10/30/2024 05:32:02 PM","2024-10-30","05:32:02","9029 8TH AVE SW, SEATTLE, WA 98106",47.52187053,-122.34575879,"POINT (-122.34575879 47.52187053)","98106","SOUTHWEST","HIGHLAND PARK"
901315,"Overgrown Vegetation","FAS-Finance and Administrative Services","10/31/2024 09:18:03 AM","2024-10-31","09:18:03","9202 14TH AVE SW, SEATTLE, WA 98106",47.52082113,-122.3525416,"POINT (-122.3525416 47.52082113)","98106","SOUTHWEST","HIGHLAND PARK"
901321,"Parking Enforcement","SPD-Seattle Police Department","10/31/2024 09:28:15 AM","2024-10-31","09:28:15","9045 12TH AVE SW, SEATTLE, WA 98106",47.52149341,-122.35094502,"POINT (-122.35094502 47.52149341)","98106","SOUTHWEST","HIGHLAND PARK"
902009,"Overgrown Vegetation","FAS-Finance and Administrative Services","11/01/2024 09:38:29 AM","2024-11-01","09:38:29","7945 15TH AVE SW, SEATTLE, WA 98106",47.53053119,-122.35421023,"POINT (-122.35421023 47.53053119)","98106","SOUTHWEST","HIGHLAND PARK"
