"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
683984,"Parking Enforcement","SPD-Seattle Police Department","02/09/2024 11:45:27 AM","2024-02-09","11:45:27","6916 35TH AVE SW, SEATTLE, WA 98126",47.54045486,-122.37619013,"POINT (-122.37619013 47.54045486)","98126","SOUTHWEST","HIGH POINT"
684216,"Pothole","SDOT-Seattle Department of Transportation","02/09/2024 04:33:48 PM","2024-02-09","04:33:48","3209 SW JUNEAU ST, SEATTLE, WA 98126",47.54996624,-122.37421314,"POINT (-122.37421314 47.54996624)","98126","SOUTHWEST","HIGH POINT"
684369,"Unauthorized Encampment","SEA-City of Seattle","02/10/2024 08:33:55 AM","2024-02-10","08:33:55","2300 SW WEBSTER ST, SEATTLE, WA 98106",47.53592101,-122.36188846,"POINT (-122.36188846 47.53592101)","98106","SOUTHWEST","HIGH POINT"
684726,"Unauthorized Encampment","SEA-City of Seattle","02/10/2024 06:28:27 PM","2024-02-10","06:28:27","7131 SYLVAN WAY SW, SEATTLE, WA 98106",47.53756829,-122.36409302,"POINT (-122.36409302 47.53756829)","98106","SOUTHWEST","HIGH POINT"
684975,"Unauthorized Encampment","SEA-City of Seattle","02/11/2024 01:30:11 PM","2024-02-11","01:30:11","2727 SW BRANDON ST, SEATTLE, WA 98126",47.55368957,-122.36725116,"POINT (-122.36725116 47.55368957)","98126","SOUTHWEST","HIGH POINT"
685054,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","02/11/2024 03:43:10 PM","2024-02-11","03:43:10","5627 31ST AVE SW, SEATTLE, WA 98126",47.55114739,-122.37270013,"POINT (-122.37270013 47.55114739)","98126","SOUTHWEST","HIGH POINT"
685198,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","02/12/2024 07:33:49 AM","2024-02-12","07:33:49","6299 26TH AVE SW, SEATTLE, WA 98106",47.5464624,-122.36572442,"POINT (-122.36572442 47.5464624)","98106","SOUTHWEST","HIGH POINT"
685592,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","02/12/2024 01:46:39 PM","2024-02-12","01:46:39","5627 31ST AVE SW, SEATTLE, WA 98126",47.55114739,-122.37270013,"POINT (-122.37270013 47.55114739)","98126","SOUTHWEST","HIGH POINT"
685791,"Graffiti","SPU-Seattle Public Utilities","02/12/2024 05:08:12 PM","2024-02-12","05:08:12","3411 SW RAYMOND ST, SEATTLE, WA 98126",47.54804157,-122.37581389,"POINT (-122.37581389 47.54804157)","98126","SOUTHWEST","HIGH POINT"
685795,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","02/12/2024 05:06:11 PM","2024-02-12","05:06:11","3411 SW RAYMOND ST, SEATTLE, WA 98126",47.54804157,-122.37581389,"POINT (-122.37581389 47.54804157)","98126","SOUTHWEST","HIGH POINT"
685827,"Dead Animal","FAS-Finance and Administrative Services","02/12/2024 06:24:48 PM","2024-02-12","06:24:48","5931 DELRIDGE WAY SW, SEATTLE, WA 98106",47.54890106,-122.36333758,"POINT (-122.36333758 47.54890106)","98106","SOUTHWEST","HIGH POINT"
685861,"Graffiti","SPU-Seattle Public Utilities","02/12/2024 07:11:09 PM","2024-02-12","07:11:09","6501 34TH AVE SW, SEATTLE, WA 98126",47.54451292,-122.37539103,"POINT (-122.37539103 47.54451292)","98126","SOUTHWEST","HIGH POINT"
685874,"Graffiti","SPU-Seattle Public Utilities","02/12/2024 08:11:34 PM","2024-02-12","08:11:34","3409 SW GRAHAM ST, SEATTLE, WA 98126",47.54626259,-122.37544826,"POINT (-122.37544826 47.54626259)","98126","SOUTHWEST","HIGH POINT"
686675,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","02/14/2024 08:08:02 AM","2024-02-14","08:08:02","6003 LANHAM PL SW, SEATTLE, WA 98126",47.54811494,-122.37393359,"POINT (-122.37393359 47.54811494)","98126","SOUTHWEST","HIGH POINT"
687017,"Dead Animal","FAS-Finance and Administrative Services","02/14/2024 02:23:46 PM","2024-02-14","02:23:46","5931 DELRIDGE WAY SW, SEATTLE, WA 98106",47.54890106,-122.36333758,"POINT (-122.36333758 47.54890106)","98106","SOUTHWEST","HIGH POINT"
687565,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","02/15/2024 10:42:01 AM","2024-02-15","10:42:01","6301 34TH AVE SW, SEATTLE, WA 98126",47.54639132,-122.37525772,"POINT (-122.37525772 47.54639132)","98126","SOUTHWEST","HIGH POINT"
687706,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","02/15/2024 02:01:33 PM","2024-02-15","02:01:33","31ST AVE SW & SW MYRTLE ST, SEATTLE, WA",47.53920093,-122.37255859,"POINT (-122.37255859 47.53920093)","","SOUTHWEST","HIGH POINT"
688046,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","02/16/2024 08:55:07 AM","2024-02-16","08:55:07","6702 34TH AVE SW, SEATTLE, WA 98126",47.54264758,-122.37485528,"POINT (-122.37485528 47.54264758)","98126","SOUTHWEST","HIGH POINT"
688160,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","02/16/2024 10:42:00 AM","2024-02-16","10:42:00","DELRIDGE WAY SW & 22ND AVE SW, SEATTLE, WA",47.54368198,-122.36119882,"POINT (-122.36119882 47.54368198)","","SOUTHWEST","HIGH POINT"
688528,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","02/16/2024 05:21:00 PM","2024-02-16","05:21:00","5928 32ND AVE SW, SEATTLE, WA 98126",47.54944252,-122.37336692,"POINT (-122.37336692 47.54944252)","98126","SOUTHWEST","HIGH POINT"
688564,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","02/16/2024 07:43:01 PM","2024-02-16","07:43:01","5900 35TH AVE SW, SEATTLE, WA 98126",47.54998708,-122.37589068,"POINT (-122.37589068 47.54998708)","98126","SOUTHWEST","HIGH POINT"
688601,"Dead Animal","FAS-Finance and Administrative Services","02/16/2024 11:47:52 PM","2024-02-16","11:47:52","5931 DELRIDGE WAY SW, SEATTLE, WA 98106",47.54890106,-122.36333758,"POINT (-122.36333758 47.54890106)","98106","SOUTHWEST","HIGH POINT"
688640,"Graffiti","SPU-Seattle Public Utilities","02/17/2024 08:04:42 AM","2024-02-17","08:04:42","5455 DELRIDGE WAY SW, SEATTLE, WA 98106",47.55204214,-122.3632612,"POINT (-122.3632612 47.55204214)","98106","SOUTHWEST","HIGH POINT"
688820,"Dead Animal","FAS-Finance and Administrative Services","02/17/2024 12:21:38 PM","2024-02-17","12:21:38","5931 DELRIDGE WAY SW, SEATTLE, WA 98106",47.54890106,-122.36333758,"POINT (-122.36333758 47.54890106)","98106","SOUTHWEST","HIGH POINT"
688954,"Pothole","SDOT-Seattle Department of Transportation","02/17/2024 03:08:52 PM","2024-02-17","03:08:52","5632 35TH AVE SW, SEATTLE, WA 98126",47.55096656,-122.3759489,"POINT (-122.3759489 47.55096656)","98126","SOUTHWEST","HIGH POINT"
689135,"Streetlight Maintenance","SCL-Seattle City Light","02/18/2024 07:25:20 AM","2024-02-18","07:25:20","6551 HIGH POINT DR SW, SEATTLE, WA 98126",47.5433617,-122.36994573,"POINT (-122.36994573 47.5433617)","98126","SOUTHWEST","HIGH POINT"
689145,"Streetlight Maintenance","SCL-Seattle City Light","02/18/2024 07:23:17 AM","2024-02-18","07:23:17","6559 HIGH POINT DR SW, SEATTLE, WA 98126",47.54328467,-122.37016034,"POINT (-122.37016034 47.54328467)","98126","SOUTHWEST","HIGH POINT"
689150,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","02/18/2024 07:25:18 AM","2024-02-18","07:25:18","6746 35TH AVE SW, SEATTLE, WA 98126",47.54151223,-122.37617353,"POINT (-122.37617353 47.54151223)","98126","SOUTHWEST","HIGH POINT"
689209,"Graffiti","SPU-Seattle Public Utilities","02/18/2024 10:13:35 AM","2024-02-18","10:13:35","6501 34TH AVE SW, SEATTLE, WA 98126",47.54451292,-122.37539103,"POINT (-122.37539103 47.54451292)","98126","SOUTHWEST","HIGH POINT"
689213,"Streetlight Maintenance","SCL-Seattle City Light","02/18/2024 07:20:16 AM","2024-02-18","07:20:16","6568 SYLVAN WAY SW, SEATTLE, WA 98126",47.54313059,-122.37051048,"POINT (-122.37051048 47.54313059)","98126","SOUTHWEST","HIGH POINT"
689607,"Pothole","SDOT-Seattle Department of Transportation","02/19/2024 07:08:38 AM","2024-02-19","07:08:38","5631 DELRIDGE WAY SW, SEATTLE, WA 98106",47.55101782,-122.36338001,"POINT (-122.36338001 47.55101782)","98106","SOUTHWEST","HIGH POINT"
689701,"Unauthorized Encampment","SEA-City of Seattle","02/19/2024 09:37:49 AM","2024-02-19","09:37:49","6516 35TH AVE SW, SEATTLE, WA 98126",47.54413398,-122.3761145,"POINT (-122.3761145 47.54413398)","98126","SOUTHWEST","HIGH POINT"
689823,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","02/19/2024 11:59:59 AM","2024-02-19","11:59:59","6005 LANHAM PL SW, SEATTLE, WA 98126",47.54802821,-122.3739319,"POINT (-122.3739319 47.54802821)","98126","SOUTHWEST","HIGH POINT"
690034,"Dead Animal","FAS-Finance and Administrative Services","02/19/2024 04:33:56 PM","2024-02-19","04:33:56","5915 DELRIDGE WAY SW C, SEATTLE, WA 98106",47.54968667,-122.36408226,"POINT (-122.36408226 47.54968667)","98106","SOUTHWEST","HIGH POINT"
