"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
959683,"Unauthorized Encampment","SEA-City of Seattle","01/16/2025 03:48:17 PM","2025-01-16","03:48:17","553 S SPOKANE ST, SEATTLE, WA 98134",47.57132931,-122.32641653,"POINT (-122.32641653 47.57132931)","98134","SOUTH","INDUSTRIAL DISTRICT"
959752,"Pothole","SDOT-Seattle Department of Transportation","01/16/2025 05:02:49 PM","2025-01-16","05:02:49","1727 6TH AVE S, SEATTLE, WA 98134",47.58795109,-122.32609211,"POINT (-122.32609211 47.58795109)","98134","SOUTH","INDUSTRIAL DISTRICT"
959911,"Unauthorized Encampment","SEA-City of Seattle","01/17/2025 02:30:08 AM","2025-01-17","02:30:08","617 S DEARBORN ST, SEATTLE, WA 98134",47.5956082,-122.32535212,"POINT (-122.32535212 47.5956082)","98134","WEST","INDUSTRIAL DISTRICT"
959970,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","01/17/2025 08:22:48 AM","2025-01-17","08:22:48","5193 UTAH AVE S, SEATTLE, WA 98134",47.55578299,-122.33541833,"POINT (-122.33541833 47.55578299)","98134","SOUTH","INDUSTRIAL DISTRICT"
959999,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/17/2025 08:18:49 AM","2025-01-17","08:18:49","5000 UTAH AVE S, SEATTLE, WA 98134",47.55741097,-122.3353843,"POINT (-122.3353843 47.55741097)","98134","SOUTH","INDUSTRIAL DISTRICT"
960041,"Pothole","SDOT-Seattle Department of Transportation","01/17/2025 08:57:05 AM","2025-01-17","08:57:05","28 S BRANDON ST, SEATTLE, WA 98134",47.55435918,-122.33630693,"POINT (-122.33630693 47.55435918)","98134","SOUTH","INDUSTRIAL DISTRICT"
960083,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/17/2025 09:27:25 AM","2025-01-17","09:27:25","5103 UTAH AVE S, SEATTLE, WA 98134",47.5565394,-122.33551585,"POINT (-122.33551585 47.5565394)","98134","SOUTH","INDUSTRIAL DISTRICT"
960093,"Unauthorized Encampment","SEA-City of Seattle","01/17/2025 09:25:34 AM","2025-01-17","09:25:34","5107 UTAH AVE S, SEATTLE, WA 98134",47.55650579,-122.33551151,"POINT (-122.33551151 47.55650579)","98134","SOUTH","INDUSTRIAL DISTRICT"
960096,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","01/17/2025 09:27:22 AM","2025-01-17","09:27:22","5107 UTAH AVE S, SEATTLE, WA 98134",47.55650579,-122.33551151,"POINT (-122.33551151 47.55650579)","98134","SOUTH","INDUSTRIAL DISTRICT"
960118,"Unauthorized Encampment","SEA-City of Seattle","01/17/2025 09:31:19 AM","2025-01-17","09:31:19","1100 AIRPORT WAY S, SEATTLE, WA 98134",47.59297419,-122.32380426,"POINT (-122.32380426 47.59297419)","98134","WEST","INDUSTRIAL DISTRICT"
960122,"Unauthorized Encampment","SEA-City of Seattle","01/17/2025 10:01:35 AM","2025-01-17","10:01:35","2200 UTAH AVE S, SEATTLE, WA 98134",47.58404075,-122.33506563,"POINT (-122.33506563 47.58404075)","98134","SOUTH","INDUSTRIAL DISTRICT"
960176,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/17/2025 10:35:56 AM","2025-01-17","10:35:56","5030 3RD AVE S, SEATTLE, WA 98134",47.55679119,-122.33071183,"POINT (-122.33071183 47.55679119)","98134","SOUTH","INDUSTRIAL DISTRICT"
960195,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/17/2025 10:37:56 AM","2025-01-17","10:37:56","5030 3RD AVE S, SEATTLE, WA 98134",47.55679119,-122.33071183,"POINT (-122.33071183 47.55679119)","98134","SOUTH","INDUSTRIAL DISTRICT"
960218,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/17/2025 10:39:53 AM","2025-01-17","10:39:53","5030 3RD AVE S, SEATTLE, WA 98134",47.55679119,-122.33071183,"POINT (-122.33071183 47.55679119)","98134","SOUTH","INDUSTRIAL DISTRICT"
960229,"Unauthorized Encampment","SEA-City of Seattle","01/17/2025 11:02:07 AM","2025-01-17","11:02:07","1025 7TH AVE S, SEATTLE, WA 98134",47.59355562,-122.3240647,"POINT (-122.3240647 47.59355562)","98134","WEST","INDUSTRIAL DISTRICT"
960234,"Graffiti","SPU-Seattle Public Utilities","01/17/2025 11:24:13 AM","2025-01-17","11:24:13","205 S SPOKANE ST, SEATTLE, WA 98134",47.57127087,-122.33149361,"POINT (-122.33149361 47.57127087)","98134","SOUTH","INDUSTRIAL DISTRICT"
960238,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","01/17/2025 11:14:06 AM","2025-01-17","11:14:06","1350 HARBOR AVE SW, SEATTLE, WA 98116",47.59110221,-122.38198203,"POINT (-122.38198203 47.59110221)","98116","SOUTHWEST","INDUSTRIAL DISTRICT"
960284,"Pothole","SDOT-Seattle Department of Transportation","01/17/2025 12:22:39 PM","2025-01-17","12:22:39","690 S DAKOTA ST, SEATTLE, WA 98108",47.56730858,-122.3245761,"POINT (-122.3245761 47.56730858)","98108","SOUTH","INDUSTRIAL DISTRICT"
960322,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","01/17/2025 01:02:56 PM","2025-01-17","01:02:56","1025 7TH AVE S, SEATTLE, WA 98134",47.59355562,-122.3240647,"POINT (-122.3240647 47.59355562)","98134","WEST","INDUSTRIAL DISTRICT"
960329,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","01/17/2025 01:06:58 PM","2025-01-17","01:06:58","1025 7TH AVE S, SEATTLE, WA 98134",47.59355562,-122.3240647,"POINT (-122.3240647 47.59355562)","98134","WEST","INDUSTRIAL DISTRICT"
960348,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","01/17/2025 01:07:01 PM","2025-01-17","01:07:01","1025 7TH AVE S, SEATTLE, WA 98134",47.59355562,-122.3240647,"POINT (-122.3240647 47.59355562)","98134","WEST","INDUSTRIAL DISTRICT"
960385,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","01/17/2025 02:09:31 PM","2025-01-17","02:09:31","3500 E MARGINAL WAY S, SEATTLE, WA 98134",47.57163936,-122.33901968,"POINT (-122.33901968 47.57163936)","98134","SOUTH","INDUSTRIAL DISTRICT"
960388,"Damaged Sidewalk","SDOT-Seattle Department of Transportation","01/17/2025 02:11:23 PM","2025-01-17","02:11:23","1025 7TH AVE S, SEATTLE, WA 98134",47.59355562,-122.3240647,"POINT (-122.3240647 47.59355562)","98134","WEST","INDUSTRIAL DISTRICT"
960394,"Unauthorized Encampment","SEA-City of Seattle","01/17/2025 02:13:28 PM","2025-01-17","02:13:28","3901 9TH AVE S, SEATTLE, WA 98108",47.5685289,-122.32167276,"POINT (-122.32167276 47.5685289)","98108","SOUTH","INDUSTRIAL DISTRICT"
960405,"Unauthorized Encampment","SEA-City of Seattle","01/17/2025 02:27:38 PM","2025-01-17","02:27:38","451 S SPOKANE ST, SEATTLE, WA 98134",47.5712622,-122.32748515,"POINT (-122.32748515 47.5712622)","98134","SOUTH","INDUSTRIAL DISTRICT"
960408,"Unauthorized Encampment","SEA-City of Seattle","01/17/2025 02:25:35 PM","2025-01-17","02:25:35","499 S SPOKANE ST, SEATTLE, WA 98134",47.57133335,-122.32690643,"POINT (-122.32690643 47.57133335)","98134","SOUTH","INDUSTRIAL DISTRICT"
960426,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/17/2025 02:49:53 PM","2025-01-17","02:49:53","601 S SNOQUALMIE ST, SEATTLE, WA 98108",47.56160383,-122.32603421,"POINT (-122.32603421 47.56160383)","98108","SOUTH","INDUSTRIAL DISTRICT"
960617,"Unauthorized Encampment","SEA-City of Seattle","01/17/2025 08:30:23 PM","2025-01-17","08:30:23","24 S ATLANTIC ST, SEATTLE, WA 98134",47.59064128,-122.33690103,"POINT (-122.33690103 47.59064128)","98134","WEST","INDUSTRIAL DISTRICT"
960627,"Parking Enforcement","SPD-Seattle Police Department","01/17/2025 09:30:47 PM","2025-01-17","09:30:47","3851 1ST AVE S, SEATTLE, WA 98134",47.56780412,-122.33621561,"POINT (-122.33621561 47.56780412)","98134","SOUTH","INDUSTRIAL DISTRICT"
960637,"Traffic Signal Maintenance","SDOT-Seattle Department of Transportation","01/17/2025 10:27:14 PM","2025-01-17","10:27:14","799 S SPOKANE ST, SEATTLE, WA 98134",47.57131675,-122.32275913,"POINT (-122.32275913 47.57131675)","98134","SOUTH","INDUSTRIAL DISTRICT"
960699,"Pothole","SDOT-Seattle Department of Transportation","01/18/2025 07:37:26 AM","2025-01-18","07:37:26","451 S SPOKANE ST, SEATTLE, WA 98134",47.5712622,-122.32748515,"POINT (-122.32748515 47.5712622)","98134","SOUTH","INDUSTRIAL DISTRICT"
960754,"Unauthorized Encampment","SEA-City of Seattle","01/18/2025 09:12:09 AM","2025-01-18","09:12:09","75 S ROYAL BROUGHAM WAY, SEATTLE, WA 98134",47.59228366,-122.33548758,"POINT (-122.33548758 47.59228366)","98134","WEST","INDUSTRIAL DISTRICT"
960774,"Unauthorized Encampment","SEA-City of Seattle","01/18/2025 10:04:30 AM","2025-01-18","10:04:30","1521 COLORADO AVE S, SEATTLE, WA 98134",47.58899035,-122.33710876,"POINT (-122.33710876 47.58899035)","98134","SOUTH","INDUSTRIAL DISTRICT"
960847,"Unauthorized Encampment","SEA-City of Seattle","01/18/2025 11:51:30 AM","2025-01-18","11:51:30","1743 1ST AVE S, SEATTLE, WA 98134",47.58685727,-122.33468699,"POINT (-122.33468699 47.58685727)","98134","SOUTH","INDUSTRIAL DISTRICT"
961212,"Traffic Signal Maintenance","SDOT-Seattle Department of Transportation","01/19/2025 07:38:19 AM","2025-01-19","07:38:19","4140 E MARGINAL WAY S, SEATTLE, WA 98134",47.56502472,-122.33796131,"POINT (-122.33796131 47.56502472)","98134","SOUTH","INDUSTRIAL DISTRICT"
961255,"Graffiti","SPU-Seattle Public Utilities","01/19/2025 09:00:56 AM","2025-01-19","09:00:56","2984 SW ADMIRAL WAY, SEATTLE, WA 98126",47.57170673,-122.3685926,"POINT (-122.3685926 47.57170673)","98126","SOUTHWEST","INDUSTRIAL DISTRICT"
961318,"Unauthorized Encampment","SEA-City of Seattle","01/19/2025 11:05:52 AM","2025-01-19","11:05:52","901 S HINDS ST, SEATTLE, WA 98134",47.57286283,-122.3210118,"POINT (-122.3210118 47.57286283)","98134","SOUTH","INDUSTRIAL DISTRICT"
961342,"Parking Enforcement","SPD-Seattle Police Department","01/19/2025 11:34:06 AM","2025-01-19","11:34:06","3440 E MARGINAL WAY S, SEATTLE, WA 98134",47.57199856,-122.33844166,"POINT (-122.33844166 47.57199856)","98134","SOUTH","INDUSTRIAL DISTRICT"
961394,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","01/19/2025 12:36:33 PM","2025-01-19","12:36:33","1200 SW EDMUNDS ST, SEATTLE, WA 98106",47.55944038,-122.35095489,"POINT (-122.35095489 47.55944038)","98106","SOUTHWEST","INDUSTRIAL DISTRICT"
961485,"Graffiti","SPU-Seattle Public Utilities","01/19/2025 02:55:39 PM","2025-01-19","02:55:39","99 S SPOKANE ST, SEATTLE, WA 98134",47.57095889,-122.33549631,"POINT (-122.33549631 47.57095889)","98134","SOUTH","INDUSTRIAL DISTRICT"
