"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
741792,"Graffiti","SPU-Seattle Public Utilities","05/01/2024 10:36:17 AM","2024-05-01","10:36:17","401 ELLIOTT AVE W, SEATTLE, WA 98119",47.62234749,-122.3637845,"POINT (-122.3637845 47.62234749)","98119","WEST","INTERBAY"
742010,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","05/01/2024 01:12:25 PM","2024-05-01","01:12:25","4043 21ST AVE W, SEATTLE, WA 98199",47.65708207,-122.38383404,"POINT (-122.38383404 47.65708207)","98199","WEST","INTERBAY"
742147,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","05/01/2024 03:31:28 PM","2024-05-01","03:31:28","2632 21ST AVE W, SEATTLE, WA 98199",47.6439298,-122.38313135,"POINT (-122.38313135 47.6439298)","98199","WEST","INTERBAY"
742156,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","05/01/2024 04:08:45 PM","2024-05-01","04:08:45","3238 17TH AVE W, SEATTLE, WA 98119",47.65016731,-122.37843531,"POINT (-122.37843531 47.65016731)","98119","WEST","INTERBAY"
742369,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","05/01/2024 08:02:32 PM","2024-05-01","08:02:32","2218 THORNDYKE AVE W, SEATTLE, WA 98199",47.63896244,-122.38712295,"POINT (-122.38712295 47.63896244)","98199","WEST","INTERBAY"
742443,"General Inquiry - City Light","SCL-Seattle City Light","05/01/2024 09:27:11 PM","2024-05-01","09:27:11","3040 17TH AVE W SLATE APARTMENT 411, SEATTLE, WA 98119",47.64772007,-122.37842362,"POINT (-122.37842362 47.64772007)","98119","WEST","INTERBAY"
742730,"Unauthorized Encampment","SEA-City of Seattle","05/02/2024 10:29:10 AM","2024-05-02","10:29:10","1601 W GARFIELD ST, SEATTLE, WA 98119",47.63350142,-122.37743551,"POINT (-122.37743551 47.63350142)","98119","WEST","INTERBAY"
742772,"Parking Enforcement","SPD-Seattle Police Department","05/02/2024 11:02:30 AM","2024-05-02","11:02:30","4019 21ST AVE W, SEATTLE, WA 98199",47.65649084,-122.38382546,"POINT (-122.38382546 47.65649084)","98199","WEST","INTERBAY"
742889,"Streetlight Maintenance","SCL-Seattle City Light","05/02/2024 12:57:17 PM","2024-05-02","12:57:17","3238 17TH AVE W, SEATTLE, WA 98119",47.65016731,-122.37843531,"POINT (-122.37843531 47.65016731)","98119","WEST","INTERBAY"
742937,"Pothole","SDOT-Seattle Department of Transportation","05/02/2024 01:24:41 PM","2024-05-02","01:24:41","1534 MAGNOLIA WAY W, SEATTLE, WA 98199",47.63337984,-122.38984959,"POINT (-122.38984959 47.63337984)","98199","WEST","INTERBAY"
743248,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","05/02/2024 06:45:56 PM","2024-05-02","06:45:56","3126 W COMMODORE WAY, SEATTLE, WA 98199",47.66443383,-122.39802383,"POINT (-122.39802383 47.66443383)","98199","WEST","INTERBAY"
743579,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","05/03/2024 09:30:40 AM","2024-05-03","09:30:40","3100 W COMMODORE WAY, SEATTLE, WA 98199",47.6640123,-122.39701255,"POINT (-122.39701255 47.6640123)","98199","WEST","INTERBAY"
743594,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","05/03/2024 09:56:54 AM","2024-05-03","09:56:54","3100 W COMMODORE WAY, SEATTLE, WA 98199",47.6640123,-122.39701255,"POINT (-122.39701255 47.6640123)","98199","WEST","INTERBAY"
743597,"Graffiti","SPU-Seattle Public Utilities","05/03/2024 09:48:49 AM","2024-05-03","09:48:49","1601 W GARFIELD ST, SEATTLE, WA 98119",47.63350142,-122.37743551,"POINT (-122.37743551 47.63350142)","98119","WEST","INTERBAY"
743646,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","05/03/2024 10:38:27 AM","2024-05-03","10:38:27","1561 W ARMORY WAY, SEATTLE, WA 98119",47.63848786,-122.37775601,"POINT (-122.37775601 47.63848786)","98119","WEST","INTERBAY"
743836,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","05/03/2024 01:27:22 PM","2024-05-03","01:27:22","3100 W COMMODORE WAY, SEATTLE, WA 98199",47.6640123,-122.39701255,"POINT (-122.39701255 47.6640123)","98199","WEST","INTERBAY"
743978,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","05/03/2024 04:24:54 PM","2024-05-03","04:24:54","2501 15TH AVE W, SEATTLE, WA 98119",47.64427603,-122.37803434,"POINT (-122.37803434 47.64427603)","98119","WEST","INTERBAY"
744077,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","05/03/2024 06:04:36 PM","2024-05-03","06:04:36","635 ELLIOTT AVE W, SEATTLE, WA 98119",47.6252015,-122.36737008,"POINT (-122.36737008 47.6252015)","98119","WEST","INTERBAY"
744134,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","05/03/2024 07:34:20 PM","2024-05-03","07:34:20","2111 23RD AVE W, SEATTLE, WA 98199",47.63819163,-122.38654967,"POINT (-122.38654967 47.63819163)","98199","WEST","INTERBAY"
744206,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","05/03/2024 10:21:32 PM","2024-05-03","10:21:32","2328 W PLYMOUTH ST, SEATTLE, WA 98199",47.63641772,-122.38745758,"POINT (-122.38745758 47.63641772)","98199","WEST","INTERBAY"
744260,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","05/04/2024 08:11:02 AM","2024-05-04","08:11:02","3220 20TH AVE W, SEATTLE, WA 98199",47.64944118,-122.38182344,"POINT (-122.38182344 47.64944118)","98199","WEST","INTERBAY"
744372,"Unauthorized Encampment","SEA-City of Seattle","05/04/2024 11:00:19 AM","2024-05-04","11:00:19","3851 15TH AVE W, SEATTLE, WA 98119",47.65494788,-122.3763741,"POINT (-122.3763741 47.65494788)","98119","WEST","INTERBAY"
744620,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","05/04/2024 05:24:17 PM","2024-05-04","05:24:17","2334 THORNDYKE AVE W, SEATTLE, WA 98199",47.63992357,-122.38644356,"POINT (-122.38644356 47.63992357)","98199","WEST","INTERBAY"
744631,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","05/04/2024 05:32:17 PM","2024-05-04","05:32:17","2334 THORNDYKE AVE W, SEATTLE, WA 98199",47.63992357,-122.38644356,"POINT (-122.38644356 47.63992357)","98199","WEST","INTERBAY"
744798,"Parking Enforcement","SPD-Seattle Police Department","05/05/2024 09:31:39 AM","2024-05-05","09:31:39","3008 16TH AVE W, SEATTLE, WA 98119",47.64688281,-122.37711279,"POINT (-122.37711279 47.64688281)","98119","WEST","INTERBAY"
745079,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","05/05/2024 03:47:27 PM","2024-05-05","03:47:27","1450 23RD AVE W, SEATTLE, WA 98199",47.63166884,-122.38664197,"POINT (-122.38664197 47.63166884)","98199","WEST","INTERBAY"
745114,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","05/05/2024 02:21:48 PM","2024-05-05","02:21:48","3220 20TH AVE W, SEATTLE, WA 98199",47.64944118,-122.38182344,"POINT (-122.38182344 47.64944118)","98199","WEST","INTERBAY"
745117,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","05/05/2024 04:44:56 PM","2024-05-05","04:44:56","1450 23RD AVE W, SEATTLE, WA 98199",47.63166884,-122.38664197,"POINT (-122.38664197 47.63166884)","98199","WEST","INTERBAY"
745213,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","05/05/2024 08:13:30 PM","2024-05-05","08:13:30","2601 W COMMODORE WAY, SEATTLE, WA 98199",47.66160687,-122.39074958,"POINT (-122.39074958 47.66160687)","98199","WEST","INTERBAY"
745306,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","05/06/2024 07:39:55 AM","2024-05-06","07:39:55","1616 W BERTONA ST, SEATTLE, WA 98119",47.65067526,-122.37831044,"POINT (-122.37831044 47.65067526)","98119","WEST","INTERBAY"
745312,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","05/06/2024 07:37:51 AM","2024-05-06","07:37:51","1616 W BERTONA ST, SEATTLE, WA 98119",47.65067526,-122.37831044,"POINT (-122.37831044 47.65067526)","98119","WEST","INTERBAY"
745344,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","05/06/2024 07:38:52 AM","2024-05-06","07:38:52","1616 W BERTONA ST, SEATTLE, WA 98119",47.65067526,-122.37831044,"POINT (-122.37831044 47.65067526)","98119","WEST","INTERBAY"
745349,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","05/06/2024 08:07:05 AM","2024-05-06","08:07:05","3036 16TH AVE W, SEATTLE, WA 98119",47.64771412,-122.3769665,"POINT (-122.3769665 47.64771412)","98119","WEST","INTERBAY"
