"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
892554,"Unauthorized Encampment","SEA-City of Seattle","10/21/2024 10:26:26 AM","2024-10-21","10:26:26","411 MAYNARD AVE S, SEATTLE, WA 98104",47.59859329,-122.32552803,"POINT (-122.32552803 47.59859329)","98104","WEST","INTERNATIONAL DISTRICT"
892555,"Graffiti","SPU-Seattle Public Utilities","10/21/2024 10:42:35 AM","2024-10-21","10:42:35","511 7TH AVE S, SEATTLE, WA 98104",47.59796508,-122.32395629,"POINT (-122.32395629 47.59796508)","98104","WEST","INTERNATIONAL DISTRICT"
892566,"Graffiti","SPU-Seattle Public Utilities","10/21/2024 10:28:30 AM","2024-10-21","10:28:30","523 MAYNARD AVE S, SEATTLE, WA 98104",47.59768659,-122.32536696,"POINT (-122.32536696 47.59768659)","98104","WEST","INTERNATIONAL DISTRICT"
892570,"Graffiti","SPU-Seattle Public Utilities","10/21/2024 10:44:38 AM","2024-10-21","10:44:38","506 7TH AVE S, SEATTLE, WA 98104",47.59822976,-122.32356978,"POINT (-122.32356978 47.59822976)","98104","WEST","INTERNATIONAL DISTRICT"
892571,"Graffiti","SPU-Seattle Public Utilities","10/21/2024 10:46:34 AM","2024-10-21","10:46:34","506 7TH AVE S, SEATTLE, WA 98104",47.59822976,-122.32356978,"POINT (-122.32356978 47.59822976)","98104","WEST","INTERNATIONAL DISTRICT"
892573,"Graffiti","SPU-Seattle Public Utilities","10/21/2024 10:50:41 AM","2024-10-21","10:50:41","517 8TH AVE S, SEATTLE, WA 98104",47.59785242,-122.32272245,"POINT (-122.32272245 47.59785242)","98104","WEST","INTERNATIONAL DISTRICT"
892574,"Graffiti","SPU-Seattle Public Utilities","10/21/2024 10:46:39 AM","2024-10-21","10:46:39","410 7TH AVE S, SEATTLE, WA 98104",47.59863754,-122.32354745,"POINT (-122.32354745 47.59863754)","98104","WEST","INTERNATIONAL DISTRICT"
892576,"Graffiti","SPU-Seattle Public Utilities","10/21/2024 10:54:38 AM","2024-10-21","10:54:38","514 6TH AVE S, SEATTLE, WA 98104",47.59774777,-122.32600719,"POINT (-122.32600719 47.59774777)","98104","WEST","INTERNATIONAL DISTRICT"
892577,"Graffiti","SPU-Seattle Public Utilities","10/21/2024 10:54:40 AM","2024-10-21","10:54:40","513 S MAIN ST, SEATTLE, WA 98104",47.59985801,-122.32672801,"POINT (-122.32672801 47.59985801)","98104","WEST","INTERNATIONAL DISTRICT"
892582,"Graffiti","SPU-Seattle Public Utilities","10/21/2024 10:36:33 AM","2024-10-21","10:36:33","560 MAYNARD AVE S, SEATTLE, WA 98104",47.59769569,-122.32468435,"POINT (-122.32468435 47.59769569)","98104","WEST","INTERNATIONAL DISTRICT"
