"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
354832,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","10/14/2022 04:59:08 PM","2022-10-14","04:59:08","3608 42ND AVE NE, SEATTLE, WA 98105",47.65463603,-122.28117511,"POINT (-122.28117511 47.65463603)","98105","NORTH","LAURELHURST"
354887,"Streetlight Maintenance","SCL-Seattle City Light","10/14/2022 08:30:45 PM","2022-10-14","08:30:45","3415 45TH AVE NE, SEATTLE, WA 98105",47.65397986,-122.27885708,"POINT (-122.27885708 47.65397986)","98105","NORTH","LAURELHURST"
354951,"Streetlight Maintenance","SCL-Seattle City Light","10/14/2022 08:20:36 PM","2022-10-14","08:20:36","3411 45TH AVE NE, SEATTLE, WA 98105",47.65383414,-122.27882882,"POINT (-122.27882882 47.65383414)","98105","NORTH","LAURELHURST"
355321,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","10/15/2022 06:12:36 PM","2022-10-15","06:12:36","3608 42ND AVE NE, SEATTLE, WA 98105",47.65463603,-122.28117511,"POINT (-122.28117511 47.65463603)","98105","NORTH","LAURELHURST"
355698,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","10/16/2022 03:51:41 PM","2022-10-16","03:51:41","3608 42ND AVE NE, SEATTLE, WA 98105",47.65463603,-122.28117511,"POINT (-122.28117511 47.65463603)","98105","NORTH","LAURELHURST"
355764,"Parking Enforcement","SPD-Seattle Police Department","10/16/2022 04:48:07 PM","2022-10-16","04:48:07","4205 NE 45TH ST, SEATTLE, WA 98105",47.66113129,-122.28229825,"POINT (-122.28229825 47.66113129)","98105","NORTH","LAURELHURST"
356051,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","10/17/2022 08:15:03 AM","2022-10-17","08:15:03","4201 NE 41ST ST, SEATTLE, WA 98105",47.65822519,-122.28240119,"POINT (-122.28240119 47.65822519)","98105","NORTH","LAURELHURST"
356222,"Damaged Sidewalk","SDOT-Seattle Department of Transportation","10/17/2022 11:04:21 AM","2022-10-17","11:04:21","3915 47TH AVE NE, SEATTLE, WA 98105",47.65684444,-122.27795118,"POINT (-122.27795118 47.65684444)","98105","NORTH","LAURELHURST"
356380,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","10/17/2022 01:01:15 PM","2022-10-17","01:01:15","5024 NE 41ST ST, SEATTLE, WA 98105",47.65829177,-122.27293159,"POINT (-122.27293159 47.65829177)","98105","NORTH","LAURELHURST"
356451,"Abandoned Vehicle/72hr Parking Ordinance","SDOT-Seattle Department of Transportation","10/17/2022 01:51:40 PM","2022-10-17","01:51:40","5405 47TH AVE NE, SEATTLE, WA 98105",47.66804415,-122.27762188,"POINT (-122.27762188 47.66804415)","98105","NORTH","LAURELHURST"
356805,"Parking Enforcement","SPD-Seattle Police Department","10/17/2022 08:34:43 PM","2022-10-17","08:34:43","4205 NE 45TH ST, SEATTLE, WA 98105",47.66113129,-122.28229825,"POINT (-122.28229825 47.66113129)","98105","NORTH","LAURELHURST"
356954,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","10/18/2022 08:22:10 AM","2022-10-18","08:22:10","3604 42ND AVE NE, SEATTLE, WA 98105",47.65462556,-122.2809501,"POINT (-122.2809501 47.65462556)","98105","NORTH","LAURELHURST"
356976,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","10/18/2022 08:26:13 AM","2022-10-18","08:26:13","3901 NE SURBER DR, SEATTLE, WA 98105",47.65655803,-122.28658281,"POINT (-122.28658281 47.65655803)","98105","NORTH","LAURELHURST"
357002,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","10/18/2022 08:30:24 AM","2022-10-18","08:30:24","4101 36TH AVE NE, SEATTLE, WA 98105",47.65867433,-122.28951096,"POINT (-122.28951096 47.65867433)","98105","NORTH","LAURELHURST"
357072,"Streetlight Maintenance","SCL-Seattle City Light","10/18/2022 09:46:45 AM","2022-10-18","09:46:45","5150 NE LATIMER PL, SEATTLE, WA 98105",47.65749999,-122.2713915,"POINT (-122.2713915 47.65749999)","98105","NORTH","LAURELHURST"
357669,"Abandoned Vehicle/72hr Parking Ordinance","SDOT-Seattle Department of Transportation","10/18/2022 05:32:24 PM","2022-10-18","05:32:24","5026 NE 41ST ST, SEATTLE, WA 98105",47.65825289,-122.27272595,"POINT (-122.27272595 47.65825289)","98105","NORTH","LAURELHURST"
357822,"Streetlight Maintenance","SCL-Seattle City Light","10/18/2022 09:24:05 PM","2022-10-18","09:24:05","4720 NE 36TH ST, SEATTLE, WA 98105",47.6545446,-122.27593631,"POINT (-122.27593631 47.6545446)","98105","NORTH","LAURELHURST"
357919,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","10/19/2022 07:17:39 AM","2022-10-19","07:17:39","4522 47TH AVE NE, SEATTLE, WA 98105",47.66198513,-122.27702951,"POINT (-122.27702951 47.66198513)","98105","NORTH","LAURELHURST"
358190,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","10/19/2022 11:01:24 AM","2022-10-19","11:01:24","5450 SAND POINT WAY NE, SEATTLE, WA 98105",47.66798479,-122.27547983,"POINT (-122.27547983 47.66798479)","98105","NORTH","LAURELHURST"
358199,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","10/19/2022 11:13:39 AM","2022-10-19","11:13:39","5024 NE 41ST ST, SEATTLE, WA 98105",47.65829177,-122.27293159,"POINT (-122.27293159 47.65829177)","98105","NORTH","LAURELHURST"
358416,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","10/19/2022 02:24:53 PM","2022-10-19","02:24:53","5102 50TH AVE NE, SEATTLE, WA 98105",47.666399,-122.27380964,"POINT (-122.27380964 47.666399)","98105","NORTH","LAURELHURST"
358433,"General Inquiry - City Light","SCL-Seattle City Light","10/19/2022 02:27:04 PM","2022-10-19","02:27:04","4501 48TH AVE NE, SEATTLE, WA 98105",47.66143885,-122.2761965,"POINT (-122.2761965 47.66143885)","98105","NORTH","LAURELHURST"
359240,"Parking Enforcement","SPD-Seattle Police Department","10/20/2022 03:04:28 PM","2022-10-20","03:04:28","4530 45TH AVE NE, SEATTLE, WA 98105",47.66226093,-122.27904244,"POINT (-122.27904244 47.66226093)","98105","NORTH","LAURELHURST"
359246,"Abandoned Vehicle/72hr Parking Ordinance","SDOT-Seattle Department of Transportation","10/20/2022 02:36:12 PM","2022-10-20","02:36:12","4530 45TH AVE NE, SEATTLE, WA 98105",47.66226093,-122.27904244,"POINT (-122.27904244 47.66226093)","98105","NORTH","LAURELHURST"
359529,"Streetlight Maintenance","SCL-Seattle City Light","10/20/2022 10:45:57 PM","2022-10-20","10:45:57","NE 39TH ST & 49TH AVE NE, SEATTLE, WA",47.65708752,-122.27491759,"POINT (-122.27491759 47.65708752)","","NORTH","LAURELHURST"
