"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
809573,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/21/2024 11:43:30 PM","2024-07-21","11:43:30","3402 22ND AVE W, SEATTLE, WA 98199",47.65049286,-122.38437503,"POINT (-122.38437503 47.65049286)","98199","WEST","LAWTON PARK"
809660,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/22/2024 07:08:56 AM","2024-07-22","07:08:56","2014 W DRAVUS ST, SEATTLE, WA 98199",47.64866389,-122.38306251,"POINT (-122.38306251 47.64866389)","98199","WEST","LAWTON PARK"
809757,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/22/2024 08:39:37 AM","2024-07-22","08:39:37","3641 22ND AVE W, SEATTLE, WA 98199",47.65343158,-122.38517884,"POINT (-122.38517884 47.65343158)","98199","WEST","LAWTON PARK"
810012,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/22/2024 11:23:05 AM","2024-07-22","11:23:05","2014 W DRAVUS ST, SEATTLE, WA 98199",47.64866389,-122.38306251,"POINT (-122.38306251 47.64866389)","98199","WEST","LAWTON PARK"
810545,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","07/22/2024 06:18:02 PM","2024-07-22","06:18:02","3803 24TH AVE W, SEATTLE, WA 98199",47.65422785,-122.38778141,"POINT (-122.38778141 47.65422785)","98199","WEST","LAWTON PARK"
810638,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/22/2024 07:53:45 PM","2024-07-22","07:53:45","3437 22ND AVE W, SEATTLE, WA 98199",47.65141909,-122.38497098,"POINT (-122.38497098 47.65141909)","98199","WEST","LAWTON PARK"
810689,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/22/2024 09:18:24 PM","2024-07-22","09:18:24","3315 W RUFFNER ST, SEATTLE, WA 98199",47.6520555,-122.40035673,"POINT (-122.40035673 47.6520555)","98199","WEST","LAWTON PARK"
810700,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","07/22/2024 10:17:51 PM","2024-07-22","10:17:51","3309 W RUFFNER ST, SEATTLE, WA 98199",47.65207537,-122.40011105,"POINT (-122.40011105 47.65207537)","98199","WEST","LAWTON PARK"
810996,"Overgrown Vegetation","FAS-Finance and Administrative Services","07/23/2024 09:31:08 AM","2024-07-23","09:31:08","1323 DISCOVERY PARK BLVD, SEATTLE, WA 98199",47.66005189,-122.42665102,"POINT (-122.42665102 47.66005189)","98199","WEST","LAWTON PARK"
811410,"Unauthorized Encampment","SEA-City of Seattle","07/23/2024 02:24:45 PM","2024-07-23","02:24:45","3436 21ST AVE W, SEATTLE, WA 98199",47.6514545,-122.38311036,"POINT (-122.38311036 47.6514545)","98199","WEST","LAWTON PARK"
811652,"Graffiti","SPU-Seattle Public Utilities","07/23/2024 05:47:49 PM","2024-07-23","05:47:49","3442 W COMMODORE WAY, SEATTLE, WA 98199",47.66582486,-122.40258931,"POINT (-122.40258931 47.66582486)","98199","WEST","LAWTON PARK"
811856,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","07/23/2024 10:33:32 PM","2024-07-23","10:33:32","1323 DISCOVERY PARK BLVD, SEATTLE, WA 98199",47.66005189,-122.42665102,"POINT (-122.42665102 47.66005189)","98199","WEST","LAWTON PARK"
811923,"Animal Noise","FAS-Finance and Administrative Services","07/24/2024 07:26:00 AM","2024-07-24","07:26:00","3036 36TH AVE W, SEATTLE, WA 98199",47.64795227,-122.40331487,"POINT (-122.40331487 47.64795227)","98199","WEST","LAWTON PARK"
812115,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","07/24/2024 09:49:07 AM","2024-07-24","09:49:07","4600 40TH AVE W, SEATTLE, WA 98199",47.66457369,-122.40918355,"POINT (-122.40918355 47.66457369)","98199","WEST","LAWTON PARK"
812222,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","07/24/2024 11:03:39 AM","2024-07-24","11:03:39","3659 22ND AVE W, SEATTLE, WA 98199",47.65384489,-122.38499482,"POINT (-122.38499482 47.65384489)","98199","WEST","LAWTON PARK"
812481,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","07/24/2024 03:10:37 PM","2024-07-24","03:10:37","3764 W LAWTON ST, SEATTLE, WA 98199",47.66520228,-122.40851245,"POINT (-122.40851245 47.66520228)","98199","WEST","LAWTON PARK"
812563,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/24/2024 04:28:12 PM","2024-07-24","04:28:12","3817 24TH AVE W, SEATTLE, WA 98199",47.65464253,-122.38768973,"POINT (-122.38768973 47.65464253)","98199","WEST","LAWTON PARK"
812659,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/24/2024 05:49:12 PM","2024-07-24","05:49:12","3601 26TH PL W, SEATTLE, WA 98199",47.65230311,-122.38906025,"POINT (-122.38906025 47.65230311)","98199","WEST","LAWTON PARK"
812755,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/24/2024 08:00:45 PM","2024-07-24","08:00:45","3243 22ND AVE W, SEATTLE, WA 98199",47.64975888,-122.38496045,"POINT (-122.38496045 47.64975888)","98199","WEST","LAWTON PARK"
812854,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/25/2024 01:28:15 AM","2024-07-25","01:28:15","3243 22ND AVE W, SEATTLE, WA 98199",47.64975888,-122.38496045,"POINT (-122.38496045 47.64975888)","98199","WEST","LAWTON PARK"
813111,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/25/2024 09:29:05 AM","2024-07-25","09:29:05","3251 21ST AVE W, SEATTLE, WA 98199",47.65003819,-122.38365964,"POINT (-122.38365964 47.65003819)","98199","WEST","LAWTON PARK"
813119,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/25/2024 09:49:08 AM","2024-07-25","09:49:08","3606 23RD AVE W, SEATTLE, WA 98199",47.65243849,-122.38570143,"POINT (-122.38570143 47.65243849)","98199","WEST","LAWTON PARK"
813179,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","07/25/2024 10:16:17 AM","2024-07-25","10:16:17","1132 DISCOVERY PARK BLVD, SEATTLE, WA 98199",47.6616744,-122.42059609,"POINT (-122.42059609 47.6616744)","98199","WEST","LAWTON PARK"
813185,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","07/25/2024 10:15:15 AM","2024-07-25","10:15:15","40TH AVE W & TEXAS WAY, SEATTLE, WA",47.66456413,-122.40930509,"POINT (-122.40930509 47.66456413)","","WEST","LAWTON PARK"
813205,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","07/25/2024 10:21:35 AM","2024-07-25","10:21:35","40TH AVE W & TEXAS WAY, SEATTLE, WA",47.66456413,-122.40930509,"POINT (-122.40930509 47.66456413)","","WEST","LAWTON PARK"
813515,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","07/25/2024 02:16:32 PM","2024-07-25","02:16:32","3848 35TH AVE W, SEATTLE, WA 98199",47.65553476,-122.401983,"POINT (-122.401983 47.65553476)","98199","WEST","LAWTON PARK"
813646,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","07/25/2024 03:57:32 PM","2024-07-25","03:57:32","3724 W COMMODORE WAY, SEATTLE, WA 98199",47.66636093,-122.40686761,"POINT (-122.40686761 47.66636093)","98199","WEST","LAWTON PARK"
813660,"Parking Enforcement","SPD-Seattle Police Department","07/25/2024 04:18:03 PM","2024-07-25","04:18:03","1478 DISCOVERY PARK BLVD, SEATTLE, WA 98199",47.66113905,-122.43242451,"POINT (-122.43242451 47.66113905)","98199","WEST","LAWTON PARK"
813875,"Graffiti","SPU-Seattle Public Utilities","07/25/2024 08:13:52 PM","2024-07-25","08:13:52","4421 WILLIAMS AVE W, SEATTLE, WA 98199",47.66013037,-122.39253937,"POINT (-122.39253937 47.66013037)","98199","WEST","LAWTON PARK"
813880,"Graffiti","SPU-Seattle Public Utilities","07/25/2024 08:14:54 PM","2024-07-25","08:14:54","4428 28TH AVE W, SEATTLE, WA 98199",47.66030152,-122.39263463,"POINT (-122.39263463 47.66030152)","98199","WEST","LAWTON PARK"
814014,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/26/2024 07:03:51 AM","2024-07-26","07:03:51","3641 22ND AVE W, SEATTLE, WA 98199",47.65343158,-122.38517884,"POINT (-122.38517884 47.65343158)","98199","WEST","LAWTON PARK"
814318,"Nuisance dogs in a park","FAS-Finance and Administrative Services","07/26/2024 10:04:19 AM","2024-07-26","10:04:19","650 WASHINGTON AVE, SEATTLE, WA 98199",47.65768087,-122.4130534,"POINT (-122.4130534 47.65768087)","98199","WEST","LAWTON PARK"
814365,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/26/2024 11:02:38 AM","2024-07-26","11:02:38","3006 32ND AVE W, SEATTLE, WA 98199",47.64713772,-122.39793127,"POINT (-122.39793127 47.64713772)","98199","WEST","LAWTON PARK"
814392,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/26/2024 11:15:53 AM","2024-07-26","11:15:53","3421 28TH AVE W, SEATTLE, WA 98199",47.65119109,-122.39319657,"POINT (-122.39319657 47.65119109)","98199","WEST","LAWTON PARK"
814422,"Dead Animal","FAS-Finance and Administrative Services","07/26/2024 11:39:59 AM","2024-07-26","11:39:59","3723 29TH AVE W, SEATTLE, WA 98199",47.65387936,-122.39459319,"POINT (-122.39459319 47.65387936)","98199","WEST","LAWTON PARK"
814678,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/26/2024 04:17:01 PM","2024-07-26","04:17:01","3247 22ND AVE W, SEATTLE, WA 98199",47.64989326,-122.38494525,"POINT (-122.38494525 47.64989326)","98199","WEST","LAWTON PARK"
814726,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/26/2024 04:50:16 PM","2024-07-26","04:50:16","4436 30TH AVE W, SEATTLE, WA 98199",47.66111793,-122.39576969,"POINT (-122.39576969 47.66111793)","98199","WEST","LAWTON PARK"
814728,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","07/26/2024 04:52:19 PM","2024-07-26","04:52:19","2869 W GOVERNMENT WAY, SEATTLE, WA 98199",47.66107388,-122.39474978,"POINT (-122.39474978 47.66107388)","98199","WEST","LAWTON PARK"
814768,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/26/2024 05:39:43 PM","2024-07-26","05:39:43","2014 W DRAVUS ST, SEATTLE, WA 98199",47.64866389,-122.38306251,"POINT (-122.38306251 47.64866389)","98199","WEST","LAWTON PARK"
814794,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","07/26/2024 06:04:53 PM","2024-07-26","06:04:53","3604 28TH AVE W, SEATTLE, WA 98199",47.65248958,-122.39262643,"POINT (-122.39262643 47.65248958)","98199","WEST","LAWTON PARK"
814875,"Found a Pet","FAS-Finance and Administrative Services","07/26/2024 08:34:01 PM","2024-07-26","08:34:01","WILLIAMS AVE W & W JAMESON ST, SEATTLE, WA",47.65944408,-122.39220473,"POINT (-122.39220473 47.65944408)","","WEST","LAWTON PARK"
