"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
948443,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","01/04/2025 08:08:05 AM","2025-01-04","08:08:05","800 QUEEN ANNE AVE N, SEATTLE, WA 98109",47.6265091,-122.35632212,"POINT (-122.35632212 47.6265091)","98109","WEST","LOWER QUEEN ANNE"
948465,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","01/04/2025 08:10:04 AM","2025-01-04","08:10:04","2 ROY ST, SEATTLE, WA 98109",47.62568467,-122.3563753,"POINT (-122.3563753 47.62568467)","98109","WEST","LOWER QUEEN ANNE"
948487,"Unauthorized Encampment","SEA-City of Seattle","01/04/2025 09:14:32 AM","2025-01-04","09:14:32","557 ROY ST, SEATTLE, WA 98109",47.62515884,-122.3459327,"POINT (-122.3459327 47.62515884)","98109","WEST","LOWER QUEEN ANNE"
948672,"Parking Enforcement","SPD-Seattle Police Department","01/04/2025 11:47:49 AM","2025-01-04","11:47:49","511 W MERCER PL, SEATTLE, WA 98119",47.6248988,-122.3645895,"POINT (-122.3645895 47.6248988)","98119","WEST","LOWER QUEEN ANNE"
948876,"Unauthorized Encampment","SEA-City of Seattle","01/04/2025 03:53:33 PM","2025-01-04","03:53:33","129 1ST AVE N, SEATTLE, WA 98109",47.61961773,-122.35567632,"POINT (-122.35567632 47.61961773)","98109","WEST","LOWER QUEEN ANNE"
948896,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/04/2025 04:19:47 PM","2025-01-04","04:19:47","19 WARD ST, SEATTLE, WA 98109",47.6279154,-122.35576869,"POINT (-122.35576869 47.6279154)","98109","WEST","LOWER QUEEN ANNE"
948899,"Unauthorized Encampment","SEA-City of Seattle","01/04/2025 04:29:52 PM","2025-01-04","04:29:52","130 1ST AVE W, SEATTLE, WA 98119",47.61959352,-122.35765427,"POINT (-122.35765427 47.61959352)","98119","WEST","LOWER QUEEN ANNE"
948900,"Unauthorized Encampment","SEA-City of Seattle","01/04/2025 04:29:49 PM","2025-01-04","04:29:49","200 1ST AVE W, SEATTLE, WA 98119",47.62013524,-122.35768006,"POINT (-122.35768006 47.62013524)","98119","WEST","LOWER QUEEN ANNE"
949015,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","01/04/2025 08:55:50 PM","2025-01-04","08:55:50","225 WARREN AVE N, SEATTLE, WA 98109",47.62044152,-122.35450939,"POINT (-122.35450939 47.62044152)","98109","WEST","LOWER QUEEN ANNE"
949018,"Parking Enforcement","SPD-Seattle Police Department","01/04/2025 09:48:16 PM","2025-01-04","09:48:16","350 1ST AVE W, SEATTLE, WA 98119",47.62192212,-122.35765469,"POINT (-122.35765469 47.62192212)","98119","WEST","LOWER QUEEN ANNE"
949063,"Graffiti","SPU-Seattle Public Utilities","01/05/2025 04:45:25 AM","2025-01-05","04:45:25","600 1ST AVE N, SEATTLE, WA 98109",47.62476457,-122.3552094,"POINT (-122.3552094 47.62476457)","98109","WEST","LOWER QUEEN ANNE"
949074,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","01/05/2025 04:47:27 AM","2025-01-05","04:47:27","1417 QUEEN ANNE AVE N, SEATTLE, WA 98109",47.63202739,-122.357022,"POINT (-122.357022 47.63202739)","98109","WEST","LOWER QUEEN ANNE"
949165,"Dead Animal","FAS-Finance and Administrative Services","01/05/2025 10:09:58 AM","2025-01-05","10:09:58","315 WARD ST, SEATTLE, WA 98109",47.62782573,-122.35070919,"POINT (-122.35070919 47.62782573)","98109","WEST","LOWER QUEEN ANNE"
