"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
820699,"Unauthorized Encampment","SEA-City of Seattle","08/01/2024 10:08:43 PM","2024-08-01","10:08:43","8060 16TH AVE NW, SEATTLE, WA 98117",47.68860262,-122.37764287,"POINT (-122.37764287 47.68860262)","98117","NORTH","LOYAL HEIGHTS"
820710,"Unauthorized Encampment","SEA-City of Seattle","08/02/2024 03:15:05 AM","2024-08-02","03:15:05","8061 16TH AVE NW, SEATTLE, WA 98117",47.68860154,-122.37818205,"POINT (-122.37818205 47.68860154)","98117","NORTH","LOYAL HEIGHTS"
820789,"Unauthorized Encampment","SEA-City of Seattle","08/02/2024 07:58:29 AM","2024-08-02","07:58:29","8305 15TH AVE NW, SEATTLE, WA 98117",47.68886879,-122.37717805,"POINT (-122.37717805 47.68886879)","98117","NORTH","LOYAL HEIGHTS"
820797,"Unauthorized Encampment","SEA-City of Seattle","08/02/2024 07:51:18 AM","2024-08-02","07:51:18","8061 16TH AVE NW, SEATTLE, WA 98117",47.68860154,-122.37818205,"POINT (-122.37818205 47.68860154)","98117","NORTH","LOYAL HEIGHTS"
820877,"Unauthorized Encampment","SEA-City of Seattle","08/02/2024 09:14:50 AM","2024-08-02","09:14:50","8061 16TH AVE NW, SEATTLE, WA 98117",47.68860154,-122.37818205,"POINT (-122.37818205 47.68860154)","98117","NORTH","LOYAL HEIGHTS"
821022,"Unauthorized Encampment","SEA-City of Seattle","08/02/2024 11:02:38 AM","2024-08-02","11:02:38","8061 16TH AVE NW, SEATTLE, WA 98117",47.68860154,-122.37818205,"POINT (-122.37818205 47.68860154)","98117","NORTH","LOYAL HEIGHTS"
821044,"Unauthorized Encampment","SEA-City of Seattle","08/02/2024 11:07:44 AM","2024-08-02","11:07:44","8061 16TH AVE NW, SEATTLE, WA 98117",47.68860154,-122.37818205,"POINT (-122.37818205 47.68860154)","98117","NORTH","LOYAL HEIGHTS"
821049,"Unauthorized Encampment","SEA-City of Seattle","08/02/2024 11:07:40 AM","2024-08-02","11:07:40","8060 16TH AVE NW, SEATTLE, WA 98117",47.68860262,-122.37764287,"POINT (-122.37764287 47.68860262)","98117","NORTH","LOYAL HEIGHTS"
821076,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","08/02/2024 11:40:04 AM","2024-08-02","11:40:04","6525 24TH AVE NW, SEATTLE, WA 98117",47.67671589,-122.38787576,"POINT (-122.38787576 47.67671589)","98117","NORTH","LOYAL HEIGHTS"
821214,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","08/02/2024 01:46:38 PM","2024-08-02","01:46:38","7538 JONES AVE NW, SEATTLE, WA 98117",47.6843198,-122.38623534,"POINT (-122.38623534 47.6843198)","98117","NORTH","LOYAL HEIGHTS"
821224,"Unauthorized Encampment","SEA-City of Seattle","08/02/2024 01:58:01 PM","2024-08-02","01:58:01","8061 16TH AVE NW, SEATTLE, WA 98117",47.68860154,-122.37818205,"POINT (-122.37818205 47.68860154)","98117","NORTH","LOYAL HEIGHTS"
821339,"Unauthorized Encampment","SEA-City of Seattle","08/02/2024 03:52:50 PM","2024-08-02","03:52:50","1600 NW 83RD ST, SEATTLE, WA 98117",47.68881975,-122.37788976,"POINT (-122.37788976 47.68881975)","98117","NORTH","LOYAL HEIGHTS"
