"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
259477,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","06/14/2022 12:07:50 PM","2022-06-14","12:07:50","4201 E MADISON ST, SEATTLE, WA 98112",47.63545767,-122.2780892,"POINT (-122.2780892 47.63545767)","98112","EAST","MADISON PARK"
260016,"Parking Enforcement","SPD-Seattle Police Department","06/15/2022 09:11:31 AM","2022-06-15","09:11:31","2061 42ND AVE E, SEATTLE, WA 98112",47.63873947,-122.27874755,"POINT (-122.27874755 47.63873947)","98112","EAST","MADISON PARK"
260023,"Abandoned Vehicle/72hr Parking Ordinance","SDOT-Seattle Department of Transportation","06/15/2022 09:19:11 AM","2022-06-15","09:19:11","2061 42ND AVE E, SEATTLE, WA 98112",47.63873947,-122.27874755,"POINT (-122.27874755 47.63873947)","98112","EAST","MADISON PARK"
261423,"Dead Animal","FAS-Finance and Administrative Services","06/16/2022 06:01:48 PM","2022-06-16","06:01:48","1928 43RD AVE E, SEATTLE, WA 98112",47.63682286,-122.27687736,"POINT (-122.27687736 47.63682286)","98112","EAST","MADISON PARK"
262018,"Street Sign and Traffic Signal Maintenance","SDOT-Seattle Department of Transportation","06/17/2022 02:29:17 PM","2022-06-17","02:29:17","4208 E HIGHLAND DR, SEATTLE, WA 98112",47.62970696,-122.27881708,"POINT (-122.27881708 47.62970696)","98112","EAST","MADISON PARK"
263088,"Abandoned Vehicle/72hr Parking Ordinance","SDOT-Seattle Department of Transportation","06/19/2022 03:35:45 PM","2022-06-19","03:35:45","2348 42ND AVE E, SEATTLE, WA 98112",47.64050534,-122.27817266,"POINT (-122.27817266 47.64050534)","98112","EAST","MADISON PARK"
263617,"General Inquiry - City Light","SCL-Seattle City Light","06/20/2022 03:36:22 PM","2022-06-20","03:36:22","2015 MCGILVRA BLVD E, SEATTLE, WA 98112",47.63744431,-122.28117493,"POINT (-122.28117493 47.63744431)","98112","EAST","MADISON PARK"
263679,"Overgrown Vegetation","FAS-Finance and Administrative Services","06/20/2022 05:13:05 PM","2022-06-20","05:13:05","2300 43RD AVE E, SEATTLE, WA 98112",47.63919449,-122.27679719,"POINT (-122.27679719 47.63919449)","98112","EAST","MADISON PARK"
264572,"Dead Animal","FAS-Finance and Administrative Services","06/21/2022 04:09:34 PM","2022-06-21","04:09:34","2070 41ST AVE E, SEATTLE, WA 98112",47.63895757,-122.27933245,"POINT (-122.27933245 47.63895757)","98112","EAST","MADISON PARK"
267349,"Abandoned Vehicle/72hr Parking Ordinance","SDOT-Seattle Department of Transportation","06/25/2022 09:52:28 AM","2022-06-25","09:52:28","2070 MCGILVRA BLVD E, SEATTLE, WA 98112",47.63898214,-122.28046948,"POINT (-122.28046948 47.63898214)","98112","EAST","MADISON PARK"
267914,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","06/26/2022 12:58:57 PM","2022-06-26","12:58:57","2532 37TH AVE E, SEATTLE, WA 98112",47.64232166,-122.2850106,"POINT (-122.2850106 47.64232166)","98112","EAST","MADISON PARK"
269190,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","06/28/2022 09:02:22 AM","2022-06-28","09:02:22","1928 43RD AVE E, SEATTLE, WA 98112",47.63682286,-122.27687736,"POINT (-122.27687736 47.63682286)","98112","EAST","MADISON PARK"
269350,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","06/28/2022 11:07:21 AM","2022-06-28","11:07:21","1624 38TH AVE E, SEATTLE, WA 98112",47.63419128,-122.28361735,"POINT (-122.28361735 47.63419128)","98112","EAST","MADISON PARK"
269358,"Damaged Sidewalk","SDOT-Seattle Department of Transportation","06/28/2022 11:15:48 AM","2022-06-28","11:15:48","1624 38TH AVE E, SEATTLE, WA 98112",47.63419128,-122.28361735,"POINT (-122.28361735 47.63419128)","98112","EAST","MADISON PARK"
269558,"Street Sign and Traffic Signal Maintenance","SDOT-Seattle Department of Transportation","06/28/2022 02:18:48 PM","2022-06-28","02:18:48","4230 E MADISON ST, SEATTLE, WA 98112",47.63638479,-122.27737784,"POINT (-122.27737784 47.63638479)","98112","EAST","MADISON PARK"
269572,"Clogged Storm Drain","SPU-Seattle Public Utilities","06/28/2022 02:28:51 PM","2022-06-28","02:28:51","1432 MCGILVRA BLVD E, SEATTLE, WA 98112",47.63199225,-122.280997,"POINT (-122.280997 47.63199225)","98112","EAST","MADISON PARK"
269608,"Abandoned Vehicle/72hr Parking Ordinance","SDOT-Seattle Department of Transportation","06/28/2022 03:05:08 PM","2022-06-28","03:05:08","2016 MCGILVRA BLVD E, SEATTLE, WA 98112",47.63754868,-122.28047348,"POINT (-122.28047348 47.63754868)","98112","EAST","MADISON PARK"
269650,"Abandoned Vehicle/72hr Parking Ordinance","SDOT-Seattle Department of Transportation","06/28/2022 03:57:32 PM","2022-06-28","03:57:32","2020 MCGILVRA BLVD E, SEATTLE, WA 98112",47.63765859,-122.28044326,"POINT (-122.28044326 47.63765859)","98112","EAST","MADISON PARK"
270019,"Abandoned Vehicle/72hr Parking Ordinance","SDOT-Seattle Department of Transportation","06/29/2022 08:12:59 AM","2022-06-29","08:12:59","1630 43RD AVE E, SEATTLE, WA 98112",47.63428842,-122.27651578,"POINT (-122.27651578 47.63428842)","98112","EAST","MADISON PARK"
270065,"Graffiti","SPU-Seattle Public Utilities","06/29/2022 08:55:20 AM","2022-06-29","08:55:20","1430 LAKE WASHINGTON BLVD E, SEATTLE, WA 98112",47.63160239,-122.29668758,"POINT (-122.29668758 47.63160239)","98112","EAST","MADISON PARK"
270394,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","06/29/2022 01:17:18 PM","2022-06-29","01:17:18","4009 E MADISON ST, SEATTLE, WA 98112",47.63352307,-122.28092891,"POINT (-122.28092891 47.63352307)","98112","EAST","MADISON PARK"
270622,"Overgrown Vegetation","FAS-Finance and Administrative Services","06/29/2022 05:27:22 PM","2022-06-29","05:27:22","3906 E MADISON ST, SEATTLE, WA 98112",47.63306969,-122.28242867,"POINT (-122.28242867 47.63306969)","98112","EAST","MADISON PARK"
272889,"Graffiti","SPU-Seattle Public Utilities","07/02/2022 07:43:22 PM","2022-07-02","07:43:22","4227 E MADISON ST, SEATTLE, WA 98112",47.63589989,-122.27740429,"POINT (-122.27740429 47.63589989)","98112","EAST","MADISON PARK"
273295,"Abandoned Vehicle/72hr Parking Ordinance","SDOT-Seattle Department of Transportation","07/03/2022 07:16:04 PM","2022-07-03","07:16:04","1827 39TH AVE E, SEATTLE, WA 98112",47.6354812,-122.28292368,"POINT (-122.28292368 47.6354812)","98112","EAST","MADISON PARK"
273315,"Abandoned Vehicle/72hr Parking Ordinance","SDOT-Seattle Department of Transportation","07/03/2022 07:48:19 PM","2022-07-03","07:48:19","2104 38TH AVE E, SEATTLE, WA 98112",47.63756647,-122.28405508,"POINT (-122.28405508 47.63756647)","98112","EAST","MADISON PARK"
273932,"Abandoned Vehicle/72hr Parking Ordinance","SDOT-Seattle Department of Transportation","07/05/2022 07:43:46 AM","2022-07-05","07:43:46","2021 41ST AVE E, SEATTLE, WA 98112",47.63766668,-122.27993322,"POINT (-122.27993322 47.63766668)","98112","EAST","MADISON PARK"
274728,"Abandoned Vehicle/72hr Parking Ordinance","SDOT-Seattle Department of Transportation","07/06/2022 06:30:14 AM","2022-07-06","06:30:14","901 32ND AVE E, SEATTLE, WA 98112",47.62731515,-122.29109512,"POINT (-122.29109512 47.62731515)","98112","EAST","MADISON PARK"
275403,"General Inquiry - City Light","SCL-Seattle City Light","07/06/2022 03:41:33 PM","2022-07-06","03:41:33","4009 E MADISON ST, SEATTLE, WA 98112",47.63352307,-122.28092891,"POINT (-122.28092891 47.63352307)","98112","EAST","MADISON PARK"
276042,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","07/07/2022 11:34:31 AM","2022-07-07","11:34:31","2036 41ST AVE E, SEATTLE, WA 98112",47.63810543,-122.27931344,"POINT (-122.27931344 47.63810543)","98112","EAST","MADISON PARK"
277526,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","07/08/2022 08:15:31 PM","2022-07-08","08:15:31","4100 E PROSPECT ST, SEATTLE, WA 98112",47.62855828,-122.27977339,"POINT (-122.27977339 47.62855828)","98112","EAST","MADISON PARK"
277599,"Abandoned Vehicle/72hr Parking Ordinance","SDOT-Seattle Department of Transportation","07/09/2022 06:42:17 AM","2022-07-09","06:42:17","1920 38TH AVE E, SEATTLE, WA 98112",47.63650086,-122.2836526,"POINT (-122.2836526 47.63650086)","98112","EAST","MADISON PARK"
277601,"Abandoned Vehicle/72hr Parking Ordinance","SDOT-Seattle Department of Transportation","07/09/2022 06:44:18 AM","2022-07-09","06:44:18","1921 38TH AVE E, SEATTLE, WA 98112",47.6365061,-122.28437681,"POINT (-122.28437681 47.6365061)","98112","EAST","MADISON PARK"
