"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
664830,"Overgrown Vegetation","FAS-Finance and Administrative Services","01/11/2024 07:33:40 PM","2024-01-11","07:33:40","1125 29TH AVE STREET END BEHIND GROCERY OUTLET, SEATTLE, WA 98122",47.61178219,-122.29504878,"POINT (-122.29504878 47.61178219)","98122","EAST","MADRONA"
664831,"Overgrown Vegetation","FAS-Finance and Administrative Services","01/11/2024 07:23:35 PM","2024-01-11","07:23:35","1113 29TH AVE GROCERY OUTLET, SEATTLE, WA 98122",47.61173565,-122.29505004,"POINT (-122.29505004 47.61173565)","98122","EAST","MADRONA"
664837,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/11/2024 07:59:53 PM","2024-01-11","07:59:53","903 30TH AVE, SEATTLE, WA 98122",47.61015932,-122.29405028,"POINT (-122.29405028 47.61015932)","98122","EAST","MADRONA"
664843,"Parking Enforcement","SPD-Seattle Police Department","01/11/2024 08:01:52 PM","2024-01-11","08:01:52","903 30TH AVE, SEATTLE, WA 98122",47.61015932,-122.29405028,"POINT (-122.29405028 47.61015932)","98122","EAST","MADRONA"
665106,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/12/2024 12:02:10 PM","2024-01-12","12:02:10","1601 31ST AVE, SEATTLE, WA 98122",47.61540405,-122.2926803,"POINT (-122.2926803 47.61540405)","98122","EAST","MADRONA"
665269,"Pothole","SDOT-Seattle Department of Transportation","01/12/2024 04:04:04 PM","2024-01-12","04:04:04","1401 LAKE WASHINGTON BLVD, SEATTLE, WA 98122",47.61247438,-122.28182556,"POINT (-122.28182556 47.61247438)","98122","EAST","MADRONA"
665392,"Pothole","SDOT-Seattle Department of Transportation","01/12/2024 08:26:01 PM","2024-01-12","08:26:01","1400 LAKE WASHINGTON BLVD, SEATTLE, WA 98122",47.61215942,-122.28165455,"POINT (-122.28165455 47.61215942)","98122","EAST","MADRONA"
665607,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/13/2024 04:46:16 PM","2024-01-13","04:46:16","3007 E HOWELL ST, SEATTLE, WA 98122",47.61752595,-122.29345138,"POINT (-122.29345138 47.61752595)","98122","EAST","MADRONA"
665610,"Pothole","SDOT-Seattle Department of Transportation","01/13/2024 04:40:23 PM","2024-01-13","04:40:23","1403 LAKE WASHINGTON BLVD, SEATTLE, WA 98122",47.61216757,-122.28194226,"POINT (-122.28194226 47.61216757)","98122","EAST","MADRONA"
665749,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","01/14/2024 10:55:36 AM","2024-01-14","10:55:36","917 34TH AVE, SEATTLE, WA 98122",47.61128014,-122.28979675,"POINT (-122.28979675 47.61128014)","98122","EAST","MADRONA"
665750,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","01/14/2024 10:53:32 AM","2024-01-14","10:53:32","917 34TH AVE, SEATTLE, WA 98122",47.61128014,-122.28979675,"POINT (-122.28979675 47.61128014)","98122","EAST","MADRONA"
665760,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","01/14/2024 10:57:34 AM","2024-01-14","10:57:34","917 34TH AVE, SEATTLE, WA 98122",47.61128014,-122.28979675,"POINT (-122.28979675 47.61128014)","98122","EAST","MADRONA"
665761,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","01/14/2024 11:21:45 AM","2024-01-14","11:21:45","917 34TH AVE, SEATTLE, WA 98122",47.61128014,-122.28979675,"POINT (-122.28979675 47.61128014)","98122","EAST","MADRONA"
665780,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","01/14/2024 10:55:39 AM","2024-01-14","10:55:39","917 34TH AVE, SEATTLE, WA 98122",47.61128014,-122.28979675,"POINT (-122.28979675 47.61128014)","98122","EAST","MADRONA"
665817,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","01/14/2024 12:46:27 PM","2024-01-14","12:46:27","917 34TH AVE, SEATTLE, WA 98122",47.61128014,-122.28979675,"POINT (-122.28979675 47.61128014)","98122","EAST","MADRONA"
665833,"Pothole","SDOT-Seattle Department of Transportation","01/14/2024 12:56:33 PM","2024-01-14","12:56:33","1403 LAKE WASHINGTON BLVD, SEATTLE, WA 98122",47.61216757,-122.28194226,"POINT (-122.28194226 47.61216757)","98122","EAST","MADRONA"
