"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
812891,"Parking Enforcement","SPD-Seattle Police Department","07/25/2024 07:12:54 AM","2024-07-25","07:12:54","1103 27TH AVE, SEATTLE, WA 98122",47.61171198,-122.29784525,"POINT (-122.29784525 47.61171198)","98122","EAST","MANN"
813050,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","07/25/2024 08:59:54 AM","2024-07-25","08:59:54","537 TEMPLE PL, SEATTLE, WA 98122",47.60728583,-122.29707609,"POINT (-122.29707609 47.60728583)","98122","EAST","MANN"
813762,"Parking Enforcement","SPD-Seattle Police Department","07/25/2024 05:39:42 PM","2024-07-25","05:39:42","1500 24TH AVE, SEATTLE, WA 98122",47.61431918,-122.30118278,"POINT (-122.30118278 47.61431918)","98122","EAST","MANN"
813767,"Parking Enforcement","SPD-Seattle Police Department","07/25/2024 05:37:39 PM","2024-07-25","05:37:39","1500 24TH AVE, SEATTLE, WA 98122",47.61431918,-122.30118278,"POINT (-122.30118278 47.61431918)","98122","EAST","MANN"
813852,"Parking Enforcement","SPD-Seattle Police Department","07/25/2024 07:34:35 PM","2024-07-25","07:34:35","2624 E OLIVE ST, SEATTLE, WA 98122",47.616645,-122.29776771,"POINT (-122.29776771 47.616645)","98122","EAST","MANN"
813917,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","07/25/2024 09:20:22 PM","2024-07-25","09:20:22","2621 E UNION ST, SEATTLE, WA 98122",47.61274165,-122.29776322,"POINT (-122.29776322 47.61274165)","98122","EAST","MANN"
813982,"Overgrown Vegetation","FAS-Finance and Administrative Services","07/25/2024 11:04:11 PM","2024-07-25","11:04:11","2518 E HOWELL ST, SEATTLE, WA 98122",47.61782087,-122.29895805,"POINT (-122.29895805 47.61782087)","98122","EAST","MANN"
814163,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/26/2024 08:45:35 AM","2024-07-26","08:45:35","2620 E CHERRY ST, SEATTLE, WA 98122",47.60816721,-122.29787609,"POINT (-122.29787609 47.60816721)","98122","EAST","MANN"
814260,"Parking Enforcement","SPD-Seattle Police Department","07/26/2024 09:23:53 AM","2024-07-26","09:23:53","920 24TH AVE, SEATTLE, WA 98122",47.61068305,-122.30113288,"POINT (-122.30113288 47.61068305)","98122","EAST","MANN"
814562,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","07/26/2024 01:55:57 PM","2024-07-26","01:55:57","1725 MARTIN LUTHER KING JR WAY, SEATTLE, WA 98122",47.61731377,-122.29647168,"POINT (-122.29647168 47.61731377)","98122","EAST","MANN"
