"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
602828,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","10/05/2023 04:11:43 PM","2023-10-05","04:11:43","3505 NE 110TH ST, SEATTLE, WA 98125",47.70819624,-122.29040629,"POINT (-122.29040629 47.70819624)","98125","NORTH","MATTHEWS BEACH"
602911,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","10/05/2023 05:44:28 PM","2023-10-05","05:44:28","11531 36TH AVE NE, SEATTLE, WA 98125",47.7129005,-122.28956789,"POINT (-122.28956789 47.7129005)","98125","NORTH","MATTHEWS BEACH"
602949,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","10/05/2023 06:50:59 PM","2023-10-05","06:50:59","9251 MATTHEWS AVE NE, SEATTLE, WA 98115",47.69628598,-122.27707905,"POINT (-122.27707905 47.69628598)","98115","NORTH","MATTHEWS BEACH"
603059,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","10/06/2023 06:33:18 AM","2023-10-06","06:33:18","9251 MATTHEWS AVE NE, SEATTLE, WA 98115",47.69628598,-122.27707905,"POINT (-122.27707905 47.69628598)","98115","NORTH","MATTHEWS BEACH"
603062,"Graffiti","SPU-Seattle Public Utilities","10/06/2023 06:44:42 AM","2023-10-06","06:44:42","4052 NE 95TH ST, SEATTLE, WA 98115",47.69758631,-122.28318423,"POINT (-122.28318423 47.69758631)","98115","NORTH","MATTHEWS BEACH"
603182,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","10/06/2023 09:37:40 AM","2023-10-06","09:37:40","3505 NE 110TH ST, SEATTLE, WA 98125",47.70819624,-122.29040629,"POINT (-122.29040629 47.70819624)","98125","NORTH","MATTHEWS BEACH"
603660,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","10/06/2023 05:08:09 PM","2023-10-06","05:08:09","10504 35TH AVE NE, SEATTLE, WA 98125",47.70497314,-122.29053936,"POINT (-122.29053936 47.70497314)","98125","NORTH","MATTHEWS BEACH"
603835,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","10/07/2023 08:24:08 AM","2023-10-07","08:24:08","11700 35TH AVE NE, SEATTLE, WA 98125",47.71378176,-122.2908523,"POINT (-122.2908523 47.71378176)","98125","NORTH","MATTHEWS BEACH"
603873,"Unauthorized Encampment","SEA-City of Seattle","10/07/2023 09:50:51 AM","2023-10-07","09:50:51","10737 38TH AVE NE, SEATTLE, WA 98125",47.70761222,-122.28844341,"POINT (-122.28844341 47.70761222)","98125","NORTH","MATTHEWS BEACH"
603876,"Unauthorized Encampment","SEA-City of Seattle","10/07/2023 09:48:45 AM","2023-10-07","09:48:45","10538 35TH AVE NE, SEATTLE, WA 98125",47.70597785,-122.28992454,"POINT (-122.28992454 47.70597785)","98125","NORTH","MATTHEWS BEACH"
603882,"Unauthorized Encampment","SEA-City of Seattle","10/07/2023 09:52:47 AM","2023-10-07","09:52:47","10727 36TH AVE NE, SEATTLE, WA 98125",47.70736257,-122.28975175,"POINT (-122.28975175 47.70736257)","98125","NORTH","MATTHEWS BEACH"
603923,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","10/07/2023 10:57:18 AM","2023-10-07","10:57:18","10536 35TH AVE NE, SEATTLE, WA 98125",47.70573236,-122.28984799,"POINT (-122.28984799 47.70573236)","98125","NORTH","MATTHEWS BEACH"
603927,"Unauthorized Encampment","SEA-City of Seattle","10/07/2023 10:55:17 AM","2023-10-07","10:55:17","10727 36TH AVE NE, SEATTLE, WA 98125",47.70736257,-122.28975175,"POINT (-122.28975175 47.70736257)","98125","NORTH","MATTHEWS BEACH"
603982,"Pothole","SDOT-Seattle Department of Transportation","10/07/2023 12:21:59 PM","2023-10-07","12:21:59","5005 NE 90TH PL, SEATTLE, WA 98115",47.69363606,-122.27225158,"POINT (-122.27225158 47.69363606)","98115","NORTH","MATTHEWS BEACH"
604103,"Unauthorized Encampment","SEA-City of Seattle","10/07/2023 04:07:39 PM","2023-10-07","04:07:39","10743 36TH AVE NE, SEATTLE, WA 98125",47.70786542,-122.28977478,"POINT (-122.28977478 47.70786542)","98125","NORTH","MATTHEWS BEACH"
604216,"Unauthorized Encampment","SEA-City of Seattle","10/07/2023 07:45:20 PM","2023-10-07","07:45:20","10703 36TH AVE NE, SEATTLE, WA 98125",47.70663769,-122.28977516,"POINT (-122.28977516 47.70663769)","98125","NORTH","MATTHEWS BEACH"
604277,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","10/08/2023 08:36:11 AM","2023-10-08","08:36:11","11700 35TH AVE NE, SEATTLE, WA 98125",47.71378176,-122.2908523,"POINT (-122.2908523 47.71378176)","98125","NORTH","MATTHEWS BEACH"
