"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
508935,"Unauthorized Encampment","SEA-City of Seattle","06/08/2023 07:09:08 PM","2023-06-08","07:09:08","10700 30TH AVE NE, SEATTLE, WA 98125",47.70544427,-122.29179669,"POINT (-122.29179669 47.70544427)","98125","NORTH","MEADOWBROOK"
509106,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","06/09/2023 12:41:41 AM","2023-06-09","12:41:41","11719 33RD PL NE, SEATTLE, WA 98125",47.71410483,-122.29186443,"POINT (-122.29186443 47.71410483)","98125","NORTH","MEADOWBROOK"
509328,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","06/09/2023 12:41:19 PM","2023-06-09","12:41:19","11011 35TH AVE NE, SEATTLE, WA 98125",47.70887716,-122.29113723,"POINT (-122.29113723 47.70887716)","98125","NORTH","MEADOWBROOK"
509895,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","06/10/2023 04:33:55 PM","2023-06-10","04:33:55","10641 35TH AVE NE, SEATTLE, WA 98125",47.70579872,-122.29096478,"POINT (-122.29096478 47.70579872)","98125","NORTH","MEADOWBROOK"
509905,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","06/10/2023 06:44:55 PM","2023-06-10","06:44:55","3362 NE 105TH ST, SEATTLE, WA 98125",47.70486768,-122.29232558,"POINT (-122.29232558 47.70486768)","98125","NORTH","MEADOWBROOK"
509932,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","06/10/2023 06:42:59 PM","2023-06-10","06:42:59","10700 30TH AVE NE, SEATTLE, WA 98125",47.70544427,-122.29179669,"POINT (-122.29179669 47.70544427)","98125","NORTH","MEADOWBROOK"
509981,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","06/10/2023 09:46:59 PM","2023-06-10","09:46:59","3200 NE 105TH ST, SEATTLE, WA 98125",47.7064893,-122.29387564,"POINT (-122.29387564 47.7064893)","98125","NORTH","MEADOWBROOK"
510144,"Clogged Storm Drain","SPU-Seattle Public Utilities","06/11/2023 11:29:36 AM","2023-06-11","11:29:36","9700 LAKE CITY WAY NE, SEATTLE, WA 98115",47.70007819,-122.30320761,"POINT (-122.30320761 47.70007819)","98115","NORTH","MEADOWBROOK"
510150,"Damaged Sidewalk","SDOT-Seattle Department of Transportation","06/11/2023 11:31:39 AM","2023-06-11","11:31:39","9600 LAKE CITY WAY NE, SEATTLE, WA 98115",47.69843575,-122.30473989,"POINT (-122.30473989 47.69843575)","98115","NORTH","MEADOWBROOK"
510265,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","06/11/2023 02:55:16 PM","2023-06-11","02:55:16","3261 NE 100TH ST, SEATTLE, WA 98125",47.70093919,-122.29095151,"POINT (-122.29095151 47.70093919)","98125","NORTH","MEADOWBROOK"
