"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
905248,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","11/05/2024 02:03:10 PM","2024-11-05","02:03:10","2506 S JUNEAU ST, SEATTLE, WA 98108",47.55020586,-122.29994808,"POINT (-122.29994808 47.55020586)","98108","SOUTH","MID-BEACON HILL"
905372,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","11/05/2024 03:42:57 PM","2024-11-05","03:42:57","4127 13TH AVE S, SEATTLE, WA 98108",47.56632758,-122.31626747,"POINT (-122.31626747 47.56632758)","98108","SOUTH","MID-BEACON HILL"
905411,"Graffiti","SPU-Seattle Public Utilities","11/05/2024 04:32:18 PM","2024-11-05","04:32:18","1393 S COLUMBIAN WAY, SEATTLE, WA 98134",47.57229516,-122.31888227,"POINT (-122.31888227 47.57229516)","98134","SOUTH","MID-BEACON HILL"
905552,"Streetlight Maintenance","SCL-Seattle City Light","11/05/2024 09:17:23 PM","2024-11-05","09:17:23","2601 S ANGELINE ST, SEATTLE, WA 98108",47.55955802,-122.2991262,"POINT (-122.2991262 47.55955802)","98108","SOUTH","MID-BEACON HILL"
905601,"Dead Animal","FAS-Finance and Administrative Services","11/06/2024 07:36:05 AM","2024-11-06","07:36:05","2424 S GRAHAM ST, SEATTLE, WA 98108",47.54654317,-122.30129253,"POINT (-122.30129253 47.54654317)","98108","SOUTH","MID-BEACON HILL"
905676,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","11/06/2024 08:42:36 AM","2024-11-06","08:42:36","5035 28TH AVE S, SEATTLE, WA 98108",47.55621976,-122.29714983,"POINT (-122.29714983 47.55621976)","98108","SOUTH","MID-BEACON HILL"
905697,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","11/06/2024 08:58:49 AM","2024-11-06","08:58:49","3036 S EDMUNDS ST, SEATTLE, WA 98108",47.55879829,-122.29250845,"POINT (-122.29250845 47.55879829)","98108","SOUTH","MID-BEACON HILL"
905753,"Pothole","SDOT-Seattle Department of Transportation","11/06/2024 09:33:04 AM","2024-11-06","09:33:04","5617 BEACON AVE S, SEATTLE, WA 98108",47.55129751,-122.3023884,"POINT (-122.3023884 47.55129751)","98108","SOUTH","MID-BEACON HILL"
905927,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","11/06/2024 12:30:26 PM","2024-11-06","12:30:26","5570 16TH AVE S, SEATTLE, WA 98108",47.55138878,-122.31201641,"POINT (-122.31201641 47.55138878)","98108","SOUTH","MID-BEACON HILL"
906040,"Unauthorized Encampment","SEA-City of Seattle","11/06/2024 02:33:16 PM","2024-11-06","02:33:16","6511 MARTIN LUTHER KING JR WAY S, SEATTLE, WA 98118",47.5436433,-122.28470332,"POINT (-122.28470332 47.5436433)","98118","SOUTH","MID-BEACON HILL"
906071,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","11/06/2024 03:07:59 PM","2024-11-06","03:07:59","6511 MARTIN LUTHER KING JR WAY S, SEATTLE, WA 98118",47.5436433,-122.28470332,"POINT (-122.28470332 47.5436433)","98118","SOUTH","MID-BEACON HILL"
906168,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","11/06/2024 04:42:17 PM","2024-11-06","04:42:17","5922 28TH AVE S, SEATTLE, WA 98108",47.54913394,-122.29658342,"POINT (-122.29658342 47.54913394)","98108","SOUTH","MID-BEACON HILL"
906291,"Unauthorized Encampment","SEA-City of Seattle","11/06/2024 07:33:34 PM","2024-11-06","07:33:34","6525 38TH AVE S, SEATTLE, WA 98118",47.54350534,-122.28513663,"POINT (-122.28513663 47.54350534)","98118","SOUTH","MID-BEACON HILL"
906356,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","11/06/2024 10:52:05 PM","2024-11-06","10:52:05","5505 13TH AVE S, SEATTLE, WA 98108",47.55320835,-122.31637678,"POINT (-122.31637678 47.55320835)","98108","SOUTH","MID-BEACON HILL"
906448,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","11/07/2024 07:48:08 AM","2024-11-07","07:48:08","5100 BEACON AVE S, SEATTLE, WA 98108",47.55584737,-122.30282002,"POINT (-122.30282002 47.55584737)","98108","SOUTH","MID-BEACON HILL"
906465,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","11/07/2024 08:00:25 AM","2024-11-07","08:00:25","4544 13TH AVE S, SEATTLE, WA 98108",47.56214516,-122.31578675,"POINT (-122.31578675 47.56214516)","98108","SOUTH","MID-BEACON HILL"
906470,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","11/07/2024 07:40:07 AM","2024-11-07","07:40:07","6007 MARTIN LUTHER KING JR WAY S, SEATTLE, WA 98118",47.5476912,-122.28669954,"POINT (-122.28669954 47.5476912)","98118","SOUTH","MID-BEACON HILL"
906479,"Unauthorized Encampment","SEA-City of Seattle","11/07/2024 08:02:33 AM","2024-11-07","08:02:33","1100 S LUCILE ST, SEATTLE, WA 98108",47.55366026,-122.31733359,"POINT (-122.31733359 47.55366026)","98108","SOUTH","MID-BEACON HILL"
906523,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","11/07/2024 08:34:24 AM","2024-11-07","08:34:24","6525 38TH AVE S, SEATTLE, WA 98118",47.54350534,-122.28513663,"POINT (-122.28513663 47.54350534)","98118","SOUTH","MID-BEACON HILL"
907066,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","11/07/2024 04:57:17 PM","2024-11-07","04:57:17","5951 MARTIN LUTHER KING JR WAY S, SEATTLE, WA 98118",47.54831121,-122.28700596,"POINT (-122.28700596 47.54831121)","98118","SOUTH","MID-BEACON HILL"
907148,"Animal Noise","FAS-Finance and Administrative Services","11/07/2024 07:02:15 PM","2024-11-07","07:02:15","3409 S JUNEAU ST, SEATTLE, WA 98118",47.54960194,-122.28910929,"POINT (-122.28910929 47.54960194)","98118","SOUTH","MID-BEACON HILL"
907163,"Unauthorized Encampment","SEA-City of Seattle","11/07/2024 07:42:32 PM","2024-11-07","07:42:32","6525 38TH AVE S, SEATTLE, WA 98118",47.54350534,-122.28513663,"POINT (-122.28513663 47.54350534)","98118","SOUTH","MID-BEACON HILL"
