"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
947161,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","01/02/2025 12:13:55 PM","2025-01-02","12:13:55","1822 E YESLER WAY, SEATTLE, WA 98122",47.60180078,-122.30794506,"POINT (-122.30794506 47.60180078)","98122","EAST","MINOR"
947536,"Parking Enforcement","SPD-Seattle Police Department","01/02/2025 05:00:19 PM","2025-01-02","05:00:19","829 23RD AVE, SEATTLE, WA 98122",47.6098735,-122.30298986,"POINT (-122.30298986 47.6098735)","98122","EAST","MINOR"
947540,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/02/2025 04:36:01 PM","2025-01-02","04:36:01","801 23RD AVE, SEATTLE, WA 98122",47.60908756,-122.30293393,"POINT (-122.30293393 47.60908756)","98122","EAST","MINOR"
947549,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","01/02/2025 05:14:18 PM","2025-01-02","05:14:18","979 22ND AVE, SEATTLE, WA 98122",47.61231927,-122.30398464,"POINT (-122.30398464 47.61231927)","98122","EAST","MINOR"
947570,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/02/2025 05:02:17 PM","2025-01-02","05:02:17","829 23RD AVE, SEATTLE, WA 98122",47.6098735,-122.30298986,"POINT (-122.30298986 47.6098735)","98122","EAST","MINOR"
947595,"Parking Enforcement","SPD-Seattle Police Department","01/02/2025 05:36:29 PM","2025-01-02","05:36:29","110 12TH AVE, SEATTLE, WA 98122",47.60219597,-122.3165284,"POINT (-122.3165284 47.60219597)","98122","EAST","MINOR"
947675,"Unauthorized Encampment","SEA-City of Seattle","01/03/2025 05:43:02 AM","2025-01-03","05:43:02","2014 E ALDER ST, SEATTLE, WA 98122",47.60445917,-122.30561364,"POINT (-122.30561364 47.60445917)","98122","EAST","MINOR"
947792,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","01/03/2025 09:44:52 AM","2025-01-03","09:44:52","1120 19TH AVE, SEATTLE, WA 98122",47.61218708,-122.30727045,"POINT (-122.30727045 47.61218708)","98122","EAST","MINOR"
947795,"Traffic Signal Maintenance","SDOT-Seattle Department of Transportation","01/03/2025 09:54:56 AM","2025-01-03","09:54:56","1401 E MADISON ST, SEATTLE, WA 98122",47.61383575,-122.31392449,"POINT (-122.31392449 47.61383575)","98122","EAST","MINOR"
947837,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","01/03/2025 10:17:05 AM","2025-01-03","10:17:05","1820 E PINE ST, SEATTLE, WA 98122",47.61554874,-122.30777773,"POINT (-122.30777773 47.61554874)","98122","EAST","MINOR"
947946,"Graffiti","SPU-Seattle Public Utilities","01/03/2025 11:43:45 AM","2025-01-03","11:43:45","1100 12TH AVE, SEATTLE, WA 98122",47.61169922,-122.31652823,"POINT (-122.31652823 47.61169922)","98122","EAST","MINOR"
947959,"Graffiti","SPU-Seattle Public Utilities","01/03/2025 11:53:56 AM","2025-01-03","11:53:56","818 12TH AVE, SEATTLE, WA 98122",47.60990211,-122.31635771,"POINT (-122.31635771 47.60990211)","98122","EAST","MINOR"
948041,"Graffiti","SPU-Seattle Public Utilities","01/03/2025 01:30:37 PM","2025-01-03","01:30:37","550 12TH AVE, SEATTLE, WA 98122",47.60700072,-122.31657979,"POINT (-122.31657979 47.60700072)","98122","EAST","MINOR"
948044,"Graffiti","SPU-Seattle Public Utilities","01/03/2025 01:24:30 PM","2025-01-03","01:24:30","564 12TH AVE, SEATTLE, WA 98122",47.60724408,-122.31642648,"POINT (-122.31642648 47.60724408)","98122","EAST","MINOR"
948107,"Graffiti","SPU-Seattle Public Utilities","01/03/2025 02:14:55 PM","2025-01-03","02:14:55","728 12TH AVE, SEATTLE, WA 98122",47.60856945,-122.31636139,"POINT (-122.31636139 47.60856945)","98122","EAST","MINOR"
948110,"Graffiti","SPU-Seattle Public Utilities","01/03/2025 02:25:02 PM","2025-01-03","02:25:02","732 12TH AVE, SEATTLE, WA 98122",47.60889842,-122.31636179,"POINT (-122.31636179 47.60889842)","98122","EAST","MINOR"
948131,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","01/03/2025 02:57:17 PM","2025-01-03","02:57:17","128 18TH AVE, SEATTLE, WA 98122",47.6025197,-122.30862263,"POINT (-122.30862263 47.6025197)","98122","EAST","MINOR"
948174,"Clogged Storm Drain","SPU-Seattle Public Utilities","01/03/2025 03:31:29 PM","2025-01-03","03:31:29","1925 E COLUMBIA ST, SEATTLE, WA 98122",47.60903604,-122.30661177,"POINT (-122.30661177 47.60903604)","98122","EAST","MINOR"
948223,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","01/03/2025 03:53:42 PM","2025-01-03","03:53:42","979 22ND AVE, SEATTLE, WA 98122",47.61231927,-122.30398464,"POINT (-122.30398464 47.61231927)","98122","EAST","MINOR"
948339,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","01/03/2025 06:24:48 PM","2025-01-03","06:24:48","112 18TH AVE, SEATTLE, WA 98122",47.60206239,-122.30875941,"POINT (-122.30875941 47.60206239)","98122","EAST","MINOR"
948389,"Parking Enforcement","SPD-Seattle Police Department","01/03/2025 09:16:05 PM","2025-01-03","09:16:05","1707 E FIR ST, SEATTLE, WA 98122",47.60256034,-122.30976432,"POINT (-122.30976432 47.60256034)","98122","EAST","MINOR"
948482,"Parking Enforcement","SPD-Seattle Police Department","01/04/2025 08:40:22 AM","2025-01-04","08:40:22","2001 E MADISON ST, SEATTLE, WA 98122",47.6174427,-122.30514472,"POINT (-122.30514472 47.6174427)","98122","EAST","MINOR"
948575,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","01/04/2025 10:51:16 AM","2025-01-04","10:51:16","1918 E YESLER WAY, SEATTLE, WA 98122",47.60186577,-122.30665273,"POINT (-122.30665273 47.60186577)","98122","EAST","MINOR"
948680,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","01/04/2025 11:39:41 AM","2025-01-04","11:39:41","120 21ST AVE, SEATTLE, WA 98122",47.6025021,-122.3047398,"POINT (-122.3047398 47.6025021)","98122","EAST","MINOR"
948766,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","01/04/2025 01:28:38 PM","2025-01-04","01:28:38","348 15TH AVE, SEATTLE, WA 98122",47.60575262,-122.312552,"POINT (-122.312552 47.60575262)","98122","EAST","MINOR"
948777,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","01/04/2025 01:28:41 PM","2025-01-04","01:28:41","349 15TH AVE, SEATTLE, WA 98122",47.60575997,-122.31313716,"POINT (-122.31313716 47.60575997)","98122","EAST","MINOR"
949047,"Parking Enforcement","SPD-Seattle Police Department","01/04/2025 11:16:56 PM","2025-01-04","11:16:56","1400 E UNION ST, SEATTLE, WA 98122",47.61307565,-122.31396587,"POINT (-122.31396587 47.61307565)","98122","EAST","MINOR"
949051,"Parking Enforcement","SPD-Seattle Police Department","01/04/2025 11:18:55 PM","2025-01-04","11:18:55","1408 14TH AVE, SEATTLE, WA 98122",47.61333629,-122.3139955,"POINT (-122.3139955 47.61333629)","98122","EAST","MINOR"
949095,"Parking Enforcement","SPD-Seattle Police Department","01/05/2025 08:45:13 AM","2025-01-05","08:45:13","1118 13TH AVE, SEATTLE, WA 98122",47.61216804,-122.31520372,"POINT (-122.31520372 47.61216804)","98122","EAST","MINOR"
949209,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","01/05/2025 10:46:10 AM","2025-01-05","10:46:10","1902 E YESLER WAY, SEATTLE, WA 98122",47.60187363,-122.30738055,"POINT (-122.30738055 47.60187363)","98122","EAST","MINOR"
