"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
720675,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/02/2024 07:03:38 AM","2024-04-02","07:03:38","2163 LAKE WASHINGTON BLVD E, SEATTLE, WA 98112",47.63801561,-122.2970795,"POINT (-122.2970795 47.63801561)","98112","EAST","MONTLAKE"
720857,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/02/2024 09:24:41 AM","2024-04-02","09:24:41","2501 W MONTLAKE PL E, SEATTLE, WA 98112",47.641944,-122.30696823,"POINT (-122.30696823 47.641944)","98112","EAST","MONTLAKE"
720914,"Parking Enforcement","SPD-Seattle Police Department","04/02/2024 10:31:09 AM","2024-04-02","10:31:09","2328 DELMAR DR E, SEATTLE, WA 98102",47.64029525,-122.31377528,"POINT (-122.31377528 47.64029525)","98102","EAST","MONTLAKE"
720985,"Streetlight Maintenance","SCL-Seattle City Light","04/02/2024 11:18:33 AM","2024-04-02","11:18:33","2311 26TH AVE E, SEATTLE, WA 98112",47.6399397,-122.29887969,"POINT (-122.29887969 47.6399397)","98112","EAST","MONTLAKE"
721019,"Pothole","SDOT-Seattle Department of Transportation","04/02/2024 11:46:46 AM","2024-04-02","11:46:46","1215 E LYNN ST, SEATTLE, WA 98102",47.63936155,-122.31652303,"POINT (-122.31652303 47.63936155)","98102","EAST","MONTLAKE"
721040,"General Inquiry - Police Department","SPD-Seattle Police Department","04/02/2024 12:06:47 PM","2024-04-02","12:06:47","1846 E HAMLIN ST, SEATTLE, WA 98112",47.64580348,-122.30705462,"POINT (-122.30705462 47.64580348)","98112","EAST","MONTLAKE"
721047,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","04/02/2024 12:06:16 PM","2024-04-02","12:06:16","1846 E HAMLIN ST, SEATTLE, WA 98112",47.64580348,-122.30705462,"POINT (-122.30705462 47.64580348)","98112","EAST","MONTLAKE"
721073,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/02/2024 12:26:04 PM","2024-04-02","12:26:04","2351 BROADWAY E, SEATTLE, WA 98102",47.64111295,-122.3215937,"POINT (-122.3215937 47.64111295)","98102","EAST","MONTLAKE"
721890,"Parking Enforcement","SPD-Seattle Police Department","04/03/2024 01:18:24 PM","2024-04-03","01:18:24","1843 24TH AVE E, SEATTLE, WA 98112",47.63661249,-122.30190736,"POINT (-122.30190736 47.63661249)","98112","EAST","MONTLAKE"
722032,"Pothole","SDOT-Seattle Department of Transportation","04/03/2024 03:29:26 PM","2024-04-03","03:29:26","1300 E INTERLAKEN BLVD, SEATTLE, WA 98102",47.63977575,-122.31450909,"POINT (-122.31450909 47.63977575)","98102","EAST","MONTLAKE"
722037,"Unauthorized Encampment","SEA-City of Seattle","04/03/2024 04:00:05 PM","2024-04-03","04:00:05","2900 E FOSTER ISLAND RD, SEATTLE, WA 98112",47.64137378,-122.2929614,"POINT (-122.2929614 47.64137378)","98112","EAST","MONTLAKE"
