"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
877057,"Parking Enforcement","SPD-Seattle Police Department","10/03/2024 08:18:33 AM","2024-10-03","08:18:33","3443 CALIFORNIA AVE SW, SEATTLE, WA 98116",47.57254538,-122.3870241,"POINT (-122.3870241 47.57254538)","98116","SOUTHWEST","NORTH ADMIRAL"
877065,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","10/03/2024 08:32:36 AM","2024-10-03","08:32:36","4121 SW LANDER ST, SEATTLE, WA 98116",47.57888146,-122.38486383,"POINT (-122.38486383 47.57888146)","98116","SOUTHWEST","NORTH ADMIRAL"
877082,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","10/03/2024 08:50:46 AM","2024-10-03","08:50:46","2402 41ST AVE SW, SEATTLE, WA 98116",47.58224493,-122.38355025,"POINT (-122.38355025 47.58224493)","98116","SOUTHWEST","NORTH ADMIRAL"
877133,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","10/03/2024 09:17:57 AM","2024-10-03","09:17:57","2724 WALNUT AVE SW, SEATTLE, WA 98116",47.57850498,-122.38298268,"POINT (-122.38298268 47.57850498)","98116","SOUTHWEST","NORTH ADMIRAL"
877149,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","10/03/2024 09:41:09 AM","2024-10-03","09:41:09","1619 HARBOR AVE SW, SEATTLE, WA 98126",47.5891303,-122.38145227,"POINT (-122.38145227 47.5891303)","98126","SOUTHWEST","NORTH ADMIRAL"
877150,"Parking Enforcement","SPD-Seattle Police Department","10/03/2024 09:41:11 AM","2024-10-03","09:41:11","3443 CALIFORNIA AVE SW, SEATTLE, WA 98116",47.57254538,-122.3870241,"POINT (-122.3870241 47.57254538)","98116","SOUTHWEST","NORTH ADMIRAL"
877208,"Graffiti","SPU-Seattle Public Utilities","10/03/2024 10:17:37 AM","2024-10-03","10:17:37","2656 42ND AVE SW, SEATTLE, WA 98116",47.57949891,-122.38485032,"POINT (-122.38485032 47.57949891)","98116","SOUTHWEST","NORTH ADMIRAL"
877224,"Graffiti","SPU-Seattle Public Utilities","10/03/2024 10:19:29 AM","2024-10-03","10:19:29","2712 WALNUT AVE SW, SEATTLE, WA 98116",47.57882827,-122.38298813,"POINT (-122.38298813 47.57882827)","98116","SOUTHWEST","NORTH ADMIRAL"
877327,"Graffiti","SPU-Seattle Public Utilities","10/03/2024 11:52:12 AM","2024-10-03","11:52:12","2773 44TH AVE SW, SEATTLE, WA 98116",47.57717542,-122.38827563,"POINT (-122.38827563 47.57717542)","98116","SOUTHWEST","NORTH ADMIRAL"
877330,"Graffiti","SPU-Seattle Public Utilities","10/03/2024 11:52:15 AM","2024-10-03","11:52:15","3004 44TH AVE SW, SEATTLE, WA 98116",47.57679108,-122.38771647,"POINT (-122.38771647 47.57679108)","98116","SOUTHWEST","NORTH ADMIRAL"
