"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
334146,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","09/18/2022 08:59:22 AM","2022-09-18","08:59:22","399 NW 107TH ST, SEATTLE, WA 98177",47.70685648,-122.36183529,"POINT (-122.36183529 47.70685648)","98177","NORTH","NORTH BEACH/BLUE RIDGE"
334850,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","09/19/2022 09:37:43 AM","2022-09-19","09:37:43","9250 20TH AVE NW, SEATTLE, WA 98117",47.6970129,-122.38113228,"POINT (-122.38113228 47.6970129)","98117","NORTH","NORTH BEACH/BLUE RIDGE"
335092,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","09/19/2022 12:52:48 PM","2022-09-19","12:52:48","9250 25TH AVE NW, SEATTLE, WA 98117",47.69751441,-122.388344,"POINT (-122.388344 47.69751441)","98117","NORTH","NORTH BEACH/BLUE RIDGE"
337058,"General Inquiry - Public Utilities","SPU-Seattle Public Utilities","09/21/2022 04:35:52 PM","2022-09-21","04:35:52","1935 NW 99TH ST, SEATTLE, WA 98117",47.70098597,-122.38248908,"POINT (-122.38248908 47.70098597)","98117","NORTH","NORTH BEACH/BLUE RIDGE"
337090,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","09/21/2022 04:34:40 PM","2022-09-21","04:34:40","1935 NW 99TH ST, SEATTLE, WA 98117",47.70098597,-122.38248908,"POINT (-122.38248908 47.70098597)","98117","NORTH","NORTH BEACH/BLUE RIDGE"
337289,"Parking Enforcement","SPD-Seattle Police Department","09/21/2022 08:54:22 PM","2022-09-21","08:54:22","3100 NW 85TH ST, SEATTLE, WA 98117",47.69072749,-122.39714614,"POINT (-122.39714614 47.69072749)","98117","NORTH","NORTH BEACH/BLUE RIDGE"
337320,"Streetlight Maintenance","SCL-Seattle City Light","09/22/2022 12:42:06 AM","2022-09-22","12:42:06","9028 23RD AVE NW, SEATTLE, WA 98117",47.69511325,-122.38475326,"POINT (-122.38475326 47.69511325)","98117","NORTH","NORTH BEACH/BLUE RIDGE"
337378,"Pothole","SDOT-Seattle Department of Transportation","09/22/2022 08:05:32 AM","2022-09-22","08:05:32","9501 15TH AVE NW, SEATTLE, WA 98117",47.69793519,-122.37708994,"POINT (-122.37708994 47.69793519)","98117","NORTH","NORTH BEACH/BLUE RIDGE"
337430,"Pothole","SDOT-Seattle Department of Transportation","09/22/2022 08:23:41 AM","2022-09-22","08:23:41","1941 NW MILFORD WAY, SEATTLE, WA 98177",47.70338272,-122.38119846,"POINT (-122.38119846 47.70338272)","98177","NORTH","NORTH BEACH/BLUE RIDGE"
337449,"Overgrown Vegetation","FAS-Finance and Administrative Services","09/22/2022 08:41:49 AM","2022-09-22","08:41:49","9515 19TH AVE NW, SEATTLE, WA 98117",47.69880879,-122.38102036,"POINT (-122.38102036 47.69880879)","98117","NORTH","NORTH BEACH/BLUE RIDGE"
337493,"Pothole","SDOT-Seattle Department of Transportation","09/22/2022 09:28:12 AM","2022-09-22","09:28:12","9501 15TH AVE NW, SEATTLE, WA 98117",47.69793519,-122.37708994,"POINT (-122.37708994 47.69793519)","98117","NORTH","NORTH BEACH/BLUE RIDGE"
337557,"Graffiti","SPU-Seattle Public Utilities","09/22/2022 10:32:38 AM","2022-09-22","10:32:38","1487 NW WOODBINE WAY, SEATTLE, WA 98177",47.70801805,-122.3774591,"POINT (-122.3774591 47.70801805)","98177","NORTH","NORTH BEACH/BLUE RIDGE"
337738,"Abandoned Vehicle/72hr Parking Ordinance","SDOT-Seattle Department of Transportation","09/22/2022 12:35:48 PM","2022-09-22","12:35:48","1509 NW 96TH ST, SEATTLE, WA 98117",47.69880386,-122.37728922,"POINT (-122.37728922 47.69880386)","98117","NORTH","NORTH BEACH/BLUE RIDGE"
338119,"Parking Enforcement","SPD-Seattle Police Department","09/22/2022 08:57:24 PM","2022-09-22","08:57:24","3100 NW 85TH ST, SEATTLE, WA 98117",47.69072749,-122.39714614,"POINT (-122.39714614 47.69072749)","98117","NORTH","NORTH BEACH/BLUE RIDGE"
338947,"Parking Enforcement","SPD-Seattle Police Department","09/24/2022 08:07:32 AM","2022-09-24","08:07:32","8503 31ST AVE NW, SEATTLE, WA 98117",47.69077503,-122.39714227,"POINT (-122.39714227 47.69077503)","98117","NORTH","NORTH BEACH/BLUE RIDGE"
