"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
977099,"Parking Enforcement","SPD-Seattle Police Department","02/08/2025 10:53:46 PM","2025-02-08","10:53:46","1549 13TH AVE S, SEATTLE, WA 98144",47.58860234,-122.31628777,"POINT (-122.31628777 47.58860234)","98144","SOUTH","NORTH BEACON HILL"
977137,"Parking Enforcement","SPD-Seattle Police Department","02/09/2025 09:03:25 AM","2025-02-09","09:03:25","1727 15TH AVE S, SEATTLE, WA 98144",47.58782741,-122.31396652,"POINT (-122.31396652 47.58782741)","98144","SOUTH","NORTH BEACON HILL"
977145,"Parking Enforcement","SPD-Seattle Police Department","02/09/2025 08:43:18 AM","2025-02-09","08:43:18","2615 25TH AVE S, SEATTLE, WA 98144",47.57953472,-122.3006286,"POINT (-122.3006286 47.57953472)","98144","SOUTH","NORTH BEACON HILL"
977325,"Overgrown Vegetation","FAS-Finance and Administrative Services","02/09/2025 01:08:17 PM","2025-02-09","01:08:17","1501 CHERRYLANE AVE S, SEATTLE, WA 98144",47.58979545,-122.31294619,"POINT (-122.31294619 47.58979545)","98144","SOUTH","NORTH BEACON HILL"
977337,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","02/09/2025 12:48:08 PM","2025-02-09","12:48:08","3301 19TH AVE S, SEATTLE, WA 98144",47.57390908,-122.30739357,"POINT (-122.30739357 47.57390908)","98144","SOUTH","NORTH BEACON HILL"
977338,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","02/09/2025 01:50:37 PM","2025-02-09","01:50:37","1713 19TH AVE S, SEATTLE, WA 98144",47.5880023,-122.30856863,"POINT (-122.30856863 47.5880023)","98144","SOUTH","NORTH BEACON HILL"
977385,"Streetlight Maintenance","SCL-Seattle City Light","02/09/2025 02:28:54 PM","2025-02-09","02:28:54","2212 17TH AVE S, SEATTLE, WA 98144",47.58329058,-122.31049897,"POINT (-122.31049897 47.58329058)","98144","SOUTH","NORTH BEACON HILL"
977555,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","02/09/2025 10:01:46 PM","2025-02-09","10:01:46","21ST AVE S & S HANFORD ST, SEATTLE, WA",47.57508581,-122.30537442,"POINT (-122.30537442 47.57508581)","","SOUTH","NORTH BEACON HILL"
977569,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","02/09/2025 09:46:41 PM","2025-02-09","09:46:41","3412 ALAMO PL S, SEATTLE, WA 98144",47.57265465,-122.30940774,"POINT (-122.30940774 47.57265465)","98144","SOUTH","NORTH BEACON HILL"
977573,"Unauthorized Encampment","SEA-City of Seattle","02/10/2025 01:26:22 AM","2025-02-10","01:26:22","2203 22ND AVE S, SEATTLE, WA 98144",47.58353854,-122.30449938,"POINT (-122.30449938 47.58353854)","98144","SOUTH","NORTH BEACON HILL"
977642,"Unauthorized Encampment","SEA-City of Seattle","02/10/2025 08:00:22 AM","2025-02-10","08:00:22","2116 22ND AVE S, SEATTLE, WA 98144",47.58386948,-122.30396104,"POINT (-122.30396104 47.58386948)","98144","SOUTH","NORTH BEACON HILL"
977690,"Unauthorized Encampment","SEA-City of Seattle","02/10/2025 08:41:03 AM","2025-02-10","08:41:03","1144 STURGUS AVE S, SEATTLE, WA 98144",47.59202047,-122.31222612,"POINT (-122.31222612 47.59202047)","98144","SOUTH","NORTH BEACON HILL"
977862,"Unauthorized Encampment","SEA-City of Seattle","02/10/2025 10:17:50 AM","2025-02-10","10:17:50","1202 S HILL ST, SEATTLE, WA 98144",47.58470653,-122.31704183,"POINT (-122.31704183 47.58470653)","98144","SOUTH","NORTH BEACON HILL"
977865,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","02/10/2025 10:15:51 AM","2025-02-10","10:15:51","1054 STURGUS AVE S, SEATTLE, WA 98144",47.59349604,-122.31364117,"POINT (-122.31364117 47.59349604)","98144","SOUTH","NORTH BEACON HILL"
977874,"Public Litter and Recycling Cans","SPU-Seattle Public Utilities","02/10/2025 10:19:27 AM","2025-02-10","10:19:27","2724 16TH AVE S, SEATTLE, WA 98144",47.57881526,-122.31154079,"POINT (-122.31154079 47.57881526)","98144","SOUTH","NORTH BEACON HILL"
977891,"Unauthorized Encampment","SEA-City of Seattle","02/10/2025 10:25:52 AM","2025-02-10","10:25:52","2115 23RD AVE S, SEATTLE, WA 98144",47.58390083,-122.30346248,"POINT (-122.30346248 47.58390083)","98144","SOUTH","NORTH BEACON HILL"
977899,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","02/10/2025 10:16:27 AM","2025-02-10","10:16:27","920 STURGUS AVE S, SEATTLE, WA 98144",47.59456353,-122.31479215,"POINT (-122.31479215 47.59456353)","98144","SOUTH","NORTH BEACON HILL"
977901,"Unauthorized Encampment","SEA-City of Seattle","02/10/2025 10:29:37 AM","2025-02-10","10:29:37","3802 24TH AVE S, SEATTLE, WA 98108",47.570127,-122.30073406,"POINT (-122.30073406 47.570127)","98108","SOUTH","NORTH BEACON HILL"
977993,"Unauthorized Encampment","SEA-City of Seattle","02/10/2025 11:15:51 AM","2025-02-10","11:15:51","3802 24TH AVE S, SEATTLE, WA 98108",47.570127,-122.30073406,"POINT (-122.30073406 47.570127)","98108","SOUTH","NORTH BEACON HILL"
978124,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","02/10/2025 12:51:11 PM","2025-02-10","12:51:11","4703 BEACON AVE S, SEATTLE, WA 98108",47.56094777,-122.30532932,"POINT (-122.30532932 47.56094777)","98108","SOUTH","NORTH BEACON HILL"
978126,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","02/10/2025 12:54:38 PM","2025-02-10","12:54:38","2001 S HILL ST, SEATTLE, WA 98144",47.58436234,-122.30661796,"POINT (-122.30661796 47.58436234)","98144","SOUTH","NORTH BEACON HILL"
978148,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","02/10/2025 12:56:38 PM","2025-02-10","12:56:38","2017 20TH AVE S, SEATTLE, WA 98144",47.58493077,-122.30713137,"POINT (-122.30713137 47.58493077)","98144","SOUTH","NORTH BEACON HILL"
