"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
853469,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","09/07/2024 11:59:08 AM","2024-09-07","11:59:08","1125 N 94TH ST, SEATTLE, WA 98103",47.69690952,-122.3435536,"POINT (-122.3435536 47.69690952)","98103","NORTH","NORTH COLLEGE PARK"
853475,"Parking Enforcement","SPD-Seattle Police Department","09/07/2024 12:09:12 PM","2024-09-07","12:09:12","8512 AURORA AVE N, SEATTLE, WA 98103",47.69125958,-122.34363051,"POINT (-122.34363051 47.69125958)","98103","NORTH","NORTH COLLEGE PARK"
853501,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","09/07/2024 12:29:19 PM","2024-09-07","12:29:19","8852 STONE AVE N, SEATTLE, WA 98103",47.69402138,-122.34116892,"POINT (-122.34116892 47.69402138)","98103","NORTH","NORTH COLLEGE PARK"
853557,"General Inquiry - Police Department","SPD-Seattle Police Department","09/07/2024 01:41:50 PM","2024-09-07","01:41:50","10022 INTERLAKE AVE N, SEATTLE, WA 98133",47.70211746,-122.34030982,"POINT (-122.34030982 47.70211746)","98133","NORTH","NORTH COLLEGE PARK"
853635,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","09/07/2024 02:14:07 PM","2024-09-07","02:14:07","1216 N 103RD ST, SEATTLE, WA 98133",47.70338332,-122.34254808,"POINT (-122.34254808 47.70338332)","98133","NORTH","NORTH COLLEGE PARK"
853677,"Unauthorized Encampment","SEA-City of Seattle","09/07/2024 03:08:34 PM","2024-09-07","03:08:34","8816 AURORA AVE N, SEATTLE, WA 98103",47.69325334,-122.3436714,"POINT (-122.3436714 47.69325334)","98103","NORTH","NORTH COLLEGE PARK"
853780,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","09/07/2024 06:36:04 PM","2024-09-07","06:36:04","1127 N 94TH ST, SEATTLE, WA 98103",47.69690947,-122.34336987,"POINT (-122.34336987 47.69690947)","98103","NORTH","NORTH COLLEGE PARK"
853929,"Parking Enforcement","SPD-Seattle Police Department","09/08/2024 07:13:51 AM","2024-09-08","07:13:51","8508 NESBIT AVE N, SEATTLE, WA 98103",47.69089118,-122.34320609,"POINT (-122.34320609 47.69089118)","98103","NORTH","NORTH COLLEGE PARK"
853945,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","09/08/2024 07:34:00 AM","2024-09-08","07:34:00","8508 NESBIT AVE N, SEATTLE, WA 98103",47.69089118,-122.34320609,"POINT (-122.34320609 47.69089118)","98103","NORTH","NORTH COLLEGE PARK"
853975,"Public Litter and Recycling Cans","SPU-Seattle Public Utilities","09/08/2024 08:06:17 AM","2024-09-08","08:06:17","10354 WALLINGFORD AVE N, SEATTLE, WA 98133",47.70465447,-122.33549017,"POINT (-122.33549017 47.70465447)","98133","NORTH","NORTH COLLEGE PARK"
854064,"Unauthorized Encampment","SEA-City of Seattle","09/08/2024 09:53:04 AM","2024-09-08","09:53:04","2147 N NORTHGATE WAY, SEATTLE, WA 98133",47.7082563,-122.33167446,"POINT (-122.33167446 47.7082563)","98133","NORTH","NORTH COLLEGE PARK"
854098,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","09/08/2024 10:57:35 AM","2024-09-08","10:57:35","10345 MERIDIAN AVE N, SEATTLE, WA 98133",47.70450907,-122.33452993,"POINT (-122.33452993 47.70450907)","98133","NORTH","NORTH COLLEGE PARK"
854211,"Unauthorized Encampment","SEA-City of Seattle","09/08/2024 12:30:38 PM","2024-09-08","12:30:38","8830 NESBIT AVE N, SEATTLE, WA 98103",47.69336597,-122.34322029,"POINT (-122.34322029 47.69336597)","98103","NORTH","NORTH COLLEGE PARK"
854430,"Parking Enforcement","SPD-Seattle Police Department","09/08/2024 04:52:18 PM","2024-09-08","04:52:18","8820 STONE AVE N, SEATTLE, WA 98103",47.69304662,-122.34099883,"POINT (-122.34099883 47.69304662)","98103","NORTH","NORTH COLLEGE PARK"
854491,"Dead Animal","FAS-Finance and Administrative Services","09/08/2024 06:12:55 PM","2024-09-08","06:12:55","9748 WALLINGFORD AVE N, SEATTLE, WA 98103",47.70111893,-122.33617031,"POINT (-122.33617031 47.70111893)","98103","NORTH","NORTH COLLEGE PARK"
854535,"Unauthorized Encampment","SEA-City of Seattle","09/08/2024 07:03:16 PM","2024-09-08","07:03:16","8900 AURORA AVE N, SEATTLE, WA 98103",47.69365788,-122.34368294,"POINT (-122.34368294 47.69365788)","98103","NORTH","NORTH COLLEGE PARK"
854565,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","09/08/2024 07:05:19 PM","2024-09-08","07:05:19","8853 NESBIT AVE N, SEATTLE, WA 98103",47.69393734,-122.34377588,"POINT (-122.34377588 47.69393734)","98103","NORTH","NORTH COLLEGE PARK"
854598,"Streetlight Maintenance","SCL-Seattle City Light","09/08/2024 09:24:29 PM","2024-09-08","09:24:29","2201 N 106TH ST, SEATTLE, WA 98133",47.70563838,-122.33173209,"POINT (-122.33173209 47.70563838)","98133","NORTH","NORTH COLLEGE PARK"
854714,"Unauthorized Encampment","SEA-City of Seattle","09/09/2024 07:16:10 AM","2024-09-09","07:16:10","1216 N 103RD ST, SEATTLE, WA 98133",47.70338332,-122.34254808,"POINT (-122.34254808 47.70338332)","98133","NORTH","NORTH COLLEGE PARK"
854741,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","09/09/2024 07:43:23 AM","2024-09-09","07:43:23","1216 N 103RD ST, SEATTLE, WA 98133",47.70338332,-122.34254808,"POINT (-122.34254808 47.70338332)","98133","NORTH","NORTH COLLEGE PARK"
854751,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","09/09/2024 07:42:51 AM","2024-09-09","07:42:51","1216 N 103RD ST, SEATTLE, WA 98133",47.70338332,-122.34254808,"POINT (-122.34254808 47.70338332)","98133","NORTH","NORTH COLLEGE PARK"
854767,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","09/09/2024 07:42:06 AM","2024-09-09","07:42:06","1216 N 103RD ST, SEATTLE, WA 98133",47.70338332,-122.34254808,"POINT (-122.34254808 47.70338332)","98133","NORTH","NORTH COLLEGE PARK"
854773,"Parking Enforcement","SPD-Seattle Police Department","09/09/2024 07:50:17 AM","2024-09-09","07:50:17","8502 INTERLAKE AVE N, SEATTLE, WA 98103",47.69074981,-122.33997094,"POINT (-122.33997094 47.69074981)","98103","NORTH","NORTH COLLEGE PARK"
854774,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","09/09/2024 07:58:20 AM","2024-09-09","07:58:20","10302 MIDVALE AVE N, SEATTLE, WA 98133",47.70338614,-122.34299683,"POINT (-122.34299683 47.70338614)","98133","NORTH","NORTH COLLEGE PARK"
855041,"Unauthorized Encampment","SEA-City of Seattle","09/09/2024 10:13:19 AM","2024-09-09","10:13:19","8853 NESBIT AVE N, SEATTLE, WA 98103",47.69393734,-122.34377588,"POINT (-122.34377588 47.69393734)","98103","NORTH","NORTH COLLEGE PARK"
855122,"Unauthorized Encampment","SEA-City of Seattle","09/09/2024 10:59:45 AM","2024-09-09","10:59:45","8623 NESBIT AVE N, SEATTLE, WA 98103",47.69209363,-122.34372811,"POINT (-122.34372811 47.69209363)","98103","NORTH","NORTH COLLEGE PARK"
855155,"Unauthorized Encampment","SEA-City of Seattle","09/09/2024 11:22:22 AM","2024-09-09","11:22:22","8838 NESBIT AVE N, SEATTLE, WA 98103",47.69350731,-122.34318768,"POINT (-122.34318768 47.69350731)","98103","NORTH","NORTH COLLEGE PARK"
855236,"Unauthorized Encampment","SEA-City of Seattle","09/09/2024 12:10:39 PM","2024-09-09","12:10:39","2147 N NORTHGATE WAY, SEATTLE, WA 98133",47.7082563,-122.33167446,"POINT (-122.33167446 47.7082563)","98133","NORTH","NORTH COLLEGE PARK"
