"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
786757,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","06/25/2024 08:42:19 AM","2024-06-25","08:42:19","5220 DELRIDGE WAY SW, SEATTLE, WA 98106",47.55429938,-122.36259511,"POINT (-122.36259511 47.55429938)","98106","SOUTHWEST","NORTH DELRIDGE"
786758,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","06/25/2024 08:36:16 AM","2024-06-25","08:36:16","2816 SW BRANDON ST, SEATTLE, WA 98126",47.55385973,-122.36845315,"POINT (-122.36845315 47.55385973)","98126","SOUTHWEST","NORTH DELRIDGE"
786845,"Unauthorized Encampment","SEA-City of Seattle","06/25/2024 09:38:28 AM","2024-06-25","09:38:28","5205 25TH AVE SW, SEATTLE, WA 98106",47.55475736,-122.3645943,"POINT (-122.3645943 47.55475736)","98106","SOUTHWEST","NORTH DELRIDGE"
786849,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","06/25/2024 09:39:28 AM","2024-06-25","09:39:28","4556 DELRIDGE WAY SW, SEATTLE, WA 98106",47.56122209,-122.36255955,"POINT (-122.36255955 47.56122209)","98106","SOUTHWEST","NORTH DELRIDGE"
786881,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","06/25/2024 09:59:45 AM","2024-06-25","09:59:45","2525 SW GENESEE ST, SEATTLE, WA 98106",47.56464436,-122.36464051,"POINT (-122.36464051 47.56464436)","98106","SOUTHWEST","NORTH DELRIDGE"
786882,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","06/25/2024 10:00:05 AM","2024-06-25","10:00:05","4556 DELRIDGE WAY SW, SEATTLE, WA 98106",47.56122209,-122.36255955,"POINT (-122.36255955 47.56122209)","98106","SOUTHWEST","NORTH DELRIDGE"
786891,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","06/25/2024 09:59:06 AM","2024-06-25","09:59:06","30TH AVE SW & SW GENESEE ST, SEATTLE, WA",47.56471397,-122.3708077,"POINT (-122.3708077 47.56471397)","","SOUTHWEST","NORTH DELRIDGE"
786911,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","06/25/2024 10:19:37 AM","2024-06-25","10:19:37","5200 25TH AVE SW, SEATTLE, WA 98106",47.555044,-122.3639111,"POINT (-122.3639111 47.555044)","98106","SOUTHWEST","NORTH DELRIDGE"
786935,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","06/25/2024 10:19:51 AM","2024-06-25","10:19:51","5069 25TH AVE SW, SEATTLE, WA 98106",47.55547712,-122.36461815,"POINT (-122.36461815 47.55547712)","98106","SOUTHWEST","NORTH DELRIDGE"
786996,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","06/25/2024 11:29:40 AM","2024-06-25","11:29:40","5200 25TH AVE SW, SEATTLE, WA 98106",47.555044,-122.3639111,"POINT (-122.3639111 47.555044)","98106","SOUTHWEST","NORTH DELRIDGE"
787028,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","06/25/2024 11:55:47 AM","2024-06-25","11:55:47","5069 25TH AVE SW, SEATTLE, WA 98106",47.55547712,-122.36461815,"POINT (-122.36461815 47.55547712)","98106","SOUTHWEST","NORTH DELRIDGE"
787056,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","06/25/2024 12:04:20 PM","2024-06-25","12:04:20","5069 25TH AVE SW, SEATTLE, WA 98106",47.55547712,-122.36461815,"POINT (-122.36461815 47.55547712)","98106","SOUTHWEST","NORTH DELRIDGE"
787123,"Unauthorized Encampment","SEA-City of Seattle","06/25/2024 12:46:15 PM","2024-06-25","12:46:15","5200 25TH AVE SW, SEATTLE, WA 98106",47.555044,-122.3639111,"POINT (-122.3639111 47.555044)","98106","SOUTHWEST","NORTH DELRIDGE"
787211,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","06/25/2024 02:12:11 PM","2024-06-25","02:12:11","5200 25TH AVE SW, SEATTLE, WA 98106",47.555044,-122.3639111,"POINT (-122.3639111 47.555044)","98106","SOUTHWEST","NORTH DELRIDGE"
787227,"General Inquiry - Public Utilities","SPU-Seattle Public Utilities","06/25/2024 02:32:48 PM","2024-06-25","02:32:48","4432 35TH AVE SW, SEATTLE, WA 98126",47.56307825,-122.37399664,"POINT (-122.37399664 47.56307825)","98126","SOUTHWEST","NORTH DELRIDGE"
787328,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","06/25/2024 04:02:41 PM","2024-06-25","04:02:41","5200 25TH AVE SW, SEATTLE, WA 98106",47.555044,-122.3639111,"POINT (-122.3639111 47.555044)","98106","SOUTHWEST","NORTH DELRIDGE"
787379,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","06/25/2024 04:47:00 PM","2024-06-25","04:47:00","4138 25TH AVE SW, SEATTLE, WA 98106",47.56541853,-122.3641195,"POINT (-122.3641195 47.56541853)","98106","SOUTHWEST","NORTH DELRIDGE"
787426,"Parking Enforcement","SPD-Seattle Police Department","06/25/2024 05:31:22 PM","2024-06-25","05:31:22","4155 20TH AVE SW, SEATTLE, WA 98106",47.56495824,-122.35936296,"POINT (-122.35936296 47.56495824)","98106","SOUTHWEST","NORTH DELRIDGE"
787498,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","06/25/2024 07:50:25 PM","2024-06-25","07:50:25","5036 25TH AVE SW, SEATTLE, WA 98106",47.55630319,-122.36373419,"POINT (-122.36373419 47.55630319)","98106","SOUTHWEST","NORTH DELRIDGE"
787514,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","06/25/2024 08:07:33 PM","2024-06-25","08:07:33","4409 26TH AVE SW, SEATTLE, WA 98106",47.56436786,-122.36577425,"POINT (-122.36577425 47.56436786)","98106","SOUTHWEST","NORTH DELRIDGE"
787518,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","06/25/2024 08:13:35 PM","2024-06-25","08:13:35","4409 26TH AVE SW, SEATTLE, WA 98106",47.56436786,-122.36577425,"POINT (-122.36577425 47.56436786)","98106","SOUTHWEST","NORTH DELRIDGE"
787606,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","06/26/2024 02:39:34 AM","2024-06-26","02:39:34","5200 25TH AVE SW, SEATTLE, WA 98106",47.555044,-122.3639111,"POINT (-122.3639111 47.555044)","98106","SOUTHWEST","NORTH DELRIDGE"
787710,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","06/26/2024 07:51:04 AM","2024-06-26","07:51:04","5200 25TH AVE SW, SEATTLE, WA 98106",47.555044,-122.3639111,"POINT (-122.3639111 47.555044)","98106","SOUTHWEST","NORTH DELRIDGE"
787896,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","06/26/2024 10:07:05 AM","2024-06-26","10:07:05","5205 25TH AVE SW, SEATTLE, WA 98106",47.55475736,-122.3645943,"POINT (-122.3645943 47.55475736)","98106","SOUTHWEST","NORTH DELRIDGE"
787920,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","06/26/2024 10:30:58 AM","2024-06-26","10:30:58","5200 25TH AVE SW, SEATTLE, WA 98106",47.555044,-122.3639111,"POINT (-122.3639111 47.555044)","98106","SOUTHWEST","NORTH DELRIDGE"
787959,"Clogged Storm Drain","SPU-Seattle Public Utilities","06/26/2024 10:38:13 AM","2024-06-26","10:38:13","4730 DELRIDGE WAY SW, SEATTLE, WA 98106",47.56019225,-122.36231592,"POINT (-122.36231592 47.56019225)","98106","SOUTHWEST","NORTH DELRIDGE"
788138,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","06/26/2024 01:26:09 PM","2024-06-26","01:26:09","2607 SW GENESEE ST, SEATTLE, WA 98126",47.56457329,-122.36596916,"POINT (-122.36596916 47.56457329)","98126","SOUTHWEST","NORTH DELRIDGE"
788152,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","06/26/2024 01:41:35 PM","2024-06-26","01:41:35","4409 DELRIDGE WAY SW, SEATTLE, WA 98106",47.56341227,-122.36363547,"POINT (-122.36363547 47.56341227)","98106","SOUTHWEST","NORTH DELRIDGE"
788166,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","06/26/2024 01:45:37 PM","2024-06-26","01:45:37","2219 SW SPOKANE ST, SEATTLE, WA 98106",47.57104372,-122.36175206,"POINT (-122.36175206 47.57104372)","98106","SOUTHWEST","NORTH DELRIDGE"
788239,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","06/26/2024 02:51:08 PM","2024-06-26","02:51:08","5200 25TH AVE SW, SEATTLE, WA 98106",47.555044,-122.3639111,"POINT (-122.3639111 47.555044)","98106","SOUTHWEST","NORTH DELRIDGE"
788477,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","06/26/2024 06:38:51 PM","2024-06-26","06:38:51","4139 25TH AVE SW, SEATTLE, WA 98106",47.56538548,-122.36465721,"POINT (-122.36465721 47.56538548)","98106","SOUTHWEST","NORTH DELRIDGE"
788613,"Lost a Pet","FAS-Finance and Administrative Services","06/27/2024 04:06:10 AM","2024-06-27","04:06:10","4018 20TH AVE SW, SEATTLE, WA 98106",47.56770309,-122.35877089,"POINT (-122.35877089 47.56770309)","98106","SOUTHWEST","NORTH DELRIDGE"
788618,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","06/27/2024 05:16:45 AM","2024-06-27","05:16:45","4425 26TH AVE SW, SEATTLE, WA 98106",47.56393265,-122.3657486,"POINT (-122.3657486 47.56393265)","98106","SOUTHWEST","NORTH DELRIDGE"
788652,"Overgrown Vegetation","FAS-Finance and Administrative Services","06/27/2024 07:09:37 AM","2024-06-27","07:09:37","2607 SW GENESEE ST, SEATTLE, WA 98126",47.56457329,-122.36596916,"POINT (-122.36596916 47.56457329)","98126","SOUTHWEST","NORTH DELRIDGE"
788668,"Overgrown Vegetation","FAS-Finance and Administrative Services","06/27/2024 07:06:34 AM","2024-06-27","07:06:34","4140 21ST AVE SW, SEATTLE, WA 98106",47.56538773,-122.35996267,"POINT (-122.35996267 47.56538773)","98106","SOUTHWEST","NORTH DELRIDGE"
788674,"Overgrown Vegetation","FAS-Finance and Administrative Services","06/27/2024 07:11:36 AM","2024-06-27","07:11:36","4425 26TH AVE SW, SEATTLE, WA 98106",47.56393265,-122.3657486,"POINT (-122.3657486 47.56393265)","98106","SOUTHWEST","NORTH DELRIDGE"
788752,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","06/27/2024 08:54:24 AM","2024-06-27","08:54:24","2623 SW YANCY ST, SEATTLE, WA 98126",47.56741825,-122.36651205,"POINT (-122.36651205 47.56741825)","98126","SOUTHWEST","NORTH DELRIDGE"
788807,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","06/27/2024 09:24:43 AM","2024-06-27","09:24:43","4747 25TH AVE SW, SEATTLE, WA 98106",47.55973204,-122.36448283,"POINT (-122.36448283 47.55973204)","98106","SOUTHWEST","NORTH DELRIDGE"
789120,"Pothole","SDOT-Seattle Department of Transportation","06/27/2024 12:59:17 PM","2024-06-27","12:59:17","5001 26TH AVE SW, SEATTLE, WA 98106",47.55735227,-122.36580243,"POINT (-122.36580243 47.55735227)","98106","SOUTHWEST","NORTH DELRIDGE"
789151,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","06/27/2024 01:53:56 PM","2024-06-27","01:53:56","4739 23RD AVE SW, SEATTLE, WA 98106",47.55996255,-122.36177138,"POINT (-122.36177138 47.55996255)","98106","SOUTHWEST","NORTH DELRIDGE"
789152,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","06/27/2024 01:44:10 PM","2024-06-27","01:44:10","4731 23RD AVE SW, SEATTLE, WA 98106",47.56018273,-122.36174849,"POINT (-122.36174849 47.56018273)","98106","SOUTHWEST","NORTH DELRIDGE"
789163,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","06/27/2024 01:58:42 PM","2024-06-27","01:58:42","4848 25TH AVE SW, SEATTLE, WA 98106",47.55783539,-122.36392799,"POINT (-122.36392799 47.55783539)","98106","SOUTHWEST","NORTH DELRIDGE"
789423,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","06/27/2024 06:42:52 PM","2024-06-27","06:42:52","4756 DELRIDGE WAY SW, SEATTLE, WA 98106",47.55941534,-122.36257216,"POINT (-122.36257216 47.55941534)","98106","SOUTHWEST","NORTH DELRIDGE"
789455,"Pothole","SDOT-Seattle Department of Transportation","06/27/2024 07:29:15 PM","2024-06-27","07:29:15","4701 21ST AVE SW, SEATTLE, WA 98106",47.56101164,-122.36045094,"POINT (-122.36045094 47.56101164)","98106","SOUTHWEST","NORTH DELRIDGE"
789992,"Dead Animal","FAS-Finance and Administrative Services","06/28/2024 01:43:41 PM","2024-06-28","01:43:41","2913 SW SPOKANE ST, SEATTLE, WA 98126",47.57131277,-122.36733533,"POINT (-122.36733533 47.57131277)","98126","SOUTHWEST","NORTH DELRIDGE"
790047,"Overgrown Vegetation","FAS-Finance and Administrative Services","06/28/2024 02:43:02 PM","2024-06-28","02:43:02","3808 DELRIDGE WAY SW, SEATTLE, WA 98106",47.56973157,-122.36187241,"POINT (-122.36187241 47.56973157)","98106","SOUTHWEST","NORTH DELRIDGE"
790074,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","06/28/2024 03:24:47 PM","2024-06-28","03:24:47","4856 25TH AVE SW, SEATTLE, WA 98106",47.55761304,-122.36397016,"POINT (-122.36397016 47.55761304)","98106","SOUTHWEST","NORTH DELRIDGE"
790103,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","06/28/2024 03:28:23 PM","2024-06-28","03:28:23","5200 25TH AVE SW, SEATTLE, WA 98106",47.555044,-122.3639111,"POINT (-122.3639111 47.555044)","98106","SOUTHWEST","NORTH DELRIDGE"
790381,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","06/28/2024 11:44:11 PM","2024-06-28","11:44:11","5200 25TH AVE SW, SEATTLE, WA 98106",47.555044,-122.3639111,"POINT (-122.3639111 47.555044)","98106","SOUTHWEST","NORTH DELRIDGE"
790481,"Parking Enforcement","SPD-Seattle Police Department","06/29/2024 09:21:34 AM","2024-06-29","09:21:34","2322 SW HUDSON ST, SEATTLE, WA 98106",47.55754146,-122.36275735,"POINT (-122.36275735 47.55754146)","98106","SOUTHWEST","NORTH DELRIDGE"
790509,"Overgrown Vegetation","FAS-Finance and Administrative Services","06/29/2024 09:55:50 AM","2024-06-29","09:55:50","4138 21ST AVE SW, SEATTLE, WA 98106",47.56546138,-122.35990721,"POINT (-122.35990721 47.56546138)","98106","SOUTHWEST","NORTH DELRIDGE"
790590,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","06/29/2024 11:28:32 AM","2024-06-29","11:28:32","5069 25TH AVE SW, SEATTLE, WA 98106",47.55547712,-122.36461815,"POINT (-122.36461815 47.55547712)","98106","SOUTHWEST","NORTH DELRIDGE"
790630,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","06/29/2024 12:18:55 PM","2024-06-29","12:18:55","4421 26TH AVE SW, SEATTLE, WA 98106",47.56403251,-122.36579905,"POINT (-122.36579905 47.56403251)","98106","SOUTHWEST","NORTH DELRIDGE"
790659,"Streetlight Maintenance","SCL-Seattle City Light","06/29/2024 12:57:13 PM","2024-06-29","12:57:13","4156 20TH AVE SW, SEATTLE, WA 98106",47.56494223,-122.35876316,"POINT (-122.35876316 47.56494223)","98106","SOUTHWEST","NORTH DELRIDGE"
790669,"Overgrown Vegetation","FAS-Finance and Administrative Services","06/29/2024 01:04:18 PM","2024-06-29","01:04:18","4521 21ST AVE SW, SEATTLE, WA 98106",47.56261194,-122.36068658,"POINT (-122.36068658 47.56261194)","98106","SOUTHWEST","NORTH DELRIDGE"
790798,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","06/29/2024 03:37:26 PM","2024-06-29","03:37:26","5069 25TH AVE SW, SEATTLE, WA 98106",47.55547712,-122.36461815,"POINT (-122.36461815 47.55547712)","98106","SOUTHWEST","NORTH DELRIDGE"
791144,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","06/30/2024 08:41:15 AM","2024-06-30","08:41:15","4749 COTTAGE PL SW, SEATTLE, WA 98106",47.55966152,-122.36237002,"POINT (-122.36237002 47.55966152)","98106","SOUTHWEST","NORTH DELRIDGE"
791378,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","06/30/2024 02:03:43 PM","2024-06-30","02:03:43","3001 SW AVALON WAY, SEATTLE, WA 98126",47.5666956,-122.37110721,"POINT (-122.37110721 47.5666956)","98126","SOUTHWEST","NORTH DELRIDGE"
791484,"Overgrown Vegetation","FAS-Finance and Administrative Services","06/30/2024 04:23:47 PM","2024-06-30","04:23:47","4103 21ST AVE SW, SEATTLE, WA 98106",47.56634354,-122.36047326,"POINT (-122.36047326 47.56634354)","98106","SOUTHWEST","NORTH DELRIDGE"
791490,"Parking Enforcement","SPD-Seattle Police Department","06/30/2024 04:45:57 PM","2024-06-30","04:45:57","3855 22ND AVE SW, SEATTLE, WA 98106",47.56848177,-122.36137032,"POINT (-122.36137032 47.56848177)","98106","SOUTHWEST","NORTH DELRIDGE"
791500,"Pothole","SDOT-Seattle Department of Transportation","06/30/2024 04:59:05 PM","2024-06-30","04:59:05","5001 26TH AVE SW, SEATTLE, WA 98106",47.55735227,-122.36580243,"POINT (-122.36580243 47.55735227)","98106","SOUTHWEST","NORTH DELRIDGE"
791540,"Pothole","SDOT-Seattle Department of Transportation","06/30/2024 05:39:25 PM","2024-06-30","05:39:25","5001 26TH AVE SW, SEATTLE, WA 98106",47.55735227,-122.36580243,"POINT (-122.36580243 47.55735227)","98106","SOUTHWEST","NORTH DELRIDGE"
791627,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","06/30/2024 07:40:21 PM","2024-06-30","07:40:21","5200 25TH AVE SW, SEATTLE, WA 98106",47.555044,-122.3639111,"POINT (-122.3639111 47.555044)","98106","SOUTHWEST","NORTH DELRIDGE"
791663,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","06/30/2024 09:05:58 PM","2024-06-30","09:05:58","5200 25TH AVE SW, SEATTLE, WA 98106",47.555044,-122.3639111,"POINT (-122.3639111 47.555044)","98106","SOUTHWEST","NORTH DELRIDGE"
791745,"Public Litter and Recycling Cans","SPU-Seattle Public Utilities","07/01/2024 06:24:20 AM","2024-07-01","06:24:20","3295 SW AVALON WAY, SEATTLE, WA 98126",47.56384955,-122.37583283,"POINT (-122.37583283 47.56384955)","98126","SOUTHWEST","NORTH DELRIDGE"
791798,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","07/01/2024 07:44:55 AM","2024-07-01","07:44:55","2766 SW BRANDON ST, SEATTLE, WA 98126",47.55385699,-122.36777709,"POINT (-122.36777709 47.55385699)","98126","SOUTHWEST","NORTH DELRIDGE"
791840,"Graffiti","SPU-Seattle Public Utilities","07/01/2024 08:06:21 AM","2024-07-01","08:06:21","4432 35TH AVE SW, SEATTLE, WA 98126",47.56307825,-122.37399664,"POINT (-122.37399664 47.56307825)","98126","SOUTHWEST","NORTH DELRIDGE"
791912,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","07/01/2024 08:45:52 AM","2024-07-01","08:45:52","2420 SW DAKOTA ST, SEATTLE, WA 98106",47.56709997,-122.36416345,"POINT (-122.36416345 47.56709997)","98106","SOUTHWEST","NORTH DELRIDGE"
792146,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","07/01/2024 10:46:23 AM","2024-07-01","10:46:23","4432 35TH AVE SW, SEATTLE, WA 98126",47.56307825,-122.37399664,"POINT (-122.37399664 47.56307825)","98126","SOUTHWEST","NORTH DELRIDGE"
792215,"Found a Pet","FAS-Finance and Administrative Services","07/01/2024 11:37:52 AM","2024-07-01","11:37:52","4700 26TH AVE SW, SEATTLE, WA 98106",47.5609744,-122.3652401,"POINT (-122.3652401 47.5609744)","98106","SOUTHWEST","NORTH DELRIDGE"
792311,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/01/2024 12:55:20 PM","2024-07-01","12:55:20","5005 DELRIDGE WAY SW, SEATTLE, WA 98106",47.55716962,-122.36321349,"POINT (-122.36321349 47.55716962)","98106","SOUTHWEST","NORTH DELRIDGE"
792470,"Unauthorized Encampment","SEA-City of Seattle","07/01/2024 02:48:07 PM","2024-07-01","02:48:07","5200 25TH AVE SW, SEATTLE, WA 98106",47.555044,-122.3639111,"POINT (-122.3639111 47.555044)","98106","SOUTHWEST","NORTH DELRIDGE"
792556,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","07/01/2024 04:14:00 PM","2024-07-01","04:14:00","4122 23RD AVE SW, SEATTLE, WA 98106",47.56582798,-122.36195705,"POINT (-122.36195705 47.56582798)","98106","SOUTHWEST","NORTH DELRIDGE"
792596,"Parking Enforcement","SPD-Seattle Police Department","07/01/2024 04:46:04 PM","2024-07-01","04:46:04","3820 23RD AVE SW, SEATTLE, WA 98106",47.56946203,-122.36186813,"POINT (-122.36186813 47.56946203)","98106","SOUTHWEST","NORTH DELRIDGE"
792605,"Parking Enforcement","SPD-Seattle Police Department","07/01/2024 04:48:04 PM","2024-07-01","04:48:04","3824 23RD AVE SW, SEATTLE, WA 98106",47.56930721,-122.36191526,"POINT (-122.36191526 47.56930721)","98106","SOUTHWEST","NORTH DELRIDGE"
792614,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","07/01/2024 04:43:07 PM","2024-07-01","04:43:07","3808 DELRIDGE WAY SW, SEATTLE, WA 98106",47.56973157,-122.36187241,"POINT (-122.36187241 47.56973157)","98106","SOUTHWEST","NORTH DELRIDGE"
792671,"Pothole","SDOT-Seattle Department of Transportation","07/01/2024 06:05:40 PM","2024-07-01","06:05:40","4731 23RD AVE SW, SEATTLE, WA 98106",47.56018273,-122.36174849,"POINT (-122.36174849 47.56018273)","98106","SOUTHWEST","NORTH DELRIDGE"
793009,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/02/2024 07:44:50 AM","2024-07-02","07:44:50","5200 25TH AVE SW, SEATTLE, WA 98106",47.555044,-122.3639111,"POINT (-122.3639111 47.555044)","98106","SOUTHWEST","NORTH DELRIDGE"
793081,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/02/2024 08:23:10 AM","2024-07-02","08:23:10","5200 25TH AVE SW, SEATTLE, WA 98106",47.555044,-122.3639111,"POINT (-122.3639111 47.555044)","98106","SOUTHWEST","NORTH DELRIDGE"
793232,"Graffiti","SPU-Seattle Public Utilities","07/02/2024 10:28:12 AM","2024-07-02","10:28:12","4425 DELRIDGE WAY SW, SEATTLE, WA 98106",47.56427726,-122.36344706,"POINT (-122.36344706 47.56427726)","98106","SOUTHWEST","NORTH DELRIDGE"
793235,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","07/02/2024 10:51:31 AM","2024-07-02","10:51:31","2600 SW ANDOVER ST, SEATTLE, WA 98106",47.56881141,-122.3658984,"POINT (-122.3658984 47.56881141)","98106","SOUTHWEST","NORTH DELRIDGE"
793528,"Unauthorized Encampment","SEA-City of Seattle","07/02/2024 02:44:37 PM","2024-07-02","02:44:37","5069 25TH AVE SW, SEATTLE, WA 98106",47.55547712,-122.36461815,"POINT (-122.36461815 47.55547712)","98106","SOUTHWEST","NORTH DELRIDGE"
793855,"Overgrown Vegetation","FAS-Finance and Administrative Services","07/02/2024 07:52:26 PM","2024-07-02","07:52:26","4056 21ST AVE SW, SEATTLE, WA 98106",47.56671981,-122.35990498,"POINT (-122.35990498 47.56671981)","98106","SOUTHWEST","NORTH DELRIDGE"
793883,"Overgrown Vegetation","FAS-Finance and Administrative Services","07/02/2024 09:34:15 PM","2024-07-02","09:34:15","3631 22ND AVE SW, SEATTLE, WA 98106",47.57049912,-122.36132503,"POINT (-122.36132503 47.57049912)","98106","SOUTHWEST","NORTH DELRIDGE"
793902,"Unauthorized Encampment","SEA-City of Seattle","07/02/2024 10:44:47 PM","2024-07-02","10:44:47","4600 35TH AVE SW, SEATTLE, WA 98126",47.56197525,-122.37561889,"POINT (-122.37561889 47.56197525)","98126","SOUTHWEST","NORTH DELRIDGE"
794064,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/03/2024 08:49:54 AM","2024-07-03","08:49:54","5200 25TH AVE SW, SEATTLE, WA 98106",47.555044,-122.3639111,"POINT (-122.3639111 47.555044)","98106","SOUTHWEST","NORTH DELRIDGE"
794067,"Parking Enforcement","SPD-Seattle Police Department","07/03/2024 08:53:26 AM","2024-07-03","08:53:26","4155 20TH AVE SW, SEATTLE, WA 98106",47.56495824,-122.35936296,"POINT (-122.35936296 47.56495824)","98106","SOUTHWEST","NORTH DELRIDGE"
794171,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","07/03/2024 10:06:57 AM","2024-07-03","10:06:57","2103 SW GENESEE ST, SEATTLE, WA 98106",47.56466409,-122.36048672,"POINT (-122.36048672 47.56466409)","98106","SOUTHWEST","NORTH DELRIDGE"
794183,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","07/03/2024 09:48:16 AM","2024-07-03","09:48:16","4425 DELRIDGE WAY SW, SEATTLE, WA 98106",47.56427726,-122.36344706,"POINT (-122.36344706 47.56427726)","98106","SOUTHWEST","NORTH DELRIDGE"
794456,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","07/03/2024 01:29:44 PM","2024-07-03","01:29:44","5200 25TH AVE SW, SEATTLE, WA 98106",47.555044,-122.3639111,"POINT (-122.3639111 47.555044)","98106","SOUTHWEST","NORTH DELRIDGE"
794569,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/03/2024 03:21:52 PM","2024-07-03","03:21:52","5069 25TH AVE SW, SEATTLE, WA 98106",47.55547712,-122.36461815,"POINT (-122.36461815 47.55547712)","98106","SOUTHWEST","NORTH DELRIDGE"
794703,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/03/2024 06:31:47 PM","2024-07-03","06:31:47","5005 DELRIDGE WAY SW, SEATTLE, WA 98106",47.55716962,-122.36321349,"POINT (-122.36321349 47.55716962)","98106","SOUTHWEST","NORTH DELRIDGE"
794842,"Unauthorized Encampment","SEA-City of Seattle","07/04/2024 01:17:43 AM","2024-07-04","01:17:43","2993 SW ADMIRAL WAY, SEATTLE, WA 98126",47.57124026,-122.37029863,"POINT (-122.37029863 47.57124026)","98126","SOUTHWEST","NORTH DELRIDGE"
795049,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/04/2024 01:00:08 PM","2024-07-04","01:00:08","5200 25TH AVE SW, SEATTLE, WA 98106",47.555044,-122.3639111,"POINT (-122.3639111 47.555044)","98106","SOUTHWEST","NORTH DELRIDGE"
