"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
863861,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","09/18/2024 09:38:35 AM","2024-09-18","09:38:35","2544 MAYFAIR AVE N, SEATTLE, WA 98109",47.64305431,-122.3526227,"POINT (-122.3526227 47.64305431)","98109","WEST","NORTH QUEEN ANNE"
863940,"General Inquiry - Public Utilities","SPU-Seattle Public Utilities","09/18/2024 10:40:26 AM","2024-09-18","10:40:26","2544 MAYFAIR AVE N, SEATTLE, WA 98109",47.64305431,-122.3526227,"POINT (-122.3526227 47.64305431)","98109","WEST","NORTH QUEEN ANNE"
864108,"Lost a Pet","FAS-Finance and Administrative Services","09/18/2024 12:56:33 PM","2024-09-18","12:56:33","151 ETRURIA ST, SEATTLE, WA 98109",47.64748247,-122.35428659,"POINT (-122.35428659 47.64748247)","98109","WEST","NORTH QUEEN ANNE"
864324,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","09/18/2024 04:52:26 PM","2024-09-18","04:52:26","3027 13TH AVE W, SEATTLE, WA 98119",47.64746185,-122.37396202,"POINT (-122.37396202 47.64746185)","98119","WEST","NORTH QUEEN ANNE"
864410,"Parking Enforcement","SPD-Seattle Police Department","09/18/2024 06:12:58 PM","2024-09-18","06:12:58","3805 13TH AVE W, SEATTLE, WA 98119",47.65422424,-122.37366611,"POINT (-122.37366611 47.65422424)","98119","WEST","NORTH QUEEN ANNE"
864465,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","09/18/2024 07:23:30 PM","2024-09-18","07:23:30","3402 15TH AVE W, SEATTLE, WA 98119",47.6505078,-122.37584581,"POINT (-122.37584581 47.6505078)","98119","WEST","NORTH QUEEN ANNE"
864476,"Parking Enforcement","SPD-Seattle Police Department","09/18/2024 07:47:45 PM","2024-09-18","07:47:45","2852 12TH AVE W, SEATTLE, WA 98119",47.64632667,-122.37229657,"POINT (-122.37229657 47.64632667)","98119","WEST","NORTH QUEEN ANNE"
864571,"Parking Enforcement","SPD-Seattle Police Department","09/19/2024 07:05:56 AM","2024-09-19","07:05:56","2600 15TH AVE W, SEATTLE, WA 98119",47.6433674,-122.37590391,"POINT (-122.37590391 47.6433674)","98119","WEST","NORTH QUEEN ANNE"
865049,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","09/19/2024 01:04:46 PM","2024-09-19","01:04:46","2708 MAYFAIR AVE N, SEATTLE, WA 98109",47.64503951,-122.35212254,"POINT (-122.35212254 47.64503951)","98109","WEST","NORTH QUEEN ANNE"
865050,"Unauthorized Encampment","SEA-City of Seattle","09/19/2024 01:00:36 PM","2024-09-19","01:00:36","1300 W NICKERSON ST, SEATTLE, WA 98119",47.6556665,-122.37478432,"POINT (-122.37478432 47.6556665)","98119","WEST","NORTH QUEEN ANNE"
