"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
799099,"Unauthorized Encampment","SEA-City of Seattle","07/10/2024 06:09:11 AM","2024-07-10","06:09:11","12533 27TH AVE NE, SEATTLE, WA 98125",47.72029626,-122.29932449,"POINT (-122.29932449 47.72029626)","98125","NORTH","OLYMPIC HILLS"
799158,"General Inquiry - City Light","SCL-Seattle City Light","07/10/2024 07:39:37 AM","2024-07-10","07:39:37","3215 NE 143RD ST B405, SEATTLE, WA 98125",47.7318197,-122.29322318,"POINT (-122.29322318 47.7318197)","98125","NORTH","OLYMPIC HILLS"
799215,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/10/2024 08:28:57 AM","2024-07-10","08:28:57","12505 27TH AVE NE, SEATTLE, WA 98125",47.7196414,-122.29971402,"POINT (-122.29971402 47.7196414)","98125","NORTH","OLYMPIC HILLS"
799729,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","07/10/2024 03:09:00 PM","2024-07-10","03:09:00","1503 NE 130TH PL, SEATTLE, WA 98125",47.72467635,-122.31228521,"POINT (-122.31228521 47.72467635)","98125","NORTH","OLYMPIC HILLS"
800101,"Unauthorized Encampment","SEA-City of Seattle","07/11/2024 07:34:33 AM","2024-07-11","07:34:33","12526 27TH AVE NE, SEATTLE, WA 98125",47.72005699,-122.29867947,"POINT (-122.29867947 47.72005699)","98125","NORTH","OLYMPIC HILLS"
800103,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/11/2024 07:31:30 AM","2024-07-11","07:31:30","12526 27TH AVE NE, SEATTLE, WA 98125",47.72005699,-122.29867947,"POINT (-122.29867947 47.72005699)","98125","NORTH","OLYMPIC HILLS"
800120,"Unauthorized Encampment","SEA-City of Seattle","07/11/2024 07:49:40 AM","2024-07-11","07:49:40","12526 27TH AVE NE, SEATTLE, WA 98125",47.72005699,-122.29867947,"POINT (-122.29867947 47.72005699)","98125","NORTH","OLYMPIC HILLS"
800131,"Unauthorized Encampment","SEA-City of Seattle","07/11/2024 08:02:44 AM","2024-07-11","08:02:44","12520 27TH AVE NE, SEATTLE, WA 98125",47.72013998,-122.29902037,"POINT (-122.29902037 47.72013998)","98125","NORTH","OLYMPIC HILLS"
800133,"Unauthorized Encampment","SEA-City of Seattle","07/11/2024 07:51:39 AM","2024-07-11","07:51:39","12526 27TH AVE NE, SEATTLE, WA 98125",47.72005699,-122.29867947,"POINT (-122.29867947 47.72005699)","98125","NORTH","OLYMPIC HILLS"
800144,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","07/11/2024 08:07:46 AM","2024-07-11","08:07:46","12520 26TH AVE NE, SEATTLE, WA 98125",47.72001166,-122.30022655,"POINT (-122.30022655 47.72001166)","98125","NORTH","OLYMPIC HILLS"
800149,"Unauthorized Encampment","SEA-City of Seattle","07/11/2024 07:45:36 AM","2024-07-11","07:45:36","12526 27TH AVE NE, SEATTLE, WA 98125",47.72005699,-122.29867947,"POINT (-122.29867947 47.72005699)","98125","NORTH","OLYMPIC HILLS"
800172,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/11/2024 08:25:00 AM","2024-07-11","08:25:00","12505 27TH AVE NE, SEATTLE, WA 98125",47.7196414,-122.29971402,"POINT (-122.29971402 47.7196414)","98125","NORTH","OLYMPIC HILLS"
800442,"Unauthorized Encampment","SEA-City of Seattle","07/11/2024 11:55:31 AM","2024-07-11","11:55:31","3023 NE 127TH ST, SEATTLE, WA 98125",47.72093149,-122.29492955,"POINT (-122.29492955 47.72093149)","98125","NORTH","OLYMPIC HILLS"
801041,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/12/2024 07:56:41 AM","2024-07-12","07:56:41","12505 27TH AVE NE, SEATTLE, WA 98125",47.7196414,-122.29971402,"POINT (-122.29971402 47.7196414)","98125","NORTH","OLYMPIC HILLS"
801274,"Graffiti","SPU-Seattle Public Utilities","07/12/2024 10:56:07 AM","2024-07-12","10:56:07","3018 NE 125TH ST, SEATTLE, WA 98125",47.71944076,-122.29555544,"POINT (-122.29555544 47.71944076)","98125","NORTH","OLYMPIC HILLS"
801331,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/12/2024 11:54:31 AM","2024-07-12","11:54:31","13701 LAKE CITY WAY NE, SEATTLE, WA 98125",47.72843025,-122.29289673,"POINT (-122.29289673 47.72843025)","98125","NORTH","OLYMPIC HILLS"
801514,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/12/2024 02:54:33 PM","2024-07-12","02:54:33","3023 NE 127TH ST, SEATTLE, WA 98125",47.72093149,-122.29492955,"POINT (-122.29492955 47.72093149)","98125","NORTH","OLYMPIC HILLS"
801768,"Clogged Storm Drain","SPU-Seattle Public Utilities","07/12/2024 06:47:38 PM","2024-07-12","06:47:38","2302 NE 137TH ST, SEATTLE, WA 98125",47.72863632,-122.3029408,"POINT (-122.3029408 47.72863632)","98125","NORTH","OLYMPIC HILLS"
802122,"Traffic Signal Maintenance","SDOT-Seattle Department of Transportation","07/13/2024 12:09:37 PM","2024-07-13","12:09:37","12500 30TH AVE NE, SEATTLE, WA 98125",47.71943259,-122.29613613,"POINT (-122.29613613 47.71943259)","98125","NORTH","OLYMPIC HILLS"
802789,"Streetlight Maintenance","SCL-Seattle City Light","07/14/2024 01:52:21 PM","2024-07-14","01:52:21","3000 NE 127TH ST, SEATTLE, WA 98125",47.7214573,-122.29604067,"POINT (-122.29604067 47.7214573)","98125","NORTH","OLYMPIC HILLS"
802852,"Graffiti","SPU-Seattle Public Utilities","07/14/2024 04:02:28 PM","2024-07-14","04:02:28","1549 NE 145TH ST, SEATTLE, WA 98155",47.73315452,-122.31050031,"POINT (-122.31050031 47.73315452)","98155","NORTH","OLYMPIC HILLS"
802858,"Graffiti","SPU-Seattle Public Utilities","07/14/2024 04:10:25 PM","2024-07-14","04:10:25","1557 NE 145TH ST, SEATTLE, WA 98155",47.73377759,-122.31064965,"POINT (-122.31064965 47.73377759)","98155","NORTH","OLYMPIC HILLS"
802873,"Unauthorized Encampment","SEA-City of Seattle","07/14/2024 05:08:51 PM","2024-07-14","05:08:51","2800 NE 125TH ST, SEATTLE, WA 98125",47.71949752,-122.29714876,"POINT (-122.29714876 47.71949752)","98125","NORTH","OLYMPIC HILLS"
803072,"Traffic Signal Maintenance","SDOT-Seattle Department of Transportation","07/14/2024 10:18:56 PM","2024-07-14","10:18:56","13357 LAKE CITY WAY NE, SEATTLE, WA 98125",47.72633606,-122.29243826,"POINT (-122.29243826 47.72633606)","98125","NORTH","OLYMPIC HILLS"
803096,"Overgrown Vegetation","FAS-Finance and Administrative Services","07/15/2024 06:45:44 AM","2024-07-15","06:45:44","12724 23RD AVE NE, SEATTLE, WA 98125",47.7219058,-122.30423794,"POINT (-122.30423794 47.7219058)","98125","NORTH","OLYMPIC HILLS"
803338,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/15/2024 09:32:06 AM","2024-07-15","09:32:06","12505 27TH AVE NE, SEATTLE, WA 98125",47.7196414,-122.29971402,"POINT (-122.29971402 47.7196414)","98125","NORTH","OLYMPIC HILLS"
803366,"General Inquiry - Public Utilities","SPU-Seattle Public Utilities","07/15/2024 10:00:55 AM","2024-07-15","10:00:55","2741 NE 143RD ST, SEATTLE, WA 98125",47.73178245,-122.29740911,"POINT (-122.29740911 47.73178245)","98125","NORTH","OLYMPIC HILLS"
803580,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/15/2024 11:55:08 AM","2024-07-15","11:55:08","13736 32ND AVE NE, SEATTLE, WA 98125",47.72935905,-122.29327931,"POINT (-122.29327931 47.72935905)","98125","NORTH","OLYMPIC HILLS"
803581,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/15/2024 12:06:20 PM","2024-07-15","12:06:20","13760 32ND AVE NE, SEATTLE, WA 98125",47.72989922,-122.29328744,"POINT (-122.29328744 47.72989922)","98125","NORTH","OLYMPIC HILLS"
803666,"Graffiti","SPU-Seattle Public Utilities","07/15/2024 01:08:40 PM","2024-07-15","01:08:40","12506 20TH AVE NE, SEATTLE, WA 98125",47.71956041,-122.3069638,"POINT (-122.3069638 47.71956041)","98125","NORTH","OLYMPIC HILLS"
803817,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/15/2024 02:56:33 PM","2024-07-15","02:56:33","12730 28TH AVE NE, SEATTLE, WA 98125",47.72207542,-122.29740753,"POINT (-122.29740753 47.72207542)","98125","NORTH","OLYMPIC HILLS"
803819,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/15/2024 02:58:30 PM","2024-07-15","02:58:30","12725 28TH AVE NE, SEATTLE, WA 98125",47.72194715,-122.29797586,"POINT (-122.29797586 47.72194715)","98125","NORTH","OLYMPIC HILLS"
803822,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/15/2024 03:00:31 PM","2024-07-15","03:00:31","12725 28TH AVE NE, SEATTLE, WA 98125",47.72194715,-122.29797586,"POINT (-122.29797586 47.72194715)","98125","NORTH","OLYMPIC HILLS"
803837,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/15/2024 03:01:31 PM","2024-07-15","03:01:31","12715 28TH AVE NE, SEATTLE, WA 98125",47.72163634,-122.29808831,"POINT (-122.29808831 47.72163634)","98125","NORTH","OLYMPIC HILLS"
803981,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/15/2024 04:44:29 PM","2024-07-15","04:44:29","13748 32ND AVE NE, SEATTLE, WA 98125",47.72972721,-122.29327338,"POINT (-122.29327338 47.72972721)","98125","NORTH","OLYMPIC HILLS"
803985,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/15/2024 04:40:16 PM","2024-07-15","04:40:16","13748 32ND AVE NE, SEATTLE, WA 98125",47.72972721,-122.29327338,"POINT (-122.29327338 47.72972721)","98125","NORTH","OLYMPIC HILLS"
803987,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/15/2024 04:46:21 PM","2024-07-15","04:46:21","3200 NE 137TH ST, SEATTLE, WA 98125",47.72847919,-122.29320718,"POINT (-122.29320718 47.72847919)","98125","NORTH","OLYMPIC HILLS"
803993,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/15/2024 04:48:20 PM","2024-07-15","04:48:20","13736 32ND AVE NE, SEATTLE, WA 98125",47.72935905,-122.29327931,"POINT (-122.29327931 47.72935905)","98125","NORTH","OLYMPIC HILLS"
803999,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/15/2024 04:52:22 PM","2024-07-15","04:52:22","13748 32ND AVE NE, SEATTLE, WA 98125",47.72972721,-122.29327338,"POINT (-122.29327338 47.72972721)","98125","NORTH","OLYMPIC HILLS"
804355,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","07/16/2024 07:22:01 AM","2024-07-16","07:22:01","13766 22ND AVE NE, SEATTLE, WA 98125",47.73028134,-122.30583725,"POINT (-122.30583725 47.73028134)","98125","NORTH","OLYMPIC HILLS"
