"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
864941,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","09/19/2024 11:27:54 AM","2024-09-19","11:27:54","954 N 50TH ST, SEATTLE, WA 98103",47.665177,-122.34663885,"POINT (-122.34663885 47.665177)","98103","NORTH","PHINNEY RIDGE"
864942,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","09/19/2024 11:23:49 AM","2024-09-19","11:23:49","954 N 50TH ST, SEATTLE, WA 98103",47.665177,-122.34663885,"POINT (-122.34663885 47.665177)","98103","NORTH","PHINNEY RIDGE"
864943,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","09/19/2024 11:25:51 AM","2024-09-19","11:25:51","952 N 50TH ST, SEATTLE, WA 98103",47.66517751,-122.34666525,"POINT (-122.34666525 47.66517751)","98103","NORTH","PHINNEY RIDGE"
864964,"Parking Enforcement","SPD-Seattle Police Department","09/19/2024 11:46:06 AM","2024-09-19","11:46:06","169 NW 65TH ST, SEATTLE, WA 98117",47.67578154,-122.3592232,"POINT (-122.3592232 47.67578154)","98117","NORTH","PHINNEY RIDGE"
864971,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","09/19/2024 11:33:55 AM","2024-09-19","11:33:55","948 N 50TH ST, SEATTLE, WA 98103",47.66517854,-122.34671806,"POINT (-122.34671806 47.66517854)","98103","NORTH","PHINNEY RIDGE"
865128,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","09/19/2024 02:15:09 PM","2024-09-19","02:15:09","746 N 67TH ST, SEATTLE, WA 98103",47.67798736,-122.34759138,"POINT (-122.34759138 47.67798736)","98103","NORTH","PHINNEY RIDGE"
865151,"Parking Enforcement","SPD-Seattle Police Department","09/19/2024 02:23:12 PM","2024-09-19","02:23:12","6239 2ND AVE NW, SEATTLE, WA 98107",47.67548475,-122.35974773,"POINT (-122.35974773 47.67548475)","98107","NORTH","PHINNEY RIDGE"
865206,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","09/19/2024 03:23:41 PM","2024-09-19","03:23:41","7419 DAYTON AVE N, SEATTLE, WA 98103",47.68313725,-122.35267846,"POINT (-122.35267846 47.68313725)","98103","NORTH","PHINNEY RIDGE"
865324,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","09/19/2024 05:12:28 PM","2024-09-19","05:12:28","756 NW 70TH ST, SEATTLE, WA 98117",47.67972382,-122.36578101,"POINT (-122.36578101 47.67972382)","98117","NORTH","PHINNEY RIDGE"
865430,"Unauthorized Encampment","SEA-City of Seattle","09/19/2024 07:31:34 PM","2024-09-19","07:31:34","6743 PALATINE AVE N, SEATTLE, WA 98103",47.67903699,-122.35663597,"POINT (-122.35663597 47.67903699)","98103","NORTH","PHINNEY RIDGE"
865596,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","09/20/2024 08:00:34 AM","2024-09-20","08:00:34","4903 2ND AVE NW, SEATTLE, WA 98107",47.66474633,-122.35904554,"POINT (-122.35904554 47.66474633)","98107","NORTH","PHINNEY RIDGE"
865706,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","09/20/2024 09:33:02 AM","2024-09-20","09:33:02","5104 2ND AVE NW, SEATTLE, WA 98107",47.66597354,-122.3585179,"POINT (-122.3585179 47.66597354)","98107","NORTH","PHINNEY RIDGE"
865981,"Parking Enforcement","SPD-Seattle Police Department","09/20/2024 01:51:04 PM","2024-09-20","01:51:04","6203 PHINNEY AVE N, SEATTLE, WA 98103",47.67401884,-122.3546971,"POINT (-122.3546971 47.67401884)","98103","NORTH","PHINNEY RIDGE"
865988,"Unauthorized Encampment","SEA-City of Seattle","09/20/2024 01:56:58 PM","2024-09-20","01:56:58","1204 N 50TH ST, SEATTLE, WA 98103",47.66650446,-122.34393116,"POINT (-122.34393116 47.66650446)","98103","NORTH","PHINNEY RIDGE"
866098,"Parking Enforcement","SPD-Seattle Police Department","09/20/2024 03:19:41 PM","2024-09-20","03:19:41","5557 PHINNEY AVE N, SEATTLE, WA 98103",47.66935198,-122.35466912,"POINT (-122.35466912 47.66935198)","98103","NORTH","PHINNEY RIDGE"
