"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
690189,"Unauthorized Encampment","SEA-City of Seattle","02/20/2024 07:02:32 AM","2024-02-20","07:02:32","84 UNION ST, SEATTLE, WA 98101",47.60763478,-122.34005113,"POINT (-122.34005113 47.60763478)","98101","WEST","PIKE-MARKET"
690319,"Unauthorized Encampment","SEA-City of Seattle","02/20/2024 09:21:37 AM","2024-02-20","09:21:37","2024 1ST AVE, SEATTLE, WA 98121",47.61185313,-122.34339604,"POINT (-122.34339604 47.61185313)","98121","WEST","PIKE-MARKET"
690558,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","02/20/2024 12:43:51 PM","2024-02-20","12:43:51","LENORA ST & 1ST AVE, SEATTLE, WA",47.61183729,-122.34391211,"POINT (-122.34391211 47.61183729)","","WEST","PIKE-MARKET"
690610,"Graffiti","SPU-Seattle Public Utilities","02/20/2024 01:50:40 PM","2024-02-20","01:50:40","1698 ALASKAN WAY, SEATTLE, WA 98101",47.60884412,-122.34282811,"POINT (-122.34282811 47.60884412)","98101","WEST","PIKE-MARKET"
690713,"Internet/Cable Issue","ITD-Seattle Information Technology","02/20/2024 02:59:39 PM","2024-02-20","02:59:39","1420 WESTERN AVE 405, SEATTLE, WA 98101",47.60805533,-122.34036979,"POINT (-122.34036979 47.60805533)","98101","WEST","PIKE-MARKET"
691159,"Graffiti","SPU-Seattle Public Utilities","02/21/2024 09:48:45 AM","2024-02-21","09:48:45","1400 ALASKAN WAY, SEATTLE, WA 98101",47.60710975,-122.34134057,"POINT (-122.34134057 47.60710975)","98101","WEST","PIKE-MARKET"
691388,"Parking Enforcement","SPD-Seattle Police Department","02/21/2024 01:40:28 PM","2024-02-21","01:40:28","1901 WESTERN AVE, SEATTLE, WA 98101",47.60945861,-122.34285713,"POINT (-122.34285713 47.60945861)","98101","WEST","PIKE-MARKET"
691598,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","02/21/2024 05:59:28 PM","2024-02-21","05:59:28","1400 1ST AVE, SEATTLE, WA 98101",47.60820829,-122.33899246,"POINT (-122.33899246 47.60820829)","98101","WEST","PIKE-MARKET"
691607,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","02/21/2024 06:09:33 PM","2024-02-21","06:09:33","115 STEWART ST, SEATTLE, WA 98101",47.61029171,-122.34088885,"POINT (-122.34088885 47.61029171)","98101","WEST","PIKE-MARKET"
691616,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","02/21/2024 06:14:35 PM","2024-02-21","06:14:35","1928 1ST AVE, SEATTLE, WA 98101",47.61107816,-122.34223826,"POINT (-122.34223826 47.61107816)","98101","WEST","PIKE-MARKET"
691618,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","02/21/2024 06:03:30 PM","2024-02-21","06:03:30","1500 1ST AVE, SEATTLE, WA 98101",47.60912996,-122.33978204,"POINT (-122.33978204 47.60912996)","98101","WEST","PIKE-MARKET"
