"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
756296,"Unauthorized Encampment","SEA-City of Seattle","05/19/2024 07:45:14 PM","2024-05-19","07:45:14","400 NE 115TH ST, SEATTLE, WA 98125",47.71244802,-122.3243936,"POINT (-122.3243936 47.71244802)","98125","NORTH","PINEHURST"
756473,"Parking Enforcement","SPD-Seattle Police Department","05/20/2024 08:21:18 AM","2024-05-20","08:21:18","1026 NE 117TH ST, SEATTLE, WA 98125",47.71424215,-122.31711507,"POINT (-122.31711507 47.71424215)","98125","NORTH","PINEHURST"
756481,"Parking Enforcement","SPD-Seattle Police Department","05/20/2024 08:19:23 AM","2024-05-20","08:19:23","12003 14TH AVE NE, SEATTLE, WA 98125",47.71598626,-122.31417782,"POINT (-122.31417782 47.71598626)","98125","NORTH","PINEHURST"
756628,"Unauthorized Encampment","SEA-City of Seattle","05/20/2024 10:04:11 AM","2024-05-20","10:04:11","500 NE NORTHGATE WAY, SEATTLE, WA 98125",47.70889119,-122.3228408,"POINT (-122.3228408 47.70889119)","98125","NORTH","PINEHURST"
756758,"Overgrown Vegetation","FAS-Finance and Administrative Services","05/20/2024 11:41:50 AM","2024-05-20","11:41:50","11511 5TH AVE NE, SEATTLE, WA 98125",47.71265695,-122.32373046,"POINT (-122.32373046 47.71265695)","98125","NORTH","PINEHURST"
756769,"Overgrown Vegetation","FAS-Finance and Administrative Services","05/20/2024 11:44:53 AM","2024-05-20","11:44:53","11337 5TH AVE NE, SEATTLE, WA 98125",47.711481,-122.32362234,"POINT (-122.32362234 47.711481)","98125","NORTH","PINEHURST"
757234,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","05/20/2024 07:58:37 PM","2024-05-20","07:58:37","13341 15TH AVE NE, SEATTLE, WA 98125",47.72645482,-122.31309895,"POINT (-122.31309895 47.72645482)","98125","NORTH","PINEHURST"
757703,"Parking Enforcement","SPD-Seattle Police Department","05/21/2024 01:44:47 PM","2024-05-21","01:44:47","11348 5TH AVE NE, SEATTLE, WA 98125",47.71178339,-122.32301884,"POINT (-122.32301884 47.71178339)","98125","NORTH","PINEHURST"
757744,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","05/21/2024 02:35:08 PM","2024-05-21","02:35:08","12033 15TH AVE NE, SEATTLE, WA 98125",47.71677989,-122.31296611,"POINT (-122.31296611 47.71677989)","98125","NORTH","PINEHURST"
757753,"Parking Enforcement","SPD-Seattle Police Department","05/21/2024 02:52:16 PM","2024-05-21","02:52:16","11739 ROOSEVELT WAY NE, SEATTLE, WA 98125",47.71516389,-122.31829173,"POINT (-122.31829173 47.71516389)","98125","NORTH","PINEHURST"
