"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
438761,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","02/28/2023 06:34:50 PM","2023-02-28","06:34:50","3002 HARVARD AVE E, SEATTLE, WA 98102",47.64799392,-122.32168195,"POINT (-122.32168195 47.64799392)","98102","EAST","PORTAGE BAY"
438772,"Pothole","SDOT-Seattle Department of Transportation","02/28/2023 06:32:44 PM","2023-02-28","06:32:44","3100 FUHRMAN AVE E, SEATTLE, WA 98102",47.64871523,-122.31831104,"POINT (-122.31831104 47.64871523)","98102","EAST","PORTAGE BAY"
440700,"Parking Enforcement","SPD-Seattle Police Department","03/03/2023 09:35:42 AM","2023-03-03","09:35:42","895 E GWINN PL ALLEY BEHIND HOUSE, SEATTLE, WA 98102",47.64762253,-122.31813982,"POINT (-122.31813982 47.64762253)","98102","EAST","PORTAGE BAY"
441051,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","03/03/2023 01:51:42 PM","2023-03-03","01:51:42","2809 10TH AVE E, SEATTLE, WA 98102",47.6459434,-122.31993339,"POINT (-122.31993339 47.6459434)","98102","EAST","PORTAGE BAY"
443516,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","03/07/2023 11:14:29 AM","2023-03-07","11:14:29","3115 FRANKLIN AVE E, SEATTLE, WA 98102",47.64959311,-122.32169368,"POINT (-122.32169368 47.64959311)","98102","EAST","PORTAGE BAY"
443590,"Parking Enforcement","SPD-Seattle Police Department","03/07/2023 11:56:51 AM","2023-03-07","11:56:51","1114 E SHELBY ST, SEATTLE, WA 98102",47.64713912,-122.31761495,"POINT (-122.31761495 47.64713912)","98102","EAST","PORTAGE BAY"
444177,"Graffiti","SPU-Seattle Public Utilities","03/08/2023 09:28:40 AM","2023-03-08","09:28:40","3013 HARVARD AVE E, SEATTLE, WA 98102",47.6485854,-122.3222792,"POINT (-122.3222792 47.6485854)","98102","EAST","PORTAGE BAY"
446297,"Unauthorized Encampment","SEA-City of Seattle","03/11/2023 08:21:06 AM","2023-03-11","08:21:06","2906 HARVARD AVE E, SEATTLE, WA 98102",47.6472493,-122.32183096,"POINT (-122.32183096 47.6472493)","98102","EAST","PORTAGE BAY"
446298,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","03/11/2023 01:40:02 AM","2023-03-11","01:40:02","2742 BOYER AVE E, SEATTLE, WA 98102",47.64497051,-122.3169542,"POINT (-122.3169542 47.64497051)","98102","EAST","PORTAGE BAY"
446604,"Unauthorized Encampment","SEA-City of Seattle","03/11/2023 02:37:58 PM","2023-03-11","02:37:58","2906 HARVARD AVE E, SEATTLE, WA 98102",47.6472493,-122.32183096,"POINT (-122.32183096 47.6472493)","98102","EAST","PORTAGE BAY"
