"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
760531,"Traffic Signal Maintenance","SDOT-Seattle Department of Transportation","05/24/2024 10:22:50 PM","2024-05-24","10:22:50","9562 MARTIN LUTHER KING JR WAY S, SEATTLE, WA 98118",47.51726404,-122.27911966,"POINT (-122.27911966 47.51726404)","98118","SOUTH","RAINIER BEACH"
761354,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","05/26/2024 03:21:22 PM","2024-05-26","03:21:22","10029 51ST AVE S, SEATTLE, WA 98178",47.51011103,-122.27037778,"POINT (-122.27037778 47.51011103)","98178","SOUTH","RAINIER BEACH"
761401,"Overgrown Vegetation","FAS-Finance and Administrative Services","05/26/2024 04:18:47 PM","2024-05-26","04:18:47","9236 51ST AVE S, SEATTLE, WA 98118",47.51966473,-122.26976007,"POINT (-122.26976007 47.51966473)","98118","SOUTH","RAINIER BEACH"
761454,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","05/26/2024 04:31:51 PM","2024-05-26","04:31:51","10464 62ND AVE S, SEATTLE, WA 98178",47.50637949,-122.25571534,"POINT (-122.25571534 47.50637949)","98178","SOUTH","RAINIER BEACH"
761491,"Parking Enforcement","SPD-Seattle Police Department","05/26/2024 06:36:48 PM","2024-05-26","06:36:48","9924 RAINIER AVE S, SEATTLE, WA 98118",47.51284434,-122.24961592,"POINT (-122.24961592 47.51284434)","98118","SOUTH","RAINIER BEACH"
761549,"Overgrown Vegetation","FAS-Finance and Administrative Services","05/26/2024 10:34:49 PM","2024-05-26","10:34:49","9547 RAINIER AVE S, SEATTLE, WA 98118",47.51955587,-122.25798743,"POINT (-122.25798743 47.51955587)","98118","SOUTH","RAINIER BEACH"
762035,"Overgrown Vegetation","FAS-Finance and Administrative Services","05/27/2024 06:34:58 PM","2024-05-27","06:34:58","9444 58TH AVE S, SEATTLE, WA 98118",47.51695109,-122.26024273,"POINT (-122.26024273 47.51695109)","98118","SOUTH","RAINIER BEACH"
762181,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","05/28/2024 05:58:09 AM","2024-05-28","05:58:09","10141 55TH AVE S, SEATTLE, WA 98178",47.5102295,-122.26486163,"POINT (-122.26486163 47.5102295)","98178","SOUTH","RAINIER BEACH"
762234,"Overgrown Vegetation","FAS-Finance and Administrative Services","05/28/2024 07:21:48 AM","2024-05-28","07:21:48","9639 56TH AVE S, SEATTLE, WA 98118",47.51565458,-122.2633277,"POINT (-122.2633277 47.51565458)","98118","SOUTH","RAINIER BEACH"
762285,"Overgrown Vegetation","FAS-Finance and Administrative Services","05/28/2024 07:56:03 AM","2024-05-28","07:56:03","9326 RENTON AVE S, SEATTLE, WA 98118",47.51838639,-122.27087878,"POINT (-122.27087878 47.51838639)","98118","SOUTH","RAINIER BEACH"
