"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
16029,"Street Sign and Traffic Signal Maintenance","SDOT-Seattle Department of Transportation","02/16/2021 04:54:09 PM","2021-02-16","04:54:09","10601 RENTON AVE S, SEATTLE, WA 98178",47.50605279,-122.25466802,"POINT (-122.25466802 47.50605279)","98178","SOUTH","RAINIER VIEW"
16045,"Street Sign and Traffic Signal Maintenance","SDOT-Seattle Department of Transportation","02/16/2021 06:00:38 PM","2021-02-16","06:00:38","10601 RENTON AVE S, SEATTLE, WA 98178",47.50605279,-122.25466802,"POINT (-122.25466802 47.50605279)","98178","SOUTH","RAINIER VIEW"
16199,"Pothole","SDOT-Seattle Department of Transportation","02/17/2021 10:23:57 AM","2021-02-17","10:23:57","10003 RAINIER AVE S, SEATTLE, WA 98178",47.51116291,-122.24814843,"POINT (-122.24814843 47.51116291)","98178","SOUTH","RAINIER VIEW"
16364,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","02/17/2021 03:54:30 PM","2021-02-17","03:54:30","5106 S LEO ST, SEATTLE, WA 98178",47.50277859,-122.26924187,"POINT (-122.26924187 47.50277859)","98178","SOUTH","RAINIER VIEW"
18544,"Pothole","SDOT-Seattle Department of Transportation","02/24/2021 12:01:57 AM","2021-02-24","12:01:57","10005 RAINIER AVE S, SEATTLE, WA 98178",47.51103732,-122.2478967,"POINT (-122.2478967 47.51103732)","98178","SOUTH","RAINIER VIEW"
19107,"Parking Enforcement","SPD-Seattle Police Department","02/25/2021 10:41:48 AM","2021-02-25","10:41:48","10777 68TH AVE S, SEATTLE, WA 98178",47.50356786,-122.2494872,"POINT (-122.2494872 47.50356786)","98178","SOUTH","RAINIER VIEW"
19671,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","02/26/2021 02:42:36 PM","2021-02-26","02:42:36","5106 S LEO ST, SEATTLE, WA 98178",47.50277859,-122.26924187,"POINT (-122.26924187 47.50277859)","98178","SOUTH","RAINIER VIEW"
20108,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","02/28/2021 09:42:14 AM","2021-02-28","09:42:14","10705 56TH AVE S, SEATTLE, WA 98178",47.50475235,-122.26341834,"POINT (-122.26341834 47.50475235)","98178","SOUTH","RAINIER VIEW"
21938,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","03/04/2021 09:23:56 AM","2021-03-04","09:23:56","5115 S LEO ST, SEATTLE, WA 98178",47.50234589,-122.26909364,"POINT (-122.26909364 47.50234589)","98178","SOUTH","RAINIER VIEW"
21956,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","03/04/2021 09:38:03 AM","2021-03-04","09:38:03","11900 BEACON AVE S, SEATTLE, WA 98178",47.49647222,-122.25992647,"POINT (-122.25992647 47.49647222)","98178","SOUTH","RAINIER VIEW"
22076,"General Inquiry - City Light","SCL-Seattle City Light","03/04/2021 12:53:19 PM","2021-03-04","12:53:19","10705 56TH AVE S, SEATTLE, WA 98178",47.50475235,-122.26341834,"POINT (-122.26341834 47.50475235)","98178","SOUTH","RAINIER VIEW"
22231,"Pothole","SDOT-Seattle Department of Transportation","03/05/2021 12:20:46 AM","2021-03-05","12:20:46","10005 RAINIER AVE S, SEATTLE, WA 98178",47.51103732,-122.2478967,"POINT (-122.2478967 47.51103732)","98178","SOUTH","RAINIER VIEW"
23310,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","03/08/2021 10:20:07 AM","2021-03-08","10:20:07","10705 56TH AVE S, SEATTLE, WA 98178",47.50475235,-122.26341834,"POINT (-122.26341834 47.50475235)","98178","SOUTH","RAINIER VIEW"
