"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
877797,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","10/03/2024 04:44:31 PM","2024-10-03","04:44:31","3300 NE 55TH ST, SEATTLE, WA 98105",47.66865213,-122.29220008,"POINT (-122.29220008 47.66865213)","98105","NORTH","RAVENNA"
877808,"Parking Enforcement","SPD-Seattle Police Department","10/03/2024 05:40:49 PM","2024-10-03","05:40:49","5404 27TH AVE NE, SEATTLE, WA 98105",47.66806601,-122.2982381,"POINT (-122.2982381 47.66806601)","98105","NORTH","RAVENNA"
877813,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","10/03/2024 05:38:53 PM","2024-10-03","05:38:53","2701 NE 55TH ST, SEATTLE, WA 98105",47.66837657,-122.29820767,"POINT (-122.29820767 47.66837657)","98105","NORTH","RAVENNA"
877950,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","10/03/2024 09:34:36 PM","2024-10-03","09:34:36","5727 28TH AVE NE, SEATTLE, WA 98105",47.67083242,-122.29757625,"POINT (-122.29757625 47.67083242)","98105","NORTH","RAVENNA"
877975,"Damaged Sidewalk","SDOT-Seattle Department of Transportation","10/03/2024 09:44:41 PM","2024-10-03","09:44:41","6201 33RD AVE NE, SEATTLE, WA 98115",47.67415965,-122.29244912,"POINT (-122.29244912 47.67415965)","98115","NORTH","RAVENNA"
878006,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","10/04/2024 06:22:36 AM","2024-10-04","06:22:36","5529 25TH AVE NE, SEATTLE, WA 98105",47.66941872,-122.30092741,"POINT (-122.30092741 47.66941872)","98105","NORTH","RAVENNA"
878083,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","10/04/2024 08:43:44 AM","2024-10-04","08:43:44","6511 20TH AVE NE, SEATTLE, WA 98115",47.6762284,-122.3068815,"POINT (-122.3068815 47.6762284)","98115","NORTH","RAVENNA"
878112,"Parking Enforcement","SPD-Seattle Police Department","10/04/2024 09:13:56 AM","2024-10-04","09:13:56","6511 20TH AVE NE, SEATTLE, WA 98115",47.6762284,-122.3068815,"POINT (-122.3068815 47.6762284)","98115","NORTH","RAVENNA"
878189,"Streetlight Maintenance","SCL-Seattle City Light","10/04/2024 10:08:24 AM","2024-10-04","10:08:24","2007 NE 85TH ST SEDONA APART 1 A11, SEATTLE, WA 98115",47.69011601,-122.30632841,"POINT (-122.30632841 47.69011601)","98115","NORTH","RAVENNA"
878410,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","10/04/2024 02:04:24 PM","2024-10-04","02:04:24","2271 NE 60TH ST, SEATTLE, WA 98115",47.67197334,-122.30272527,"POINT (-122.30272527 47.67197334)","98115","NORTH","RAVENNA"
878478,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","10/04/2024 03:06:40 PM","2024-10-04","03:06:40","1708 NE 62ND ST, SEATTLE, WA 98115",47.67384067,-122.30937464,"POINT (-122.30937464 47.67384067)","98115","NORTH","RAVENNA"
878491,"Parking Enforcement","SPD-Seattle Police Department","10/04/2024 03:26:48 PM","2024-10-04","03:26:48","4602 UNION BAY PL NE, SEATTLE, WA 98105",47.66281486,-122.29404866,"POINT (-122.29404866 47.66281486)","98105","NORTH","RAVENNA"
878904,"Graffiti","SPU-Seattle Public Utilities","10/05/2024 10:13:29 AM","2024-10-05","10:13:29","5502 25TH AVE NE, SEATTLE, WA 98105",47.66868484,-122.30041735,"POINT (-122.30041735 47.66868484)","98105","NORTH","RAVENNA"
878936,"Unauthorized Encampment","SEA-City of Seattle","10/05/2024 10:53:47 AM","2024-10-05","10:53:47","2264 NE 60TH ST, SEATTLE, WA 98115",47.67231279,-122.30304002,"POINT (-122.30304002 47.67231279)","98115","NORTH","RAVENNA"
878992,"Parking Enforcement","SPD-Seattle Police Department","10/05/2024 11:26:01 AM","2024-10-05","11:26:01","5101 29TH AVE NE, SEATTLE, WA 98105",47.66631374,-122.29701491,"POINT (-122.29701491 47.66631374)","98105","NORTH","RAVENNA"
879002,"Parking Enforcement","SPD-Seattle Police Department","10/05/2024 11:19:56 AM","2024-10-05","11:19:56","5537 26TH AVE NE, SEATTLE, WA 98105",47.66965264,-122.29988768,"POINT (-122.29988768 47.66965264)","98105","NORTH","RAVENNA"
879003,"Parking Enforcement","SPD-Seattle Police Department","10/05/2024 11:38:01 AM","2024-10-05","11:38:01","4909 UNIVERSITY VIEW PL NE, SEATTLE, WA 98105",47.66430297,-122.29405648,"POINT (-122.29405648 47.66430297)","98105","NORTH","RAVENNA"
879020,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","10/05/2024 11:58:15 AM","2024-10-05","11:58:15","15TH AVE NE & NE 75TH ST, SEATTLE, WA",47.68304587,-122.31207928,"POINT (-122.31207928 47.68304587)","","NORTH","RAVENNA"
879030,"Parking Enforcement","SPD-Seattle Police Department","10/05/2024 12:18:20 PM","2024-10-05","12:18:20","3024 NE BLAKELEY ST, SEATTLE, WA 98105",47.66432475,-122.29476122,"POINT (-122.29476122 47.66432475)","98105","NORTH","RAVENNA"
879035,"Parking Enforcement","SPD-Seattle Police Department","10/05/2024 12:20:21 PM","2024-10-05","12:20:21","3028 NE BLAKELEY ST, SEATTLE, WA 98105",47.66425894,-122.29464043,"POINT (-122.29464043 47.66425894)","98105","NORTH","RAVENNA"
879040,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","10/05/2024 12:02:18 PM","2024-10-05","12:02:18","4841 33RD AVE NE, SEATTLE, WA 98105",47.66473832,-122.29268954,"POINT (-122.29268954 47.66473832)","98105","NORTH","RAVENNA"
879043,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","10/05/2024 12:28:25 PM","2024-10-05","12:28:25","3405 NE 50TH ST, SEATTLE, WA 98105",47.66473835,-122.29100877,"POINT (-122.29100877 47.66473835)","98105","NORTH","RAVENNA"
