"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
736869,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/24/2024 12:16:06 PM","2024-04-24","12:16:06","6410 16TH AVE SW, SEATTLE, WA 98106",47.54556004,-122.35474857,"POINT (-122.35474857 47.54556004)","98106","SOUTHWEST","RIVERVIEW"
736890,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/24/2024 12:33:10 PM","2024-04-24","12:33:10","6400 16TH AVE SW, SEATTLE, WA 98106",47.54565363,-122.3547468,"POINT (-122.3547468 47.54565363)","98106","SOUTHWEST","RIVERVIEW"
736913,"Pothole","SDOT-Seattle Department of Transportation","04/24/2024 12:57:15 PM","2024-04-24","12:57:15","1600 SW GRAHAM ST, SEATTLE, WA 98106",47.54675747,-122.3553076,"POINT (-122.3553076 47.54675747)","98106","SOUTHWEST","RIVERVIEW"
736916,"Pothole","SDOT-Seattle Department of Transportation","04/24/2024 12:59:18 PM","2024-04-24","12:59:18","6042 17TH AVE SW, SEATTLE, WA 98106",47.54710933,-122.35527847,"POINT (-122.35527847 47.54710933)","98106","SOUTHWEST","RIVERVIEW"
736920,"Pothole","SDOT-Seattle Department of Transportation","04/24/2024 01:04:20 PM","2024-04-24","01:04:20","6145 16TH AVE SW, SEATTLE, WA 98106",47.54777744,-122.35496291,"POINT (-122.35496291 47.54777744)","98106","SOUTHWEST","RIVERVIEW"
736927,"Pothole","SDOT-Seattle Department of Transportation","04/24/2024 01:01:18 PM","2024-04-24","01:01:18","6027 16TH AVE SW, SEATTLE, WA 98106",47.54744901,-122.35542668,"POINT (-122.35542668 47.54744901)","98106","SOUTHWEST","RIVERVIEW"
736937,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/24/2024 01:06:19 PM","2024-04-24","01:06:19","6027 16TH AVE SW, SEATTLE, WA 98106",47.54744901,-122.35542668,"POINT (-122.35542668 47.54744901)","98106","SOUTHWEST","RIVERVIEW"
737117,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/24/2024 04:19:56 PM","2024-04-24","04:19:56","6152 16TH AVE SW, SEATTLE, WA 98106",47.54771581,-122.35472043,"POINT (-122.35472043 47.54771581)","98106","SOUTHWEST","RIVERVIEW"
737119,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/24/2024 04:25:18 PM","2024-04-24","04:25:18","6027 16TH AVE SW, SEATTLE, WA 98106",47.54744901,-122.35542668,"POINT (-122.35542668 47.54744901)","98106","SOUTHWEST","RIVERVIEW"
737132,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/24/2024 04:23:54 PM","2024-04-24","04:23:54","5953 16TH AVE SW, SEATTLE, WA 98106",47.54863398,-122.3551871,"POINT (-122.3551871 47.54863398)","98106","SOUTHWEST","RIVERVIEW"
