"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
895552,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","10/24/2024 08:37:44 AM","2024-10-24","08:37:44","ROOSEVELT WAY NE & NE 65TH ST, SEATTLE, WA",47.67582933,-122.31736322,"POINT (-122.31736322 47.67582933)","","NORTH","ROOSEVELT"
896037,"Graffiti","SPU-Seattle Public Utilities","10/24/2024 03:25:43 PM","2024-10-24","03:25:43","6161 15TH AVE NE, SEATTLE, WA 98115",47.67361354,-122.31203709,"POINT (-122.31203709 47.67361354)","98115","NORTH","ROOSEVELT"
896057,"Graffiti","SPU-Seattle Public Utilities","10/24/2024 03:25:38 PM","2024-10-24","03:25:38","6061 15TH AVE NE, SEATTLE, WA 98115",47.67267594,-122.31203083,"POINT (-122.31203083 47.67267594)","98115","NORTH","ROOSEVELT"
896231,"Graffiti","SPU-Seattle Public Utilities","10/24/2024 06:08:54 PM","2024-10-24","06:08:54","800 NE 65TH ST, SEATTLE, WA 98115",47.67604143,-122.3197469,"POINT (-122.3197469 47.67604143)","98115","NORTH","ROOSEVELT"
896240,"Parking Enforcement","SPD-Seattle Police Department","10/24/2024 06:39:07 PM","2024-10-24","06:39:07","8014 19TH AVE NE, SEATTLE, WA 98115",47.68721187,-122.30755352,"POINT (-122.30755352 47.68721187)","98115","NORTH","ROOSEVELT"
896247,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","10/24/2024 07:17:26 PM","2024-10-24","07:17:26","6500 ROOSEVELT WAY NE, SEATTLE, WA 98115",47.67601253,-122.31708706,"POINT (-122.31708706 47.67601253)","98115","NORTH","ROOSEVELT"
896314,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","10/24/2024 09:04:17 PM","2024-10-24","09:04:17","6500 ROOSEVELT WAY NE, SEATTLE, WA 98115",47.67601253,-122.31708706,"POINT (-122.31708706 47.67601253)","98115","NORTH","ROOSEVELT"
896549,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","10/25/2024 10:08:11 AM","2024-10-25","10:08:11","1007 NE 71ST ST, SEATTLE, WA 98115",47.68000106,-122.31694606,"POINT (-122.31694606 47.68000106)","98115","NORTH","ROOSEVELT"
896570,"Graffiti","SPU-Seattle Public Utilities","10/25/2024 10:28:29 AM","2024-10-25","10:28:29","5849 15TH AVE NE, SEATTLE, WA 98105",47.67225533,-122.31218531,"POINT (-122.31218531 47.67225533)","98105","NORTH","ROOSEVELT"
896695,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","10/25/2024 11:57:27 AM","2024-10-25","11:57:27","5849 15TH AVE NE, SEATTLE, WA 98105",47.67225533,-122.31218531,"POINT (-122.31218531 47.67225533)","98105","NORTH","ROOSEVELT"
896934,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","10/25/2024 04:08:57 PM","2024-10-25","04:08:57","6203 15TH AVE NE, SEATTLE, WA 98115",47.67416216,-122.31214818,"POINT (-122.31214818 47.67416216)","98115","NORTH","ROOSEVELT"
896981,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","10/25/2024 04:53:18 PM","2024-10-25","04:53:18","7545 LAKE CITY WAY NE, SEATTLE, WA 98115",47.68452427,-122.31604326,"POINT (-122.31604326 47.68452427)","98115","NORTH","ROOSEVELT"
897042,"Nuisance dogs in a park","FAS-Finance and Administrative Services","10/25/2024 06:05:59 PM","2024-10-25","06:05:59","1020 NE 82ND ST, SEATTLE, WA 98115",47.68937342,-122.31672947,"POINT (-122.31672947 47.68937342)","98115","NORTH","ROOSEVELT"
897059,"Nuisance dogs in a park","FAS-Finance and Administrative Services","10/25/2024 06:05:58 PM","2024-10-25","06:05:58","1020 NE 82ND ST, SEATTLE, WA 98115",47.68937342,-122.31672947,"POINT (-122.31672947 47.68937342)","98115","NORTH","ROOSEVELT"
897079,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","10/25/2024 06:52:13 PM","2024-10-25","06:52:13","7609 6TH AVE NE, SEATTLE, WA 98115",47.6844808,-122.32179056,"POINT (-122.32179056 47.6844808)","98115","NORTH","ROOSEVELT"
897159,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","10/26/2024 04:52:48 AM","2024-10-26","04:52:48","6415 ROOSEVELT WAY NE, SEATTLE, WA 98115",47.67558913,-122.31768543,"POINT (-122.31768543 47.67558913)","98115","NORTH","ROOSEVELT"
897163,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","10/26/2024 04:50:45 AM","2024-10-26","04:50:45","6415 ROOSEVELT WAY NE, SEATTLE, WA 98115",47.67558913,-122.31768543,"POINT (-122.31768543 47.67558913)","98115","NORTH","ROOSEVELT"
897188,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","10/26/2024 08:12:19 AM","2024-10-26","08:12:19","8010 19TH AVE NE, SEATTLE, WA 98115",47.68708017,-122.30760857,"POINT (-122.30760857 47.68708017)","98115","NORTH","ROOSEVELT"
897254,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","10/26/2024 09:40:57 AM","2024-10-26","09:40:57","8245 16TH AVE NE, SEATTLE, WA 98115",47.68983814,-122.31143449,"POINT (-122.31143449 47.68983814)","98115","NORTH","ROOSEVELT"
897264,"Unauthorized Encampment","SEA-City of Seattle","10/26/2024 09:36:58 AM","2024-10-26","09:36:58","7177 8TH AVE NE, SEATTLE, WA 98115",47.68072351,-122.31995347,"POINT (-122.31995347 47.68072351)","98115","NORTH","ROOSEVELT"
897590,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","10/26/2024 05:10:26 PM","2024-10-26","05:10:26","8106 5TH AVE NE, SEATTLE, WA 98115",47.68781829,-122.32268697,"POINT (-122.32268697 47.68781829)","98115","NORTH","ROOSEVELT"
897629,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","10/26/2024 07:57:39 PM","2024-10-26","07:57:39","8233 20TH AVE NE, SEATTLE, WA 98115",47.68950787,-122.30710632,"POINT (-122.30710632 47.68950787)","98115","NORTH","ROOSEVELT"
897694,"Clogged Storm Drain","SPU-Seattle Public Utilities","10/27/2024 07:53:07 AM","2024-10-27","07:53:07","1352 NE 62ND ST, SEATTLE, WA 98115",47.67410496,-122.31229651,"POINT (-122.31229651 47.67410496)","98115","NORTH","ROOSEVELT"
897721,"Clogged Storm Drain","SPU-Seattle Public Utilities","10/27/2024 08:35:29 AM","2024-10-27","08:35:29","831 NE RAVENNA BLVD, SEATTLE, WA 98115",47.67245904,-122.31869367,"POINT (-122.31869367 47.67245904)","98115","NORTH","ROOSEVELT"
897857,"Graffiti","SPU-Seattle Public Utilities","10/27/2024 11:08:43 AM","2024-10-27","11:08:43","8315 LAKE CITY WAY NE, SEATTLE, WA 98115",47.69012217,-122.30887879,"POINT (-122.30887879 47.69012217)","98115","NORTH","ROOSEVELT"
898010,"Parking Enforcement","SPD-Seattle Police Department","10/27/2024 02:36:11 PM","2024-10-27","02:36:11","843 NE 85TH ST, SEATTLE, WA 98115",47.69018839,-122.31840251,"POINT (-122.31840251 47.69018839)","98115","NORTH","ROOSEVELT"
898014,"Parking Enforcement","SPD-Seattle Police Department","10/27/2024 02:30:11 PM","2024-10-27","02:30:11","843 NE 85TH ST, SEATTLE, WA 98115",47.69018839,-122.31840251,"POINT (-122.31840251 47.69018839)","98115","NORTH","ROOSEVELT"
898015,"Clogged Storm Drain","SPU-Seattle Public Utilities","10/27/2024 02:38:12 PM","2024-10-27","02:38:12","790 NE 65TH ST, SEATTLE, WA 98115",47.67614254,-122.32029811,"POINT (-122.32029811 47.67614254)","98115","NORTH","ROOSEVELT"
898017,"Parking Enforcement","SPD-Seattle Police Department","10/27/2024 02:28:12 PM","2024-10-27","02:28:12","839 NE 85TH ST, SEATTLE, WA 98115",47.69017893,-122.31857132,"POINT (-122.31857132 47.69017893)","98115","NORTH","ROOSEVELT"
