"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
836885,"Unauthorized Encampment","SEA-City of Seattle","08/19/2024 05:45:53 PM","2024-08-19","05:45:53","26TH AVE SW & SW TRENTON ST, SEATTLE, WA",47.52468033,-122.36587544,"POINT (-122.36587544 47.52468033)","","SOUTHWEST","ROXHILL"
836916,"Unauthorized Encampment","SEA-City of Seattle","08/19/2024 06:21:10 PM","2024-08-19","06:21:10","2659 SW TRENTON ST, SEATTLE, WA 98126",47.52459597,-122.36669385,"POINT (-122.36669385 47.52459597)","98126","SOUTHWEST","ROXHILL"
836932,"Unauthorized Encampment","SEA-City of Seattle","08/19/2024 06:42:19 PM","2024-08-19","06:42:19","2700 SW TRENTON ST, SEATTLE, WA 98126",47.52501926,-122.36777539,"POINT (-122.36777539 47.52501926)","98126","SOUTHWEST","ROXHILL"
836995,"Parking Enforcement","SPD-Seattle Police Department","08/19/2024 07:52:53 PM","2024-08-19","07:52:53","2669 SW TRENTON ST, SEATTLE, WA 98126",47.52459561,-122.36683294,"POINT (-122.36683294 47.52459561)","98126","SOUTHWEST","ROXHILL"
837240,"Unauthorized Encampment","SEA-City of Seattle","08/20/2024 09:12:12 AM","2024-08-20","09:12:12","2600 SW TRENTON ST, SEATTLE, WA 98126",47.52476254,-122.36588804,"POINT (-122.36588804 47.52476254)","98126","SOUTHWEST","ROXHILL"
837243,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","08/20/2024 09:14:04 AM","2024-08-20","09:14:04","2600 SW TRENTON ST, SEATTLE, WA 98126",47.52476254,-122.36588804,"POINT (-122.36588804 47.52476254)","98126","SOUTHWEST","ROXHILL"
837246,"General Inquiry - Police Department","SPD-Seattle Police Department","08/20/2024 09:19:15 AM","2024-08-20","09:19:15","2600 SW TRENTON ST, SEATTLE, WA 98126",47.52476254,-122.36588804,"POINT (-122.36588804 47.52476254)","98126","SOUTHWEST","ROXHILL"
837268,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","08/20/2024 09:27:07 AM","2024-08-20","09:27:07","2663 SW TRENTON ST, SEATTLE, WA 98126",47.52459582,-122.36674948,"POINT (-122.36674948 47.52459582)","98126","SOUTHWEST","ROXHILL"
837337,"Unauthorized Encampment","SEA-City of Seattle","08/20/2024 10:22:34 AM","2024-08-20","10:22:34","2689 SW TRENTON ST, SEATTLE, WA 98126",47.52459488,-122.36711112,"POINT (-122.36711112 47.52459488)","98126","SOUTHWEST","ROXHILL"
837361,"Unauthorized Encampment","SEA-City of Seattle","08/20/2024 10:25:44 AM","2024-08-20","10:25:44","2700 SW TRENTON ST, SEATTLE, WA 98126",47.52501926,-122.36777539,"POINT (-122.36777539 47.52501926)","98126","SOUTHWEST","ROXHILL"
837428,"Public Litter and Recycling Cans","SPU-Seattle Public Utilities","08/20/2024 11:03:53 AM","2024-08-20","11:03:53","2642 SW TRENTON ST, SEATTLE, WA 98126",47.52476103,-122.36647223,"POINT (-122.36647223 47.52476103)","98126","SOUTHWEST","ROXHILL"
837437,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","08/20/2024 11:08:03 AM","2024-08-20","11:08:03","2821 SW TRENTON ST, SEATTLE, WA 98126",47.52449669,-122.36963089,"POINT (-122.36963089 47.52449669)","98126","SOUTHWEST","ROXHILL"
837444,"Unauthorized Encampment","SEA-City of Seattle","08/20/2024 11:46:14 AM","2024-08-20","11:46:14","2668 SW TRENTON ST, SEATTLE, WA 98126",47.52476009,-122.36683387,"POINT (-122.36683387 47.52476009)","98126","SOUTHWEST","ROXHILL"
837479,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","08/20/2024 12:02:35 PM","2024-08-20","12:02:35","8802 28TH AVE SW, SEATTLE, WA 98126",47.52450231,-122.36840169,"POINT (-122.36840169 47.52450231)","98126","SOUTHWEST","ROXHILL"
837492,"Unauthorized Encampment","SEA-City of Seattle","08/20/2024 12:13:10 PM","2024-08-20","12:13:10","2721 SW TRENTON ST, SEATTLE, WA 98126",47.52408517,-122.36719767,"POINT (-122.36719767 47.52408517)","98126","SOUTHWEST","ROXHILL"
837541,"Unauthorized Encampment","SEA-City of Seattle","08/20/2024 12:50:42 PM","2024-08-20","12:50:42","8645 29TH AVE SW, SEATTLE, WA 98126",47.52513812,-122.3703498,"POINT (-122.3703498 47.52513812)","98126","SOUTHWEST","ROXHILL"
837567,"Unauthorized Encampment","SEA-City of Seattle","08/20/2024 12:53:50 PM","2024-08-20","12:53:50","2662 SW TRENTON ST, SEATTLE, WA 98126",47.52476031,-122.36675041,"POINT (-122.36675041 47.52476031)","98126","SOUTHWEST","ROXHILL"
837574,"Unauthorized Encampment","SEA-City of Seattle","08/20/2024 01:03:50 PM","2024-08-20","01:03:50","2830 SW ROXBURY ST, SEATTLE, WA 98126",47.517481,-122.36905425,"POINT (-122.36905425 47.517481)","98126","SOUTHWEST","ROXHILL"
837680,"Unauthorized Encampment","SEA-City of Seattle","08/20/2024 02:36:49 PM","2024-08-20","02:36:49","2690 SW TRENTON ST, SEATTLE, WA 98126",47.5247593,-122.36713987,"POINT (-122.36713987 47.5247593)","98126","SOUTHWEST","ROXHILL"
837699,"Unauthorized Encampment","SEA-City of Seattle","08/20/2024 02:38:07 PM","2024-08-20","02:38:07","2700 SW TRENTON ST, SEATTLE, WA 98126",47.52501926,-122.36777539,"POINT (-122.36777539 47.52501926)","98126","SOUTHWEST","ROXHILL"
837715,"Unauthorized Encampment","SEA-City of Seattle","08/20/2024 03:00:43 PM","2024-08-20","03:00:43","2705 SW TRENTON ST, SEATTLE, WA 98126",47.52459431,-122.36733367,"POINT (-122.36733367 47.52459431)","98126","SOUTHWEST","ROXHILL"
837735,"Unauthorized Encampment","SEA-City of Seattle","08/20/2024 03:13:50 PM","2024-08-20","03:13:50","2705 SW TRENTON ST, SEATTLE, WA 98126",47.52459431,-122.36733367,"POINT (-122.36733367 47.52459431)","98126","SOUTHWEST","ROXHILL"
837746,"Unauthorized Encampment","SEA-City of Seattle","08/20/2024 03:08:47 PM","2024-08-20","03:08:47","2700 SW TRENTON ST, SEATTLE, WA 98126",47.52501926,-122.36777539,"POINT (-122.36777539 47.52501926)","98126","SOUTHWEST","ROXHILL"
837817,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","08/20/2024 04:20:18 PM","2024-08-20","04:20:18","2701 SW BARTON ST, SEATTLE, WA 98126",47.52096774,-122.36745109,"POINT (-122.36745109 47.52096774)","98126","SOUTHWEST","ROXHILL"
837830,"Unauthorized Encampment","SEA-City of Seattle","08/20/2024 04:18:17 PM","2024-08-20","04:18:17","2688 SW TRENTON ST, SEATTLE, WA 98126",47.52475937,-122.36711205,"POINT (-122.36711205 47.52475937)","98126","SOUTHWEST","ROXHILL"
837863,"Unauthorized Encampment","SEA-City of Seattle","08/20/2024 05:03:42 PM","2024-08-20","05:03:42","2513 SW TRENTON ST, SEATTLE, WA 98106",47.52436373,-122.36591215,"POINT (-122.36591215 47.52436373)","98106","SOUTHWEST","ROXHILL"
837883,"Unauthorized Encampment","SEA-City of Seattle","08/20/2024 05:20:53 PM","2024-08-20","05:20:53","2744 SW TRENTON ST, SEATTLE, WA 98126",47.52475735,-122.36789097,"POINT (-122.36789097 47.52475735)","98126","SOUTHWEST","ROXHILL"
837957,"Overgrown Vegetation","FAS-Finance and Administrative Services","08/20/2024 06:17:12 PM","2024-08-20","06:17:12","9419 34TH AVE SW, SEATTLE, WA 98126",47.51867064,-122.37578468,"POINT (-122.37578468 47.51867064)","98126","SOUTHWEST","ROXHILL"
837987,"Graffiti","SPU-Seattle Public Utilities","08/20/2024 06:55:31 PM","2024-08-20","06:55:31","8446 35TH AVE SW, SEATTLE, WA 98126",47.52666742,-122.37626798,"POINT (-122.37626798 47.52666742)","98126","SOUTHWEST","ROXHILL"
837993,"Unauthorized Encampment","SEA-City of Seattle","08/20/2024 06:56:30 PM","2024-08-20","06:56:30","2655 SW TRENTON ST, SEATTLE, WA 98126",47.52459611,-122.36663821,"POINT (-122.36663821 47.52459611)","98126","SOUTHWEST","ROXHILL"
838070,"Unauthorized Encampment","SEA-City of Seattle","08/20/2024 09:05:29 PM","2024-08-20","09:05:29","2700 SW TRENTON ST, SEATTLE, WA 98126",47.52501926,-122.36777539,"POINT (-122.36777539 47.52501926)","98126","SOUTHWEST","ROXHILL"
838242,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","08/21/2024 08:19:38 AM","2024-08-21","08:19:38","8400 32ND AVE SW, SEATTLE, WA 98126",47.52813712,-122.37366589,"POINT (-122.37366589 47.52813712)","98126","SOUTHWEST","ROXHILL"
838252,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","08/21/2024 08:17:35 AM","2024-08-21","08:17:35","8400 32ND AVE SW, SEATTLE, WA 98126",47.52813712,-122.37366589,"POINT (-122.37366589 47.52813712)","98126","SOUTHWEST","ROXHILL"
838262,"Unauthorized Encampment","SEA-City of Seattle","08/21/2024 08:26:44 AM","2024-08-21","08:26:44","2664 SW TRENTON ST, SEATTLE, WA 98126",47.52476024,-122.36677823,"POINT (-122.36677823 47.52476024)","98126","SOUTHWEST","ROXHILL"
838266,"Unauthorized Encampment","SEA-City of Seattle","08/21/2024 08:26:41 AM","2024-08-21","08:26:41","2700 SW TRENTON ST, SEATTLE, WA 98126",47.52501926,-122.36777539,"POINT (-122.36777539 47.52501926)","98126","SOUTHWEST","ROXHILL"
838305,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","08/21/2024 08:48:52 AM","2024-08-21","08:48:52","2700 SW TRENTON ST, SEATTLE, WA 98126",47.52501926,-122.36777539,"POINT (-122.36777539 47.52501926)","98126","SOUTHWEST","ROXHILL"
838306,"Unauthorized Encampment","SEA-City of Seattle","08/21/2024 08:46:49 AM","2024-08-21","08:46:49","2700 SW TRENTON ST, SEATTLE, WA 98126",47.52501926,-122.36777539,"POINT (-122.36777539 47.52501926)","98126","SOUTHWEST","ROXHILL"
838319,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","08/21/2024 08:51:51 AM","2024-08-21","08:51:51","2700 SW TRENTON ST, SEATTLE, WA 98126",47.52501926,-122.36777539,"POINT (-122.36777539 47.52501926)","98126","SOUTHWEST","ROXHILL"
838352,"Overgrown Vegetation","FAS-Finance and Administrative Services","08/21/2024 08:54:54 AM","2024-08-21","08:54:54","2808 SW HOLDEN ST, SEATTLE, WA 98126",47.53386379,-122.36898821,"POINT (-122.36898821 47.53386379)","98126","SOUTHWEST","ROXHILL"
838393,"Unauthorized Encampment","SEA-City of Seattle","08/21/2024 09:22:14 AM","2024-08-21","09:22:14","2673 SW TRENTON ST, SEATTLE, WA 98126",47.52459546,-122.36688858,"POINT (-122.36688858 47.52459546)","98126","SOUTHWEST","ROXHILL"
838489,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","08/21/2024 10:20:32 AM","2024-08-21","10:20:32","2700 SW TRENTON ST, SEATTLE, WA 98126",47.52501926,-122.36777539,"POINT (-122.36777539 47.52501926)","98126","SOUTHWEST","ROXHILL"
838524,"Unauthorized Encampment","SEA-City of Seattle","08/21/2024 10:44:46 AM","2024-08-21","10:44:46","2700 SW TRENTON ST, SEATTLE, WA 98126",47.52501926,-122.36777539,"POINT (-122.36777539 47.52501926)","98126","SOUTHWEST","ROXHILL"
838602,"Graffiti","SPU-Seattle Public Utilities","08/21/2024 11:59:22 AM","2024-08-21","11:59:22","9450 35TH AVE SW, SEATTLE, WA 98126",47.51772713,-122.37631959,"POINT (-122.37631959 47.51772713)","98126","SOUTHWEST","ROXHILL"
838617,"Unauthorized Encampment","SEA-City of Seattle","08/21/2024 11:57:18 AM","2024-08-21","11:57:18","2721 SW TRENTON ST, SEATTLE, WA 98126",47.52408517,-122.36719767,"POINT (-122.36719767 47.52408517)","98126","SOUTHWEST","ROXHILL"
838721,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","08/21/2024 01:12:06 PM","2024-08-21","01:12:06","2642 SW TRENTON ST, SEATTLE, WA 98126",47.52476103,-122.36647223,"POINT (-122.36647223 47.52476103)","98126","SOUTHWEST","ROXHILL"
838726,"Unauthorized Encampment","SEA-City of Seattle","08/21/2024 01:03:49 PM","2024-08-21","01:03:49","8802 28TH AVE SW, SEATTLE, WA 98126",47.52450231,-122.36840169,"POINT (-122.36840169 47.52450231)","98126","SOUTHWEST","ROXHILL"
838834,"Unauthorized Encampment","SEA-City of Seattle","08/21/2024 02:28:28 PM","2024-08-21","02:28:28","2695 SW TRENTON ST, SEATTLE, WA 98126",47.52459467,-122.36719458,"POINT (-122.36719458 47.52459467)","98126","SOUTHWEST","ROXHILL"
838841,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","08/21/2024 02:39:35 PM","2024-08-21","02:39:35","2700 SW TRENTON ST, SEATTLE, WA 98126",47.52501926,-122.36777539,"POINT (-122.36777539 47.52501926)","98126","SOUTHWEST","ROXHILL"
838877,"Unauthorized Encampment","SEA-City of Seattle","08/21/2024 03:02:43 PM","2024-08-21","03:02:43","2500 SW TRENTON ST, SEATTLE, WA 98106",47.5251719,-122.3648803,"POINT (-122.3648803 47.5251719)","98106","SOUTHWEST","ROXHILL"
838881,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","08/21/2024 03:04:46 PM","2024-08-21","03:04:46","2644 SW TRENTON ST, SEATTLE, WA 98126",47.52476096,-122.36650005,"POINT (-122.36650005 47.52476096)","98126","SOUTHWEST","ROXHILL"
838901,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","08/21/2024 02:59:51 PM","2024-08-21","02:59:51","2700 SW TRENTON ST, SEATTLE, WA 98126",47.52501926,-122.36777539,"POINT (-122.36777539 47.52501926)","98126","SOUTHWEST","ROXHILL"
838915,"Unauthorized Encampment","SEA-City of Seattle","08/21/2024 03:28:55 PM","2024-08-21","03:28:55","2669 SW TRENTON ST, SEATTLE, WA 98126",47.52459561,-122.36683294,"POINT (-122.36683294 47.52459561)","98126","SOUTHWEST","ROXHILL"
839002,"Unauthorized Encampment","SEA-City of Seattle","08/21/2024 04:53:36 PM","2024-08-21","04:53:36","2600 SW TRENTON ST, SEATTLE, WA 98126",47.52476254,-122.36588804,"POINT (-122.36588804 47.52476254)","98126","SOUTHWEST","ROXHILL"
839031,"Unauthorized Encampment","SEA-City of Seattle","08/21/2024 05:25:49 PM","2024-08-21","05:25:49","2513 SW TRENTON ST, SEATTLE, WA 98106",47.52436373,-122.36591215,"POINT (-122.36591215 47.52436373)","98106","SOUTHWEST","ROXHILL"
839062,"Unauthorized Encampment","SEA-City of Seattle","08/21/2024 06:04:14 PM","2024-08-21","06:04:14","2665 SW TRENTON ST, SEATTLE, WA 98126",47.52459575,-122.3667773,"POINT (-122.3667773 47.52459575)","98126","SOUTHWEST","ROXHILL"
839152,"Unauthorized Encampment","SEA-City of Seattle","08/21/2024 08:54:35 PM","2024-08-21","08:54:35","2670 SW TRENTON ST, SEATTLE, WA 98126",47.52476002,-122.36686169,"POINT (-122.36686169 47.52476002)","98126","SOUTHWEST","ROXHILL"
839232,"Unauthorized Encampment","SEA-City of Seattle","08/22/2024 06:31:46 AM","2024-08-22","06:31:46","2600 SW TRENTON ST, SEATTLE, WA 98126",47.52476254,-122.36588804,"POINT (-122.36588804 47.52476254)","98126","SOUTHWEST","ROXHILL"
839252,"Unauthorized Encampment","SEA-City of Seattle","08/22/2024 07:13:10 AM","2024-08-22","07:13:10","2683 SW TRENTON ST, SEATTLE, WA 98126",47.5245951,-122.36702767,"POINT (-122.36702767 47.5245951)","98126","SOUTHWEST","ROXHILL"
839258,"Unauthorized Encampment","SEA-City of Seattle","08/22/2024 06:34:23 AM","2024-08-22","06:34:23","2821 SW TRENTON ST, SEATTLE, WA 98126",47.52449669,-122.36963089,"POINT (-122.36963089 47.52449669)","98126","SOUTHWEST","ROXHILL"
839287,"Unauthorized Encampment","SEA-City of Seattle","08/22/2024 07:37:22 AM","2024-08-22","07:37:22","2662 SW TRENTON ST, SEATTLE, WA 98126",47.52476031,-122.36675041,"POINT (-122.36675041 47.52476031)","98126","SOUTHWEST","ROXHILL"
839324,"Unauthorized Encampment","SEA-City of Seattle","08/22/2024 08:21:47 AM","2024-08-22","08:21:47","2700 SW TRENTON ST, SEATTLE, WA 98126",47.52501926,-122.36777539,"POINT (-122.36777539 47.52501926)","98126","SOUTHWEST","ROXHILL"
839336,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","08/22/2024 08:29:16 AM","2024-08-22","08:29:16","8156 30TH AVE SW, SEATTLE, WA 98126",47.52844545,-122.37096807,"POINT (-122.37096807 47.52844545)","98126","SOUTHWEST","ROXHILL"
839433,"Unauthorized Encampment","SEA-City of Seattle","08/22/2024 09:30:22 AM","2024-08-22","09:30:22","2800 SW TRENTON ST, SEATTLE, WA 98126",47.52475533,-122.36866634,"POINT (-122.36866634 47.52475533)","98126","SOUTHWEST","ROXHILL"
839447,"Unauthorized Encampment","SEA-City of Seattle","08/22/2024 09:34:21 AM","2024-08-22","09:34:21","2700 SW TRENTON ST, SEATTLE, WA 98126",47.52501926,-122.36777539,"POINT (-122.36777539 47.52501926)","98126","SOUTHWEST","ROXHILL"
839486,"Unauthorized Encampment","SEA-City of Seattle","08/22/2024 10:04:36 AM","2024-08-22","10:04:36","2681 SW TRENTON ST, SEATTLE, WA 98126",47.52459517,-122.36699985,"POINT (-122.36699985 47.52459517)","98126","SOUTHWEST","ROXHILL"
839531,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","08/22/2024 10:35:46 AM","2024-08-22","10:35:46","7711 34TH AVE SW, SEATTLE, WA 98126",47.53331683,-122.37560224,"POINT (-122.37560224 47.53331683)","98126","SOUTHWEST","ROXHILL"
839536,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","08/22/2024 10:30:10 AM","2024-08-22","10:30:10","2721 SW TRENTON ST, SEATTLE, WA 98126",47.52408517,-122.36719767,"POINT (-122.36719767 47.52408517)","98126","SOUTHWEST","ROXHILL"
839619,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","08/22/2024 11:19:12 AM","2024-08-22","11:19:12","9230 35TH AVE SW, SEATTLE, WA 98126",47.52009541,-122.37627664,"POINT (-122.37627664 47.52009541)","98126","SOUTHWEST","ROXHILL"
839640,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","08/22/2024 11:19:58 AM","2024-08-22","11:19:58","9227 34TH AVE SW, SEATTLE, WA 98126",47.52017101,-122.3757682,"POINT (-122.3757682 47.52017101)","98126","SOUTHWEST","ROXHILL"
839641,"Public Litter and Recycling Cans","SPU-Seattle Public Utilities","08/22/2024 11:19:11 AM","2024-08-22","11:19:11","9227 34TH AVE SW, SEATTLE, WA 98126",47.52017101,-122.3757682,"POINT (-122.3757682 47.52017101)","98126","SOUTHWEST","ROXHILL"
839650,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","08/22/2024 11:37:17 AM","2024-08-22","11:37:17","8802 28TH AVE SW, SEATTLE, WA 98126",47.52450231,-122.36840169,"POINT (-122.36840169 47.52450231)","98126","SOUTHWEST","ROXHILL"
839657,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","08/22/2024 11:43:20 AM","2024-08-22","11:43:20","8633 29TH AVE SW, SEATTLE, WA 98126",47.52549758,-122.37029506,"POINT (-122.37029506 47.52549758)","98126","SOUTHWEST","ROXHILL"
839783,"Unauthorized Encampment","SEA-City of Seattle","08/22/2024 01:22:07 PM","2024-08-22","01:22:07","3405 SW BARTON ST, SEATTLE, WA 98126",47.52086713,-122.37579298,"POINT (-122.37579298 47.52086713)","98126","SOUTHWEST","ROXHILL"
839797,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","08/22/2024 01:28:08 PM","2024-08-22","01:28:08","2721 SW TRENTON ST, SEATTLE, WA 98126",47.52408517,-122.36719767,"POINT (-122.36719767 47.52408517)","98126","SOUTHWEST","ROXHILL"
839804,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","08/22/2024 01:30:09 PM","2024-08-22","01:30:09","2701 SW TRENTON ST, SEATTLE, WA 98126",47.52459445,-122.36727803,"POINT (-122.36727803 47.52459445)","98126","SOUTHWEST","ROXHILL"
839806,"Unauthorized Encampment","SEA-City of Seattle","08/22/2024 01:51:19 PM","2024-08-22","01:51:19","2600 SW BARTON ST, SEATTLE, WA 98126",47.52253893,-122.36626957,"POINT (-122.36626957 47.52253893)","98126","SOUTHWEST","ROXHILL"
839827,"Unauthorized Encampment","SEA-City of Seattle","08/22/2024 02:07:28 PM","2024-08-22","02:07:28","8656 26TH AVE SW, SEATTLE, WA 98106",47.52483891,-122.36558844,"POINT (-122.36558844 47.52483891)","98106","SOUTHWEST","ROXHILL"
839828,"Unauthorized Encampment","SEA-City of Seattle","08/22/2024 02:18:50 PM","2024-08-22","02:18:50","2682 SW TRENTON ST, SEATTLE, WA 98126",47.52475959,-122.3670286,"POINT (-122.3670286 47.52475959)","98126","SOUTHWEST","ROXHILL"
839838,"Unauthorized Encampment","SEA-City of Seattle","08/22/2024 02:20:50 PM","2024-08-22","02:20:50","8802 28TH AVE SW, SEATTLE, WA 98126",47.52450231,-122.36840169,"POINT (-122.36840169 47.52450231)","98126","SOUTHWEST","ROXHILL"
839847,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","08/22/2024 02:35:50 PM","2024-08-22","02:35:50","8156 30TH AVE SW, SEATTLE, WA 98126",47.52844545,-122.37096807,"POINT (-122.37096807 47.52844545)","98126","SOUTHWEST","ROXHILL"
839850,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","08/22/2024 02:44:02 PM","2024-08-22","02:44:02","8156 30TH AVE SW, SEATTLE, WA 98126",47.52844545,-122.37096807,"POINT (-122.37096807 47.52844545)","98126","SOUTHWEST","ROXHILL"
839889,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","08/22/2024 03:06:53 PM","2024-08-22","03:06:53","8639 29TH AVE SW, SEATTLE, WA 98126",47.52529029,-122.37033474,"POINT (-122.37033474 47.52529029)","98126","SOUTHWEST","ROXHILL"
839911,"Unauthorized Encampment","SEA-City of Seattle","08/22/2024 03:28:09 PM","2024-08-22","03:28:09","2675 SW TRENTON ST, SEATTLE, WA 98126",47.52459539,-122.36691639,"POINT (-122.36691639 47.52459539)","98126","SOUTHWEST","ROXHILL"
839945,"General Inquiry - Police Department","SPD-Seattle Police Department","08/22/2024 03:44:12 PM","2024-08-22","03:44:12","2721 SW TRENTON ST, SEATTLE, WA 98126",47.52408517,-122.36719767,"POINT (-122.36719767 47.52408517)","98126","SOUTHWEST","ROXHILL"
839963,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","08/22/2024 04:27:33 PM","2024-08-22","04:27:33","8621 25TH AVE SW, SEATTLE, WA 98106",47.5258393,-122.36489542,"POINT (-122.36489542 47.5258393)","98106","SOUTHWEST","ROXHILL"
839968,"Unauthorized Encampment","SEA-City of Seattle","08/22/2024 04:06:20 PM","2024-08-22","04:06:20","2700 SW TRENTON ST, SEATTLE, WA 98126",47.52501926,-122.36777539,"POINT (-122.36777539 47.52501926)","98126","SOUTHWEST","ROXHILL"
