"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
726463,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/10/2024 11:05:26 AM","2024-04-10","11:05:26","7063 SPORTSFIELD DR NE, SEATTLE, WA 98115",47.679921,-122.2611173,"POINT (-122.2611173 47.679921)","98115","NORTH","SAND POINT"
726572,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/10/2024 01:36:37 PM","2024-04-10","01:36:37","6375 NE 74TH ST, SEATTLE, WA 98115",47.68195742,-122.25802231,"POINT (-122.25802231 47.68195742)","98115","NORTH","SAND POINT"
726727,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/10/2024 04:28:53 PM","2024-04-10","04:28:53","7700 SAND POINT WAY NE, SEATTLE, WA 98115",47.68519545,-122.26388354,"POINT (-122.26388354 47.68519545)","98115","NORTH","SAND POINT"
727043,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/11/2024 09:00:32 AM","2024-04-11","09:00:32","6963 SPORTSFIELD DR NE, SEATTLE, WA 98115",47.67910273,-122.26104942,"POINT (-122.26104942 47.67910273)","98115","NORTH","SAND POINT"
727320,"Public Litter and Recycling Cans","SPU-Seattle Public Utilities","04/11/2024 01:23:27 PM","2024-04-11","01:23:27","6310 NE 74TH ST, SEATTLE, WA 98115",47.68285021,-122.26106119,"POINT (-122.26106119 47.68285021)","98115","NORTH","SAND POINT"
728137,"Graffiti","SPU-Seattle Public Utilities","04/12/2024 03:05:13 PM","2024-04-12","03:05:13","6900 LAKE SHORE DR NE, SEATTLE, WA 98115",47.67802301,-122.25069681,"POINT (-122.25069681 47.67802301)","98115","NORTH","SAND POINT"
728321,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/12/2024 06:47:55 PM","2024-04-12","06:47:55","6908 LAKE SHORE DR NE, SEATTLE, WA 98115",47.67806355,-122.25061026,"POINT (-122.25061026 47.67806355)","98115","NORTH","SAND POINT"
728322,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/12/2024 06:56:57 PM","2024-04-12","06:56:57","6618 LAKE SHORE DR NE, SEATTLE, WA 98115",47.67632466,-122.25216698,"POINT (-122.25216698 47.67632466)","98115","NORTH","SAND POINT"
729053,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/14/2024 12:37:59 PM","2024-04-14","12:37:59","6830 62ND AVE NE, SEATTLE, WA 98115",47.67800468,-122.26108037,"POINT (-122.26108037 47.67800468)","98115","NORTH","SAND POINT"
729438,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/15/2024 08:00:10 AM","2024-04-15","08:00:10","7700 SAND POINT WAY NE, SEATTLE, WA 98115",47.68519545,-122.26388354,"POINT (-122.26388354 47.68519545)","98115","NORTH","SAND POINT"
729491,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/15/2024 08:39:43 AM","2024-04-15","08:39:43","6900 LAKE SHORE DR NE, SEATTLE, WA 98115",47.67802301,-122.25069681,"POINT (-122.25069681 47.67802301)","98115","NORTH","SAND POINT"
729569,"General Inquiry - Police Department","SPD-Seattle Police Department","04/15/2024 09:25:44 AM","2024-04-15","09:25:44","7400 SAND POINT WAY NE, SEATTLE, WA 98115",47.68228387,-122.26353846,"POINT (-122.26353846 47.68228387)","98115","NORTH","SAND POINT"
729850,"Unauthorized Encampment","SEA-City of Seattle","04/15/2024 12:27:07 PM","2024-04-15","12:27:07","7700 SAND POINT WAY NE, SEATTLE, WA 98115",47.68519545,-122.26388354,"POINT (-122.26388354 47.68519545)","98115","NORTH","SAND POINT"
730084,"Unauthorized Encampment","SEA-City of Seattle","04/15/2024 04:22:55 PM","2024-04-15","04:22:55","7700 SAND POINT WAY NE, SEATTLE, WA 98115",47.68519545,-122.26388354,"POINT (-122.26388354 47.68519545)","98115","NORTH","SAND POINT"
731171,"Graffiti","SPU-Seattle Public Utilities","04/16/2024 06:57:04 PM","2024-04-16","06:57:04","7400 SAND POINT WAY NE, SEATTLE, WA 98115",47.68228387,-122.26353846,"POINT (-122.26353846 47.68228387)","98115","NORTH","SAND POINT"
731376,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/17/2024 08:31:02 AM","2024-04-17","08:31:02","7400 SAND POINT WAY NE, SEATTLE, WA 98115",47.68228387,-122.26353846,"POINT (-122.26353846 47.68228387)","98115","NORTH","SAND POINT"
731650,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/17/2024 12:19:00 PM","2024-04-17","12:19:00","7299 LAKE SHORE DR NE, SEATTLE, WA 98115",47.680923,-122.24767107,"POINT (-122.24767107 47.680923)","98115","NORTH","SAND POINT"
731671,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/17/2024 01:07:22 PM","2024-04-17","01:07:22","6520 NE 65TH ST, SEATTLE, WA 98115",47.67689659,-122.25765787,"POINT (-122.25765787 47.67689659)","98115","NORTH","SAND POINT"
731681,"Unauthorized Encampment","SEA-City of Seattle","04/17/2024 01:17:26 PM","2024-04-17","01:17:26","7129 62ND AVE NE, SEATTLE, WA 98115",47.68016891,-122.26235177,"POINT (-122.26235177 47.68016891)","98115","NORTH","SAND POINT"
731698,"Unauthorized Encampment","SEA-City of Seattle","04/17/2024 01:20:28 PM","2024-04-17","01:20:28","7110 62ND AVE NE, SEATTLE, WA 98115",47.68057628,-122.26154801,"POINT (-122.26154801 47.68057628)","98115","NORTH","SAND POINT"
731759,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/17/2024 02:08:27 PM","2024-04-17","02:08:27","7129 62ND AVE NE, SEATTLE, WA 98115",47.68016891,-122.26235177,"POINT (-122.26235177 47.68016891)","98115","NORTH","SAND POINT"
731869,"Graffiti","SPU-Seattle Public Utilities","04/17/2024 03:26:26 PM","2024-04-17","03:26:26","7026 LAKE SHORE DR NE, SEATTLE, WA 98115",47.67885482,-122.24954314,"POINT (-122.24954314 47.67885482)","98115","NORTH","SAND POINT"
732203,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/18/2024 08:01:18 AM","2024-04-18","08:01:18","7026 LAKE SHORE DR NE, SEATTLE, WA 98115",47.67885482,-122.24954314,"POINT (-122.24954314 47.67885482)","98115","NORTH","SAND POINT"
732338,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","04/18/2024 10:03:25 AM","2024-04-18","10:03:25","7027 SPORTSFIELD DR NE, SEATTLE, WA 98115",47.67964225,-122.2611146,"POINT (-122.2611146 47.67964225)","98115","NORTH","SAND POINT"
733391,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/19/2024 03:13:47 PM","2024-04-19","03:13:47","6375 NE 74TH ST, SEATTLE, WA 98115",47.68195742,-122.25802231,"POINT (-122.25802231 47.68195742)","98115","NORTH","SAND POINT"
733406,"Overgrown Vegetation","FAS-Finance and Administrative Services","04/19/2024 03:13:46 PM","2024-04-19","03:13:46","6375 NE 74TH ST, SEATTLE, WA 98115",47.68195742,-122.25802231,"POINT (-122.25802231 47.68195742)","98115","NORTH","SAND POINT"
733704,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/20/2024 09:06:56 AM","2024-04-20","09:06:56","7067 SPORTSFIELD DR NE, SEATTLE, WA 98115",47.67995197,-122.2611176,"POINT (-122.2611176 47.67995197)","98115","NORTH","SAND POINT"
733979,"Parking Enforcement","SPD-Seattle Police Department","04/20/2024 03:02:39 PM","2024-04-20","03:02:39","7217 SPORTSFIELD DR NE, SEATTLE, WA 98115",47.68090583,-122.26034956,"POINT (-122.26034956 47.68090583)","98115","NORTH","SAND POINT"
734102,"Graffiti","SPU-Seattle Public Utilities","04/20/2024 10:08:54 PM","2024-04-20","10:08:54","7400 SAND POINT WAY NE, SEATTLE, WA 98115",47.68228387,-122.26353846,"POINT (-122.26353846 47.68228387)","98115","NORTH","SAND POINT"
734304,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/21/2024 11:37:04 AM","2024-04-21","11:37:04","6375 NE 74TH ST, SEATTLE, WA 98115",47.68195742,-122.25802231,"POINT (-122.25802231 47.68195742)","98115","NORTH","SAND POINT"
734767,"Graffiti","SPU-Seattle Public Utilities","04/22/2024 07:56:02 AM","2024-04-22","07:56:02","7261 SPORTSFIELD DR NE, SEATTLE, WA 98115",47.68110985,-122.26025071,"POINT (-122.26025071 47.68110985)","98115","NORTH","SAND POINT"
734770,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","04/22/2024 07:57:06 AM","2024-04-22","07:57:06","7277 SPORTSFIELD DR NE, SEATTLE, WA 98115",47.68123371,-122.26025497,"POINT (-122.26025497 47.68123371)","98115","NORTH","SAND POINT"
734778,"Unauthorized Encampment","SEA-City of Seattle","04/22/2024 08:00:06 AM","2024-04-22","08:00:06","7061 SPORTSFIELD DR NE, SEATTLE, WA 98115",47.67990551,-122.26111715,"POINT (-122.26111715 47.67990551)","98115","NORTH","SAND POINT"
734790,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/22/2024 08:09:28 AM","2024-04-22","08:09:28","7061 SPORTSFIELD DR NE, SEATTLE, WA 98115",47.67990551,-122.26111715,"POINT (-122.26111715 47.67990551)","98115","NORTH","SAND POINT"
734842,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/22/2024 08:44:47 AM","2024-04-22","08:44:47","7400 SAND POINT WAY NE, SEATTLE, WA 98115",47.68228387,-122.26353846,"POINT (-122.26353846 47.68228387)","98115","NORTH","SAND POINT"
734989,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/22/2024 09:55:09 AM","2024-04-22","09:55:09","7261 SPORTSFIELD DR NE, SEATTLE, WA 98115",47.68110985,-122.26025071,"POINT (-122.26025071 47.68110985)","98115","NORTH","SAND POINT"
735243,"Unauthorized Encampment","SEA-City of Seattle","04/22/2024 01:19:31 PM","2024-04-22","01:19:31","7777 62ND AVE NE, SEATTLE, WA 98115",47.6874081,-122.26485791,"POINT (-122.26485791 47.6874081)","98115","NORTH","SAND POINT"
735292,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/22/2024 02:20:14 PM","2024-04-22","02:20:14","7277 SPORTSFIELD DR NE, SEATTLE, WA 98115",47.68123371,-122.26025497,"POINT (-122.26025497 47.68123371)","98115","NORTH","SAND POINT"
735351,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/22/2024 02:41:30 PM","2024-04-22","02:41:30","7777 62ND AVE NE, SEATTLE, WA 98115",47.6874081,-122.26485791,"POINT (-122.26485791 47.6874081)","98115","NORTH","SAND POINT"
735568,"Unauthorized Encampment","SEA-City of Seattle","04/22/2024 07:04:15 PM","2024-04-22","07:04:15","6803 NE 65TH ST, SEATTLE, WA 98115",47.67577119,-122.25442805,"POINT (-122.25442805 47.67577119)","98115","NORTH","SAND POINT"
735575,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/22/2024 06:56:06 PM","2024-04-22","06:56:06","6375 NE 74TH ST, SEATTLE, WA 98115",47.68195742,-122.25802231,"POINT (-122.25802231 47.68195742)","98115","NORTH","SAND POINT"
736135,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/23/2024 02:12:51 PM","2024-04-23","02:12:51","7319 62ND AVE NE, SEATTLE, WA 98115",47.68152529,-122.2623434,"POINT (-122.2623434 47.68152529)","98115","NORTH","SAND POINT"
736275,"Parking Enforcement","SPD-Seattle Police Department","04/23/2024 04:46:01 PM","2024-04-23","04:46:01","6830 62ND AVE NE, SEATTLE, WA 98115",47.67800468,-122.26108037,"POINT (-122.26108037 47.67800468)","98115","NORTH","SAND POINT"
736287,"Parking Enforcement","SPD-Seattle Police Department","04/23/2024 04:44:02 PM","2024-04-23","04:44:02","6347 NE 65TH ST, SEATTLE, WA 98115",47.6755867,-122.2595783,"POINT (-122.2595783 47.6755867)","98115","NORTH","SAND POINT"
736538,"Parking Enforcement","SPD-Seattle Police Department","04/24/2024 07:37:49 AM","2024-04-24","07:37:49","8096 SAND POINT WAY NE, SEATTLE, WA 98115",47.68820447,-122.26567624,"POINT (-122.26567624 47.68820447)","98115","NORTH","SAND POINT"
736969,"Parking Enforcement","SPD-Seattle Police Department","04/24/2024 01:29:32 PM","2024-04-24","01:29:32","6800 62ND AVE NE, SEATTLE, WA 98115",47.67789696,-122.26166002,"POINT (-122.26166002 47.67789696)","98115","NORTH","SAND POINT"
736980,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/24/2024 01:43:13 PM","2024-04-24","01:43:13","6375 NE 74TH ST, SEATTLE, WA 98115",47.68195742,-122.25802231,"POINT (-122.25802231 47.68195742)","98115","NORTH","SAND POINT"
736986,"Graffiti","SPU-Seattle Public Utilities","04/24/2024 01:40:39 PM","2024-04-24","01:40:39","6375 NE 74TH ST, SEATTLE, WA 98115",47.68195742,-122.25802231,"POINT (-122.25802231 47.68195742)","98115","NORTH","SAND POINT"
737454,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/25/2024 09:15:32 AM","2024-04-25","09:15:32","7063 SPORTSFIELD DR NE, SEATTLE, WA 98115",47.679921,-122.2611173,"POINT (-122.2611173 47.679921)","98115","NORTH","SAND POINT"
738341,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/26/2024 12:32:00 PM","2024-04-26","12:32:00","6900 SPORTSFIELD DR NE, SEATTLE, WA 98115",47.67875087,-122.26051372,"POINT (-122.26051372 47.67875087)","98115","NORTH","SAND POINT"
738405,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/26/2024 01:46:34 PM","2024-04-26","01:46:34","7299 LAKE SHORE DR NE, SEATTLE, WA 98115",47.680923,-122.24767107,"POINT (-122.24767107 47.680923)","98115","NORTH","SAND POINT"
738527,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/26/2024 03:34:26 PM","2024-04-26","03:34:26","7280 LAKE SHORE DR NE, SEATTLE, WA 98115",47.68069731,-122.2476094,"POINT (-122.2476094 47.68069731)","98115","NORTH","SAND POINT"
739374,"Public Litter and Recycling Cans","SPU-Seattle Public Utilities","04/28/2024 11:13:23 AM","2024-04-28","11:13:23","6505 NE 65TH ST, SEATTLE, WA 98115",47.67513419,-122.25676103,"POINT (-122.25676103 47.67513419)","98115","NORTH","SAND POINT"
739568,"Parking Enforcement","SPD-Seattle Police Department","04/28/2024 04:25:44 PM","2024-04-28","04:25:44","6800 62ND AVE NE, SEATTLE, WA 98115",47.67789696,-122.26166002,"POINT (-122.26166002 47.67789696)","98115","NORTH","SAND POINT"
739611,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/28/2024 06:05:31 PM","2024-04-28","06:05:31","6850 62ND AVE NE, SEATTLE, WA 98115",47.67842838,-122.26133993,"POINT (-122.26133993 47.67842838)","98115","NORTH","SAND POINT"
