"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
276320,"Graffiti","SPU-Seattle Public Utilities","07/07/2022 03:30:19 PM","2022-07-07","03:30:19","5247 CALIFORNIA AVE SW, SEATTLE, WA 98136",47.5549814,-122.38740439,"POINT (-122.38740439 47.5549814)","98136","SOUTHWEST","SEAVIEW"
276363,"Graffiti","SPU-Seattle Public Utilities","07/07/2022 03:52:29 PM","2022-07-07","03:52:29","5275 CALIFORNIA AVE SW, SEATTLE, WA 98136",47.55418494,-122.38727328,"POINT (-122.38727328 47.55418494)","98136","SOUTHWEST","SEAVIEW"
276373,"Graffiti","SPU-Seattle Public Utilities","07/07/2022 03:50:28 PM","2022-07-07","03:50:28","4301 SW BRANDON ST, SEATTLE, WA 98136",47.55383795,-122.38711321,"POINT (-122.38711321 47.55383795)","98136","SOUTHWEST","SEAVIEW"
276398,"Abandoned Vehicle/72hr Parking Ordinance","SDOT-Seattle Department of Transportation","07/07/2022 04:07:56 PM","2022-07-07","04:07:56","4414 SW BRANDON ST, SEATTLE, WA 98136",47.55408427,-122.38925504,"POINT (-122.38925504 47.55408427)","98136","SOUTHWEST","SEAVIEW"
276539,"Overgrown Vegetation","FAS-Finance and Administrative Services","07/07/2022 07:48:18 PM","2022-07-07","07:48:18","4849 BEACH DR SW, SEATTLE, WA 98116",47.55835946,-122.40226619,"POINT (-122.40226619 47.55835946)","98116","SOUTHWEST","SEAVIEW"
276670,"Parking Enforcement","SPD-Seattle Police Department","07/08/2022 07:49:48 AM","2022-07-08","07:49:48","4815 RUTAN PL SW, SEATTLE, WA 98116",47.55880533,-122.38918212,"POINT (-122.38918212 47.55880533)","98116","SOUTHWEST","SEAVIEW"
276779,"Abandoned Vehicle/72hr Parking Ordinance","SDOT-Seattle Department of Transportation","07/08/2022 09:10:25 AM","2022-07-08","09:10:25","4306 SW JUNEAU ST, SEATTLE, WA 98136",47.55049988,-122.3877105,"POINT (-122.3877105 47.55049988)","98136","SOUTHWEST","SEAVIEW"
276794,"Abandoned Vehicle/72hr Parking Ordinance","SDOT-Seattle Department of Transportation","07/08/2022 09:12:26 AM","2022-07-08","09:12:26","4318 SW JUNEAU ST, SEATTLE, WA 98136",47.55053197,-122.3880388,"POINT (-122.3880388 47.55053197)","98136","SOUTHWEST","SEAVIEW"
276850,"Abandoned Vehicle/72hr Parking Ordinance","SDOT-Seattle Department of Transportation","07/08/2022 09:46:45 AM","2022-07-08","09:46:45","4819 45TH AVE SW, SEATTLE, WA 98116",47.55872633,-122.38993565,"POINT (-122.38993565 47.55872633)","98116","SOUTHWEST","SEAVIEW"
276863,"Abandoned Vehicle/72hr Parking Ordinance","SDOT-Seattle Department of Transportation","07/08/2022 10:02:57 AM","2022-07-08","10:02:57","4821 45TH AVE SW, SEATTLE, WA 98116",47.55862688,-122.38984628,"POINT (-122.38984628 47.55862688)","98116","SOUTHWEST","SEAVIEW"
277462,"General Inquiry - Public Utilities","SPU-Seattle Public Utilities","07/08/2022 04:48:17 PM","2022-07-08","04:48:17","4326 SW GRAHAM ST, SEATTLE, WA 98136",47.54688565,-122.3884534,"POINT (-122.3884534 47.54688565)","98136","SOUTHWEST","SEAVIEW"
278083,"General Inquiry - City Light","SCL-Seattle City Light","07/09/2022 08:34:39 PM","2022-07-09","08:34:39","6307 CALIFORNIA AVE SW, SEATTLE, WA 98136",47.54640243,-122.38758873,"POINT (-122.38758873 47.54640243)","98136","SOUTHWEST","SEAVIEW"
278321,"Parking Enforcement","SPD-Seattle Police Department","07/10/2022 12:56:10 PM","2022-07-10","12:56:10","4807 45TH AVE SW, SEATTLE, WA 98116",47.55904394,-122.38982626,"POINT (-122.38982626 47.55904394)","98116","SOUTHWEST","SEAVIEW"
