"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
507758,"Overgrown Vegetation","FAS-Finance and Administrative Services","06/07/2023 11:38:40 AM","2023-06-07","11:38:40","2643 28TH AVE W, SEATTLE, WA 98199",47.64448864,-122.39324029,"POINT (-122.39324029 47.64448864)","98199","WEST","SOUTHEAST MAGNOLIA"
508040,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","06/07/2023 04:43:02 PM","2023-06-07","04:43:02","2424 34TH AVE W, SEATTLE, WA 98199",47.64034667,-122.40069485,"POINT (-122.40069485 47.64034667)","98199","WEST","SOUTHEAST MAGNOLIA"
508323,"Traffic Signal Maintenance","SDOT-Seattle Department of Transportation","06/08/2023 08:04:04 AM","2023-06-08","08:04:04","2001 W DRAVUS ST, SEATTLE, WA 98199",47.64826697,-122.38221554,"POINT (-122.38221554 47.64826697)","98199","WEST","SOUTHEAST MAGNOLIA"
508339,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","06/08/2023 08:24:20 AM","2023-06-08","08:24:20","2424 34TH AVE W, SEATTLE, WA 98199",47.64034667,-122.40069485,"POINT (-122.40069485 47.64034667)","98199","WEST","SOUTHEAST MAGNOLIA"
508657,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","06/08/2023 01:18:29 PM","2023-06-08","01:18:29","2869 31ST AVE W, SEATTLE, WA 98199",47.64657313,-122.39721973,"POINT (-122.39721973 47.64657313)","98199","WEST","SOUTHEAST MAGNOLIA"
508735,"ADA Request (Transportation)","SDOT-Seattle Department of Transportation","06/08/2023 02:37:04 PM","2023-06-08","02:37:04","1961 31ST AVE W, SEATTLE, WA 98199",47.63756599,-122.39710264,"POINT (-122.39710264 47.63756599)","98199","WEST","SOUTHEAST MAGNOLIA"
508760,"ADA Request (Transportation)","SDOT-Seattle Department of Transportation","06/08/2023 03:35:29 PM","2023-06-08","03:35:29","2102 31ST AVE W, SEATTLE, WA 98199",47.63784116,-122.39659324,"POINT (-122.39659324 47.63784116)","98199","WEST","SOUTHEAST MAGNOLIA"
508836,"Pothole","SDOT-Seattle Department of Transportation","06/08/2023 03:05:17 PM","2023-06-08","03:05:17","2150 32ND AVE W, SEATTLE, WA 98199",47.63827324,-122.39788264,"POINT (-122.39788264 47.63827324)","98199","WEST","SOUTHEAST MAGNOLIA"
508902,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","06/08/2023 06:12:44 PM","2023-06-08","06:12:44","2001 30TH AVE W, SEATTLE, WA 98199",47.63673028,-122.39595983,"POINT (-122.39595983 47.63673028)","98199","WEST","SOUTHEAST MAGNOLIA"
509600,"Parking Enforcement","SPD-Seattle Police Department","06/09/2023 11:20:02 PM","2023-06-09","11:20:02","3053 22ND AVE W, SEATTLE, WA 98199",47.64812542,-122.38495776,"POINT (-122.38495776 47.64812542)","98199","WEST","SOUTHEAST MAGNOLIA"
509870,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","06/10/2023 04:11:47 PM","2023-06-10","04:11:47","1902 26TH AVE W, SEATTLE, WA 98199",47.63614105,-122.3900726,"POINT (-122.3900726 47.63614105)","98199","WEST","SOUTHEAST MAGNOLIA"
