"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
653575,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","12/22/2023 09:17:50 PM","2023-12-22","09:17:50","3744 S BURNS ST, SEATTLE, WA 98118",47.51675431,-122.28402675,"POINT (-122.28402675 47.51675431)","98118","SOUTH","SOUTH BEACON HILL"
653783,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","12/23/2023 12:45:00 PM","2023-12-23","12:45:00","7900 BEACON AVE S, SEATTLE, WA 98118",47.53152292,-122.28781501,"POINT (-122.28781501 47.53152292)","98118","SOUTH","SOUTH BEACON HILL"
653784,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","12/23/2023 12:44:55 PM","2023-12-23","12:44:55","7919 BEACON AVE S, SEATTLE, WA 98118",47.53112732,-122.28850434,"POINT (-122.28850434 47.53112732)","98118","SOUTH","SOUTH BEACON HILL"
653794,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","12/23/2023 12:46:54 PM","2023-12-23","12:46:54","7901 BEACON AVE S, SEATTLE, WA 98118",47.53148419,-122.28860451,"POINT (-122.28860451 47.53148419)","98118","SOUTH","SOUTH BEACON HILL"
653796,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","12/23/2023 12:48:54 PM","2023-12-23","12:48:54","7815 BEACON AVE S, SEATTLE, WA 98118",47.5319608,-122.28885126,"POINT (-122.28885126 47.5319608)","98118","SOUTH","SOUTH BEACON HILL"
653805,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","12/23/2023 01:57:26 PM","2023-12-23","01:57:26","3902 S BURNS ST, SEATTLE, WA 98118",47.51672288,-122.28350553,"POINT (-122.28350553 47.51672288)","98118","SOUTH","SOUTH BEACON HILL"
653856,"Graffiti","SPU-Seattle Public Utilities","12/23/2023 03:40:16 PM","2023-12-23","03:40:16","9001 MARTIN LUTHER KING JR WAY S, SEATTLE, WA 98118",47.52299435,-122.27962037,"POINT (-122.27962037 47.52299435)","98118","SOUTH","SOUTH BEACON HILL"
653886,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","12/23/2023 04:14:33 PM","2023-12-23","04:14:33","8726 42ND AVE S, SEATTLE, WA 98118",47.52440017,-122.28070619,"POINT (-122.28070619 47.52440017)","98118","SOUTH","SOUTH BEACON HILL"
654041,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","12/24/2023 10:20:46 AM","2023-12-24","10:20:46","8812 37TH AVE S, SEATTLE, WA 98118",47.52381945,-122.28565831,"POINT (-122.28565831 47.52381945)","98118","SOUTH","SOUTH BEACON HILL"
654078,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","12/24/2023 12:19:47 PM","2023-12-24","12:19:47","7817 BEACON AVE S, SEATTLE, WA 98118",47.53181894,-122.2887992,"POINT (-122.2887992 47.53181894)","98118","SOUTH","SOUTH BEACON HILL"
654124,"General Inquiry - Animal Shelter","FAS-Finance and Administrative Services","12/24/2023 01:48:19 PM","2023-12-24","01:48:19","8903 BEACON AVE S, SEATTLE, WA 98118",47.52345449,-122.28626979,"POINT (-122.28626979 47.52345449)","98118","SOUTH","SOUTH BEACON HILL"
654537,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","12/26/2023 10:47:15 AM","2023-12-26","10:47:15","8720 42ND AVE S, SEATTLE, WA 98118",47.52459563,-122.28071263,"POINT (-122.28071263 47.52459563)","98118","SOUTH","SOUTH BEACON HILL"
654571,"Pothole","SDOT-Seattle Department of Transportation","12/26/2023 11:29:42 AM","2023-12-26","11:29:42","7762 BEACON AVE S, SEATTLE, WA 98118",47.532656,-122.2884722,"POINT (-122.2884722 47.532656)","98118","SOUTH","SOUTH BEACON HILL"
